id,dataset,priority_bucket,replacement_count,suggestion_notes,qwen25_v4_correct,qwen3_v4_correct,qwen25_v3_to_v4_change,qwen3_v3_to_v4_change,current_banglish_clean,auto_suggested_banglish_clean,reviewed_banglish,quality_label,review_notes
banglamath_0526,banglamath,both_wrong_multi_edit,4,ekoti->ekti (1); kot->koto (1); kshetrofol->khetrofol (1); uchchota->ucchota (1),False,False,same_wrong,same_wrong,"ekoti tribhujer bhumi 10 mitar o uchchota 6 mitar hole kshetrofol kot
Return only the final answer.","ekti tribhujer bhumi 10 mitar o ucchota 6 mitar hole khetrofol koto
Return only the final answer.",,,
banglamath_0552,banglamath,both_wrong_multi_edit,4,ekoti->ekti (1); kot->koto (1); kshetrofol->khetrofol (1); uchchota->ucchota (1),False,False,same_wrong,same_wrong,"ekoti samantoriker bhumi 90 goj o uchchota 50 goj hole tar kshetrofol kot
Return only the final answer.","ekti samantoriker bhumi 90 goj o ucchota 50 goj hole tar khetrofol koto
Return only the final answer.",,,
banglamath_0558,banglamath,both_wrong_multi_edit,4,ayotakar->ayotokar (1); doirghy->doirgho (1); kot->koto (1); prosth->prostho (1),False,False,same_wrong,same_wrong,"60 mitar dirgh ayotakar baganer doirghy prosther 3 gun hole prosth kot
Return only the final answer.","60 mitar dirgh ayotokar baganer doirgho prosther 3 gun hole prostho koto
Return only the final answer.",,,
banglamath_1691,banglamath,both_wrong_multi_edit,4,achhe->ache (1); ekoti->ekti (2); korote->korte (1),False,False,same_wrong,same_wrong,"beru goyalar kachhe ekoti kolosite 10 litar dudh ebong dudh mapar duti khali patr , ekoti 5 litarer, oporoti 3 litarer. se kretake 1 litar dudh bikri korote chay. goyalar kachhe jedojesob patr achhe shudhu ta diye kibhabe kretake 1 litar dudh deya sombhob?
Return only the final answer.","beru goyalar kachhe ekti kolosite 10 litar dudh ebong dudh mapar duti khali patr , ekti 5 litarer, oporoti 3 litarer. se kretake 1 litar dudh bikri korte chay. goyalar kachhe jedojesob patr ache shudhu ta diye kibhabe kretake 1 litar dudh deya sombhob?
Return only the final answer.",,,
banglamath_0183,banglamath,both_wrong_multi_edit,3,achhe->ache (1); ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti chhatrabase 50 joner 15 diner khaddo mojud achhe. oi khadde 25 joner kot din cholobe
Return only the final answer.","ekti chhatrabase 50 joner 15 diner khaddo mojud ache. oi khadde 25 joner koto din cholobe
Return only the final answer.",,,
banglamath_0184,banglamath,both_wrong_multi_edit,3,korote->korte (2); kot->koto (1),False,False,same_wrong,same_wrong,"9000 taka biniyoge protidin 450 taka labh hole 600 taka labh korote kot biniyog korote hobe
Return only the final answer.","9000 taka biniyoge protidin 450 taka labh hole 600 taka labh korte koto biniyog korte hobe
Return only the final answer.",,,
banglamath_0187,banglamath,both_wrong_multi_edit,3,ekoti->ekti (1); korote->korte (2),False,False,same_wrong,same_wrong,"ekoti bandh toiri korote 360 jon shromiker 25 din lage. 18 dine kajoti shesh korote kotojon otirikt shromik lagobe
Return only the final answer.","ekti bandh toiri korte 360 jon shromiker 25 din lage. 18 dine kajoti shesh korte kotojon otirikt shromik lagobe
Return only the final answer.",,,
banglamath_0189,banglamath,both_wrong_multi_edit,3,ekoti->ekti (1); korote->korte (2),False,False,same_wrong,same_wrong,"ekoti kaj 2 jon purush othoba 3 jon balok somponn korote pare. 9 jon balok kotojon purusher soman kaj korote parobe
Return only the final answer.","ekti kaj 2 jon purush othoba 3 jon balok somponn korte pare. 9 jon balok kotojon purusher soman kaj korte parobe
Return only the final answer.",,,
banglamath_0539,banglamath,both_wrong_multi_edit,3,ekoti->ekti (1); kot->koto (1); kshetrofol->khetrofol (1),False,False,same_wrong,same_wrong,"ekoti ghorer mejhe karpet diye murote proti borgomitare 7.50 taka dore 1102.50 taka khoroch hole ghorer kshetrofol kot
Return only the final answer.","ekti ghorer mejhe karpet diye murote proti borgomitare 7.50 taka dore 1102.50 taka khoroch hole ghorer khetrofol koto
Return only the final answer.",,,
banglamath_0542,banglamath,both_wrong_multi_edit,3,doirghy->doirgho (1); kot->koto (1); prosth->prostho (1),False,False,same_wrong,same_wrong,"rastabade baganer porisimay bera dite proti mitare 25 taka hisebe mot kot khoroch hobe jodi rastabade baganer doirghy 44 mi o prosth 24 mi hoy
Return only the final answer.","rastabade baganer porisimay bera dite proti mitare 25 taka hisebe mot koto khoroch hobe jodi rastabade baganer doirgho 44 mi o prostho 24 mi hoy
Return only the final answer.",,,
banglamath_0559,banglamath,both_wrong_multi_edit,3,ekoti->ekti (1); kot->koto (1); kshetrofol->khetrofol (1),False,False,same_wrong,same_wrong,"ekoti borgokshetrer porisima 160 mitar hole tar kshetrofol kot
Return only the final answer.","ekti borgokshetrer porisima 160 mitar hole tar khetrofol koto
Return only the final answer.",,,
benqa_12th-Biology-I_0265,benqa,both_wrong_multi_edit,3,achhe->ache (1); ekoti->ekti (1); konoti->konti (1),False,False,same_wrong,same_wrong,"mi. 'k' byoboharik klase ekoti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom achhe. poryobekshit boishishtyogulo kibhabe udbhidoke banchiye rakhote sahajy kore? i. pani o khonij lobon poribohon kore ii. prostutokrit khabar poribohon kore iii. khaddo prostut kore nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.","mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom ache. poryobekshit boishishtyogulo kibhabe udbhidoke banchiye rakhote sahajy kore? i. pani o khonij lobon poribohon kore ii. prostutokrit khabar poribohon kore iii. khaddo prostut kore nicher konti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,,
banglamath_0188,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"25 jon lok doinik 6 ghonta porishrom kore ekoti kaj 8 dine shesh kore. 10 jon lok doinik kot ghonta porishrom kore oi kajoti shesh korobe
Return only the final answer.","25 jon lok doinik 6 ghonta porishrom kore ekti kaj 8 dine shesh kore. 10 jon lok doinik koto ghonta porishrom kore oi kajoti shesh korobe
Return only the final answer.",,,
banglamath_0231,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti kolom 20% labhe 24 takay bikroy korole kroyomuly kot
Return only the final answer.","ekti kolom 20% labhe 24 takay bikroy korole kroyomuly koto
Return only the final answer.",,,
banglamath_0232,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti boi 15% komishone 170 takay bikroy korole prokrit muly kot
Return only the final answer.","ekti boi 15% komishone 170 takay bikroy korole prokrit muly koto
Return only the final answer.",,,
banglamath_0233,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"6 jon lok ekoti kaj 28 dine korole 24 jon lok kot dine korobe
Return only the final answer.","6 jon lok ekti kaj 28 dine korole 24 jon lok koto dine korobe
Return only the final answer.",,,
banglamath_0234,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti kaj k 10 dine o kh 15 dine korole tara ekotre kot dine korobe
Return only the final answer.","ekti kaj k 10 dine o kh 15 dine korole tara ekotre koto dine korobe
Return only the final answer.",,,
banglamath_0550,banglamath,both_wrong_multi_edit,2,kot->koto (1); kshetrofol->khetrofol (1),False,False,same_wrong,same_wrong,"rastasoh baganer porisima 190 mitar hole soman porisima bishisht borgakar mather kshetrofol kot
Return only the final answer.","rastasoh baganer porisima 190 mitar hole soman porisima bishisht borgakar mather khetrofol koto
Return only the final answer.",,,
banglamath_0553,banglamath,both_wrong_multi_edit,2,kshetrofol->khetrofol (2),False,False,same_wrong,same_wrong,"samantoriker mejhe pathor dwara dhakote kototi pathor lagobe jodi mejher kshetrofol 4500 borgogoj o pathorer kshetrofol 4 borgogoj hoy
Return only the final answer.","samantoriker mejhe pathor dwara dhakote kototi pathor lagobe jodi mejher khetrofol 4500 borgogoj o pathorer khetrofol 4 borgogoj hoy
Return only the final answer.",,,
banglamath_0557,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti baganer porisima 120 mitar hole charodike bera dite kot khoroch hobe jodi proti mitare khoroch 31/4 taka hoy
Return only the final answer.","ekti baganer porisima 120 mitar hole charodike bera dite koto khoroch hobe jodi proti mitare khoroch 31/4 taka hoy
Return only the final answer.",,,
banglamath_1692,banglamath,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti jouth poribarer mot sodosy (purush, mohila o shishu) 20 jon. poribarer kortababur adesh 20 mon dhan poribarer sokol sodosyer modhye bhag kore deya hobe. bhager niyom holoh protyek purush pabe 3 mon, protyek mohila pabe 2 mon, ebong protyek shishu pabe 1 mon dhan. proshn hochchhe, kotojon kore dhan pabe? orthat poribarotir purush, mohilader o shishuder songkhya kot?
Return only the final answer.","ekti jouth poribarer mot sodosy (purush, mohila o shishu) 20 jon. poribarer kortababur adesh 20 mon dhan poribarer sokol sodosyer modhye bhag kore deya hobe. bhager niyom holoh protyek purush pabe 3 mon, protyek mohila pabe 2 mon, ebong protyek shishu pabe 1 mon dhan. proshn hochchhe, kotojon kore dhan pabe? orthat poribarotir purush, mohilader o shishuder songkhya koto?
Return only the final answer.",,,
banglamath_1694,banglamath,both_wrong_multi_edit,2,ekoti->ekti (2),False,False,same_wrong,same_wrong,"ekoti 500 mitar lomba trener goti 60 kilomitar hole ,ordhokilomitar lomba ekoti setu pari dite trenotir kotokshon somoy lagobe?
Return only the final answer.","ekti 500 mitar lomba trener goti 60 kilomitar hole ,ordhokilomitar lomba ekti setu pari dite trenotir kotokshon somoy lagobe?
Return only the final answer.",,,
benqa_10th-Math_0044,benqa,both_wrong_multi_edit,2,achhe->ache (1); ekoti->ekti (1),False,False,same_wrong,same_wrong,"ekoti borger kototi protisamy rekha achhe?
A. 8ti
B. 6ti
C. 4ti
D. 2ti
Answer with only A, B, C, or D.","ekti borger kototi protisamy rekha ache?
A. 8ti
B. 6ti
C. 4ti
D. 2ti
Answer with only A, B, C, or D.",,,
benqa_10th-Physics_0106,benqa,both_wrong_multi_edit,2,korote->korte (1); kot->koto (1),False,False,same_wrong,same_wrong,"bina badhay poront bostu 5 sekende 50 mitar poth otikrom korole 72 mitar poth otikrom korote kot sekend somoy lagobe?
A. 6
B. 7.2
C. 9.5
D. 12
Answer with only A, B, C, or D.","bina badhay poront bostu 5 sekende 50 mitar poth otikrom korole 72 mitar poth otikrom korte koto sekend somoy lagobe?
A. 6
B. 7.2
C. 9.5
D. 12
Answer with only A, B, C, or D.",,,
benqa_12th-Biology-II_0287,benqa,both_wrong_multi_edit,2,konoti->konti (2),False,False,same_wrong,same_wrong,"protin poripake ongsh ney konoti? i. peposin ii. amailej iii. karboksipepotaid nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.","protin poripake ongsh ney konti? i. peposin ii. amailej iii. karboksipepotaid nicher konti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,,
benqa_12th-Chemistry-II_0228,benqa,both_wrong_multi_edit,2,ekoti->ekti (1); konoti->konti (1),False,False,same_wrong,same_wrong,"Ni(s) + 2Ag^{+}(aq) \xrightarrow{2e^{-}} Ni^{2+}(aq) + 2Ag(s); bikriyatite- i. Ni jarit hoy ii. Ag jarit hoy iii. bikriyati ekoti ridoks bikriya nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.","Ni(s) + 2Ag^{+}(aq) \xrightarrow{2e^{-}} Ni^{2+}(aq) + 2Ag(s); bikriyatite- i. Ni jarit hoy ii. Ag jarit hoy iii. bikriyati ekti ridoks bikriya nicher konti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,,
benqa_12th-Physics-II_0046,benqa,both_wrong_multi_edit,2,konoti->konti (1); kshetre->khetre (1),False,False,same_wrong,same_wrong,"ruddhotapiy poribortoner kshetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropir poriborton shuny nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.","ruddhotapiy poribortoner khetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropir poriborton shuny nicher konti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,,
benqa_12th-Physics-II_0290,benqa,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ekoti karno injiner karyonirbahok bostu 400 K tapomatrar tap utos hote 840 J tap grohon kore tapograhoke 630 J tap borjon kore. tap grahoker tapomatra kot?
A. 210 K
B. 300 K
C. 400 K
D. 440 K
Answer with only A, B, C, or D.","ekti karno injiner karyonirbahok bostu 400 K tapomatrar tap utos hote 840 J tap grohon kore tapograhoke 630 J tap borjon kore. tap grahoker tapomatra koto?
A. 210 K
B. 300 K
C. 400 K
D. 440 K
Answer with only A, B, C, or D.",,,
benqa_12th-Physics-I_0254,benqa,both_wrong_multi_edit,2,konoti->konti (1); kshetre->khetre (1),False,False,same_wrong,same_wrong,"mohakorsh kshetr prabolyer matrar kshetre konoti sothik?
A. [LT^{-1}]
B. [LT^{-2}]
C. [MLT^{-1}]
D. [MLT^{-2}]
Answer with only A, B, C, or D.","mohakorsh kshetr prabolyer matrar khetre konti sothik?
A. [LT^{-1}]
B. [LT^{-2}]
C. [MLT^{-1}]
D. [MLT^{-2}]
Answer with only A, B, C, or D.",,,
benqa_8th-Science_0098,benqa,both_wrong_multi_edit,2,ekoti->ekti (1); kot->koto (1),False,False,same_wrong,same_wrong,"ishar basar bedorume duti tiubolait o ekoti fyan pyaralale songjukt kora hoy. bedorumer bortonir sathe 10 ampiyar maner fiuj byobohar kora hoy. dwitiy upokoronotir jony karyokori fiuj kot?
A. 5 ampiyar
B. 10 ampiyar
C. 15 ampiyar
D. 30 ampiyar
Answer with only A, B, C, or D.","ishar basar bedorume duti tiubolait o ekti fyan pyaralale songjukt kora hoy. bedorumer bortonir sathe 10 ampiyar maner fiuj byobohar kora hoy. dwitiy upokoronotir jony karyokori fiuj koto?
A. 5 ampiyar
B. 10 ampiyar
C. 15 ampiyar
D. 30 ampiyar
Answer with only A, B, C, or D.",,,
banglamath_0181,banglamath,both_wrong_single_edit,1,thakole->thakle (1),False,False,same_wrong,same_wrong,"kajer poriman oporibortit thakole lok songkhya barale somoy ki hoy
Return only the final answer.","kajer poriman oporibortit thakle lok songkhya barale somoy ki hoy
Return only the final answer.",,,
banglamath_0182,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"7 keji chaler dam 280 taka hole 15 keji chaler dam kot
Return only the final answer.","7 keji chaler dam 280 taka hole 15 keji chaler dam koto
Return only the final answer.",,,
banglamath_0185,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"120 keji chale 10 jon loker 27 din chole. 45 din cholote kot keji chal proyojon hobe
Return only the final answer.","120 keji chale 10 jon loker 27 din chole. 45 din cholote koto keji chal proyojon hobe
Return only the final answer.",,,
banglamath_0186,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"2 kuintal chale 15 jon chhatrer 30 din chole. oi chale 20 jon chhatrer kot din cholobe
Return only the final answer.","2 kuintal chale 15 jon chhatrer 30 din chole. oi chale 20 jon chhatrer koto din cholobe
Return only the final answer.",,,
banglamath_0226,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"550 takake 5:6 onupate bhag korole prothom ongsh kot hobe
Return only the final answer.","550 takake 5:6 onupate bhag korole prothom ongsh koto hobe
Return only the final answer.",,,
banglamath_0227,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"dui bondhur bari theke skuler durotter onupat 2:3 ebong prothom bondhur durotto 5 kimi hole dwitiy bondhur durotto kot
Return only the final answer.","dui bondhur bari theke skuler durotter onupat 2:3 ebong prothom bondhur durotto 5 kimi hole dwitiy bondhur durotto koto
Return only the final answer.",,,
banglamath_0230,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"25 taka 125 takar shotokora kot
Return only the final answer.","25 taka 125 takar shotokora koto
Return only the final answer.",,,
banglamath_0236,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"10ti bolopener dam 60 taka hole 2ti bolopener dam kot
Return only the final answer.","10ti bolopener dam 60 taka hole 2ti bolopener dam koto
Return only the final answer.",,,
banglamath_0237,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"1 dojon dimer dam 48 taka hole 16ti dimer dam kot
Return only the final answer.","1 dojon dimer dam 48 taka hole 16ti dimer dam koto
Return only the final answer.",,,
banglamath_0531,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"ek khond jomite 500 keji 700 gram alu hole 11 khond jomite kot alu hobe
Return only the final answer.","ek khond jomite 500 keji 700 gram alu hole 11 khond jomite koto alu hobe
Return only the final answer.",,,
banglamath_1684,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"karim saheber 3 putr ebong prothom 2 jon jomoj . 3 putrer bortoman boyoser somoshti 29 bochhor. 6 bochhor purbe tader boyoser somoshti chhil 12 bochhor. putroder bortoman boyos kot?
Return only the final answer.","karim saheber 3 putr ebong prothom 2 jon jomoj . 3 putrer bortoman boyoser somoshti 29 bochhor. 6 bochhor purbe tader boyoser somoshti chhil 12 bochhor. putroder bortoman boyos koto?
Return only the final answer.",,,
banglamath_1687,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"4ti kanthal ebong 5ti toromujer ojoner somoshti 32kilogram. 5ti kathal ebong 4ti toromujer ojoner somoshti 31 kilogram. uporer sob kathaler ojon soman ebong sob toromujer ojon soman . 1 kathal o 1 toromujer ojon kot?
Return only the final answer.","4ti kanthal ebong 5ti toromujer ojoner somoshti 32kilogram. 5ti kathal ebong 4ti toromujer ojoner somoshti 31 kilogram. uporer sob kathaler ojon soman ebong sob toromujer ojon soman . 1 kathal o 1 toromujer ojon koto?
Return only the final answer.",,,
banglamath_1693,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"dui ongkeroekoti songkhyar tin bhager ek bhag o char bhager ek bhager jogofol 14 .songkhyati kot hisaboti koro.
Return only the final answer.","dui ongkeroekoti songkhyar tin bhager ek bhag o char bhager ek bhager jogofol 14 .songkhyati koto hisaboti koro.
Return only the final answer.",,,
banglamath_1696,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"20 gram lobon diye 10% lobonomishrit shorobot banate kot litar panir dorokar?
Return only the final answer.","20 gram lobon diye 10% lobonomishrit shorobot banate koto litar panir dorokar?
Return only the final answer.",,,
banglamath_1697,banglamath,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"30 ke 1/2 diye bhag kore 10 jog korole kot hoy?
Return only the final answer.","30 ke 1/2 diye bhag kore 10 jog korole koto hoy?
Return only the final answer.",,,
banglamath_1703,banglamath,both_wrong_single_edit,1,ekoti->ekti (1),False,False,same_wrong,same_wrong,"ekoti jhurite dharonokshomota 120ti anaros othoba 144ti amer . jhurite 90ti anaros rakhar por ar kototi am rakha jabe?
Return only the final answer.","ekti jhurite dharonokshomota 120ti anaros othoba 144ti amer . jhurite 90ti anaros rakhar por ar kototi am rakha jabe?
Return only the final answer.",,,
benqa_10th-Biology_0057,benqa,both_wrong_single_edit,1,konoti->konti (1),False,False,same_wrong,same_wrong,"goni saheb tar bagane emon kichhu gachh lagiyechhen jar CO_{2} bijaroner prothom sthayi podarth oksalo esitik esid. goni saheb lagiyechhen- i. bhutta ii. begun iii. akh nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.","goni saheb tar bagane emon kichhu gachh lagiyechhen jar CO_{2} bijaroner prothom sthayi podarth oksalo esitik esid. goni saheb lagiyechhen- i. bhutta ii. begun iii. akh nicher konti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,,
benqa_10th-Biology_0090,benqa,both_wrong_single_edit,1,konoti->konti (1),False,False,same_wrong,same_wrong,"potonggoporagi ful konoti?
A. dhan
B. kochu
C. sorisha
D. akh
Answer with only A, B, C, or D.","potonggoporagi ful konti?
A. dhan
B. kochu
C. sorisha
D. akh
Answer with only A, B, C, or D.",,,
benqa_10th-Biology_0128,benqa,both_wrong_single_edit,1,konoti->konti (1),False,False,same_wrong,same_wrong,"ister shboson prokriyay konoti utoponn hoy?
A. lyakotik esid
B. glukoj
C. oksalo asitik esid
D. glisarik esid
Answer with only A, B, C, or D.","ister shboson prokriyay konti utoponn hoy?
A. lyakotik esid
B. glukoj
C. oksalo asitik esid
D. glisarik esid
Answer with only A, B, C, or D.",,,
benqa_10th-Biology_0156,benqa,both_wrong_single_edit,1,kot->koto (1),False,False,same_wrong,same_wrong,"amishe shotokora kot bhag naitrojen bidyoman
A. 12
B. 14
C. 16
D. 18
Answer with only A, B, C, or D.","amishe shotokora koto bhag naitrojen bidyoman
A. 12
B. 14
C. 16
D. 18
Answer with only A, B, C, or D.",,,
