id,source_row,gold,correct_model_count,any_model_correct,at_least_two_models_correct,all_models_correct,all_models_wrong,majority_prediction,majority_prediction_count,majority_prediction_correct,all_predictions_different,qwen25_3b_parsed,qwen25_3b_correct,qwen25_7b_8_bit_parsed,qwen25_7b_8_bit_correct,qwen3_4b_parsed,qwen3_4b_correct
bnsentmix_03260,3260,neutral,0,False,False,False,True,negative,2,False,False,negative,False,mixed,False,negative,False
bnsentmix_03281,3281,neutral,1,True,False,False,False,positive,2,False,False,positive,False,neutral,True,positive,False
bnsentmix_03439,3439,neutral,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_03553,3553,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_03593,3593,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_03668,3668,neutral,2,True,True,False,False,neutral,2,True,False,neutral,True,neutral,True,negative,False
bnsentmix_03765,3765,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_04111,4111,neutral,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_04179,4179,neutral,2,True,True,False,False,neutral,2,True,False,negative,False,neutral,True,neutral,True
bnsentmix_04327,4327,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_04459,4459,neutral,1,True,False,False,False,negative,2,False,False,negative,False,negative,False,neutral,True
bnsentmix_04790,4790,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_04838,4838,neutral,2,True,True,False,False,neutral,2,True,False,negative,False,neutral,True,neutral,True
bnsentmix_04895,4895,neutral,1,True,False,False,False,,0,False,True,negative,False,neutral,True,positive,False
bnsentmix_05086,5086,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_05217,5217,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_05281,5281,neutral,1,True,False,False,False,positive,2,False,False,positive,False,neutral,True,positive,False
bnsentmix_05283,5283,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_05604,5604,neutral,0,False,False,False,True,negative,2,False,False,negative,False,negative,False,positive,False
bnsentmix_05757,5757,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_05843,5843,neutral,2,True,True,False,False,neutral,2,True,False,mixed,False,neutral,True,neutral,True
bnsentmix_06033,6033,neutral,1,True,False,False,False,,0,False,True,negative,False,neutral,True,positive,False
bnsentmix_06478,6478,neutral,2,True,True,False,False,neutral,2,True,False,positive,False,neutral,True,neutral,True
bnsentmix_06501,6501,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_06551,6551,neutral,1,True,False,False,False,positive,2,False,False,positive,False,positive,False,neutral,True
bnsentmix_06685,6685,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_06878,6878,neutral,0,False,False,False,True,mixed,2,False,False,mixed,False,mixed,False,positive,False
bnsentmix_07402,7402,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_07415,7415,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_07457,7457,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_07628,7628,neutral,1,True,False,False,False,,0,False,True,negative,False,neutral,True,positive,False
bnsentmix_07675,7675,neutral,3,True,True,True,False,neutral,3,True,False,neutral,True,neutral,True,neutral,True
bnsentmix_07760,7760,neutral,1,True,False,False,False,positive,2,False,False,positive,False,neutral,True,positive,False
bnsentmix_07843,7843,neutral,2,True,True,False,False,neutral,2,True,False,neutral,True,neutral,True,positive,False
bnsentmix_08007,8007,neutral,0,False,False,False,True,positive,2,False,False,mixed,False,positive,False,positive,False
bnsentmix_08041,8041,neutral,1,True,False,False,False,,0,False,True,mixed,False,neutral,True,positive,False
bnsentmix_08052,8052,neutral,2,True,True,False,False,neutral,2,True,False,mixed,False,neutral,True,neutral,True
bnsentmix_08824,8824,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,neutral,False
bnsentmix_09025,9025,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_09065,9065,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_09341,9341,negative,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_09355,9355,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,positive,False
bnsentmix_09474,9474,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,neutral,False
bnsentmix_09479,9479,negative,0,False,False,False,True,neutral,2,False,False,mixed,False,neutral,False,neutral,False
bnsentmix_09750,9750,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_09825,9825,negative,1,True,False,False,False,,0,False,True,negative,True,neutral,False,positive,False
bnsentmix_09953,9953,negative,1,True,False,False,False,neutral,2,False,False,negative,True,neutral,False,neutral,False
bnsentmix_09983,9983,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,neutral,False
bnsentmix_10089,10089,negative,1,True,False,False,False,neutral,2,False,False,negative,True,neutral,False,neutral,False
bnsentmix_10171,10171,negative,1,True,False,False,False,,0,False,True,mixed,False,negative,True,positive,False
bnsentmix_10293,10293,negative,0,False,False,False,True,positive,2,False,False,positive,False,neutral,False,positive,False
bnsentmix_10316,10316,negative,0,False,False,False,True,neutral,3,False,False,neutral,False,neutral,False,neutral,False
bnsentmix_10356,10356,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,neutral,False
bnsentmix_10399,10399,negative,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_10617,10617,negative,1,True,False,False,False,,0,False,True,negative,True,neutral,False,positive,False
bnsentmix_10622,10622,negative,0,False,False,False,True,mixed,2,False,False,mixed,False,mixed,False,positive,False
bnsentmix_10811,10811,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_11158,11158,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_11199,11199,negative,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,negative,True
bnsentmix_11214,11214,negative,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,negative,True
bnsentmix_11236,11236,negative,2,True,True,False,False,negative,2,True,False,negative,True,mixed,False,negative,True
bnsentmix_11307,11307,negative,1,True,False,False,False,neutral,2,False,False,negative,True,neutral,False,neutral,False
bnsentmix_11457,11457,negative,2,True,True,False,False,negative,2,True,False,negative,True,neutral,False,negative,True
bnsentmix_11513,11513,negative,0,False,False,False,True,neutral,2,False,False,neutral,False,neutral,False,positive,False
bnsentmix_11533,11533,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_11538,11538,negative,0,False,False,False,True,positive,2,False,False,positive,False,neutral,False,positive,False
bnsentmix_11599,11599,negative,0,False,False,False,True,positive,2,False,False,positive,False,neutral,False,positive,False
bnsentmix_11675,11675,negative,0,False,False,False,True,positive,2,False,False,positive,False,mixed,False,positive,False
bnsentmix_11782,11782,negative,1,True,False,False,False,,0,False,True,mixed,False,negative,True,positive,False
bnsentmix_11973,11973,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_12084,12084,negative,1,True,False,False,False,neutral,2,False,False,negative,True,neutral,False,neutral,False
bnsentmix_12289,12289,negative,0,False,False,False,True,,0,False,True,mixed,False,neutral,False,positive,False
bnsentmix_12357,12357,negative,1,True,False,False,False,mixed,2,False,False,mixed,False,mixed,False,negative,True
bnsentmix_12509,12509,negative,1,True,False,False,False,mixed,2,False,False,mixed,False,negative,True,mixed,False
bnsentmix_12602,12602,negative,0,False,False,False,True,neutral,3,False,False,neutral,False,neutral,False,neutral,False
bnsentmix_12685,12685,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_12713,12713,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,neutral,False
bnsentmix_12875,12875,negative,2,True,True,False,False,negative,2,True,False,negative,True,neutral,False,negative,True
bnsentmix_12878,12878,negative,0,False,False,False,True,positive,3,False,False,positive,False,positive,False,positive,False
bnsentmix_12905,12905,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_13331,13331,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,positive,False
bnsentmix_13571,13571,negative,2,True,True,False,False,negative,2,True,False,negative,True,mixed,False,negative,True
bnsentmix_13617,13617,negative,2,True,True,False,False,negative,2,True,False,negative,True,negative,True,positive,False
bnsentmix_13634,13634,negative,0,False,False,False,True,positive,2,False,False,positive,False,neutral,False,positive,False
bnsentmix_13653,13653,negative,2,True,True,False,False,negative,2,True,False,mixed,False,negative,True,negative,True
bnsentmix_13955,13955,negative,0,False,False,False,True,positive,2,False,False,positive,False,neutral,False,positive,False
bnsentmix_14251,14251,negative,3,True,True,True,False,negative,3,True,False,negative,True,negative,True,negative,True
bnsentmix_14791,14791,positive,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,positive,True
bnsentmix_15006,15006,positive,1,True,False,False,False,,0,False,True,negative,False,neutral,False,positive,True
bnsentmix_15075,15075,positive,2,True,True,False,False,positive,2,True,False,positive,True,neutral,False,positive,True
bnsentmix_15234,15234,positive,2,True,True,False,False,positive,2,True,False,positive,True,neutral,False,positive,True
bnsentmix_15307,15307,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_15463,15463,positive,1,True,False,False,False,,0,False,True,negative,False,neutral,False,positive,True
bnsentmix_15493,15493,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_15759,15759,positive,2,True,True,False,False,positive,2,True,False,positive,True,mixed,False,positive,True
bnsentmix_15767,15767,positive,1,True,False,False,False,neutral,2,False,False,positive,True,neutral,False,neutral,False
bnsentmix_15890,15890,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_15959,15959,positive,1,True,False,False,False,,0,False,True,negative,False,neutral,False,positive,True
bnsentmix_16025,16025,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_16455,16455,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_16555,16555,positive,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,positive,True
bnsentmix_16954,16954,positive,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,positive,True
bnsentmix_17029,17029,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17139,17139,positive,2,True,True,False,False,positive,2,True,False,positive,True,negative,False,positive,True
bnsentmix_17155,17155,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17170,17170,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17201,17201,positive,1,True,False,False,False,negative,2,False,False,negative,False,negative,False,positive,True
bnsentmix_17253,17253,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17464,17464,positive,1,True,False,False,False,mixed,2,False,False,mixed,False,mixed,False,positive,True
bnsentmix_17549,17549,positive,1,True,False,False,False,,0,False,True,negative,False,neutral,False,positive,True
bnsentmix_17582,17582,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17587,17587,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17604,17604,positive,2,True,True,False,False,positive,2,True,False,positive,True,neutral,False,positive,True
bnsentmix_17781,17781,positive,0,False,False,False,True,neutral,2,False,False,mixed,False,neutral,False,neutral,False
bnsentmix_17858,17858,positive,0,False,False,False,True,negative,2,False,False,mixed,False,negative,False,negative,False
bnsentmix_17873,17873,positive,2,True,True,False,False,positive,2,True,False,positive,True,neutral,False,positive,True
bnsentmix_17909,17909,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_17986,17986,positive,2,True,True,False,False,positive,2,True,False,positive,True,mixed,False,positive,True
bnsentmix_18006,18006,positive,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,positive,True
bnsentmix_18055,18055,positive,0,False,False,False,True,,0,False,True,mixed,False,neutral,False,negative,False
bnsentmix_18185,18185,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_18241,18241,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_18508,18508,positive,0,False,False,False,True,neutral,2,False,False,negative,False,neutral,False,neutral,False
bnsentmix_18537,18537,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_18641,18641,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_18777,18777,positive,0,False,False,False,True,neutral,3,False,False,neutral,False,neutral,False,neutral,False
bnsentmix_18824,18824,positive,1,True,False,False,False,,0,False,True,mixed,False,neutral,False,positive,True
bnsentmix_18879,18879,positive,2,True,True,False,False,positive,2,True,False,mixed,False,positive,True,positive,True
bnsentmix_19229,19229,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_19290,19290,positive,1,True,False,False,False,neutral,2,False,False,positive,True,neutral,False,neutral,False
bnsentmix_19300,19300,positive,2,True,True,False,False,positive,2,True,False,positive,True,neutral,False,positive,True
bnsentmix_19395,19395,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_19521,19521,positive,3,True,True,True,False,positive,3,True,False,positive,True,positive,True,positive,True
bnsentmix_19603,19603,positive,1,True,False,False,False,,0,False,True,negative,False,neutral,False,positive,True
bnsentmix_19759,19759,positive,1,True,False,False,False,,0,False,True,negative,False,neutral,False,positive,True
bnsentmix_19866,19866,positive,1,True,False,False,False,mixed,2,False,False,mixed,False,mixed,False,positive,True
bnsentmix_19902,19902,positive,2,True,True,False,False,positive,2,True,False,positive,True,neutral,False,positive,True
