model,id,gold,gold_numeric_values,bangla_correct,banglish_correct,english_correct,bangla_raw_full_numeric_signature,banglish_raw_full_numeric_signature,english_raw_full_numeric_signature,bangla_parsed_full_numeric_signature,banglish_parsed_full_numeric_signature,english_parsed_full_numeric_signature,alt_raw_signature_any,alt_raw_signature_both,alt_correct_any,banglish_retains_alt_raw_signature,banglish_drops_alt_raw_signature,banglish_correct_given_alt_raw_signature,banglish_wrong_without_raw_number_given_alt_raw_signature,banglish_meta_given_alt_raw_signature,banglish_raw_has_any_number,banglish_wrong_without_raw_number,banglish_meta_uncertainty,bangla_raw_numeric_values,banglish_raw_numeric_values,english_raw_numeric_values,banglish_raw_excerpt
Qwen2.5-7B 8-bit,banglamath_0228,২/৫,0.4,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,0.4,0.4;40;100,0.4,40% के साधारण ब्याज पर 100 বছরে প্রকাশ হয়।
Qwen2.5-7B 8-bit,banglamath_0229,1.5,1.5,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,1.5,3,1.5,3七年五个月
Qwen2.5-7B 8-bit,banglamath_0230,20%,0.2;20,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,0.2;20,5,0.2;20,5
Qwen2.5-7B 8-bit,banglamath_0231,২০ টাকা,20,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,20,48,20,48
Qwen2.5-7B 8-bit,banglamath_0232,২০০ টাকা,200,False,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,200,1430,200,1430
Qwen2.5-7B 8-bit,banglamath_0233,৭ দিন,7,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,14,35,7,35
Qwen2.5-7B 8-bit,banglamath_0234,৬ দিন,6,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,6,25,6.25,25
Qwen2.5-7B 8-bit,banglamath_0236,১২ টাকা,12,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,6,20,12,20
Qwen2.5-7B 8-bit,banglamath_0237,৬৪ টাকা,64,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12,3,32,3
Qwen2.5-7B 8-bit,banglamath_0518,১৫০ মিটার,150,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,50,200,150,200
Qwen2.5-7B 8-bit,banglamath_0519,৭৫০০ বর্গমিটার,2;7500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3750,200,7500,200
Qwen2.5-7B 8-bit,banglamath_0521,৭০ মিটার,70,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,70,2.5,50,2.5
Qwen2.5-7B 8-bit,banglamath_0522,১৭৬ বর্গমিটার,2;176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;1600,2,,2
Qwen2.5-7B 8-bit,banglamath_0526,৩০ বর্গ মিটার,2;30,True,False,True,True,False,True,True,False,True,True,True,True,False,True,False,False,False,True,False,False,2;30,30,2;30,30
Qwen2.5-7B 8-bit,banglamath_0531,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,5;507;700,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,12100,825,6070,825
Qwen2.5-7B 8-bit,banglamath_0532,১ মেট্রিক টন ৭৫০ কেজি,1;750,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.75,1.75,1.75,1.75
Qwen2.5-7B 8-bit,banglamath_0533,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়),666,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,600,20000,661.1575618941514,20000 metrik ton rod toiri hole doinik ki poriman rod toiri hoy
Qwen2.5-7B 8-bit,banglamath_0538,৩৮৪ বর্গ মিটার,2;384,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,480,10,128,10
Qwen2.5-7B 8-bit,banglamath_0539,১৪৭ বর্গমিটার,2;147,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,147,147,147,147
Qwen2.5-7B 8-bit,banglamath_0540,২১ মিটার,21,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,21,21,21,21
Qwen2.5-7B 8-bit,banglamath_0541,৪৪৪ বর্গমিটার,2;444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,420,40,246,40
Qwen2.5-7B 8-bit,banglamath_0542,৩৪০০ টাকা,3400,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2640,3,3800,3
Qwen2.5-7B 8-bit,banglamath_0549,৪৫০ বর্গমিটার,2;450,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,32.5,45,172.5,45
Qwen2.5-7B 8-bit,banglamath_0550,২২৫৬.২৫ বর্গমিটার,2;2256.25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;36100,3,612.5,3
Qwen2.5-7B 8-bit,banglamath_0552,৪৫০০ বর্গগজ,4500,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,13500,22500,4500,22500
Qwen2.5-7B 8-bit,banglamath_0553,১১২৫টি,1125,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,False,1125,2025,1125,2025
Qwen2.5-7B 8-bit,banglamath_0557,৯৩০ টাকা,930,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,7.75;120;930,38,106.25,38
Qwen2.5-7B 8-bit,banglamath_0558,২০ মিটার,20,False,False,False,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,False,False,20,20,20,20
Qwen2.5-7B 8-bit,banglamath_0559,১৬০০ বর্গমিটার,2;1600,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;6400,10,2;800,10
Qwen2.5-7B 8-bit,banglamath_1684,"১২, ১২, ৩ বছর",3;12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,13,20,5;19,20
Qwen2.5-7B 8-bit,banglamath_1685,দুইজনের বয়স সমান,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,jibonorer
Qwen2.5-7B 8-bit,banglamath_1686,প্রতেকে পাবে ৫/৬ আপেল।অর্থাৎ ১টি আপেলের অর্ধেক +১টি আপেলের ১/৩ ভাগ।,0.3333333333333333333333333333;0.8333333333333333333333333333;1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,3,0.3333333333333333333333333333;2,3
Qwen2.5-7B 8-bit,banglamath_1687,"কাঠালের ওজন ৩ কিলোগ্রাম , তরমুজের ওজন ৪ কিলোগ্রাম",3;4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3,30.5,3,30.5 kilograms
Qwen2.5-7B 8-bit,banglamath_1688,"বাবুর্চী কাটে ৭০ মিনিটে ২১০টি পেঁয়াজ, সহকারী কাটে ১৯০টি পেঁয়াজ ৯৫ মিনিটে",70;95;190;210,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,75;100;150;250,1750,50;75;125;275,1750
Qwen2.5-7B 8-bit,banglamath_1690,"সেন্টুর ছিল ১০টি, মিন্টুর ছিল ১৪টি খেলনা গাড়ি",10;14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4,4,3;4,4
Qwen2.5-7B 8-bit,banglamath_1691,প্রথমে ৩ লিটারের পাত্রে ৩ লিটার দুধ নিয়ে তা ৫ লিটারের পাত্রে ঢালতে হবে। এবারও একইভাবে আবারও ৩ লিটার দুধ নিয়ে ৫ লিটারের পাত্রে আছে আরো ঢালতে হবে যতক্ষণ না ৫ লিটারের পাত্রটি পূর্ণ হয়। পাত্রটি পূর্ণ হওয়ার পর যে অবশিষ্ট দুধ ৩ লিটারের পাত্রে থেকে যাবে তার পরিমাণ ১ লিটার।,1;3;5,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,1;2;3;7;10,1,1;2;3;5,shudhu ta diye kibhabe kretake 1 litar dudh deya sombhob.
Qwen2.5-7B 8-bit,banglamath_1692,"১জন পুরুষ, ৫ জন মহিলা এবং ১৪ জন শিশু",1;5;14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4;8,500,4;5;11,500
Qwen2.5-7B 8-bit,banglamath_1693,24,24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,20,28,60,28
Qwen2.5-7B 8-bit,banglamath_1694,১ মিনিট,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10,200,100,200
Qwen2.5-7B 8-bit,banglamath_1695,"নারিকেল গাছ 60টি, আম গাছ ৪৫টি, বট গাছ ৩৬টি, ফুলের গাছ ৩৯টি",36;39;45;60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,130,37;200,39;49;65;195,200 kototi royechhe ebong 37 mot gachh koyoti.
Qwen2.5-7B 8-bit,banglamath_1696,০.১৮ লিটার অথবা ১.৮ লিটার,0.18;1.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.925,200,200,200 liters
Qwen2.5-7B 8-bit,banglamath_1697,70,70,False,False,True,False,False,True,False,False,True,True,False,True,False,True,False,False,False,True,False,False,25,50,70,50
Qwen2.5-7B 8-bit,banglamath_1698,১৩ টা,13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,8,6,10,6
Qwen2.5-7B 8-bit,banglamath_1699,132,132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,36,193,36,193
Qwen2.5-7B 8-bit,banglamath_1703,৩৬টি,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,54,80,80,80
Qwen3-4B,banglamath_0181,সময় কমে যায়,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,{kajer poriman oporibortit thakle lok songkhya barale somoy ki hoy}
Qwen3-4B,banglamath_0182,৬০০ টাকা,600,False,False,False,True,False,True,True,False,True,True,True,False,False,True,False,True,True,False,True,True,1;7;15;40;280;600,,7;15;40;280;600,"The given text appears to be in a mix of Bengali and possibly a typo or miscommunication. It seems to be trying to express a calculation or comparison involving ""keji chaler"" (p..."
Qwen3-4B,banglamath_0183,৩০ দিন,30,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,15;25;50;750,15,15;25;30;50;750,15 din
Qwen3-4B,banglamath_0184,১২০০০ টাকা,12000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.05;450;9000,450;600;9000,0.05;1;2;450;600;9000,"9000 taka biniyoge protidin 450 taka labh hole 600 taka labh korte koto biniyog korte hobe? ধরা হয়, বিনিয়োগ করা হবে x টাকা। প্রতি টাকার লাভ = 450 টাকা প্রতি 9000 টাকা বিনিয়"
Qwen3-4B,banglamath_0185,২০০ কেজি,200,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,10;27;45;120,0.4444444444444444444444444444;1;10;12;27;45;120,1;4.444444444444444444444444444;10;27;45;120,"120 keji chale 10 jon loker 27 din chole → 10 jon loker 27 din chole 120 keji → 1 jon loker 27 din chole = 120 / 10 = 12 keji → 1 jon loker 1 din chole = 12 / 27 = 4/9 keji Now,..."
Qwen3-4B,banglamath_0186,২২ ১/২ দিন,0.5;22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1;2;15;20;30,1;2;15;20;30;40,1;2;15;20;30;450,"2 kuintal chale 15 jon chhatrer 30 din chole। Tumi 20 jon chhatrer koto din cholbe? Purbo kore, 2 kuintal chale 15 jon chhatrer 30 din chole, Teha 15 jon = 30 din Teha 1 jon = 3..."
Qwen3-4B,banglamath_0187,১৪০ জন,140,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,18;25;360;9000,18;25;360;9000,1;2;18;25;360;9000,"360 জন শ্রমিক 25 দিনে একটি বন্ধ তৈরি করে। 18 দিনে কাজ শেষ করতে কতজন শ্রমিক লাগবে? সুতরাং, মোট কাজ = 360 × 25 = 9000 শ্রম-দিন 18 দ"
Qwen3-4B,banglamath_0188,১৫ ঘণ্টা,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1;2;6;8;10;25;1200,6;8;25,1;2;6;8;10;25;1200,"We are given: - 25 men can complete a job in 6 hours (i.e., they work 6 ghonta porishrom kore). - The job is completed in 8 days (but this seems inconsistent with ""6 ghonta""). W..."
Qwen3-4B,banglamath_0189,৬ জন পুরুষ,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,2;3,0.3333333333333333333333333333;1;2;3;9,1;1.5;2;3;9,"Ekta kaj 2 jon purush othoba 3 jon balok somponn korte pare. Purush er kaj = 2 purush + 3 balok = 1 kaj Tehabe, 2 purush er kaj = 1 kaj 3 balok er kaj = 1 kaj Tehabe, 1 balok er..."
