route,id,gold,repair_strategy,banglish_parsed,generated_bn_parsed,generated_en_parsed,banglish_correct,generated_bn_correct,generated_en_correct,generated_view_oracle_correct,triad_oracle_correct,generated_agreement,generated_agreement_correct,baseline_wrong_generated_oracle,baseline_wrong_agreement_correct,baseline_correct_agreement_wrong,generated_disagreement,generated_disagreement_any_correct,route_action,routed_correct
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Physics-II_0088,A,raw_self_translate,D,D,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Physics-II_0131,B,raw_self_translate,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Physics-I_0106,D,raw_self_translate,D,D,C,True,True,False,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Physics-I_0109,C,raw_self_translate,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_8th-Math_0031,D,raw_self_translate,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_8th-Math_0085,C,raw_self_translate,D,C,,False,True,False,True,True,False,False,True,False,False,False,False,fallback_banglish,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_8th-Science_0024,C,raw_self_translate,D,B,B,False,False,False,False,False,True,False,False,False,False,False,False,fallback_generated_en_gate,False
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_8th-Science_0153,C,raw_self_translate,D,C,C,False,True,True,True,True,True,True,True,True,False,False,False,route_to_generated_agreement,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Biology_0057,C,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Biology_0143,C,translated_stem_source_tail,C,D,C,True,False,True,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Biology_0197,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Chemistry_0280,A,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Chemistry_0374,B,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Chemistry_0388,D,source_fallback_after_failed_repair,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Math-II_0367,C,source_fallback_after_failed_repair,C,C,C,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Math_0032,B,source_fallback_after_failed_repair,,,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Physics_0045,A,translated_stem_source_tail,A,A,D,True,True,False,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Physics_0055,D,source_fallback_after_failed_repair,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_10th-Physics_0296,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Biology-II_0119,C,source_fallback_after_failed_repair,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Biology-II_0179,A,translated_stem_source_tail,D,B,A,False,False,True,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Biology-II_0325,A,translated_stem_source_tail,C,A,D,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Biology-I_0039,C,translated_stem_source_tail,B,C,B,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Biology-I_0218,B,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Biology-I_0265,A,translated_stem_source_tail,D,C,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Chemistry-II_0054,A,source_fallback_after_failed_repair,C,C,C,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Chemistry-II_0240,B,source_fallback_after_failed_repair,C,C,C,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Chemistry-II_0305,D,source_fallback_after_failed_repair,D,C,D,True,False,True,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Chemistry-I_0140,D,source_fallback_after_failed_repair,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Chemistry-I_0190,B,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Chemistry-I_0303,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Math-II_0230,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Math-II_0234,A,source_fallback_after_failed_repair,,D,,False,False,False,False,False,False,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Math-I_0088,C,source_fallback_after_failed_repair,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Math-I_0120,D,source_fallback_after_failed_repair,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Math-I_0202,B,source_fallback_after_failed_repair,B,B,B,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Physics-II_0088,A,source_fallback_after_failed_repair,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Physics-II_0131,B,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Physics-I_0106,D,translated_stem_source_tail,D,D,C,True,True,False,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_12th-Physics-I_0109,C,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_8th-Math_0031,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen3 protected-v3 BNB + guarded EN,benqa_8th-Math_0085,C,translated_stem_source_tail,D,C,C,False,True,True,True,True,True,True,True,True,False,False,False,route_to_generated_agreement,True
Qwen3 protected-v3 BNB + guarded EN,benqa_8th-Science_0024,C,source_fallback_after_failed_repair,D,B,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen3 protected-v3 BNB + guarded EN,benqa_8th-Science_0153,C,translated_stem_source_tail,D,C,D,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Biology_0057,C,translated_stem_source_tail,D,C,D,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Biology_0143,C,translated_stem_source_tail,B,B,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Biology_0197,D,translated_stem_source_tail,A,B,A,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Chemistry_0280,A,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Chemistry_0374,B,translated_stem_source_tail,B,D,B,True,False,True,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Chemistry_0388,D,source_fallback_after_failed_repair,B,B,B,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Math-II_0367,C,source_fallback_after_failed_repair,B,B,B,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Math_0032,B,source_fallback_after_failed_repair,A,B,A,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Physics_0045,A,translated_stem_source_tail,B,B,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Physics_0055,D,source_fallback_after_failed_repair,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_10th-Physics_0296,D,translated_stem_source_tail,B,B,B,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Biology-II_0119,C,source_fallback_after_failed_repair,B,C,B,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Biology-II_0179,A,translated_stem_source_tail,B,D,A,False,False,True,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Biology-II_0325,A,translated_stem_source_tail,B,C,A,False,False,True,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Biology-I_0039,C,translated_stem_source_tail,B,B,B,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Biology-I_0218,B,translated_stem_source_tail,D,B,D,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Biology-I_0265,A,translated_stem_source_tail,D,D,D,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Chemistry-II_0054,A,source_fallback_after_failed_repair,A,D,A,True,False,True,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Chemistry-II_0240,B,source_fallback_after_failed_repair,B,A,B,True,False,True,True,True,False,False,False,False,False,True,True,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Chemistry-II_0305,D,source_fallback_after_failed_repair,A,B,A,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Chemistry-I_0140,D,source_fallback_after_failed_repair,A,B,A,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Chemistry-I_0190,B,translated_stem_source_tail,C,C,B,False,False,True,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Chemistry-I_0303,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Math-II_0230,D,translated_stem_source_tail,D,D,D,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Math-II_0234,A,source_fallback_after_failed_repair,A,A,A,True,True,True,True,True,True,True,False,False,False,False,False,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Math-I_0088,C,source_fallback_after_failed_repair,A,A,A,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Math-I_0120,D,source_fallback_after_failed_repair,B,B,B,False,False,False,False,False,True,False,False,False,False,False,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Math-I_0202,B,source_fallback_after_failed_repair,D,B,D,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Physics-II_0088,A,source_fallback_after_failed_repair,D,B,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Physics-II_0131,B,translated_stem_source_tail,B,A,D,True,False,False,False,True,False,False,False,False,False,True,False,fallback_banglish,True
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Physics-I_0106,D,translated_stem_source_tail,D,C,C,True,False,False,False,True,True,False,False,False,True,False,False,route_to_generated_agreement,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_12th-Physics-I_0109,C,translated_stem_source_tail,B,B,A,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_8th-Math_0031,D,translated_stem_source_tail,B,B,D,False,False,True,True,True,False,False,True,False,False,True,True,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_8th-Math_0085,C,translated_stem_source_tail,B,D,B,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_8th-Science_0024,C,source_fallback_after_failed_repair,D,B,D,False,False,False,False,False,False,False,False,False,False,True,False,fallback_banglish,False
Qwen2.5 protected-v3 phonetic + guarded EN,benqa_8th-Science_0153,C,translated_stem_source_tail,B,C,D,False,True,False,True,True,False,False,True,False,False,True,True,fallback_banglish,False
