id,dataset,domain,subject,grade,task_type,review_label,bangla_model_correct_count,banglish_model_correct_count,english_model_correct_count,alternate_best_correct_count,alternate_total_correct_count,banglish_minus_bangla_model_count,banglish_minus_english_model_count,banglish_minus_alternate_best,strong_alternate_low_banglish,zero_banglish_any_alternate,zero_banglish_strong_alternate,banglish_beats_alternate,banglish_ties_best_script,all_scripts_zero,all_three_banglish_correct,fragility_events,strict_fragility_events,banglish_preview
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,minor_edit,2,2,3,3,5,0,-1,-1,False,False,False,False,False,False,False,1,0,kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? A. charogun B. dwigun C. ordhek D. soman Answer with...
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,unreviewed,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,0,"konotir projonon ofoseter madhyome hoy? A. topapana B. pudina C. pinyaj D. peyara Answer with only A, B, C, or D."
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000}..."
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,unreviewed,0,0,3,3,3,0,-3,-3,True,True,True,False,False,False,False,3,0,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? A. iliyak B. pyarail C. siliyako-mesentarik D. saboklabhiya...
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,minor_edit,1,2,1,1,2,1,1,1,False,False,False,True,True,False,False,0,0,30^{\circ}C tapomatray ekti gyasoke sthirochape uttopt kore ayoton tinogun kora holo. gyasotir churant tapomatra koto? A. 90^{\...
banglamath_0541,banglamath,math,,seven,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti ayotokar baganer doirgho 50 mi o prostho 30 mi. er bhitore 3 mitar chowra rasta thakle rastar khetrofol koto Return only t...
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,major_edit,2,2,2,2,4,0,0,0,False,False,False,False,True,False,False,0,0,ekti ayotokar parker doirgho 40 mitar ebong prostho 30 mitar. parkotir baire charodike 2.5 mitar bistrit ekti rasta ache. rasta...
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,minor_edit,2,3,0,2,2,1,3,1,False,False,False,True,True,False,True,0,0,saikaser prodhan mul nosht hooyar fole- i. osthanik mul srishti hoy ii. Anabaena dwara akrant hoy iii. er akriti samudrik proba...
banglamath_0557,banglamath,math,,seven,short_answer,minor_edit,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,ekti baganer porisima 120 mitar hole charodike bera dite koto khoroch hobe jodi proti mitare khoroch 31/4 taka hoy Return only...
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,unreviewed,0,0,3,3,3,0,-3,-3,True,True,True,False,False,False,False,3,0,"gomer boigganik nam ki? A. Oryza sativa B. Triticum aestivum C. Zea mays D. Bambusa tulda Answer with only A, B, C, or D."
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,unreviewed,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,"f(x) = x^{2} - x fangshonotir kon bindute ongkit sporshok x-oksher somantoral? A. \left ( \frac{-1}{2}, \frac{-1}{4} \right ) B..."
banglamath_0236,banglamath,math,,six,short_answer,minor_edit,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,10ti bolopener dam 60 taka hole 2ti bolopener dam koto Return only the final answer.
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,2,1,0,2,2,-1,1,-1,True,False,False,False,False,False,False,1,0,"hritopinder olinder dayastoler somoyokal koto sekend? A. 0.7 B. 0.5 C. 0.3 D. 0.1 Answer with only A, B, C, or D."
banglamath_0189,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti kaj 2 jon purush othoba 3 jon balok somponn korte pare. 9 jon balok kotojon purusher soman kaj korte parbe Return only the...
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,unreviewed,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,"Hydra-r kon dhoroner cholonoke jonka cholon bole? A. glaidin B. somarosonting C. luping D. hanta Answer with only A, B, C, or D."
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,minor_edit,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,1,0,ekti niropeksh chhokka ekobar nikshep kora hole moulik songkhya asar sombhabona koto? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}...
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,unreviewed,1,0,1,1,2,-1,-1,-1,False,True,False,False,False,False,False,1,1,somoyer sapekshe ontokolon kore sorol chhondit goti-somponn bostur ontorok somikoron theke ki paoya jay? A. kompangk B. poryayo...
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,mohakorsh sutr byobohar kore je somost kaj kora sombhob- i. prakritik gyas uttolon ii. bibhinn khonij podarth uttolon iii. bhu-...
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A A + Cl_{2} \rightarrow B uddipoke A jougoti- i. songjojon bikriya dey ii. plas...
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,2,0,3,3,5,-2,-3,-3,True,True,True,False,False,False,False,3,2,bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? A....
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,unreviewed,1,1,3,3,4,0,-2,-2,True,False,False,False,False,False,False,2,0,"nicher kon udbhide salokosongshleshon har beshi? A. bot gachh B. kanthal C. peyara D. kochuripana Answer with only A, B, C, or D."
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,minor_edit,1,1,0,1,1,0,1,0,False,False,False,False,True,False,False,0,0,"M(3, 3), N(6, 6) ebong R(12, 3t) tinoti bindu. M o N bindu dwara songjogokari rekhar somikoron nicher konti? A. x - 3y - 12 = 0..."
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,1,"bhinegare koto shotangsh pani bidyoman? A. 6% B. 15% C. 70% D. 90% Answer with only A, B, C, or D."
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,unreviewed,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,1,"nicher kon dhape kromatidogulo merumukhi cholote shuru kore? A. profej B. metafej C. anafej D. telofej Answer with only A, B, C..."
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,unreviewed,1,0,1,1,2,-1,-1,-1,False,True,False,False,False,False,False,2,0,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter- A. somanupatik B. borger somanupatik C. bo...
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,apekshikotar totto onusare- i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}} ii. L = \frac{L_{0}}{\sqrt{1 - \frac{v^{2}}{c^{...
banglamath_1693,banglamath,math,,Eight,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,dui ongker ekti songkhyar tin bhager ek bhag o char bhager ek bhager jogfol 14. songkhyati koto? hisabti koro. Return only the...
banglamath_0227,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,dui bondhur bari theke skuler durotter onupat 2:3 ebong prothom bondhur durotto 5 kimi hole dwitiy bondhur durotto koto Return...
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,unreviewed,1,0,3,3,4,-1,-3,-3,True,True,True,False,False,False,False,3,1,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? A. porabrittakar B. odhibrittakar C. br...
banglamath_0532,banglamath,math,,seven,short_answer,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,16 ekor jomite 28 metrik ton dhan hole proti ekor jomite ki poriman dhan fole Return only the final answer.
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,motin tamak patay ek dhoroner mojaik rog dekhote pel. ullikhit roger bhairaser bongshogotiy bostute bondhon bidyoman- i. A = T...
banglamath_0184,banglamath,math,,six,short_answer,minor_edit,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,9000 taka biniyoge protidin 450 taka labh hole 600 taka labh korte koto biniyog korte hobe Return only the final answer.
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,minor_edit,1,0,2,2,3,-1,-2,-2,True,True,True,False,False,False,False,2,1,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya? A. a + b B. ab C. \frac{a}{b} D. \frac{b}{a} Answer with on...
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,minor_edit,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,skyandiyamer sorboshesh shoktistorer sothik ilekotron binyas konti? A. 3s^{2}3p^{6}3d^{5}4s^{1} B. 3s^{2}3p^{6}3d^{3}4s^{2} C....
banglamath_0542,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,rastabade baganer porisimay bera dite proti mitare 25 taka hisebe mot koto khoroch hobe jodi rastabade baganer doirgho 44 mi o...
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,unreviewed,1,2,2,2,3,1,0,0,False,False,False,False,True,False,False,1,0,drishyoman bornalir toronggodoirghyer bistriti- A. 2000 \AA theke 3000 \AA poryont B. 3000 \AA theke 4000 \AA poryont C. 4000 \...
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,1,2,0,1,1,1,2,1,False,False,False,True,True,False,False,0,0,benojiner karbon-karbon dwi-bondhon kon orobitaroler odhikromone srishti hoy? i. sp^{2} - sp^{2} ii. p - p iii. sp^{2} - sp^{3}...
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,minor_edit,3,3,0,3,3,0,3,0,False,False,False,False,True,False,True,0,0,animiya roger lokshon- i. ojon kome jaoya ii. khaoyay oniha iii. durbol laga nicher konti sothik? A. i o ii B. i o iii C. ii o...
banglamath_1688,banglamath,math,,Eight,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,kon ekti biyer onushthane ranna korte baburchi o tar sohokormi mot 400ti peyaj katen. baburchi proti minite ontot 3ti peyaj ebo...
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,minor_edit,1,1,0,1,1,0,1,0,False,False,False,False,True,False,False,0,0,"(3, -4) bindugami ebong x-oksher somantoral sorolorekhar somikoron konti? A. y - 3 = 0 B. y + 3 = 0 C. y - 4 = 0 D. y + 4 = 1 A..."
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,unreviewed,2,2,3,3,5,0,-1,-1,False,False,False,False,False,False,False,1,1,trofojoyet \rightarrow sigonet ring \rightarrow A \rightarrow saijont \rightarrow merojoyet A dhape nicher kon podarthoti toiri...
banglamath_0230,banglamath,math,,six,short_answer,minor_edit,3,0,3,3,6,-3,-3,-3,True,True,True,False,False,False,False,3,3,25 taka 125 takar shotkora koto Return only the final answer.
banglamath_1685,banglamath,math,,Eight,short_answer,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"2 bochhor por jiboner boyos hobe, 2 bochhor purbe jiboner boyos ja chhil tar dwigun. 3 bochhor por jiboner boyos jodi 3 bochhor..."
banglamath_1692,banglamath,math,,Eight,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"ekti jouth poribarer mot sodosy (purush, mohila o shishu) 20 jon. poribarer kortababur adesh 20 mon dhan poribarer sokol sodosy..."
benqa_8th-Science_0153,benqa,science,Science,8th,mcq,minor_edit,3,1,3,3,6,-2,-2,-2,True,False,False,False,False,False,False,2,2,pakostholir esiditi niramoye konti upojogi? A. kyalosiyam B. esitik esid C. ojoluminiyam haidroksaid D. amoniyam haidroksaid An...
banglamath_0228,banglamath,math,,six,short_answer,unreviewed,0,0,2,2,2,0,-2,-2,True,True,True,False,False,False,False,2,0,40% ke sadharon bhognangshe prokash korole ki hoy Return only the final answer.
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,12th,mcq,unreviewed,2,1,3,3,5,-1,-2,-2,True,False,False,False,False,False,False,2,1,"torker opor nam ki? A. ghorshon bol B. jorotar bhramok C. ghurnon bol D. kendromukhi bol Answer with only A, B, C, or D."
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,12th,mcq,unreviewed,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,myaleriya jibanur joun jonone sochol o lombakritir jaigoter nam ki? A. sporojoyet B. uosist C. uokinet D. jaigot Answer with on...
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,minor_edit,2,0,2,2,4,-2,-2,-2,True,True,True,False,False,False,False,2,2,"udbhid konti mati hote ney? A. naitrojen B. haidrojen C. oksijen D. karbon Answer with only A, B, C, or D."
benqa_8th-Math_0167,benqa,math,Math,8th,mcq,major_edit,1,0,3,3,4,-1,-3,-3,True,True,True,False,False,False,False,3,1,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto? A. 40 mitar B. 64 mitar C. 80 m..."
benqa_12th-Math-I_0218,benqa,math-i,Math-I,12th,mcq,minor_edit,2,2,2,2,4,0,0,0,False,False,False,False,True,False,False,1,1,jekono tribhuj ABC er khetre nicher konti sothik? A. c = acosB + bcosA B. b = csinA + asinC C. \Delta = \frac{1}{2} abcosC D. c...
benqa_12th-Math-I_0088,benqa,math-i,Math-I,12th,mcq,unreviewed,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,"x-er sapekshe ln ax er ontoroj- A. \frac{a}{x} B. \frac{x}{a} C. \frac{1}{x} D. \frac{1}{ax} Answer with only A, B, C, or D."
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,12th,mcq,unreviewed,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,0,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 somikoronoti ki nirdesh kore? A. britt B. porabritt C. upobritt D. odhibritt Answe...
banglamath_0550,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,rastasoh baganer porisima 190 mitar hole soman porisima bishisht borgakar mather khetrofol koto Return only the final answer.
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,0,1,1,1,1,1,0,0,False,False,False,False,True,False,False,0,0,"braket sirijer khetre n_{2} er man koto? A. 2 B. 3 C. 4 D. 5 Answer with only A, B, C, or D."
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,2,2,2,2,4,0,0,0,False,False,False,False,True,False,False,1,0,fotoner khetre- i. sthir bhor shuny ii. shokti h\upsilon iii. beg 3 \times 10^{8} ms^{-1} nicher konti sothik? A. i o ii B. i o...
benqa_10th-Biology_0197,benqa,biology,Biology,10th,mcq,minor_edit,1,1,0,1,1,0,1,0,False,False,False,False,True,False,False,1,0,"kosher sokol joibik kriya niyontron kore konti? A. niukloyas B. raibojom C. laisojom D. maitokondriya Answer with only A, B, C,..."
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,0,1,1,1,1,1,0,0,False,False,False,False,True,False,False,1,0,"enotropir ekok nicher konti? A. NK^{-1} B. JK^{-1} C. JK^{-1} mol^{-1} D. ekokohin rashi Answer with only A, B, C, or D."
banglamath_0533,banglamath,math,,seven,short_answer,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ek mase 20000 metrik ton rod toiri hole doinik ki poriman rod toiri hoy Return only the final answer.
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,12th,mcq,minor_edit,2,3,0,2,2,1,3,1,False,False,False,True,True,False,True,0,0,5 ekok durotbe A o B bindute kriyarot 9 ebong 5 ekok maner somantoral bolodboy- i. osodrish hole lobdhir man 4 ekok ii. sodrish...
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,12th,mcq,unreviewed,0,2,0,0,0,2,2,2,False,False,False,True,True,False,False,0,0,sthir ayotone 0^{\circ}C tapomatray kono gyaser chap dwigun korole er churant tapomatra hobe- A. 27^{\circ}C B. 273^{\circ}C C....
banglamath_0232,banglamath,math,,six,short_answer,minor_edit,0,0,1,1,1,0,-1,-1,False,True,False,False,False,False,False,1,0,ekti boi 15% komishone 170 takay bikroy korle prokrit mullo koto Return only the final answer.
banglamath_0182,banglamath,math,,six,short_answer,minor_edit,1,0,0,1,1,-1,0,-1,False,True,False,False,False,False,False,1,0,7 keji chaler dam 280 taka hole 15 keji chaler dam koto Return only the final answer.
benqa_10th-Physics_0198,benqa,physics,Physics,10th,mcq,unreviewed,1,0,2,2,3,-1,-2,-2,True,True,True,False,False,False,False,2,1,"nicher kon rashigulo bhektor rashi? A. druti, kaj o beg B. torit bibhob, soron o tworon C. druti, soron o beg D. bhorobeg, soro..."
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,12th,mcq,unreviewed,2,0,0,2,2,-2,0,-2,True,True,True,False,False,False,False,2,0,"otitis midiya' kon ongger rog? A. chokh B. nak C. kan D. gola Answer with only A, B, C, or D."
benqa_10th-Chemistry_0280,benqa,chemistry,Chemistry,10th,mcq,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"konti prothom byobohrit dhatu? A. Au B. Ag C. Sn D. Cu Answer with only A, B, C, or D."
benqa_12th-Biology-II_0128,benqa,biology-ii,Biology-II,12th,mcq,minor_edit,0,2,2,2,2,2,0,0,False,False,False,False,True,False,False,0,0,shbasokendr mostishker je ongshe thake- i. ponos ii. serebelam iii. medula obolonggata nicher konti sothik? A. i o ii B. i o ii...
benqa_8th-Math_0031,benqa,math,Math,8th,mcq,minor_edit,1,1,3,3,4,0,-2,-2,True,False,False,False,False,False,False,2,0,"ekti garir chakar poridhi 5.15 mitar hole, chakatir byas koto? A. 0.82 mitar B. 0.96 mitar C. 1.28 mitar D. 1.64 mitar Answer w..."
banglamath_1698,banglamath,math,,Eight,short_answer,unreviewed,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,daktar ek rogike sokal 6ta theke dupur 12ta poryont adh ghonta poropor 1ti tebolet khete bololen. rogir mot kototi tebolet proy...
benqa_12th-Chemistry-I_0328,benqa,chemistry-i,Chemistry-I,12th,mcq,unreviewed,3,1,2,3,5,-2,-1,-2,True,False,False,False,False,False,False,2,1,"Cl(17) kon bloker moul? A. s-blok B. p-blok C. d-blok D. f-blok Answer with only A, B, C, or D."
banglamath_1694,banglamath,math,,Eight,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,"ekti 500 mitar lomba trener goti 60 kilomitar hole ,ordhokilomitar lomba ekti setu pari dite trenotir kotokshon somoy lagbe? Re..."
benqa_12th-Physics-II_0046,benqa,physics-ii,Physics-II,12th,mcq,minor_edit,1,0,2,2,3,-1,-2,-2,True,True,True,False,False,False,False,2,1,ruddhotapiy poribortoner khetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropir poriborton shuny nicher kont...
benqa_12th-Math-I_0186,benqa,math-i,Math-I,12th,mcq,minor_edit,0,1,1,1,1,1,0,0,False,False,False,False,True,False,False,0,0,"(-2, 3) bindute kendr ebong y-okshoke sporsh kore erup britter somikoron konti? A. x^{2} + y^{2} + 4x - 6y + 9 = 0 B. x^{2} + y..."
banglamath_0553,banglamath,math,,seven,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,samantoriker mejhe pathor dwara dhakote kototi pathor lagbe jodi mejher khetrofol 4500 borgogoj o pathorer khetrofol 4 borgogoj...
benqa_8th-Science_0127,benqa,science,Science,8th,mcq,minor_edit,1,1,2,2,3,0,-1,-1,True,False,False,False,False,False,False,1,1,"kon groher sobocheye beshi upogroh ache? A. shoni B. brihospoti C. iurenas D. nepochun Answer with only A, B, C, or D."
banglamath_0226,banglamath,math,,six,short_answer,minor_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,550 takake 5:6 onupate bhag korle prothom ongsh koto hobe Return only the final answer.
benqa_8th-Math_0085,benqa,math,Math,8th,mcq,minor_edit,1,0,3,3,4,-1,-3,-3,True,True,True,False,False,False,False,3,1,"4 kromer myajik borger konakuni jogfol koto? A. 15 B. 16 C. 34 D. 65 Answer with only A, B, C, or D."
benqa_12th-Math-I_0310,benqa,math-i,Math-I,12th,mcq,minor_edit,3,3,3,3,6,0,0,0,False,False,False,False,True,False,True,0,0,\frac{d}{dx}(log_{10}x) er man konti? A. \frac{1}{x} B. \frac{1}{x}log_{10}e C. \frac{1}{x}log_{e}10 D. log_{10}e Answer with o...
benqa_8th-Science_0062,benqa,science,Science,8th,mcq,unreviewed,1,1,3,3,4,0,-2,-2,True,False,False,False,False,False,False,2,0,"nicher konotike mutr toiriri karokhana hisebe obhihit kora jay? A. fusofus B. twok C. jokrit D. britt Answer with only A, B, C,..."
benqa_8th-Science_0098,benqa,science,Science,8th,mcq,minor_edit,0,1,0,0,0,1,1,1,False,False,False,True,True,False,False,0,0,ishar basar bedorume duti tiubolait o ekti fyan pyaralale songjukt kora hoy. bedorumer bortonir sathe 10 ampiyar maner fiuj byo...
benqa_12th-Physics-I_0008,benqa,physics-i,Physics-I,12th,mcq,unreviewed,2,2,2,2,4,0,0,0,False,False,False,False,True,False,False,0,0,\vec{P} o \vec{Q} duti bhektor rashir modhyoborti kon 120^{\circ} hole tader lobdhir man- A. P + Q B. \sqrt{P^{2}+Q^{2}+PQ} C....
benqa_12th-Physics-I_0106,benqa,physics-i,Physics-I,12th,mcq,minor_edit,1,2,3,3,4,1,-1,-1,False,False,False,False,False,False,False,1,0,"nicher konti shuny doshar somotuly? A. \pi/2 B. \pi C. 3\pi/2 D. 2\pi Answer with only A, B, C, or D."
benqa_12th-Physics-II_0219,benqa,physics-ii,Physics-II,12th,mcq,unreviewed,1,1,1,1,2,0,0,0,False,False,False,False,True,False,False,0,0,"purn torongg rekotifayarer sorbochch kototi dayod proyojon? A. 1 B. 2 C. 3 D. 4 Answer with only A, B, C, or D."
benqa_10th-Biology_0143,benqa,biology,Biology,10th,mcq,unreviewed,1,2,0,1,1,1,2,1,False,False,False,True,True,False,False,0,0,akosmik kidoni okejo hote pare kon karone? A. dayabetis B. nefraitis C. maratmok dayoriya D. uchch roktochap Answer with only A...
benqa_12th-Chemistry-II_0067,benqa,chemistry-ii,Chemistry-II,12th,mcq,minor_edit,1,0,1,1,2,-1,-1,-1,False,True,False,False,False,False,False,1,1,32g O_{2} er orth holo- i. 1 mole O_{2} ii. proman obosthay 24.8L ayoton iii. adogedror songkhyar soman onu nicher konti sothik...
benqa_12th-Chemistry-I_0037,benqa,chemistry-i,Chemistry-I,12th,mcq,minor_edit,2,0,2,2,4,-2,-2,-2,True,True,True,False,False,False,False,3,1,"dhatur golonangk briddhi pay, jokhon- i. dhatob kelase mukt ilekotron beshi thake ii. ayonikoron bibhob hras pay iii. poromanur..."
banglamath_0519,banglamath,math,,seven,short_answer,major_edit,0,0,0,0,0,0,0,0,False,False,False,False,True,True,False,0,0,ekti ayotokar baganer doirgho 150 mitar o prostho 50 mitar hole khetrofol koto Return only the final answer.
