queue_index,id,decision,reviewed_banglish,notes,subject,answer,quality_status,warnings
15,benqa_ext_10th-Biology_0024,,"amishe shotokora kot bhag naitrojen thake?
A. 14
B. 15
C. 16
D. 17
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
16,benqa_ext_10th-Biology_0031,,"ekoti kromojomer doirghy sadharonot kot?
A. 3.5 theke 30.0 maikron
B. 3.5 theke 35.0 maikron
C. 4.5 theke 30.0 maikron
D. 55 theke 30.0 maikron
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
17,benqa_ext_10th-Biology_0061,,"khaddo piramider upor theke 2y store kon khaddo royechhe?
A. dim o machh
B. kumora o am
C. mangs o tel
D. bhat o ruti
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
18,benqa_ext_10th-Biology_0068,,"rotoner boyos 39 bochhor. tar ojon 69 keji ebong uchchota 170 se.mi.. rotoner BMR kot kyalori?
A. 1596
B. 1915
C. 2195
D. 2474
Answer with only A, B, C, or D.",,Biology,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
19,benqa_ext_10th-Biology_0135,,"5ATP \rightarrow 5ADP + 5Pi + shokti uddipoke utoponn shoktir porimap kot kilokyalori?
A. 7.3
B. 21.6
C. 80.6
D. 36.5
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
20,benqa_ext_10th-Biology_0141,,"liukemiya roge konoti hoy?
A. lohit roktokonika bere jay
B. shbet roktokonika kome jay
C. osthimojja kyansare akrant hoy
D. tboke chhot kal dag deya dey
Answer with only A, B, C, or D.",,Biology,C,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+
21,benqa_ext_10th-Biology_0201,,"panite CO_{2} er poriman kot?
A. 0.40%
B. 0.30%
C. 0.04%
D. 0.03%
Answer with only A, B, C, or D.",,Biology,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
22,benqa_ext_10th-Biology_0214,,"shbosoner jony uttom tapomatra konoti?
A. 20\degree se. - 30\degree se.
B. 20\degree se. - 35\degree se.
C. 20\degree se. - 40\degree se.
D. 20\degree se. - 45\degree se.
Answer with only A, B, C, or D.",,Biology,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
23,benqa_ext_12th-Biology-I_0021,,"C_4 chokrer prothom sthayi joug konoti?
A. 3-fosofoglisarik esid
B. oksaloesitik esid
C. pairubhik esid
D. myalik esid
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
24,benqa_ext_12th-Biology-I_0169,,"Cycas er shukranur kshetre projojy konoti?
A. brihot o flyajelobihin
B. kshudr o flyajelajukt
C. brihot o bohuflyajelajukt
D. brihot o 1ti flyajela
Answer with only A, B, C, or D.",,Biology-I,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
25,benqa_ext_12th-Biology-I_0189,,"glaikolaisis prokriyay 1 onu glukoj theke kot onu pairubhik esid toiri hoy?
A. 2
B. 3
C. 4
D. 5
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
26,benqa_ext_12th-Biology-I_0192,,"krebos chokrer madhyome 1 onu asitail ko-e hote mot kot onu ATP utoponn hoy?
A. 8
B. 12
C. 24
D. 30
Answer with only A, B, C, or D.",,Biology-I,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
27,benqa_ext_12th-Biology-I_0211,,"mayosis profej-1 er sothik krom poryay konoti?
A. jaigotin \rightarrow diplotin \rightarrow pyakaitin \rightarrow dayakainesis
B. leptotin \rightarrow pyakaitin \rightarrow diplotin \rightarrow jaigotin
C. jaigotin \rightarrow leptotin \rightarrow pyakaitin \rightarrow diplotin
D. leptotin \rightarrow jaigotin \rightarrow pyakaitin \rightarrow diplotin
Answer with only A, B, C, or D.",,Biology-I,D,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
28,benqa_ext_12th-Biology-I_0264,,"mi. 'k' byoboharik klase ekoti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom achhe. nomunati-
A. ekobijopotri mul
B. ekobijopotri kand
C. dwibijopotri mul
D. dwibijopotri kand
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
29,benqa_ext_12th-Biology-I_0290,,"salokosongshleshon prokriyay alok niropeksh odhyayer duti gotipoth royechhe. tader ekotite 3-fosofoglisarik asid o onyotite oksalo asitik asid utoponn hoy. dwitiy gotipoth onusoronokari udbhider kshetre- i. dui dhoroner kloroplast ii. kryanj anatomi dekha jay iii. beshi ghonotber CO_2 proyojon nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii, o iii
Answer with only A, B, C, or D.",,Biology-I,A,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
30,benqa_ext_12th-Biology-II_0199,,"duti kalo ginipiger modhye kros ghotanor fole sada o kalo ubhoy dhoroneroi opoty jonm nil. uddipoker aloke kalo o sada opotyer onupat kot?
A. 1 : 1
B. 2 : 1
C. 3 : 1
D. 1 : 2
Answer with only A, B, C, or D.",,Biology-II,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
31,benqa_ext_12th-Biology-II_0245,,"joib prochchhonn epistyatis er onupat konoti?
A. 3:1
B. 13:3
C. 9:7
D. 2:1
Answer with only A, B, C, or D.",,Biology-II,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
32,benqa_ext_10th-Chemistry_0112,,"myagonesiyam fosofeter songket konoti?
A. Mg(PO_{4})_{2}
B. Mg_{2}(PO_{4})_{2}
C. Mg_{2}(PO_{4})
D. Mg_{3}(PO_{4})_{2}
Answer with only A, B, C, or D.",,Chemistry,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
33,benqa_ext_10th-Chemistry_0137,,"nicher konotir ilekotron binyas odhikotor susthit?
A. (n - 1)d^{10}ns^{1}
B. (n - 1)d^{8}ns^{2}
C. (n - 1)d^{7}ns^{2}
D. (n - 1)d^{4}ns^{2}
Answer with only A, B, C, or D.",,Chemistry,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
34,benqa_ext_10th-Chemistry_0152,,"CH_{2} = CH - CH_{3} + Br_{2} \rightarrow Y ekhane Y jougotir nam-
A. 1, 2-daibromo propen
B. propail bromaid
C. propin bromaid
D. 2, 3-daibromo propen
Answer with only A, B, C, or D.",,Chemistry,A,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
35,benqa_ext_10th-Chemistry_0154,,"ilekotriner apekshik bhor kot?
A. 9.11 \times 10^{-28}g
B. 1.673 \times 10^{-28}g
C. 1.675 \times 10^{-28}g
D. 0
Answer with only A, B, C, or D.",,Chemistry,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
36,benqa_ext_10th-Chemistry_0176,,"panite odroboniy joug konoti?
A. NaCl
B. MgCl_{2}
C. AlCl_{2}
D. CCl_{4}
Answer with only A, B, C, or D.",,Chemistry,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
37,benqa_ext_10th-Chemistry_0185,,"CH_{3}CH_{2}OH \xrightarrow{[O]} X \xrightarrow{[O]} Y X o Y er kshetre- i. X alodihaid, Y joib esid ii. X er 40% joliy drobon foromalin name porichit iii. Y er 4-10% joliy drobon bhinegar name porichit nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Chemistry,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
38,benqa_ext_10th-Chemistry_0218,,"2y poryayer sorboshesh moul konoti?
A. He
B. Ne
C. Ar
D. Kr
Answer with only A, B, C, or D.",,Chemistry,B,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
39,benqa_ext_10th-Chemistry_0238,,"tiumarer uposthiti nirnoye konoti byobohrit hoy?
A. ^{32}P
B. ^{131}I
C. ^{60}Co
D. ^{99}Tc
Answer with only A, B, C, or D.",,Chemistry,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
40,benqa_ext_10th-Chemistry_0250,,"nicher konoti plangk dhrubok (m^{2}Kg/s) er man?
A. 3.16 \times 10^{-23}
B. 1.66 \times 10^{-24}
C. 9.11 \times 10^{-31}
D. 6.62 \times 10^{-34}
Answer with only A, B, C, or D.",,Chemistry,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
41,benqa_ext_10th-Chemistry_0259,,"nicher kon jougoti bromin droboner lal bornoke bornohin korote pare?
A. C_{3}H_{8}
B. C_{3}H_{6}
C. C_{2}H_{6}O
D. C_{3}H_{8}O
Answer with only A, B, C, or D.",,Chemistry,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
42,benqa_ext_10th-Chemistry_0263,,"CH_{3} - C \equiv CH \xrightarrow{Br_{2}} 'M' \xrightarrow{Br_{2}} 'N' 'N' jougotir nam ki?
A. 1, 1-daibromo propen
B. 2, 2-daibromo propen
C. 1, 1, 2, 2-tettabromo propen
D. 1, 2-daibromo propin
Answer with only A, B, C, or D.",,Chemistry,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
43,benqa_ext_10th-Chemistry_0274,,"2FeCl_{2} + Cl_{2} = 2FeCl_{3} bikriyatite- i. Fe^{2+} bijarok ii. Cl_{2} jarok iii. Fe^{2+} er jaron ghote nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Chemistry,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
44,benqa_ext_10th-Chemistry_0355,,"desimolar drobon bolote kot molar drobonoke bujhay?
A. 0.01 M
B. 0.05M
C. 0.01M
D. 0.5M
Answer with only A, B, C, or D.",,Chemistry,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
45,benqa_ext_10th-Chemistry_0382,,"poryay saronir grup-18 te kototi moul achhe?
A. 4
B. 5
C. 6
D. 7
Answer with only A, B, C, or D.",,Chemistry,D,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
46,benqa_ext_12th-Chemistry-I_0046,,"Mg(OH)_{2} ebong Al(OH)_{3} er modhye- i. Al(OH)_{3} odhik somojoji ii. Mg(OH)_{2} er golonangk beshi iii. Mg(OH)_{2} opeksha Al(OH)_{3} durbol ksharok nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Chemistry-I,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
47,benqa_ext_12th-Chemistry-I_0063,,"sbabhabik obosthay haidrojen poromanur abortonoshil ilekotroner kounik bhorobeg kot?
A. 1.05\times 10^{-34}Js
B. 2.11\times 10^{-34}Js
C. 3.16\times 10^{-34}Js
D. 4.22\times 10^{-34}Js
Answer with only A, B, C, or D.",,Chemistry-I,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
48,benqa_ext_12th-Chemistry-I_0065,,"garh loboner drobone khadyodroby dubiye songrokshon korake ki bola hoy?
A. kiling
B. kiuring
C. smoking
D. kyaning
Answer with only A, B, C, or D.",,Chemistry-I,B,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\bkhady[a-z]+
49,benqa_ext_12th-Chemistry-I_0163,,"50 mL 0.18 M CH_{3}COOH drobone 60 mL 0.10M NaOH drobon jog kora hol. pKa = 4.76 uddipoker droboner samany poriman H_{2}SO_{4} jog korole ki ghotobe?
A. pH barobe
B. pH sthir thakobe
C. H_{+} er ghonomatra barobe
D. OH^{-} ayoner ghonomatra komobe
Answer with only A, B, C, or D.",,Chemistry-I,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
50,benqa_ext_12th-Chemistry-I_0178,,"450^{\circ}C tapomatray HI 35% biyojit hole K_{p} er man kot?
A. 0.8250 atm
B. 0.7250 atm
C. 0.0825 atm
D. 0.0725 atm
Answer with only A, B, C, or D.",,Chemistry-I,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
51,benqa_ext_12th-Chemistry-I_0267,,"25^{\circ} se. tapomatray 150 gram somprikt drobone 50 gram droby drobibhut thakole oi drober drabyota kot?
A. 100
B. 75
C. 50
D. 25
Answer with only A, B, C, or D.",,Chemistry-I,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
52,benqa_ext_12th-Chemistry-I_0346,,"bamar sirijer 2y lainer kshetre n-er man kot?
A. 2
B. 3
C. 4
D. 5
Answer with only A, B, C, or D.",,Chemistry-I,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
53,benqa_ext_12th-Chemistry-II_0003,,"alok sokriy alokohol konoti?
A. 2-mithailobiutan-1-ol
B. 2-mithailobiutan-2-ol
C. 2-mithailopentan-3-ol
D. 2-mithailopentan-2-ol
Answer with only A, B, C, or D.",,Chemistry-II,A,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
54,benqa_ext_12th-Chemistry-II_0017,,"AgNO_{3} drobone 0.1F torit chalona korole kyathode kot gram silobhar joma hobe?
A. 108
B. 10.8
C. 1.08
D. 0.108
Answer with only A, B, C, or D.",,Chemistry-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
55,benqa_ext_12th-Chemistry-II_0022,,"konoti praimari styandard podarth?
A. H_{2}SO_{4}
B. HCl
C. KMnO_{4}
D. K_{2}Cr_{2}O_{7}
Answer with only A, B, C, or D.",,Chemistry-II,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
56,benqa_ext_12th-Chemistry-II_0037,,"CuSO_{4} drobone 7.5 amp bidyut 50 min dhore chalona korole kyathode utoponn Cu er poriman gram ekoke kot?
A. 0.2463
B. 3.7
C. 7.4
D. 14.8
Answer with only A, B, C, or D.",,Chemistry-II,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
57,benqa_ext_12th-Chemistry-II_0056,,"FeCl_{3} hote 55.85g Fe joma korote ki poriman bidyut lagobe?
A. 5F
B. 3F
C. 2F
D. 1F
Answer with only A, B, C, or D.",,Chemistry-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
58,benqa_ext_12th-Chemistry-II_0125,,"25\degree C tapomatray 14g N_{2} gyaser gotishokti kot hobe?
A. 1.8588 J
B. 18.588 J
C. 185.88 J
D. 1858.8 J
Answer with only A, B, C, or D.",,Chemistry-II,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
59,benqa_ext_12th-Chemistry-II_0148,,"glisaralodihaide kairal karbon koyoti?
A. 1ti
B. 2ti
C. 3ti
D. 4ti
Answer with only A, B, C, or D.",,Chemistry-II,A,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
60,benqa_ext_12th-Chemistry-II_0176,,"kon jougoti totomarita prodorshon kore?
A. biut-2-in
B. daiithail ithar
C. propanon
D. ithanyal
Answer with only A, B, C, or D.",,Chemistry-II,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
61,benqa_ext_12th-Chemistry-II_0258,,"konoti sothik?
A. C.G.S ekoke 'R' er man 8.316 \times 10^{7} Cal K^{-1} mol^{-1}
B. SI ekoke 'R' er man 0.0821 L-atm K^{-1} mol^{-1}
C. L-atm ekoke 'R' er man 8.314J K^{-1} mol^{-1}
D. P \propto T; ge-lusyaker sutr
Answer with only A, B, C, or D.",,Chemistry-II,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
62,benqa_ext_12th-Chemistry-II_0291,,"1% \left ( \frac{2}{V} \right ) NaOH droboner ghonomatra hochchhe- i. 0.25M ii. 1.0M iii. 10,000 ppm nicher konoti sothik?
A. i
B. i o iii
C. ii o iii
D. i o ii
Answer with only A, B, C, or D.",,Chemistry-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
63,benqa_ext_12th-Chemistry-II_0317,,"RCONH_{2} jougotir C - N, e \sigma-sigma-bondhon kon kon orobitaler odhikromoner fole srishti?
A. sp^3 - sp^3
B. sp^2 - sp^3
C. sp - sp^3
D. sp^2 - sp
Answer with only A, B, C, or D.",,Chemistry-II,B,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
64,benqa_ext_12th-Chemistry-II_0357,,"grigonard bikarok theke konogulo songshleshon kora jay? i. CH_{3} - CH_{2} - OH ii. CH_{2} - NO_{2} iii. CH_{3} - CH_{2} - COOH nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Chemistry-II,C,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
65,benqa_ext_12th-Chemistry-II_0361,,"CH_{4}H_{10}O diye gothit sokol somanuker modhye konoti alok somanuta prodorshon korobe?
A. praimari biutanol
B. sekendari biutanol
C. tarososhiyari biutanol
D. biutanyal
Answer with only A, B, C, or D.",,Chemistry-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
66,benqa_ext_12th-Chemistry-II_0362,,"sekendari nirdeshok toritodbar holo- i. Pt, H_{2}(1 atm)/H^{+} (1M ii. Ag(s), AgCl(s)/HCl(aq) iii. Hg(l), Hg_{2}Cl_{2}(s)/KCl(aq) nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Chemistry-II,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
67,benqa_ext_12th-Chemistry-II_0384,,"27\degree C tapomatray 22 g CO_{2} er gotishokti kot jul?
A. 1870.65
B. 168.36
C. 82.3
D. 18.47
Answer with only A, B, C, or D.",,Chemistry-II,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
68,benqa_ext_12th-Chemistry-II_0387,,"A + O_{3} \xrightarrow{CCl_{4}} Q \xrightarrow[\Delta]{Zn, H_{2}O} X + Y X-jougoti tin karbonobishisht ebong Y-jougoti ek karbonobishisht. uddipoker kshetre- i. ubhoy utopad (X o Y) ke 1\degree alokohol theke prostut kora jay ii. ubhoy utopadoi karbonil joug iii. X-tolen bikaroker sathe bikriya dey na nicher konoti sothik?
A. i o ii
B. ii o iii
C. i o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Chemistry-II,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
69,benqa_ext_10th-Math_0025,,"f(y) = y^{2} - \left ( a + \frac{1}{a} \right )y + 1 hole y er kon maner jony hobe?
A. 0, a
B. 0, \frac{1}{a}
C. a, -\frac{1}{a}
D. a, \frac{1}{a}
Answer with only A, B, C, or D.",,Math,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
70,benqa_ext_10th-Math_0035,,"sec^{2}\theta + tan^{2}\theta = 3 hole cosec\theta er man kot? (jekhane, \theta sukshmokon)
A. \frac{2}{\sqrt{3}}
B. \sqrt{3}
C. 1
D. \frac{1}{\sqrt{2}}
Answer with only A, B, C, or D.",,Math,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
71,benqa_ext_10th-Math_0136,,"(x + y)^{2} = \sqrt[3]{27} ebong xy = 0 hole- and xy = 0, then- i. x^{2} + y^{2} = 3 ii. x - y = \sqrt{3} iii. x^{3} + y^{3} = 3\sqrt{3} nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Math,D,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
72,benqa_ext_10th-Math_0160,,"ekoti beloner uchchota 8se.mi ebong bhumir byas 12 se.mi. belonotir bokroprishther kshetrofol kot borg si.mi.?
A. 37.7
B. 50.27
C. 301.59
D. 603.19
Answer with only A, B, C, or D.",,Math,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
73,benqa_ext_10th-Math_0161,,"ekoti beloner uchchota 8se.mi ebong bhumir byas 12 se.mi. belonotir ayoton kot ghon se.mi.?
A. 3619.12
B. 904.78
C. 301.59
D. 150.8
Answer with only A, B, C, or D.",,Math,B,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
74,benqa_ext_10th-Math_0189,,"x^{2} - 2x - 4 rashir utopadok konoti?
A. (x - 4)
B. (x - 2)
C. (x + 2)
D. (x + 4)
Answer with only A, B, C, or D.",,Math,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
75,benqa_ext_10th-Math_0259,,"tan (2A - 45\degree) = 1 = 3sinB A er man kot?
A. 30\degree
B. 45\degree
C. 60\degree
D. 90\degree
Answer with only A, B, C, or D.",,Math,B,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
76,benqa_ext_10th-Math_0302,,"ekoti ganitik somosyar somadhan korote 7 jon shikshorthir nimne ullikhit somoy(minit) lage- 2,3,5,7,7,10,15 i. songkhyagulor ganitik gor 7 ii.songkhyagulor modhyok hol 5m pod iii. songkhyagulor prochurok 7 nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Math,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
77,benqa_ext_10th-Math_0310,,"a + b = 3 ebong ab = 2 (a - b)^{3} = kot?
A. 1
B. 5
C. 9
D. 17
Answer with only A, B, C, or D.",,Math,A,ai_assisted_review_warn_v1,bangla_english_digit_mismatch
78,benqa_ext_10th-Math_0351,,"ekoti rombos anka jabe jodi deya thake- i. 1ti bahur doirghy ii. 1ti bahu o 1ti korner doirghy iii. 1ti bahu o ‍1ti kon nicher konoti sothik?
A. i o ii
B. i o iii
C. ii o iii
D. i, ii o iii
Answer with only A, B, C, or D.",,Math,C,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch
