id,dataset,domain,subject,task_type,review_label,banglish_chars,banglish_words,has_digits,has_formula_or_operator,has_latex_markers,has_science_symbol,in_all,in_has_digits,in_no_digits,in_short_half,in_no_formula_operator,in_no_digits_no_formula,in_benqa_no_digits,in_benqa_no_digits_no_formula,in_benqa_short_no_digits
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,mcq,minor_edit,213,31,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0541,banglamath,math,,short_answer,major_edit,143,25,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_8th-Math_0190,benqa,math,Math,mcq,major_edit,249,42,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,mcq,minor_edit,240,51,False,True,False,False,True,False,True,False,False,False,True,False,False
banglamath_0557,banglamath,math,,short_answer,minor_edit,144,24,True,True,False,False,True,True,False,False,False,False,False,False,False
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,mcq,unreviewed,121,24,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Math-I_0342,benqa,math-i,Math-I,mcq,unreviewed,294,48,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0236,banglamath,math,,short_answer,minor_edit,84,15,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,mcq,minor_edit,113,22,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0189,banglamath,math,,short_answer,minor_edit,141,26,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,mcq,unreviewed,128,23,False,True,False,False,True,False,True,True,False,False,True,False,True
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,mcq,minor_edit,177,28,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,mcq,unreviewed,179,30,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,mcq,minor_edit,263,51,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,mcq,minor_edit,281,57,True,True,True,True,True,True,False,False,False,False,False,False,False
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,204,43,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_10th-Biology_0339,benqa,biology,Biology,mcq,unreviewed,129,23,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,mcq,minor_edit,215,59,True,True,False,False,True,True,False,False,False,False,False,False,False
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,98,21,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,mcq,unreviewed,134,24,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Physics_0084,benqa,physics,Physics,mcq,unreviewed,203,30,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,mcq,minor_edit,287,49,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_1693,banglamath,math,,short_answer,major_edit,140,24,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0227,banglamath,math,,short_answer,minor_edit,149,24,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,mcq,unreviewed,183,27,False,False,False,False,True,False,True,False,True,True,True,True,False
banglamath_0532,banglamath,math,,short_answer,unreviewed,107,20,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Biology_0277,benqa,biology,Biology,mcq,minor_edit,248,56,False,True,False,False,True,False,True,False,False,False,True,False,False
banglamath_0184,banglamath,math,,short_answer,minor_edit,120,21,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Math_0324,benqa,math,Math,mcq,minor_edit,144,30,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,mcq,minor_edit,211,23,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0542,banglamath,math,,short_answer,minor_edit,174,30,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,mcq,unreviewed,220,40,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,214,43,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_8th-Science_0014,benqa,science,Science,mcq,minor_edit,177,41,False,True,False,False,True,False,True,False,False,False,True,False,False
banglamath_1688,banglamath,math,,short_answer,major_edit,351,57,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Math-I_0120,benqa,math-i,Math-I,mcq,minor_edit,157,41,True,True,False,False,True,True,False,False,False,False,False,False,False
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,mcq,unreviewed,220,33,False,True,True,False,True,False,True,False,False,False,True,False,False
banglamath_0230,banglamath,math,,short_answer,minor_edit,61,11,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_1685,banglamath,math,,short_answer,unreviewed,232,40,True,False,False,False,True,True,False,False,True,False,False,False,False
banglamath_1692,banglamath,math,,short_answer,minor_edit,403,64,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_8th-Science_0153,benqa,science,Science,mcq,minor_edit,156,24,False,False,False,False,True,False,True,False,True,True,True,True,False
banglamath_0228,banglamath,math,,short_answer,unreviewed,79,13,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,mcq,unreviewed,120,24,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,mcq,unreviewed,144,26,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,mcq,minor_edit,106,21,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_8th-Math_0167,benqa,math,Math,mcq,major_edit,175,34,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Math-I_0218,benqa,math-i,Math-I,mcq,minor_edit,198,41,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Math-I_0088,benqa,math-i,Math-I,mcq,unreviewed,124,22,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,mcq,unreviewed,153,33,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0550,banglamath,math,,short_answer,minor_edit,125,18,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,92,23,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,mcq,minor_edit,190,43,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Biology_0197,benqa,biology,Biology,mcq,minor_edit,133,23,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,mcq,minor_edit,120,22,True,True,True,False,True,True,False,True,False,False,False,False,False
banglamath_0533,banglamath,math,,short_answer,unreviewed,101,19,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,mcq,minor_edit,327,69,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,mcq,unreviewed,188,29,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0232,banglamath,math,,short_answer,minor_edit,94,16,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0182,banglamath,math,,short_answer,minor_edit,85,17,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Physics_0198,benqa,physics,Physics,mcq,unreviewed,167,34,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,mcq,unreviewed,93,21,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Chemistry_0280,benqa,chemistry,Chemistry,mcq,minor_edit,86,20,False,False,False,True,True,False,True,True,True,True,True,True,True
benqa_12th-Biology-II_0128,benqa,biology-ii,Biology-II,mcq,minor_edit,188,40,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_8th-Math_0031,benqa,math,Math,mcq,minor_edit,150,30,True,False,False,False,True,True,False,False,True,False,False,False,False
banglamath_1698,banglamath,math,,short_answer,unreviewed,162,26,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Chemistry-I_0328,benqa,chemistry-i,Chemistry-I,mcq,unreviewed,95,20,True,True,False,False,True,True,False,True,False,False,False,False,False
banglamath_1694,banglamath,math,,short_answer,minor_edit,154,24,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Physics-II_0046,benqa,physics-ii,Physics-II,mcq,minor_edit,216,43,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_12th-Math-I_0186,benqa,math-i,Math-I,mcq,minor_edit,251,68,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0553,banglamath,math,,short_answer,minor_edit,161,24,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_8th-Science_0127,benqa,science,Science,mcq,minor_edit,118,22,False,False,False,False,True,False,True,True,True,True,True,True,True
banglamath_0226,banglamath,math,,short_answer,minor_edit,87,15,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_8th-Math_0085,benqa,math,Math,mcq,minor_edit,100,23,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Math-I_0310,benqa,math-i,Math-I,mcq,minor_edit,145,20,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_8th-Science_0062,benqa,science,Science,mcq,unreviewed,133,25,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_8th-Science_0098,benqa,science,Science,mcq,minor_edit,275,48,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Physics-I_0008,benqa,physics-i,Physics-I,mcq,unreviewed,189,33,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Physics-I_0106,benqa,physics-i,Physics-I,mcq,minor_edit,101,21,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Physics-II_0219,benqa,physics-ii,Physics-II,mcq,unreviewed,111,23,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Biology_0143,benqa,biology,Biology,mcq,unreviewed,140,25,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Chemistry-II_0067,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,201,45,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Chemistry-I_0037,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,244,50,False,True,False,False,True,False,True,False,False,False,True,False,False
banglamath_0519,banglamath,math,,short_answer,major_edit,108,18,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0540,banglamath,math,,short_answer,major_edit,123,18,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0237,banglamath,math,,short_answer,minor_edit,80,16,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Math-II_0347,benqa,math-ii,Math-II,mcq,minor_edit,160,27,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Math-II_0214,benqa,math-ii,Math-II,mcq,unreviewed,171,28,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0181,banglamath,math,,short_answer,minor_edit,95,15,False,False,False,False,True,False,True,True,True,True,False,False,False
banglamath_0183,banglamath,math,,short_answer,minor_edit,118,21,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Biology_0215,benqa,biology,Biology,mcq,minor_edit,285,50,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Chemistry_0336,benqa,chemistry,Chemistry,mcq,minor_edit,271,54,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0185,banglamath,math,,short_answer,minor_edit,115,22,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_1690,banglamath,math,,short_answer,unreviewed,341,59,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_10th-Chemistry_0041,benqa,chemistry,Chemistry,mcq,minor_edit,208,33,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_1687,banglamath,math,,short_answer,minor_edit,247,40,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_10th-Physics_0021,benqa,physics,Physics,mcq,minor_edit,91,19,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Math_0032,benqa,math,Math,mcq,minor_edit,93,24,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Math-I_0326,benqa,math-i,Math-I,mcq,unreviewed,108,25,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Biology-I_0283,benqa,biology-i,Biology-I,mcq,minor_edit,237,53,False,True,False,False,True,False,True,False,False,False,True,False,False
benqa_10th-Physics_0055,benqa,physics,Physics,mcq,minor_edit,160,29,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_12th-Chemistry-I_0028,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,85,21,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Chemistry_0374,benqa,chemistry,Chemistry,mcq,unreviewed,112,21,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Biology_0156,benqa,biology,Biology,mcq,minor_edit,100,22,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Math-I_0383,benqa,math-i,Math-I,mcq,minor_edit,139,22,True,True,True,False,True,True,False,True,False,False,False,False,False
banglamath_0538,banglamath,math,,short_answer,major_edit,149,25,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_10th-Biology_0213,benqa,biology,Biology,mcq,unreviewed,143,27,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_10th-Math-II_0326,benqa,math-ii,Math-II,mcq,minor_edit,139,26,True,True,True,False,True,True,False,True,False,False,False,False,False
banglamath_0518,banglamath,math,,short_answer,major_edit,127,19,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Biology-II_0321,benqa,biology-ii,Biology-II,mcq,minor_edit,122,21,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Biology-II_0287,benqa,biology-ii,Biology-II,mcq,minor_edit,179,39,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_12th-Physics-I_0079,benqa,physics-i,Physics-I,mcq,minor_edit,124,20,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Chemistry-I_0140,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,243,36,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_0233,banglamath,math,,short_answer,minor_edit,89,19,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_8th-Science_0042,benqa,science,Science,mcq,unreviewed,95,20,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Chemistry-I_0303,benqa,chemistry-i,Chemistry-I,mcq,unreviewed,99,21,False,False,False,True,True,False,True,True,True,True,True,True,True
banglamath_1699,banglamath,math,,short_answer,minor_edit,70,19,True,True,False,False,True,True,False,True,False,False,False,False,False
banglamath_0552,banglamath,math,,short_answer,minor_edit,101,18,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Physics-II_0290,benqa,physics-ii,Physics-II,mcq,minor_edit,223,46,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_8th-Math_0072,benqa,math,Math,mcq,unreviewed,129,32,True,True,False,False,True,True,False,True,False,False,False,False,False
banglamath_0539,banglamath,math,,short_answer,minor_edit,147,23,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Physics-I_0133,benqa,physics-i,Physics-I,mcq,minor_edit,172,32,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Biology_0128,benqa,biology,Biology,mcq,minor_edit,140,26,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Physics-II_0195,benqa,physics-ii,Physics-II,mcq,minor_edit,126,30,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_12th-Chemistry-I_0190,benqa,chemistry-i,Chemistry-I,mcq,unreviewed,114,22,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_8th-Math_0062,benqa,math,Math,mcq,unreviewed,118,28,True,True,False,False,True,True,False,True,False,False,False,False,False
banglamath_0549,banglamath,math,,short_answer,major_edit,147,26,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Math-I_0029,benqa,math-i,Math-I,mcq,unreviewed,235,54,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Chemistry_0322,benqa,chemistry,Chemistry,mcq,unreviewed,114,20,False,True,False,False,True,False,True,True,False,False,True,False,True
benqa_12th-Biology-II_0203,benqa,biology-ii,Biology-II,mcq,minor_edit,270,52,False,True,False,False,True,False,True,False,False,False,True,False,False
banglamath_1703,banglamath,math,,short_answer,minor_edit,147,24,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_10th-Physics_0106,benqa,physics,Physics,mcq,minor_edit,172,36,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Math-I_0187,benqa,math-i,Math-I,mcq,minor_edit,198,42,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Biology_0149,benqa,biology,Biology,mcq,unreviewed,126,23,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Physics_0130,benqa,physics,Physics,mcq,bad,231,48,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_12th-Chemistry-I_0286,benqa,chemistry-i,Chemistry-I,mcq,bad,103,22,True,True,False,False,True,True,False,True,False,False,False,False,False
benqa_12th-Physics-II_0131,benqa,physics-ii,Physics-II,mcq,bad,416,53,False,True,True,False,True,False,True,False,False,False,True,False,False
benqa_10th-Biology_0188,benqa,biology,Biology,mcq,unreviewed,81,21,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_1686,banglamath,math,,short_answer,unreviewed,173,28,True,False,False,False,True,True,False,False,True,False,False,False,False
banglamath_0188,banglamath,math,,short_answer,minor_edit,166,31,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_10th-Physics_0036,benqa,physics,Physics,mcq,minor_edit,169,36,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Chemistry-I_0218,benqa,chemistry-i,Chemistry-I,mcq,minor_edit,129,23,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_10th-Biology_0090,benqa,biology,Biology,mcq,minor_edit,92,19,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Chemistry-II_0117,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,223,49,True,True,False,False,True,True,False,False,False,False,False,False,False
benqa_12th-Biology-II_0034,benqa,biology-ii,Biology-II,mcq,minor_edit,109,20,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Physics-II_0088,benqa,physics-ii,Physics-II,mcq,minor_edit,189,41,False,True,False,False,True,False,True,False,False,False,True,False,False
banglamath_1696,banglamath,math,,short_answer,minor_edit,108,17,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0531,banglamath,math,,short_answer,minor_edit,102,20,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_12th-Chemistry-II_0305,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,141,27,True,True,True,True,True,True,False,True,False,False,False,False,False
benqa_10th-Physics_0296,benqa,physics,Physics,mcq,unreviewed,130,29,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Physics_0150,benqa,physics,Physics,mcq,minor_edit,86,19,False,False,False,False,True,False,True,True,True,True,True,True,True
banglamath_0526,banglamath,math,,short_answer,minor_edit,97,17,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Chemistry_0110,benqa,chemistry,Chemistry,mcq,minor_edit,111,20,True,True,True,True,True,True,False,True,False,False,False,False,False
benqa_10th-Math-II_0357,benqa,math-ii,Math-II,mcq,minor_edit,172,33,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Chemistry-II_0013,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,142,22,False,False,False,False,True,False,True,False,True,True,True,True,False
benqa_8th-Science_0202,benqa,science,Science,mcq,minor_edit,302,32,False,True,True,False,True,False,True,False,False,False,True,False,False
benqa_8th-Science_0078,benqa,science,Science,mcq,minor_edit,246,38,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Math-I_0202,benqa,math-i,Math-I,mcq,minor_edit,174,31,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Physics-II_0213,benqa,physics-ii,Physics-II,mcq,minor_edit,250,45,True,True,True,False,True,True,False,False,False,False,False,False,False
banglamath_1684,banglamath,math,,short_answer,minor_edit,212,35,True,False,False,False,True,True,False,False,True,False,False,False,False
banglamath_0186,banglamath,math,,short_answer,minor_edit,116,22,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0231,banglamath,math,,short_answer,minor_edit,88,15,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_8th-Science_0159,benqa,science,Science,mcq,minor_edit,92,20,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Physics_0280,benqa,physics,Physics,mcq,minor_edit,177,31,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_10th-Chemistry_0132,benqa,chemistry,Chemistry,mcq,minor_edit,98,19,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Chemistry-II_0228,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,244,49,True,True,True,True,True,True,False,False,False,False,False,False,False
benqa_12th-Physics-I_0254,benqa,physics-i,Physics-I,mcq,minor_edit,140,23,True,True,True,False,True,True,False,True,False,False,False,False,False
benqa_10th-Biology_0057,benqa,biology,Biology,mcq,minor_edit,269,54,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Biology-II_0247,benqa,biology-ii,Biology-II,mcq,minor_edit,163,32,True,True,True,False,True,True,False,False,False,False,False,False,False
benqa_12th-Biology-I_0039,benqa,biology-i,Biology-I,mcq,unreviewed,122,20,False,True,False,False,True,False,True,True,False,False,True,False,True
benqa_12th-Chemistry-II_0235,benqa,chemistry-ii,Chemistry-II,mcq,minor_edit,107,20,True,True,True,False,True,True,False,True,False,False,False,False,False
banglamath_1697,banglamath,math,,short_answer,minor_edit,77,16,True,True,False,False,True,True,False,True,False,False,False,False,False
benqa_8th-Science_0024,benqa,science,Science,mcq,unreviewed,140,25,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_12th-Biology-II_0179,benqa,biology-ii,Biology-II,mcq,unreviewed,126,24,False,True,True,True,True,False,True,True,False,False,True,False,True
benqa_12th-Biology-I_0277,benqa,biology-i,Biology-I,mcq,unreviewed,109,21,False,False,False,False,True,False,True,True,True,True,True,True,True
benqa_10th-Chemistry_0194,benqa,chemistry,Chemistry,mcq,unreviewed,84,21,False,False,False,False,True,False,True,True,True,True,True,True,True
banglamath_0187,banglamath,math,,short_answer,minor_edit,140,24,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0559,banglamath,math,,short_answer,minor_edit,91,14,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_0521,banglamath,math,,short_answer,minor_edit,99,18,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_1691,banglamath,math,,short_answer,major_edit,279,48,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Physics-I_0157,benqa,physics-i,Physics-I,mcq,unreviewed,163,31,True,False,False,False,True,True,False,False,True,False,False,False,False
benqa_12th-Biology-I_0056,benqa,biology-i,Biology-I,mcq,unreviewed,94,20,False,False,False,False,True,False,True,True,True,True,True,True,True
banglamath_0229,banglamath,math,,short_answer,unreviewed,80,13,True,False,False,False,True,True,False,True,True,False,False,False,False
benqa_10th-Math-II_0102,benqa,math-ii,Math-II,mcq,minor_edit,127,32,True,True,False,False,True,True,False,True,False,False,False,False,False
banglamath_0558,banglamath,math,,short_answer,minor_edit,102,17,True,False,False,False,True,True,False,True,True,False,False,False,False
banglamath_1695,banglamath,math,,short_answer,unreviewed,184,31,True,True,False,False,True,True,False,False,False,False,False,False,False
benqa_10th-Math_0044,benqa,math,Math,mcq,minor_edit,100,22,True,False,False,False,True,True,False,True,True,False,False,False,False
