id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,token_coverage,unique_token_coverage,frequent_token_coverage,coverage_quartile_all,coverage_quartile_dataset,model,bangla_correct,banglish_correct,english_correct,banglish_fragile,strict_bangla_english_fragile,all_script_hard
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,0.1429,0.2,0.1429,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,0.1429,0.2,0.1429,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,0.1429,0.2,0.1429,q1,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,0.3,0.3,0.2,q2,q2,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,0.3,0.3,0.2,q2,q2,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,0.3,0.3,0.2,q2,q2,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,0.3333,0.3333,0.3333,q2,q3,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,0.3333,0.3333,0.3333,q2,q3,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,0.3333,0.3333,0.3333,q2,q3,Qwen3-4B,True,True,True,False,False,False
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,0.25,0.2667,0.25,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,0.25,0.2667,0.25,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,0.25,0.2667,0.25,q2,q1,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,0.3158,0.3125,0.2105,q2,q3,Qwen2.5-3B,True,True,True,False,False,False
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,0.3158,0.3125,0.2105,q2,q3,Qwen2.5-7B,True,True,True,False,False,False
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,0.3158,0.3125,0.2105,q2,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,0.28,0.2273,0.16,q2,q2,Qwen2.5-3B,True,True,False,False,False,False
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,0.28,0.2273,0.16,q2,q2,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,0.28,0.2273,0.16,q2,q2,Qwen3-4B,True,True,False,False,False,False
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,0.6471,0.625,0.4706,q4,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,0.6471,0.625,0.4706,q4,q3,Qwen2.5-7B,True,False,False,True,False,False
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,0.6471,0.625,0.4706,q4,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.5,0.5,0.5,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.5,0.5,0.5,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.5,0.5,0.5,q4,q4,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,0.1429,0.1429,0.1429,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,0.1429,0.1429,0.1429,q1,q1,Qwen2.5-7B,True,False,False,True,False,False
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,0.1429,0.1429,0.1429,q1,q1,Qwen3-4B,False,False,False,False,False,True
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,0.7778,0.8333,0.7778,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,0.7778,0.8333,0.7778,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,0.7778,0.8333,0.7778,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,0.1667,0.1667,0.1667,q1,q1,Qwen2.5-3B,True,False,False,True,False,False
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,0.1667,0.1667,0.1667,q1,q1,Qwen2.5-7B,True,True,False,False,False,False
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,0.1667,0.1667,0.1667,q1,q1,Qwen3-4B,False,False,False,False,False,True
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,0.6111,0.5385,0.6111,q4,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,0.6111,0.5385,0.6111,q4,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,0.6111,0.5385,0.6111,q4,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,0.4286,0.4286,0.2857,q3,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,0.4286,0.4286,0.2857,q3,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,0.4286,0.4286,0.2857,q3,q4,Qwen3-4B,True,False,False,True,False,False
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.3333,q3,q4,Qwen2.5-3B,True,False,False,True,False,False
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.3333,q3,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,0.4167,0.4167,0.3333,q3,q4,Qwen3-4B,False,True,True,False,False,False
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,0.4,0.4,0.3333,q3,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,0.4,0.4,0.3333,q3,q4,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,0.4,0.4,0.3333,q3,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,0.3077,0.3333,0.1538,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,0.3077,0.3333,0.1538,q2,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,0.3077,0.3333,0.1538,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,0.24,0.2857,0.12,q1,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,0.24,0.2857,0.12,q1,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,0.24,0.2857,0.12,q1,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,0.2941,0.2941,0.1176,q2,q2,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,0.2941,0.2941,0.1176,q2,q2,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,0.2941,0.2941,0.1176,q2,q2,Qwen3-4B,True,False,True,True,True,False
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,0.5,0.5,0.3333,q3,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,0.5,0.5,0.3333,q3,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,0.5,0.5,0.3333,q3,q4,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,0.2,0.2222,0.0,q1,q1,Qwen2.5-3B,True,True,False,False,False,False
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,0.2,0.2222,0.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,0.2,0.2222,0.0,q1,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,0.2,0.2,0.2,q1,q1,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,0.2,0.2,0.2,q1,q1,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,0.2,0.2,0.2,q1,q1,Qwen3-4B,True,True,True,False,False,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,0.5,0.5,0.25,q3,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,0.5,0.5,0.25,q3,q4,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,0.5,0.5,0.25,q3,q4,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,0.1818,0.2,0.1818,q1,q1,Qwen2.5-3B,True,False,False,True,False,False
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,0.1818,0.2,0.1818,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,0.1818,0.2,0.1818,q1,q1,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,0.2353,0.4,0.0,q1,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,0.2353,0.4,0.0,q1,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,0.2353,0.4,0.0,q1,q2,Qwen3-4B,False,False,False,False,False,True
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,0.4118,0.4286,0.3529,q3,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,0.4118,0.4286,0.3529,q3,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,0.4118,0.4286,0.3529,q3,q2,Qwen3-4B,False,False,False,False,False,True
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,0.4118,0.5,0.2941,q3,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,0.4118,0.5,0.2941,q3,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,0.4118,0.5,0.2941,q3,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,0.1818,0.1818,0.0909,q1,q1,Qwen2.5-3B,True,False,True,True,True,False
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,0.1818,0.1818,0.0909,q1,q1,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,0.1818,0.1818,0.0909,q1,q1,Qwen3-4B,False,False,True,True,False,False
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,0.4615,0.5,0.1538,q3,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,0.4615,0.5,0.1538,q3,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,0.4615,0.5,0.1538,q3,q2,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,0.2381,0.2381,0.0476,q1,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,0.2381,0.2381,0.0476,q1,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,0.2381,0.2381,0.0476,q1,q2,Qwen3-4B,False,False,False,False,False,True
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,0.6923,0.6667,0.6154,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,0.6923,0.6667,0.6154,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,0.6923,0.6667,0.6154,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,0.375,0.4286,0.125,q3,q3,Qwen2.5-3B,False,False,True,True,False,False
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,0.375,0.4286,0.125,q3,q3,Qwen2.5-7B,True,False,True,True,True,False
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,0.375,0.4286,0.125,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,0.1429,0.1429,0.0,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,0.1429,0.1429,0.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,0.1429,0.1429,0.0,q1,q1,Qwen3-4B,True,True,True,False,False,False
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,0.4286,0.5,0.3333,q3,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,0.4286,0.5,0.3333,q3,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,0.4286,0.5,0.3333,q3,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.0,0.0,0.0,q1,q1,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.0,0.0,0.0,q1,q1,Qwen2.5-7B,True,True,True,False,False,False
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,0.0,0.0,0.0,q1,q1,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,19,0.4737,0.4,0.1053,q3,q4,Qwen2.5-3B,False,True,False,False,False,False
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,19,0.4737,0.4,0.1053,q3,q4,Qwen2.5-7B,False,False,False,False,False,True
