id,dataset,domain,subject,grade,task_type,quality_status,review_label,answer,options_parsed,stem_token_count,stem_seen_token_count,stem_unique_token_count,stem_seen_unique_token_count,stem_coverage,stem_unique_coverage,stem_top_unseen,stem_preview,options_all_token_count,options_all_seen_token_count,options_all_unique_token_count,options_all_seen_unique_token_count,options_all_coverage,options_all_unique_coverage,options_all_top_unseen,options_all_preview,gold_option_token_count,gold_option_seen_token_count,gold_option_unique_token_count,gold_option_seen_unique_token_count,gold_option_coverage,gold_option_unique_coverage,gold_option_top_unseen,gold_option_preview,bangla_correct_models,banglish_correct_models,english_correct_models,banglish_fragility_events,strict_bangla_english_fragility_events,banglish_preview
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,15,5,15,5,0.3333,0.3333,ayoton; churant; circ; gyasoke; gyasotir; sthirochape; tapomatra; tapomatray; tinogun; uttopt,30^{\circ}C tapomatray ekti gyasoke sthirochape uttopt kore ayoton tinogun kora holo. gyasotir ch...,4,0,1,0,0.0,0.0,circ,90^{\circ}C 300^{\circ}C 436^{\circ}C 636^{\circ}C,1,0,1,0,0.0,0.0,circ,636^{\circ}C,1,2,1,0,0,30^{\circ}C tapomatray ekti gyasoke sthirochape uttopt kore ayoton tinogun kora holo. gyasotir churant tapomatra koto? A. 90^{\...
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,B,4,19,6,16,5,0.3158,0.3125,ayotokar; bistrit; charodike; doirgho; khetrofol; mitar; parker; parkotir; prostho; rasta; rastar,ekti ayotokar parker doirgho 40 mitar ebong prostho 30 mitar. parkotir baire charodike 2.5 mitar...,4,0,1,0,0.0,0.0,borgomitar,325 borgomitar 375 borgomitar 875 borgomitar 1575 borgomitar,1,0,1,0,0.0,0.0,borgomitar,375 borgomitar,2,2,2,0,0,ekti ayotokar parker doirgho 40 mitar ebong prostho 30 mitar. parkotir baire charodike 2.5 mitar bistrit ekti rasta ache. rasta...
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,25,7,22,5,0.28,0.2273,akrant; akriti; anabaena; dwara; fole; hooyar; iii; konti; mot; mul; nosht; osthanik,saikaser prodhan mul nosht hooyar fole- i. osthanik mul srishti hoy ii. Anabaena dwara akrant hoy...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii, o iii",2,1,2,1,0.5,0.5,iii,"i, ii, o iii",2,3,0,0,0,saikaser prodhan mul nosht hooyar fole- i. osthanik mul srishti hoy ii. Anabaena dwara akrant hoy iii. er akriti samudrik proba...
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,4,2,4,2,0.5,0.5,boigganik; gomer,gomer boigganik nam ki?,8,0,8,0,0.0,0.0,aestivum; bambusa; mays; oryza; sativa; triticum; tulda; zea,Oryza sativa Triticum aestivum Zea mays Bambusa tulda,2,0,2,0,0.0,0.0,aestivum; triticum,Triticum aestivum,0,0,3,3,0,"gomer boigganik nam ki? A. Oryza sativa B. Triticum aestivum C. Zea mays D. Bambusa tulda Answer with only A, B, C, or D."
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,7,1,7,1,0.1429,0.1429,bindute; fangshonotir; oksher; ongkit; somantoral; sporshok,f(x) = x^{2} - x fangshonotir kon bindute ongkit sporshok x-oksher somantoral?,16,4,3,1,0.25,0.3333,frac; left,"\left ( \frac{-1}{2}, \frac{-1}{4} \right ) \left ( \frac{-1}{2}, \frac{1}{4} \right ) \left ( \f...",4,1,3,1,0.25,0.3333,frac; left,"\left ( \frac{1}{2}, \frac{-1}{4} \right )",1,0,0,1,0,"f(x) = x^{2} - x fangshonotir kon bindute ongkit sporshok x-oksher somantoral? A. \left ( \frac{-1}{2}, \frac{-1}{4} \right ) B..."
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,6,1,6,1,0.1667,0.1667,dayastoler; hritopinder; olinder; sekend; somoyokal,hritopinder olinder dayastoler somoyokal koto sekend?,0,0,0,0,0.0,0.0,,0.7 0.5 0.3 0.1,0,0,0,0,0.0,0.0,,0.7,2,1,0,1,0,"hritopinder olinder dayastoler somoyokal koto sekend? A. 0.7 B. 0.5 C. 0.3 D. 0.1 Answer with only A, B, C, or D."
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,7,3,7,3,0.4286,0.4286,cholon; cholonoke; hydra; jonka,Hydra-r kon dhoroner cholonoke jonka cholon bole?,4,0,4,0,0.0,0.0,glaidin; hanta; luping; somarosonting,glaidin somarosonting luping hanta,1,0,1,0,0.0,0.0,luping,luping,1,0,0,1,0,"Hydra-r kon dhoroner cholonoke jonka cholon bole? A. glaidin B. somarosonting C. luping D. hanta Answer with only A, B, C, or D."
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,12,5,12,5,0.4167,0.4167,chhokka; ekobar; moulik; nikshep; niropeksh; sombhabona; songkhya,ekti niropeksh chhokka ekobar nikshep kora hole moulik songkhya asar sombhabona koto?,4,0,1,0,0.0,0.0,frac,\frac{1}{6} \frac{1}{3} \frac{1}{2} \frac{2}{3},1,0,1,0,0.0,0.0,frac,\frac{1}{2},1,1,1,1,0,ekti niropeksh chhokka ekobar nikshep kora hole moulik songkhya asar sombhabona koto? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}...
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,15,6,15,6,0.4,0.4,bostur; chhondit; goti; ontokolon; ontorok; sapekshe; somikoron; somoyer; somponn,somoyer sapekshe ontokolon kore sorol chhondit goti-somponn bostur ontorok somikoron theke ki pao...,4,0,4,0,0.0,0.0,beg; kompangk; poryayokal; tworon,kompangk poryayokal beg tworon,1,0,1,0,0.0,0.0,beg,beg,1,0,1,1,1,somoyer sapekshe ontokolon kore sorol chhondit goti-somponn bostur ontorok somikoron theke ki paoya jay? A. kompangk B. poryayo...
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,26,8,24,8,0.3077,0.3333,bhu; bibhinn; byobohar; gorbhosth; gyas; iii; khonij; konti; mohakorsh; podarth; prakritik; shokti,mohakorsh sutr byobohar kore je somost kaj kora sombhob- i. prakritik gyas uttolon ii. bibhinn kh...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",1,1,1,1,1.0,1.0,,i o ii,0,0,0,0,0,mohakorsh sutr byobohar kore je somost kaj kora sombhob- i. prakritik gyas uttolon ii. bibhinn khonij podarth uttolon iii. bhu-...
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,25,6,21,6,0.24,0.2857,bikriya; byobohrit; ch; cl; equiv; iii; jougoti; konti; opeksha; plastik; rightarrow; sokriy,CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A A + Cl_{2} \rightarrow B uddipoke A jougoti- i....,6,3,2,1,0.5,0.5,iii,"i o ii ii o iii i o iii i, ii o iii",1,1,1,1,1.0,1.0,,i o ii,0,0,0,0,0,CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A A + Cl_{2} \rightarrow B uddipoke A jougoti- i. songjojon bikriya dey ii. plas...
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,17,5,17,5,0.2941,0.2941,bhinegar; briddhi; byakoteriya; dhbongs; iii; khabarer; khadder; komay; konti; rokt; ruchi; sonchalon,bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",1,1,1,1,1.0,1.0,,i o ii,2,0,3,3,2,bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? A....
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,6,3,6,3,0.5,0.5,har; salokosongshleshon; udbhide,nicher kon udbhide salokosongshleshon har beshi?,5,1,5,1,0.2,0.2,gachh; kanthal; kochuripana; peyara,bot gachh kanthal peyara kochuripana,1,0,1,0,0.0,0.0,kochuripana,kochuripana,1,1,3,2,0,"nicher kon udbhide salokosongshleshon har beshi? A. bot gachh B. kanthal C. peyara D. kochuripana Answer with only A, B, C, or D."
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,10,2,9,2,0.2,0.2222,bindu; dwara; konti; rekhar; somikoron; songjogokari; tinoti,"M(3, 3), N(6, 6) ebong R(12, 3t) tinoti bindu. M o N bindu dwara songjogokari rekhar somikoron ni...",0,0,0,0,0.0,0.0,,x - 3y - 12 = 0 3x - y - 6 = 0 3x - y - 12 = 0 x - 3y + 12 = 0,0,0,0,0,0.0,0.0,,3x - y - 12 = 0,1,1,0,0,0,"M(3, 3), N(6, 6) ebong R(12, 3t) tinoti bindu. M o N bindu dwara songjogokari rekhar somikoron nicher konti? A. x - 3y - 12 = 0..."
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,5,1,5,1,0.2,0.2,bhinegare; bidyoman; pani; shotangsh,bhinegare koto shotangsh pani bidyoman?,0,0,0,0,0.0,0.0,,6% 15% 70% 90%,0,0,0,0,0.0,0.0,,90%,2,1,3,2,1,"bhinegare koto shotangsh pani bidyoman? A. 6% B. 15% C. 70% D. 90% Answer with only A, B, C, or D."
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,8,4,8,4,0.5,0.5,cholote; dhape; kromatidogulo; merumukhi,nicher kon dhape kromatidogulo merumukhi cholote shuru kore?,4,0,4,0,0.0,0.0,anafej; metafej; profej; telofej,profej metafej anafej telofej,1,0,1,0,0.0,0.0,anafej,anafej,2,1,3,2,1,"nicher kon dhape kromatidogulo merumukhi cholote shuru kore? A. profej B. metafej C. anafej D. telofej Answer with only A, B, C..."
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,D,4,11,2,10,2,0.1818,0.2,beg; bostur; durotter; obosthan; otikrant; somotborone; somoyer; sthir,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter-,7,0,4,0,0.0,0.0,borger; borgomuler; byostanupatik; somanupatik,somanupatik borger somanupatik borger byostanupatik borgomuler somanupatik,2,0,2,0,0.0,0.0,borgomuler; somanupatik,borgomuler somanupatik,1,0,1,2,0,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter- A. somanupatik B. borger somanupatik C. bo...
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,B,4,17,4,10,4,0.2353,0.4,apekshikotar; frac; iii; konti; sqrt; totto,apekshikotar totto onusare- i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}} ii. L = \frac{L_{...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",1,0,1,0,0.0,0.0,iii,i o iii,0,0,0,0,0,apekshikotar totto onusare- i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}} ii. L = \frac{L_{0}}{\sqrt{1 - \frac{v^{2}}{c^{...
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,11,2,11,2,0.1818,0.1818,ayoton; bhorer; bonam; chaper; gyaser; lekhochitroti; nirdisht; sthir; tapomatray,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner?,4,0,4,0,0.0,0.0,brittakar; odhibrittakar; porabrittakar; soroloroikhik,porabrittakar odhibrittakar brittakar soroloroikhik,1,0,1,0,0.0,0.0,odhibrittakar,odhibrittakar,1,0,3,3,1,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? A. porabrittakar B. odhibrittakar C. br...
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,21,5,21,5,0.2381,0.2381,bhairaser; bidyoman; bondhon; bongshogotiy; bostute; dekhote; iii; konti; mojaik; motin; patay; pel,motin tamak patay ek dhoroner mojaik rog dekhote pel. ullikhit roger bhairaser bongshogotiy bostu...,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",2,1,2,1,0.5,0.5,iii,ii o iii,0,0,0,0,0,motin tamak patay ek dhoroner mojaik rog dekhote pel. ullikhit roger bhairaser bongshogotiy bostute bondhon bidyoman- i. A = T...
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,A,4,8,3,7,3,0.375,0.4286,konti; omulod; songkhya; sqrt,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya?,3,0,2,0,0.0,0.0,ab; frac,a + b ab \frac{a}{b} \frac{b}{a},0,0,0,0,0.0,0.0,,a + b,1,0,2,2,1,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya? A. a + b B. ab C. \frac{a}{b} D. \frac{b}{a} Answer with on...
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,7,1,7,1,0.1429,0.1429,binyas; ilekotron; konti; shoktistorer; skyandiyamer; sorboshesh,skyandiyamer sorboshesh shoktistorer sothik ilekotron binyas konti?,0,0,0,0,0.0,0.0,,3s^{2}3p^{6}3d^{5}4s^{1} 3s^{2}3p^{6}3d^{3}4s^{2} 3s^{2}3p^{6}3d^{2}4s^{2} 3s^{2}3p^{6}3d^{1}4s^{2},0,0,0,0,0.0,0.0,,3s^{2}3p^{6}3d^{1}4s^{2},1,1,1,0,0,skyandiyamer sorboshesh shoktistorer sothik ilekotron binyas konti? A. 3s^{2}3p^{6}3d^{5}4s^{1} B. 3s^{2}3p^{6}3d^{3}4s^{2} C....
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,4,0,4,0,0.0,0.0,bistriti; bornalir; drishyoman; toronggodoirghyer,drishyoman bornalir toronggodoirghyer bistriti-,16,4,3,1,0.25,0.3333,aa; poryont,2000 \AA theke 3000 \AA poryont 3000 \AA theke 4000 \AA poryont 4000 \AA theke 8000 \AA poryont 8...,4,1,3,1,0.25,0.3333,aa; poryont,4000 \AA theke 8000 \AA poryont,1,2,2,1,0,drishyoman bornalir toronggodoirghyer bistriti- A. 2000 \AA theke 3000 \AA poryont B. 3000 \AA theke 4000 \AA poryont C. 4000 \...
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,19,9,15,6,0.4737,0.4,benojiner; bondhon; dwi; iii; karbon; konti; odhikromone; orobitaroler; srishti,benojiner karbon-karbon dwi-bondhon kon orobitaroler odhikromone srishti hoy? i. sp^{2} - sp^{2}...,4,2,2,1,0.5,0.5,iii,i iii i o ii ii o iii,1,1,1,1,1.0,1.0,,i o ii,1,2,0,0,0,benojiner karbon-karbon dwi-bondhon kon orobitaroler odhikromone srishti hoy? i. sp^{2} - sp^{2} ii. p - p iii. sp^{2} - sp^{3}...
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,15,4,15,4,0.2667,0.2667,animiya; durbol; iii; jaoya; khaoyay; konti; laga; lokshon; ojon; oniha; roger,animiya roger lokshon- i. ojon kome jaoya ii. khaoyay oniha iii. durbol laga nicher konti sothik?,6,3,2,1,0.5,0.5,iii,"i o ii i o iii ii o iii i, ii o iii",2,1,2,1,0.5,0.5,iii,"i, ii o iii",3,3,0,0,0,animiya roger lokshon- i. ojon kome jaoya ii. khaoyay oniha iii. durbol laga nicher konti sothik? A. i o ii B. i o iii C. ii o...
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,D,4,7,1,7,1,0.1429,0.1429,bindugami; konti; oksher; somantoral; somikoron; sorolorekhar,"(3, -4) bindugami ebong x-oksher somantoral sorolorekhar somikoron konti?",0,0,0,0,0.0,0.0,,y - 3 = 0 y + 3 = 0 y - 4 = 0 y + 4 = 1,0,0,0,0,0.0,0.0,,y + 4 = 1,1,1,0,0,0,"(3, -4) bindugami ebong x-oksher somantoral sorolorekhar somikoron konti? A. y - 3 = 0 B. y + 3 = 0 C. y - 4 = 0 D. y + 4 = 1 A..."
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,B,4,15,5,12,5,0.3333,0.4167,dhape; merojoyet; podarthoti; rightarrow; saijont; sigonet; trofojoyet,trofojoyet \rightarrow sigonet ring \rightarrow A \rightarrow saijont \rightarrow merojoyet A dha...,4,0,4,0,0.0,0.0,himojoyen; himolaisin; laisolesithin; pairojen,himolaisin himojoyen laisolesithin pairojen,1,0,1,0,0.0,0.0,himojoyen,himojoyen,2,2,3,1,1,trofojoyet \rightarrow sigonet ring \rightarrow A \rightarrow saijont \rightarrow merojoyet A dhape nicher kon podarthoti toiri...
benqa_8th-Science_0153,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,C,4,5,0,5,0,0.0,0.0,esiditi; konti; niramoye; pakostholir; upojogi,pakostholir esiditi niramoye konti upojogi?,7,0,6,0,0.0,0.0,amoniyam; esid; esitik; haidroksaid; kyalosiyam; ojoluminiyam,kyalosiyam esitik esid ojoluminiyam haidroksaid amoniyam haidroksaid,2,0,2,0,0.0,0.0,haidroksaid; ojoluminiyam,ojoluminiyam haidroksaid,3,1,3,2,2,pakostholir esiditi niramoye konti upojogi? A. kyalosiyam B. esitik esid C. ojoluminiyam haidroksaid D. amoniyam haidroksaid An...
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,4,3,4,3,0.75,0.75,torker,torker opor nam ki?,8,3,6,1,0.375,0.1667,bhramok; ghorshon; ghurnon; jorotar; kendromukhi,ghorshon bol jorotar bhramok ghurnon bol kendromukhi bol,2,1,2,1,0.5,0.5,ghurnon,ghurnon bol,2,1,3,2,1,"torker opor nam ki? A. ghorshon bol B. jorotar bhramok C. ghurnon bol D. kendromukhi bol Answer with only A, B, C, or D."
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,C,4,9,2,9,2,0.2222,0.2222,jaigoter; jibanur; jonone; joun; lombakritir; myaleriya; sochol,myaleriya jibanur joun jonone sochol o lombakritir jaigoter nam ki?,4,0,4,0,0.0,0.0,jaigot; sporojoyet; uokinet; uosist,sporojoyet uosist uokinet jaigot,1,0,1,0,0.0,0.0,uokinet,uokinet,1,0,0,1,0,myaleriya jibanur joun jonone sochol o lombakritir jaigoter nam ki? A. sporojoyet B. uosist C. uokinet D. jaigot Answer with on...
