model,id,gold,bangla_option,banglish_option,english_option,bangla_correct,banglish_correct,english_correct,alternate_correct_count,recoverable_banglish_miss,strict_recoverable_banglish_miss,valid_recoverable_banglish_miss,invalid_recoverable_banglish_miss,wrong_transition,banglish_matches_bangla_option,banglish_matches_english_option
Qwen2.5-3B,benqa_12th-Chemistry-II_0235,A,D,A,A,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0240,B,D,B,D,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0294,C,B,C,A,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0305,D,B,A,A,False,False,False,0,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0354,B,B,C,B,True,False,True,2,True,True,True,False,B->C,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0028,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0037,C,C,D,D,True,False,False,1,True,False,True,False,C->D,False,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0140,D,B,A,D,False,False,True,1,True,False,True,False,D->A,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0174,A,D,D,A,False,False,True,1,True,False,True,False,A->D,True,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0190,B,D,C,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0218,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0227,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0260,D,C,B,D,False,False,True,1,True,False,True,False,D->B,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0286,C,A,A,A,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0303,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0328,B,B,A,D,True,False,False,1,True,False,True,False,B->A,False,False
Qwen2.5-3B,benqa_12th-Math-II_0043,D,C,B,D,False,False,True,1,True,False,True,False,D->B,False,False
Qwen2.5-3B,benqa_12th-Math-II_0214,C,C,C,A,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Math-II_0230,D,D,D,C,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Math-II_0234,A,A,A,A,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Math-I_0029,B,A,C,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Math-I_0088,C,A,A,D,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Math-I_0120,D,C,B,A,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Math-I_0186,A,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Math-I_0187,B,C,C,C,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Math-I_0202,B,B,D,D,True,False,False,1,True,False,True,False,B->D,False,True
Qwen2.5-3B,benqa_12th-Math-I_0218,A,C,A,C,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Math-I_0310,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Math-I_0326,B,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Math-I_0342,C,B,A,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Math-I_0383,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-II_0037,B,D,C,B,False,False,True,1,True,False,True,False,B->C,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0046,C,C,D,C,True,False,True,2,True,True,True,False,C->D,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0085,D,D,D,C,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Physics-II_0088,A,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-II_0131,B,A,B,A,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0195,B,D,C,B,False,False,True,1,True,False,True,False,B->C,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0213,D,C,C,C,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-II_0219,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-II_0267,B,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-II_0290,B,C,C,A,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_12th-Physics-II_0292,C,A,C,A,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0008,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-I_0079,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-I_0106,D,C,D,D,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-3B,benqa_12th-Physics-I_0109,C,D,B,C,False,False,True,1,True,False,True,False,C->B,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0133,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-I_0157,A,A,B,B,True,False,False,1,True,False,True,False,A->B,False,True
Qwen2.5-3B,benqa_12th-Physics-I_0214,B,D,B,D,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0253,A,D,D,D,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_12th-Physics-I_0254,B,D,C,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0256,C,D,A,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0289,D,C,C,C,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_8th-Math_0031,D,B,B,D,False,False,True,1,True,False,True,False,D->B,True,False
Qwen2.5-3B,benqa_8th-Math_0062,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_8th-Math_0072,B,D,B,D,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_8th-Math_0085,C,B,B,C,False,False,True,1,True,False,True,False,C->B,True,False
Qwen2.5-3B,benqa_8th-Math_0167,C,C,B,C,True,False,True,2,True,True,True,False,C->B,False,False
Qwen2.5-3B,benqa_8th-Math_0190,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-3B,benqa_8th-Science_0014,D,D,D,B,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-3B,benqa_8th-Science_0024,C,B,D,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_8th-Science_0042,B,B,A,B,True,False,True,2,True,True,True,False,B->A,False,False
Qwen2.5-3B,benqa_8th-Science_0062,D,A,B,D,False,False,True,1,True,False,True,False,D->B,False,False
Qwen2.5-3B,benqa_8th-Science_0078,C,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-3B,benqa_8th-Science_0086,A,B,B,D,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_8th-Science_0098,A,B,B,C,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-3B,benqa_8th-Science_0127,B,C,D,A,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_8th-Science_0153,C,C,B,C,True,False,True,2,True,True,True,False,C->B,False,False
Qwen2.5-3B,benqa_8th-Science_0159,B,A,C,A,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-3B,benqa_8th-Science_0202,C,C,A,C,True,False,True,2,True,True,True,False,C->A,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0057,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Biology_0090,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Biology_0128,A,C,B,A,False,False,True,1,True,False,True,False,A->B,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0143,C,C,C,B,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0149,B,B,A,B,True,False,True,2,True,True,True,False,B->A,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0156,C,B,C,C,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Biology_0188,A,B,A,A,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Biology_0197,D,A,B,A,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0213,A,A,A,A,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Biology_0215,B,C,D,B,False,False,True,1,True,False,True,False,B->D,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0277,C,A,B,A,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0339,D,B,B,D,False,False,True,1,True,False,True,False,D->B,True,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0041,D,C,A,D,False,False,True,1,True,False,True,False,D->A,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0110,C,C,invalid,C,True,False,True,2,True,True,False,True,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0111,D,B,C,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0132,A,A,B,A,True,False,True,2,True,True,True,False,A->B,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0191,A,B,C,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0194,D,B,C,D,False,False,True,1,True,False,True,False,D->C,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0280,A,C,B,D,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0322,B,B,A,B,True,False,True,2,True,True,True,False,B->A,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0336,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0374,B,C,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0388,D,A,A,B,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0062,C,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0102,D,C,C,C,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0139,A,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0326,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0347,D,A,A,A,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0357,D,B,A,A,False,False,False,0,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0367,C,A,B,B,False,False,False,0,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Math_0032,B,B,B,D,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-7B 8-bit,benqa_10th-Math_0044,C,C,A,C,True,False,True,2,True,True,True,False,C->A,False,False
Qwen2.5-7B 8-bit,benqa_10th-Math_0186,C,A,A,A,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Math_0271,D,C,C,D,False,False,True,1,True,False,True,False,D->C,True,False
Qwen2.5-7B 8-bit,benqa_10th-Math_0324,A,A,B,A,True,False,True,2,True,True,True,False,A->B,False,False
Qwen2.5-7B 8-bit,benqa_10th-Physics_0021,C,C,A,C,True,False,True,2,True,True,True,False,C->A,False,False
Qwen2.5-7B 8-bit,benqa_10th-Physics_0036,C,C,C,C,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Physics_0045,A,A,A,A,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Physics_0055,D,B,C,D,False,False,True,1,True,False,True,False,D->C,False,False
Qwen2.5-7B 8-bit,benqa_10th-Physics_0084,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Physics_0106,A,B,C,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_10th-Physics_0130,D,C,D,D,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Physics_0150,B,C,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_10th-Physics_0198,D,C,C,D,False,False,True,1,True,False,True,False,D->C,True,False
Qwen2.5-7B 8-bit,benqa_10th-Physics_0280,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_10th-Physics_0296,D,B,A,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0034,B,B,B,D,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0049,C,C,B,A,True,False,False,1,True,False,True,False,C->B,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0119,C,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0122,A,A,A,C,True,True,False,1,False,False,False,False,,True,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0128,B,C,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0179,A,A,D,A,True,False,True,2,True,True,True,False,A->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0203,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0247,B,A,B,A,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0287,B,B,D,B,True,False,True,2,True,True,True,False,B->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0321,C,D,A,C,False,False,True,1,True,False,True,False,C->A,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-II_0325,A,C,C,A,False,False,True,1,True,False,True,False,A->C,True,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0039,C,C,B,D,True,False,False,1,True,False,True,False,C->B,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0042,D,A,D,B,False,True,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0056,A,A,B,A,True,False,True,2,True,True,True,False,A->B,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0077,C,C,D,C,True,False,True,2,True,True,True,False,C->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0160,B,A,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0181,C,C,D,A,True,False,False,1,True,False,True,False,C->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0218,B,A,C,B,False,False,True,1,True,False,True,False,B->C,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0222,A,A,B,A,True,False,True,2,True,True,True,False,A->B,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0265,A,C,D,A,False,False,True,1,True,False,True,False,A->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0277,D,A,A,D,False,False,True,1,True,False,True,False,D->A,True,False
Qwen2.5-7B 8-bit,benqa_12th-Biology-I_0283,A,A,D,A,True,False,True,2,True,True,True,False,A->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0013,C,B,B,C,False,False,True,1,True,False,True,False,C->B,True,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0054,A,A,A,A,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0067,C,C,D,C,True,False,True,2,True,True,True,False,C->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0117,C,C,B,C,True,False,True,2,True,True,True,False,C->B,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0194,A,A,A,A,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0228,C,D,C,C,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0235,A,A,B,A,True,False,True,2,True,True,True,False,A->B,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0240,B,C,B,B,False,True,True,1,False,False,False,False,,False,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0294,C,A,A,A,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0305,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-II_0354,B,A,A,B,False,False,True,1,True,False,True,False,B->A,True,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0028,B,B,C,B,True,False,True,2,True,True,True,False,B->C,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0037,C,D,D,C,False,False,True,1,True,False,True,False,C->D,True,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0140,D,B,B,B,False,False,False,0,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0174,A,A,D,A,True,False,True,2,True,True,True,False,A->D,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0190,B,A,C,B,False,False,True,1,True,False,True,False,B->C,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0218,D,B,B,C,False,False,False,0,False,False,False,False,,True,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0227,D,B,A,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0260,D,D,C,D,True,False,True,2,True,True,True,False,D->C,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0286,C,B,A,B,False,False,False,0,False,False,False,False,,False,False
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0303,D,D,D,D,True,True,True,2,False,False,False,False,,True,True
Qwen2.5-7B 8-bit,benqa_12th-Chemistry-I_0328,B,B,B,B,True,True,True,2,False,False,False,False,,True,True
