model,id,gold,banglish_option,banglish_correct,banglish_D,banglish_wrong_D,banglish_invalid,banglish_hf_tokens,banglish_chars,banglish_words,banglish_hf_tokens_per_word,banglish_chars_per_word,banglish_bytes_per_word
Qwen2.5-3B,benqa_10th-Chemistry_0194,D,C,False,False,False,False,41.0,84.0,21.0,1.9523809523809523,4.0,4.0
Qwen2.5-3B,benqa_10th-Chemistry_0280,A,D,False,True,True,False,41.0,86.0,20.0,2.05,4.3,4.3
Qwen2.5-3B,benqa_10th-Chemistry_0322,B,B,True,False,False,False,53.0,114.0,20.0,2.65,5.7,5.7
Qwen2.5-3B,benqa_10th-Chemistry_0336,D,D,True,True,False,False,121.0,271.0,54.0,2.240740740740741,5.018518518518518,5.018518518518518
Qwen2.5-3B,benqa_10th-Chemistry_0374,B,B,True,False,False,False,51.0,112.0,21.0,2.4285714285714284,5.333333333333333,5.333333333333333
Qwen2.5-3B,benqa_10th-Chemistry_0388,D,B,False,False,False,False,129.0,211.0,23.0,5.608695652173913,9.173913043478262,9.173913043478262
Qwen2.5-3B,benqa_10th-Math-II_0062,C,C,True,False,False,False,123.0,215.0,59.0,2.0847457627118646,3.6440677966101696,3.6440677966101696
Qwen2.5-3B,benqa_10th-Math-II_0102,D,C,False,False,False,False,70.0,127.0,32.0,2.1875,3.96875,3.96875
Qwen2.5-3B,benqa_10th-Math-II_0139,A,B,False,False,False,False,99.0,178.0,23.0,4.304347826086956,7.739130434782608,7.739130434782608
Qwen2.5-3B,benqa_10th-Math-II_0326,C,C,True,False,False,False,66.0,139.0,26.0,2.5384615384615383,5.346153846153846,5.346153846153846
Qwen2.5-3B,benqa_10th-Math-II_0347,D,B,False,False,False,False,79.0,160.0,27.0,2.925925925925926,5.925925925925926,5.925925925925926
Qwen2.5-3B,benqa_10th-Math-II_0357,D,B,False,False,False,False,96.0,172.0,33.0,2.909090909090909,5.212121212121212,5.212121212121212
Qwen2.5-3B,benqa_10th-Math-II_0367,C,B,False,False,False,False,80.0,177.0,28.0,2.857142857142857,6.321428571428571,6.321428571428571
Qwen2.5-3B,benqa_10th-Math_0032,B,A,False,False,False,False,53.0,93.0,24.0,2.2083333333333335,3.875,3.875
Qwen2.5-3B,benqa_10th-Math_0044,C,B,False,False,False,False,49.0,100.0,22.0,2.227272727272727,4.545454545454546,4.545454545454546
Qwen2.5-3B,benqa_10th-Math_0186,C,D,False,True,True,False,70.0,138.0,32.0,2.1875,4.3125,4.3125
Qwen2.5-3B,benqa_10th-Math_0271,D,A,False,False,False,False,102.0,217.0,36.0,2.8333333333333335,6.027777777777778,6.027777777777778
Qwen2.5-3B,benqa_10th-Math_0324,A,B,False,False,False,False,69.0,144.0,30.0,2.3,4.8,4.8
Qwen2.5-3B,benqa_10th-Physics_0021,C,B,False,False,False,False,42.0,91.0,19.0,2.210526315789474,4.7894736842105265,4.7894736842105265
Qwen2.5-3B,benqa_10th-Physics_0036,C,C,True,False,False,False,97.0,169.0,36.0,2.6944444444444446,4.694444444444445,4.694444444444445
Qwen2.5-3B,benqa_10th-Physics_0045,A,B,False,False,False,False,62.0,147.0,28.0,2.2142857142857144,5.25,5.25
Qwen2.5-3B,benqa_10th-Physics_0055,D,D,True,True,False,False,66.0,160.0,29.0,2.2758620689655173,5.517241379310345,5.517241379310345
Qwen2.5-3B,benqa_10th-Physics_0084,D,B,False,False,False,False,83.0,203.0,30.0,2.7666666666666666,6.766666666666667,6.766666666666667
Qwen2.5-3B,benqa_10th-Physics_0106,A,B,False,False,False,False,83.0,172.0,36.0,2.3055555555555554,4.777777777777778,4.777777777777778
Qwen2.5-3B,benqa_10th-Physics_0130,D,D,True,True,False,False,93.0,231.0,48.0,1.9375,4.8125,4.8125
Qwen2.5-3B,benqa_10th-Physics_0150,B,B,True,False,False,False,39.0,86.0,19.0,2.0526315789473686,4.526315789473684,4.526315789473684
Qwen2.5-3B,benqa_10th-Physics_0198,D,C,False,False,False,False,71.0,167.0,34.0,2.088235294117647,4.911764705882353,4.911764705882353
Qwen2.5-3B,benqa_10th-Physics_0280,B,A,False,False,False,False,91.0,177.0,31.0,2.935483870967742,5.709677419354839,5.709677419354839
Qwen2.5-3B,benqa_10th-Physics_0296,D,B,False,False,False,False,59.0,130.0,29.0,2.0344827586206895,4.482758620689655,4.482758620689655
Qwen2.5-3B,benqa_12th-Biology-II_0034,B,C,False,False,False,False,51.0,109.0,20.0,2.55,5.45,5.45
Qwen2.5-3B,benqa_12th-Biology-II_0049,C,A,False,False,False,False,41.0,93.0,21.0,1.9523809523809523,4.428571428571429,4.428571428571429
Qwen2.5-3B,benqa_12th-Biology-II_0119,C,B,False,False,False,False,53.0,128.0,23.0,2.3043478260869565,5.565217391304348,5.565217391304348
Qwen2.5-3B,benqa_12th-Biology-II_0122,A,C,False,False,False,False,58.0,113.0,22.0,2.6363636363636362,5.136363636363637,5.136363636363637
Qwen2.5-3B,benqa_12th-Biology-II_0128,B,B,True,False,False,False,81.0,188.0,40.0,2.025,4.7,4.7
Qwen2.5-3B,benqa_12th-Biology-II_0179,A,B,False,False,False,False,55.0,126.0,24.0,2.2916666666666665,5.25,5.25
Qwen2.5-3B,benqa_12th-Biology-II_0203,D,D,True,True,False,False,116.0,270.0,52.0,2.230769230769231,5.1923076923076925,5.1923076923076925
Qwen2.5-3B,benqa_12th-Biology-II_0247,B,B,True,False,False,False,75.0,163.0,32.0,2.34375,5.09375,5.09375
Qwen2.5-3B,benqa_12th-Biology-II_0287,B,B,True,False,False,False,78.0,179.0,39.0,2.0,4.589743589743589,4.589743589743589
Qwen2.5-3B,benqa_12th-Biology-II_0321,C,B,False,False,False,False,53.0,122.0,21.0,2.5238095238095237,5.809523809523809,5.809523809523809
Qwen2.5-3B,benqa_12th-Biology-II_0325,A,B,False,False,False,False,68.0,160.0,26.0,2.6153846153846154,6.153846153846154,6.153846153846154
Qwen2.5-3B,benqa_12th-Biology-I_0039,C,B,False,False,False,False,54.0,122.0,20.0,2.7,6.1,6.1
Qwen2.5-3B,benqa_12th-Biology-I_0042,D,D,True,True,False,False,95.0,240.0,51.0,1.8627450980392157,4.705882352941177,4.705882352941177
Qwen2.5-3B,benqa_12th-Biology-I_0056,A,B,False,False,False,False,42.0,94.0,20.0,2.1,4.7,4.7
Qwen2.5-3B,benqa_12th-Biology-I_0077,C,D,False,True,True,False,58.0,134.0,24.0,2.4166666666666665,5.583333333333333,5.583333333333333
Qwen2.5-3B,benqa_12th-Biology-I_0160,B,B,True,False,False,False,76.0,220.0,33.0,2.303030303030303,6.666666666666667,6.666666666666667
Qwen2.5-3B,benqa_12th-Biology-I_0181,C,D,False,True,True,False,62.0,144.0,26.0,2.3846153846153846,5.538461538461538,5.538461538461538
Qwen2.5-3B,benqa_12th-Biology-I_0218,B,D,False,True,True,False,53.0,121.0,24.0,2.2083333333333335,5.041666666666667,5.041666666666667
Qwen2.5-3B,benqa_12th-Biology-I_0222,A,C,False,False,False,False,50.0,106.0,21.0,2.380952380952381,5.0476190476190474,5.0476190476190474
Qwen2.5-3B,benqa_12th-Biology-I_0265,A,D,False,True,True,False,176.0,422.0,72.0,2.4444444444444446,5.861111111111111,5.861111111111111
Qwen2.5-3B,benqa_12th-Biology-I_0277,D,B,False,False,False,False,49.0,109.0,21.0,2.3333333333333335,5.190476190476191,5.190476190476191
Qwen2.5-3B,benqa_12th-Biology-I_0283,A,D,False,True,True,False,96.0,237.0,53.0,1.8113207547169812,4.471698113207547,4.471698113207547
Qwen2.5-3B,benqa_12th-Chemistry-II_0013,C,C,True,False,False,False,62.0,142.0,22.0,2.8181818181818183,6.454545454545454,6.454545454545454
Qwen2.5-3B,benqa_12th-Chemistry-II_0054,A,A,True,False,False,False,57.0,129.0,20.0,2.85,6.45,6.45
Qwen2.5-3B,benqa_12th-Chemistry-II_0067,C,D,False,True,True,False,94.0,201.0,45.0,2.088888888888889,4.466666666666667,4.466666666666667
Qwen2.5-3B,benqa_12th-Chemistry-II_0117,C,D,False,True,True,False,95.0,223.0,49.0,1.9387755102040816,4.551020408163265,4.551020408163265
Qwen2.5-3B,benqa_12th-Chemistry-II_0194,A,B,False,False,False,False,43.0,91.0,20.0,2.15,4.55,4.55
Qwen2.5-3B,benqa_12th-Chemistry-II_0228,C,D,False,True,True,False,110.0,244.0,49.0,2.2448979591836733,4.979591836734694,4.979591836734694
Qwen2.5-3B,benqa_12th-Chemistry-II_0235,A,A,True,False,False,False,54.0,107.0,20.0,2.7,5.35,5.35
Qwen2.5-3B,benqa_12th-Chemistry-II_0240,B,B,True,False,False,False,106.0,237.0,38.0,2.789473684210526,6.2368421052631575,6.2894736842105265
Qwen2.5-3B,benqa_12th-Chemistry-II_0294,C,C,True,False,False,False,94.0,214.0,43.0,2.186046511627907,4.976744186046512,4.976744186046512
Qwen2.5-3B,benqa_12th-Chemistry-II_0305,D,A,False,False,False,False,81.0,141.0,27.0,3.0,5.222222222222222,5.222222222222222
Qwen2.5-3B,benqa_12th-Chemistry-II_0354,B,C,False,False,False,False,73.0,183.0,27.0,2.7037037037037037,6.777777777777778,6.777777777777778
Qwen2.5-3B,benqa_12th-Chemistry-I_0028,B,B,True,False,False,False,51.0,85.0,21.0,2.4285714285714284,4.0476190476190474,4.0476190476190474
Qwen2.5-3B,benqa_12th-Chemistry-I_0037,C,D,False,True,True,False,102.0,244.0,50.0,2.04,4.88,4.88
Qwen2.5-3B,benqa_12th-Chemistry-I_0140,D,A,False,False,False,False,128.0,243.0,36.0,3.5555555555555554,6.75,6.75
Qwen2.5-3B,benqa_12th-Chemistry-I_0174,A,D,False,True,True,False,84.0,204.0,43.0,1.9534883720930232,4.744186046511628,4.744186046511628
Qwen2.5-3B,benqa_12th-Chemistry-I_0190,B,C,False,False,False,False,52.0,114.0,22.0,2.3636363636363638,5.181818181818182,5.181818181818182
Qwen2.5-3B,benqa_12th-Chemistry-I_0218,D,B,False,False,False,False,67.0,129.0,23.0,2.9130434782608696,5.608695652173913,5.608695652173913
Qwen2.5-3B,benqa_12th-Chemistry-I_0227,D,B,False,False,False,False,49.0,92.0,23.0,2.130434782608696,4.0,4.0
Qwen2.5-3B,benqa_12th-Chemistry-I_0260,D,B,False,False,False,False,50.0,98.0,21.0,2.380952380952381,4.666666666666667,4.666666666666667
Qwen2.5-3B,benqa_12th-Chemistry-I_0286,C,A,False,False,False,False,54.0,103.0,22.0,2.4545454545454546,4.681818181818182,4.681818181818182
Qwen2.5-3B,benqa_12th-Chemistry-I_0303,D,D,True,True,False,False,44.0,99.0,21.0,2.0952380952380953,4.714285714285714,4.714285714285714
Qwen2.5-3B,benqa_12th-Chemistry-I_0328,B,A,False,False,False,False,47.0,95.0,20.0,2.35,4.75,4.75
Qwen2.5-3B,benqa_12th-Math-II_0043,D,B,False,False,False,False,81.0,153.0,33.0,2.4545454545454546,4.636363636363637,4.636363636363637
Qwen2.5-3B,benqa_12th-Math-II_0214,C,C,True,False,False,False,84.0,171.0,28.0,3.0,6.107142857142857,6.107142857142857
Qwen2.5-3B,benqa_12th-Math-II_0230,D,D,True,True,False,False,136.0,327.0,69.0,1.9710144927536233,4.739130434782608,4.739130434782608
Qwen2.5-3B,benqa_12th-Math-II_0234,A,A,True,False,False,False,99.0,207.0,36.0,2.75,5.75,5.75
Qwen2.5-3B,benqa_12th-Math-I_0029,B,C,False,False,False,False,133.0,235.0,54.0,2.462962962962963,4.351851851851852,4.351851851851852
Qwen2.5-3B,benqa_12th-Math-I_0088,C,A,False,False,False,False,61.0,124.0,22.0,2.772727272727273,5.636363636363637,5.636363636363637
Qwen2.5-3B,benqa_12th-Math-I_0120,D,B,False,False,False,False,80.0,157.0,41.0,1.951219512195122,3.8292682926829267,3.8292682926829267
Qwen2.5-3B,benqa_12th-Math-I_0186,A,B,False,False,False,False,146.0,251.0,68.0,2.1470588235294117,3.6911764705882355,3.6911764705882355
Qwen2.5-3B,benqa_12th-Math-I_0187,B,C,False,False,False,False,101.0,198.0,42.0,2.4047619047619047,4.714285714285714,4.714285714285714
Qwen2.5-3B,benqa_12th-Math-I_0202,B,D,False,True,True,False,93.0,174.0,31.0,3.0,5.612903225806452,5.612903225806452
Qwen2.5-3B,benqa_12th-Math-I_0218,A,A,True,False,False,False,96.0,198.0,41.0,2.341463414634146,4.829268292682927,4.829268292682927
Qwen2.5-3B,benqa_12th-Math-I_0310,B,B,True,False,False,False,81.0,145.0,20.0,4.05,7.25,7.25
Qwen2.5-3B,benqa_12th-Math-I_0326,B,D,False,True,True,False,57.0,108.0,25.0,2.28,4.32,4.32
Qwen2.5-3B,benqa_12th-Math-I_0342,C,A,False,False,False,False,132.0,294.0,48.0,2.75,6.125,6.125
Qwen2.5-3B,benqa_12th-Math-I_0383,D,D,True,True,False,False,76.0,139.0,22.0,3.4545454545454546,6.318181818181818,6.318181818181818
Qwen2.5-3B,benqa_12th-Physics-II_0037,B,C,False,False,False,False,54.0,120.0,22.0,2.4545454545454546,5.454545454545454,5.454545454545454
Qwen2.5-3B,benqa_12th-Physics-II_0046,C,D,False,True,True,False,90.0,216.0,43.0,2.0930232558139537,5.023255813953488,5.023255813953488
Qwen2.5-3B,benqa_12th-Physics-II_0085,D,D,True,True,False,False,88.0,190.0,43.0,2.046511627906977,4.4186046511627906,4.4186046511627906
Qwen2.5-3B,benqa_12th-Physics-II_0088,A,D,False,True,True,False,80.0,189.0,41.0,1.951219512195122,4.609756097560975,4.658536585365853
Qwen2.5-3B,benqa_12th-Physics-II_0131,B,B,True,False,False,False,181.0,416.0,53.0,3.4150943396226414,7.849056603773585,7.849056603773585
Qwen2.5-3B,benqa_12th-Physics-II_0195,B,C,False,False,False,False,71.0,126.0,30.0,2.3666666666666667,4.2,4.2
Qwen2.5-3B,benqa_12th-Physics-II_0213,D,C,False,False,False,False,121.0,250.0,45.0,2.688888888888889,5.555555555555555,5.555555555555555
Qwen2.5-3B,benqa_12th-Physics-II_0219,D,B,False,False,False,False,54.0,111.0,23.0,2.347826086956522,4.826086956521739,4.826086956521739
Qwen2.5-3B,benqa_12th-Physics-II_0267,B,D,False,True,True,False,145.0,287.0,49.0,2.9591836734693877,5.857142857142857,5.857142857142857
Qwen2.5-3B,benqa_12th-Physics-II_0290,B,C,False,False,False,False,108.0,223.0,46.0,2.347826086956522,4.8478260869565215,4.8478260869565215
Qwen2.5-3B,benqa_12th-Physics-II_0292,C,C,True,False,False,False,119.0,220.0,40.0,2.975,5.5,5.5
Qwen2.5-3B,benqa_12th-Physics-I_0008,D,D,True,True,False,False,99.0,189.0,33.0,3.0,5.7272727272727275,5.7272727272727275
Qwen2.5-3B,benqa_12th-Physics-I_0079,C,C,True,False,False,False,69.0,124.0,20.0,3.45,6.2,6.2
Qwen2.5-3B,benqa_12th-Physics-I_0106,D,D,True,True,False,False,53.0,101.0,21.0,2.5238095238095237,4.809523809523809,4.809523809523809
Qwen2.5-3B,benqa_12th-Physics-I_0109,C,B,False,False,False,False,53.0,120.0,24.0,2.2083333333333335,5.0,5.0
Qwen2.5-3B,benqa_12th-Physics-I_0133,C,C,True,False,False,False,88.0,172.0,32.0,2.75,5.375,5.375
Qwen2.5-3B,benqa_12th-Physics-I_0157,A,B,False,False,False,False,75.0,163.0,31.0,2.4193548387096775,5.258064516129032,5.258064516129032
Qwen2.5-3B,benqa_12th-Physics-I_0214,B,B,True,False,False,False,94.0,188.0,29.0,3.2413793103448274,6.482758620689655,6.482758620689655
Qwen2.5-3B,benqa_12th-Physics-I_0253,A,D,False,True,True,False,112.0,263.0,51.0,2.196078431372549,5.1568627450980395,5.1568627450980395
Qwen2.5-3B,benqa_12th-Physics-I_0254,B,C,False,False,False,False,65.0,140.0,23.0,2.8260869565217392,6.086956521739131,6.086956521739131
Qwen2.5-3B,benqa_12th-Physics-I_0256,C,A,False,False,False,False,76.0,179.0,30.0,2.533333333333333,5.966666666666667,5.966666666666667
Qwen2.5-3B,benqa_12th-Physics-I_0289,D,C,False,False,False,False,107.0,213.0,31.0,3.4516129032258065,6.870967741935484,6.870967741935484
Qwen2.5-3B,benqa_8th-Math_0031,D,B,False,False,False,False,80.0,150.0,30.0,2.6666666666666665,5.0,5.0
Qwen2.5-3B,benqa_8th-Math_0062,D,D,True,True,False,False,60.0,118.0,28.0,2.142857142857143,4.214285714285714,4.214285714285714
Qwen2.5-3B,benqa_8th-Math_0072,B,B,True,False,False,False,77.0,129.0,32.0,2.40625,4.03125,4.03125
Qwen2.5-3B,benqa_8th-Math_0085,C,B,False,False,False,False,53.0,100.0,23.0,2.3043478260869565,4.3478260869565215,4.3478260869565215
Qwen2.5-3B,benqa_8th-Math_0167,C,B,False,False,False,False,82.0,175.0,34.0,2.411764705882353,5.147058823529412,5.147058823529412
Qwen2.5-3B,benqa_8th-Math_0190,B,B,True,False,False,False,116.0,249.0,42.0,2.761904761904762,5.928571428571429,5.928571428571429
Qwen2.5-3B,benqa_8th-Science_0014,D,D,True,True,False,False,78.0,177.0,41.0,1.9024390243902438,4.317073170731708,4.317073170731708
Qwen2.5-3B,benqa_8th-Science_0024,C,D,False,True,True,False,60.0,140.0,25.0,2.4,5.6,5.6
Qwen2.5-3B,benqa_8th-Science_0042,B,A,False,False,False,False,44.0,95.0,20.0,2.2,4.75,4.75
Qwen2.5-3B,benqa_8th-Science_0062,D,B,False,False,False,False,58.0,133.0,25.0,2.32,5.32,5.32
Qwen2.5-3B,benqa_8th-Science_0078,C,B,False,False,False,False,105.0,246.0,38.0,2.763157894736842,6.473684210526316,6.473684210526316
Qwen2.5-3B,benqa_8th-Science_0086,A,B,False,False,False,False,49.0,113.0,21.0,2.3333333333333335,5.380952380952381,5.380952380952381
Qwen2.5-3B,benqa_8th-Science_0098,A,B,False,False,False,False,122.0,275.0,48.0,2.5416666666666665,5.729166666666667,5.729166666666667
Qwen2.5-3B,benqa_8th-Science_0127,B,D,False,True,True,False,51.0,118.0,22.0,2.3181818181818183,5.363636363636363,5.363636363636363
Qwen2.5-3B,benqa_8th-Science_0153,C,B,False,False,False,False,71.0,156.0,24.0,2.9583333333333335,6.5,6.5
Qwen2.5-3B,benqa_8th-Science_0159,B,C,False,False,False,False,40.0,92.0,20.0,2.0,4.6,4.6
Qwen2.5-3B,benqa_8th-Science_0202,C,A,False,False,False,False,101.0,302.0,32.0,3.15625,9.4375,9.4375
Qwen2.5-7B 8-bit,benqa_10th-Biology_0057,C,C,True,False,False,False,112.0,269.0,54.0,2.074074074074074,4.981481481481482,4.981481481481482
Qwen2.5-7B 8-bit,benqa_10th-Biology_0090,C,C,True,False,False,False,42.0,92.0,19.0,2.210526315789474,4.842105263157895,4.842105263157895
Qwen2.5-7B 8-bit,benqa_10th-Biology_0128,A,B,False,False,False,False,63.0,140.0,26.0,2.423076923076923,5.384615384615385,5.384615384615385
Qwen2.5-7B 8-bit,benqa_10th-Biology_0143,C,C,True,False,False,False,60.0,140.0,25.0,2.4,5.6,5.6
Qwen2.5-7B 8-bit,benqa_10th-Biology_0149,B,A,False,False,False,False,57.0,126.0,23.0,2.4782608695652173,5.478260869565218,5.478260869565218
Qwen2.5-7B 8-bit,benqa_10th-Biology_0156,C,C,True,False,False,False,54.0,100.0,22.0,2.4545454545454546,4.545454545454546,4.545454545454546
Qwen2.5-7B 8-bit,benqa_10th-Biology_0188,A,A,True,False,False,False,45.0,81.0,21.0,2.142857142857143,3.857142857142857,3.857142857142857
Qwen2.5-7B 8-bit,benqa_10th-Biology_0197,D,B,False,False,False,False,59.0,133.0,23.0,2.5652173913043477,5.782608695652174,5.782608695652174
Qwen2.5-7B 8-bit,benqa_10th-Biology_0213,A,A,True,False,False,False,61.0,143.0,27.0,2.259259259259259,5.296296296296297,5.296296296296297
Qwen2.5-7B 8-bit,benqa_10th-Biology_0215,B,D,False,True,True,False,130.0,285.0,50.0,2.6,5.7,5.7
Qwen2.5-7B 8-bit,benqa_10th-Biology_0277,C,B,False,False,False,False,103.0,248.0,56.0,1.8392857142857142,4.428571428571429,4.428571428571429
Qwen2.5-7B 8-bit,benqa_10th-Biology_0339,D,B,False,False,False,False,56.0,129.0,23.0,2.4347826086956523,5.608695652173913,5.608695652173913
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0041,D,A,False,False,False,False,97.0,208.0,33.0,2.9393939393939394,6.303030303030303,6.303030303030303
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0110,C,invalid,False,False,False,True,53.0,111.0,20.0,2.65,5.55,5.55
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0111,D,C,False,False,False,False,78.0,160.0,25.0,3.12,6.4,6.4
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0132,A,B,False,False,False,False,44.0,98.0,19.0,2.3157894736842106,5.157894736842105,5.157894736842105
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0191,A,C,False,False,False,False,118.0,281.0,57.0,2.0701754385964914,4.9298245614035086,4.9298245614035086
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0194,D,C,False,False,False,False,41.0,84.0,21.0,1.9523809523809523,4.0,4.0
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0280,A,B,False,False,False,False,41.0,86.0,20.0,2.05,4.3,4.3
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0322,B,A,False,False,False,False,53.0,114.0,20.0,2.65,5.7,5.7
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0336,D,B,False,False,False,False,121.0,271.0,54.0,2.240740740740741,5.018518518518518,5.018518518518518
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0374,B,B,True,False,False,False,51.0,112.0,21.0,2.4285714285714284,5.333333333333333,5.333333333333333
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0388,D,A,False,False,False,False,129.0,211.0,23.0,5.608695652173913,9.173913043478262,9.173913043478262
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0062,C,B,False,False,False,False,123.0,215.0,59.0,2.0847457627118646,3.6440677966101696,3.6440677966101696
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0102,D,C,False,False,False,False,70.0,127.0,32.0,2.1875,3.96875,3.96875
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0139,A,B,False,False,False,False,99.0,178.0,23.0,4.304347826086956,7.739130434782608,7.739130434782608
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0326,C,C,True,False,False,False,66.0,139.0,26.0,2.5384615384615383,5.346153846153846,5.346153846153846
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0347,D,A,False,False,False,False,79.0,160.0,27.0,2.925925925925926,5.925925925925926,5.925925925925926
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0357,D,A,False,False,False,False,96.0,172.0,33.0,2.909090909090909,5.212121212121212,5.212121212121212
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0367,C,B,False,False,False,False,80.0,177.0,28.0,2.857142857142857,6.321428571428571,6.321428571428571
Qwen2.5-7B 8-bit,benqa_10th-Math_0032,B,B,True,False,False,False,53.0,93.0,24.0,2.2083333333333335,3.875,3.875
Qwen2.5-7B 8-bit,benqa_10th-Math_0044,C,A,False,False,False,False,49.0,100.0,22.0,2.227272727272727,4.545454545454546,4.545454545454546
Qwen2.5-7B 8-bit,benqa_10th-Math_0186,C,A,False,False,False,False,70.0,138.0,32.0,2.1875,4.3125,4.3125
Qwen2.5-7B 8-bit,benqa_10th-Math_0271,D,C,False,False,False,False,102.0,217.0,36.0,2.8333333333333335,6.027777777777778,6.027777777777778
Qwen2.5-7B 8-bit,benqa_10th-Math_0324,A,B,False,False,False,False,69.0,144.0,30.0,2.3,4.8,4.8
Qwen2.5-7B 8-bit,benqa_10th-Physics_0021,C,A,False,False,False,False,42.0,91.0,19.0,2.210526315789474,4.7894736842105265,4.7894736842105265
Qwen2.5-7B 8-bit,benqa_10th-Physics_0036,C,C,True,False,False,False,97.0,169.0,36.0,2.6944444444444446,4.694444444444445,4.694444444444445
Qwen2.5-7B 8-bit,benqa_10th-Physics_0045,A,A,True,False,False,False,62.0,147.0,28.0,2.2142857142857144,5.25,5.25
Qwen2.5-7B 8-bit,benqa_10th-Physics_0055,D,C,False,False,False,False,66.0,160.0,29.0,2.2758620689655173,5.517241379310345,5.517241379310345
Qwen2.5-7B 8-bit,benqa_10th-Physics_0084,D,B,False,False,False,False,83.0,203.0,30.0,2.7666666666666666,6.766666666666667,6.766666666666667
Qwen2.5-7B 8-bit,benqa_10th-Physics_0106,A,C,False,False,False,False,83.0,172.0,36.0,2.3055555555555554,4.777777777777778,4.777777777777778
Qwen2.5-7B 8-bit,benqa_10th-Physics_0130,D,D,True,True,False,False,93.0,231.0,48.0,1.9375,4.8125,4.8125
Qwen2.5-7B 8-bit,benqa_10th-Physics_0150,B,B,True,False,False,False,39.0,86.0,19.0,2.0526315789473686,4.526315789473684,4.526315789473684
Qwen2.5-7B 8-bit,benqa_10th-Physics_0198,D,C,False,False,False,False,71.0,167.0,34.0,2.088235294117647,4.911764705882353,4.911764705882353
Qwen2.5-7B 8-bit,benqa_10th-Physics_0280,B,B,True,False,False,False,91.0,177.0,31.0,2.935483870967742,5.709677419354839,5.709677419354839
