queue_index,id,subject,grade,answer,priority,quality_status,warnings,source_file,source_row
46,benqa_ext_12th-Chemistry-I_0046,Chemistry-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,46
47,benqa_ext_12th-Chemistry-I_0063,Chemistry-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,63
48,benqa_ext_12th-Chemistry-I_0065,Chemistry-I,12th,B,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\bkhady[a-z]+,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,65
49,benqa_ext_12th-Chemistry-I_0163,Chemistry-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,163
50,benqa_ext_12th-Chemistry-I_0178,Chemistry-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,178
51,benqa_ext_12th-Chemistry-I_0267,Chemistry-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,267
52,benqa_ext_12th-Chemistry-I_0346,Chemistry-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,346
53,benqa_ext_12th-Chemistry-II_0003,Chemistry-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,3
54,benqa_ext_12th-Chemistry-II_0017,Chemistry-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,17
55,benqa_ext_12th-Chemistry-II_0022,Chemistry-II,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,22
56,benqa_ext_12th-Chemistry-II_0037,Chemistry-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,37
57,benqa_ext_12th-Chemistry-II_0056,Chemistry-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,56
58,benqa_ext_12th-Chemistry-II_0125,Chemistry-II,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,125
59,benqa_ext_12th-Chemistry-II_0148,Chemistry-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,148
60,benqa_ext_12th-Chemistry-II_0176,Chemistry-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,176
61,benqa_ext_12th-Chemistry-II_0258,Chemistry-II,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,258
62,benqa_ext_12th-Chemistry-II_0291,Chemistry-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,291
63,benqa_ext_12th-Chemistry-II_0317,Chemistry-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,317
64,benqa_ext_12th-Chemistry-II_0357,Chemistry-II,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,357
65,benqa_ext_12th-Chemistry-II_0361,Chemistry-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,361
66,benqa_ext_12th-Chemistry-II_0362,Chemistry-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,362
67,benqa_ext_12th-Chemistry-II_0384,Chemistry-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,384
68,benqa_ext_12th-Chemistry-II_0387,Chemistry-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,387
69,benqa_ext_10th-Math_0025,Math,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,25
70,benqa_ext_10th-Math_0035,Math,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,35
71,benqa_ext_10th-Math_0136,Math,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,136
72,benqa_ext_10th-Math_0160,Math,10th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,160
73,benqa_ext_10th-Math_0161,Math,10th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,161
74,benqa_ext_10th-Math_0189,Math,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,189
75,benqa_ext_10th-Math_0259,Math,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,259
76,benqa_ext_10th-Math_0302,Math,10th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,302
77,benqa_ext_10th-Math_0310,Math,10th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,310
78,benqa_ext_10th-Math_0351,Math,10th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,351
79,benqa_ext_10th-Math_0372,Math,10th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math.csv,372
80,benqa_ext_8th-Math_0020,Math,8th,C,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,20
81,benqa_ext_8th-Math_0055,Math,8th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,55
82,benqa_ext_8th-Math_0074,Math,8th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,74
83,benqa_ext_8th-Math_0083,Math,8th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,83
84,benqa_ext_8th-Math_0084,Math,8th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,84
85,benqa_ext_8th-Math_0089,Math,8th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,89
86,benqa_ext_8th-Math_0092,Math,8th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,92
87,benqa_ext_8th-Math_0154,Math,8th,B,warning,ai_assisted_review_warn_v1,english_duplicate_option_text,literature/code/BEnQA/data/BEnQA/8th-Math.csv,154
88,benqa_ext_8th-Math_0192,Math,8th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/8th-Math.csv,192
89,benqa_ext_12th-Math-I_0026,Math-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,26
90,benqa_ext_12th-Math-I_0077,Math-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,77
91,benqa_ext_12th-Math-I_0105,Math-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,105
92,benqa_ext_12th-Math-I_0153,Math-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,153
93,benqa_ext_12th-Math-I_0226,Math-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,226
94,benqa_ext_12th-Math-I_0256,Math-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,256
95,benqa_ext_12th-Math-I_0257,Math-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,257
96,benqa_ext_12th-Math-I_0281,Math-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,281
97,benqa_ext_12th-Math-I_0322,Math-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,322
98,benqa_ext_10th-Math-II_0025,Math-II,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,25
99,benqa_ext_10th-Math-II_0082,Math-II,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,82
100,benqa_ext_10th-Math-II_0203,Math-II,10th,D,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,203
101,benqa_ext_10th-Math-II_0208,Math-II,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,208
102,benqa_ext_10th-Math-II_0234,Math-II,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,234
103,benqa_ext_10th-Math-II_0282,Math-II,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,282
104,benqa_ext_10th-Math-II_0308,Math-II,10th,B,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,308
105,benqa_ext_10th-Physics_0002,Physics,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,2
106,benqa_ext_10th-Physics_0032,Physics,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,32
107,benqa_ext_10th-Physics_0110,Physics,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,110
108,benqa_ext_10th-Physics_0179,Physics,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,179
109,benqa_ext_10th-Physics_0229,Physics,10th,D,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,229
110,benqa_ext_10th-Physics_0239,Physics,10th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,239
111,benqa_ext_10th-Physics_0253,Physics,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,253
112,benqa_ext_10th-Physics_0287,Physics,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,287
113,benqa_ext_10th-Physics_0307,Physics,10th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,307
114,benqa_ext_10th-Physics_0312,Physics,10th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,312
115,benqa_ext_10th-Physics_0315,Physics,10th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,315
116,benqa_ext_12th-Physics-I_0001,Physics-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,1
117,benqa_ext_12th-Physics-I_0003,Physics-I,12th,C,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,3
118,benqa_ext_12th-Physics-I_0004,Physics-I,12th,A,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,4
119,benqa_ext_12th-Physics-I_0013,Physics-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,13
120,benqa_ext_12th-Physics-I_0040,Physics-I,12th,A,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,40
121,benqa_ext_12th-Physics-I_0043,Physics-I,12th,C,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,43
122,benqa_ext_12th-Physics-I_0059,Physics-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,59
123,benqa_ext_12th-Physics-I_0098,Physics-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,98
124,benqa_ext_12th-Physics-I_0117,Physics-I,12th,D,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,117
125,benqa_ext_12th-Physics-I_0137,Physics-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,137
126,benqa_ext_12th-Physics-I_0148,Physics-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,148
127,benqa_ext_12th-Physics-I_0170,Physics-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,170
128,benqa_ext_12th-Physics-I_0178,Physics-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,178
129,benqa_ext_12th-Physics-I_0186,Physics-I,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,186
130,benqa_ext_12th-Physics-I_0192,Physics-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,192
131,benqa_ext_12th-Physics-I_0205,Physics-I,12th,D,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,205
132,benqa_ext_12th-Physics-I_0219,Physics-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,219
133,benqa_ext_12th-Physics-I_0283,Physics-I,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,283
134,benqa_ext_12th-Physics-I_0296,Physics-I,12th,C,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\btb[a-z]+,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,296
135,benqa_ext_12th-Physics-II_0030,Physics-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,30
136,benqa_ext_12th-Physics-II_0035,Physics-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,35
137,benqa_ext_12th-Physics-II_0068,Physics-II,12th,A,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,68
138,benqa_ext_12th-Physics-II_0207,Physics-II,12th,D,warning,ai_assisted_review_warn_v1,bangla_banglish_formulaish_token_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,207
139,benqa_ext_12th-Physics-II_0273,Physics-II,12th,C,warning,ai_assisted_review_warn_v1,suspicious_romanization_pattern:\bdurotb[a-z]*,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,273
140,benqa_ext_12th-Physics-II_0279,Physics-II,12th,B,warning,ai_assisted_review_warn_v1,bangla_english_digit_mismatch,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,279
