id,gold,qwen25_3b_banglish_option,qwen25_3b_banglish_valid,qwen25_3b_banglish_correct,qwen25_7b_8bit_banglish_option,qwen25_7b_8bit_banglish_valid,qwen25_7b_8bit_banglish_correct,qwen3_4b_banglish_option,qwen3_4b_banglish_valid,qwen3_4b_banglish_correct,q25_both_valid,q25_agree,q25_agreement_option,q25_agree_non_d,q25_agree_d,q25_both_correct,q25_correct_agree,q25_correct_agree_non_d,q25_correct_agree_d,qwen3_same_as_q25_agreement,qwen3_switches_from_q25_agreement,qwen3_D,qwen3_wrong_D,qwen3_invalid
benqa_10th-Chemistry_0280,A,D,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Chemistry_0322,B,B,True,True,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Chemistry_0336,D,D,True,True,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Chemistry_0374,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_10th-Chemistry_0388,D,B,True,False,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Math-II_0062,C,C,True,True,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Math-II_0102,D,C,True,False,C,True,False,D,True,True,True,True,C,True,False,False,False,False,False,False,True,True,False,False
benqa_10th-Math-II_0139,A,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_10th-Math-II_0326,C,C,True,True,C,True,True,C,True,True,True,True,C,True,False,True,True,True,False,True,False,False,False,False
benqa_10th-Math-II_0347,D,B,True,False,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Math-II_0357,D,B,True,False,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Math-II_0367,C,B,True,False,B,True,False,C,True,True,True,True,B,True,False,False,False,False,False,False,True,False,False,False
benqa_10th-Math_0032,B,A,True,False,B,True,True,invalid,False,False,True,False,none,False,False,False,False,False,False,False,False,False,False,True
benqa_10th-Math_0044,C,B,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Math_0186,C,D,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Math_0271,D,A,True,False,C,True,False,C,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_10th-Math_0324,A,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_10th-Physics_0021,C,B,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_10th-Physics_0036,C,C,True,True,C,True,True,C,True,True,True,True,C,True,False,True,True,True,False,True,False,False,False,False
benqa_10th-Physics_0045,A,B,True,False,A,True,True,A,True,True,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_10th-Physics_0055,D,D,True,True,C,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_10th-Physics_0084,D,B,True,False,B,True,False,B,True,False,True,True,B,True,False,False,False,False,False,True,False,False,False,False
benqa_10th-Physics_0106,A,B,True,False,C,True,False,B,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_10th-Physics_0130,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_10th-Physics_0150,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_10th-Physics_0198,D,C,True,False,C,True,False,C,True,False,True,True,C,True,False,False,False,False,False,True,False,False,False,False
benqa_10th-Physics_0280,B,A,True,False,B,True,True,B,True,True,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_10th-Physics_0296,D,B,True,False,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Biology-II_0034,B,C,True,False,B,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-II_0049,C,A,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-II_0119,C,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_12th-Biology-II_0122,A,C,True,False,A,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-II_0128,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_12th-Biology-II_0179,A,B,True,False,D,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-II_0203,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_12th-Biology-II_0247,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_12th-Biology-II_0287,B,B,True,True,D,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-II_0321,C,B,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-II_0325,A,B,True,False,C,True,False,C,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_12th-Biology-I_0039,C,B,True,False,B,True,False,B,True,False,True,True,B,True,False,False,False,False,False,True,False,False,False,False
benqa_12th-Biology-I_0042,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_12th-Biology-I_0056,A,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_12th-Biology-I_0077,C,D,True,False,D,True,False,C,True,True,True,True,D,False,True,False,False,False,False,False,True,False,False,False
benqa_12th-Biology-I_0160,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_12th-Biology-I_0181,C,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Biology-I_0218,B,D,True,False,C,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-I_0222,A,C,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Biology-I_0265,A,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Biology-I_0277,D,B,True,False,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Biology-I_0283,A,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Chemistry-II_0013,C,C,True,True,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Chemistry-II_0054,A,A,True,True,A,True,True,C,True,False,True,True,A,True,False,True,True,True,False,False,True,False,False,False
benqa_12th-Chemistry-II_0067,C,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Chemistry-II_0117,C,D,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Chemistry-II_0194,A,B,True,False,A,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Chemistry-II_0228,C,D,True,False,C,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Chemistry-II_0235,A,A,True,True,B,True,False,C,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_12th-Chemistry-II_0240,B,B,True,True,B,True,True,C,True,False,True,True,B,True,False,True,True,True,False,False,True,False,False,False
benqa_12th-Chemistry-II_0294,C,C,True,True,A,True,False,C,True,True,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_12th-Chemistry-II_0305,D,A,True,False,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Chemistry-II_0354,B,C,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Chemistry-I_0028,B,B,True,True,C,True,False,C,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_12th-Chemistry-I_0037,C,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Chemistry-I_0140,D,A,True,False,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Chemistry-I_0174,A,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Chemistry-I_0190,B,C,True,False,C,True,False,D,True,False,True,True,C,True,False,False,False,False,False,False,True,True,True,False
benqa_12th-Chemistry-I_0218,D,B,True,False,B,True,False,D,True,True,True,True,B,True,False,False,False,False,False,False,True,True,False,False
benqa_12th-Chemistry-I_0227,D,B,True,False,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Chemistry-I_0260,D,B,True,False,C,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Chemistry-I_0286,C,A,True,False,A,True,False,D,True,False,True,True,A,True,False,False,False,False,False,False,True,True,True,False
benqa_12th-Chemistry-I_0303,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_12th-Chemistry-I_0328,B,A,True,False,B,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Math-II_0043,D,B,True,False,B,True,False,D,True,True,True,True,B,True,False,False,False,False,False,False,True,True,False,False
benqa_12th-Math-II_0214,C,C,True,True,B,True,False,C,True,True,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_12th-Math-II_0230,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_12th-Math-II_0234,A,A,True,True,B,True,False,invalid,False,False,True,False,none,False,False,False,False,False,False,False,False,False,False,True
benqa_12th-Math-I_0029,B,C,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Math-I_0088,C,A,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Math-I_0120,D,B,True,False,B,True,False,D,True,True,True,True,B,True,False,False,False,False,False,False,True,True,False,False
benqa_12th-Math-I_0186,A,B,True,False,A,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Math-I_0187,B,C,True,False,B,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Math-I_0202,B,D,True,False,B,True,True,B,True,True,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_12th-Math-I_0218,A,A,True,True,A,True,True,C,True,False,True,True,A,True,False,True,True,True,False,False,True,False,False,False
benqa_12th-Math-I_0310,B,B,True,True,B,True,True,B,True,True,True,True,B,True,False,True,True,True,False,True,False,False,False,False
benqa_12th-Math-I_0326,B,D,True,False,A,True,False,invalid,False,False,True,False,none,False,False,False,False,False,False,False,False,False,False,True
benqa_12th-Math-I_0342,C,A,True,False,D,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Math-I_0383,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_12th-Physics-II_0037,B,C,True,False,B,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-II_0046,C,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Physics-II_0085,D,D,True,True,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Physics-II_0088,A,D,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-II_0131,B,B,True,True,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-II_0195,B,C,True,False,D,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-II_0213,D,C,True,False,C,True,False,C,True,False,True,True,C,True,False,False,False,False,False,True,False,False,False,False
benqa_12th-Physics-II_0219,D,B,True,False,B,True,False,D,True,True,True,True,B,True,False,False,False,False,False,False,True,True,False,False
benqa_12th-Physics-II_0267,B,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Physics-II_0290,B,C,True,False,A,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-II_0292,C,C,True,True,C,True,True,D,True,False,True,True,C,True,False,True,True,True,False,False,True,True,True,False
benqa_12th-Physics-I_0008,D,D,True,True,B,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Physics-I_0079,C,C,True,True,C,True,True,C,True,True,True,True,C,True,False,True,True,True,False,True,False,False,False,False
benqa_12th-Physics-I_0106,D,D,True,True,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_12th-Physics-I_0109,C,B,True,False,C,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-I_0133,C,C,True,True,invalid,False,False,D,True,False,False,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-I_0157,A,B,True,False,B,True,False,C,True,False,True,True,B,True,False,False,False,False,False,False,True,False,False,False
benqa_12th-Physics-I_0214,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_12th-Physics-I_0253,A,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_12th-Physics-I_0254,B,C,True,False,B,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-I_0256,C,A,True,False,B,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_12th-Physics-I_0289,D,C,True,False,D,True,True,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_8th-Math_0031,D,B,True,False,B,True,False,D,True,True,True,True,B,True,False,False,False,False,False,False,True,True,False,False
benqa_8th-Math_0062,D,D,True,True,A,True,False,D,True,True,True,False,none,False,False,False,False,False,False,False,False,True,False,False
benqa_8th-Math_0072,B,B,True,True,D,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_8th-Math_0085,C,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_8th-Math_0167,C,B,True,False,B,True,False,D,True,False,True,True,B,True,False,False,False,False,False,False,True,True,True,False
benqa_8th-Math_0190,B,B,True,True,B,True,True,D,True,False,True,True,B,True,False,True,True,True,False,False,True,True,True,False
benqa_8th-Science_0014,D,D,True,True,D,True,True,D,True,True,True,True,D,False,True,True,True,False,True,True,False,True,False,False
benqa_8th-Science_0024,C,D,True,False,D,True,False,D,True,False,True,True,D,False,True,False,False,False,False,True,False,True,True,False
benqa_8th-Science_0042,B,A,True,False,C,True,False,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_8th-Science_0062,D,B,True,False,B,True,False,D,True,True,True,True,B,True,False,False,False,False,False,False,True,True,False,False
benqa_8th-Science_0078,C,B,True,False,B,True,False,C,True,True,True,True,B,True,False,False,False,False,False,False,True,False,False,False
benqa_8th-Science_0086,A,B,True,False,A,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_8th-Science_0098,A,B,True,False,A,True,True,B,True,False,True,False,none,False,False,False,False,False,False,False,False,False,False,False
benqa_8th-Science_0127,B,D,True,False,B,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_8th-Science_0153,C,B,True,False,C,True,True,D,True,False,True,False,none,False,False,False,False,False,False,False,False,True,True,False
benqa_8th-Science_0159,B,C,True,False,C,True,False,C,True,False,True,True,C,True,False,False,False,False,False,True,False,False,False,False
benqa_8th-Science_0202,C,A,True,False,A,True,False,A,True,False,True,True,A,True,False,False,False,False,False,True,False,False,False,False
