request_id,provider,model,id,dataset,task_type,answer_type,variant,variant_label,prompt_mode,gold,parsed,strict_correct,secondary_correct,secondary_reason,secondary_parsed,parsed_empty,choice_invalid,raw_chars,raw_line_count,raw_multiline,long_response_gt120,finish_reason,requested_max_output_tokens,requested_thinking_budget,usage_input_tokens,usage_output_tokens,usage_thoughts_tokens,usage_total_tokens,seconds,key_name,raw_excerpt
banglamath_0552::banglish_clean::baseline,anthropic,claude-sonnet-4-6,banglamath_0552,banglamath,short_answer,short_answer,banglish_clean,Reviewed Banglish,baseline,৪৫০০ বর্গগজ,ক্ষেত্রফল = 90 × 50,False,False,,ক্ষেত্রফল = 90 × 50,False,False,146,7,True,True,MAX_TOKENS,128,,72,128,0,0,3.620,ANTHROPIC_API_KEY,## সমান্তরিকের ক্ষেত্রফল **সূত্র:** ক্ষেত্রফল = ভূমি × উচ্চতা **প্রদত্ত তথ্য:** - ভূমি = 90 গজ - উচ্চতা = 50 গজ **সমাধান:** ক্ষেত্রফল = 90 × 50
banglamath_0552::english::baseline,anthropic,claude-sonnet-4-6,banglamath_0552,banglamath,short_answer,short_answer,english,English,baseline,৪৫০০ বর্গগজ,"4,500 square yards",False,True,short_extended_unit,"4,500 square yards",False,False,18,1,False,False,STOP,128,,68,10,0,0,1.765,ANTHROPIC_API_KEY,"4,500 square yards"
benqa_10th-Math_0044::bangla::baseline,anthropic,claude-sonnet-4-6,benqa_10th-Math_0044,benqa,mcq,choice,bangla,Bangla,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,106,4,0,0,1.694,ANTHROPIC_API_KEY,C
benqa_10th-Math_0044::banglish_clean::baseline,anthropic,claude-sonnet-4-6,benqa_10th-Math_0044,benqa,mcq,choice,banglish_clean,Reviewed Banglish,baseline,C,B,False,False,,B,False,False,1,1,False,False,STOP,128,,86,4,0,0,1.579,ANTHROPIC_API_KEY,B
benqa_10th-Math_0044::english::baseline,anthropic,claude-sonnet-4-6,benqa_10th-Math_0044,benqa,mcq,choice,english,English,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,79,4,0,0,5.567,ANTHROPIC_API_KEY,C
benqa_10th-Physics_0021::bangla::baseline,anthropic,claude-sonnet-4-6,benqa_10th-Physics_0021,benqa,mcq,choice,bangla,Bangla,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,101,4,0,0,1.715,ANTHROPIC_API_KEY,C
benqa_10th-Physics_0021::banglish_clean::baseline,anthropic,claude-sonnet-4-6,benqa_10th-Physics_0021,benqa,mcq,choice,banglish_clean,Reviewed Banglish,baseline,C,B,False,False,,B,False,False,1,1,False,False,STOP,128,,78,4,0,0,1.516,ANTHROPIC_API_KEY,B
benqa_10th-Physics_0021::english::baseline,anthropic,claude-sonnet-4-6,benqa_10th-Physics_0021,benqa,mcq,choice,english,English,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,74,4,0,0,1.845,ANTHROPIC_API_KEY,C
benqa_12th-Chemistry-II_0228::bangla::baseline,anthropic,claude-sonnet-4-6,benqa_12th-Chemistry-II_0228,benqa,mcq,choice,bangla,Bangla,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,214,4,0,0,3.203,ANTHROPIC_API_KEY,C
benqa_12th-Chemistry-II_0228::banglish_clean::baseline,anthropic,claude-sonnet-4-6,benqa_12th-Chemistry-II_0228,benqa,mcq,choice,banglish_clean,Reviewed Banglish,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,171,4,0,0,1.727,ANTHROPIC_API_KEY,C
benqa_12th-Chemistry-II_0228::english::baseline,anthropic,claude-sonnet-4-6,benqa_12th-Chemistry-II_0228,benqa,mcq,choice,english,English,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,160,4,0,0,1.590,ANTHROPIC_API_KEY,C
benqa_12th-Physics-II_0046::bangla::baseline,anthropic,claude-sonnet-4-6,benqa_12th-Physics-II_0046,benqa,mcq,choice,bangla,Bangla,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,190,4,0,0,1.598,ANTHROPIC_API_KEY,C
benqa_12th-Physics-II_0046::banglish_clean::baseline,anthropic,claude-sonnet-4-6,benqa_12th-Physics-II_0046,benqa,mcq,choice,banglish_clean,Reviewed Banglish,baseline,C,,False,False,,,True,True,273,4,True,True,MAX_TOKENS,128,,130,128,0,0,4.188,ANTHROPIC_API_KEY,The question is about adiabatic processes (রুদ্ধতাপীয় পরিবর্তন): i. হঠাৎ সংঘটিত হয় (occurs suddenly) - True for adiabatic process ii. তাপমাত্রা স্থির থাকে (temperature remains...
benqa_12th-Physics-II_0046::english::baseline,anthropic,claude-sonnet-4-6,benqa_12th-Physics-II_0046,benqa,mcq,choice,english,English,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,106,4,0,0,1.651,ANTHROPIC_API_KEY,C
benqa_8th-Math_0167::bangla::baseline,anthropic,claude-sonnet-4-6,benqa_8th-Math_0167,benqa,mcq,choice,bangla,Bangla,baseline,C,C,True,True,strict,C,False,False,75,3,True,False,STOP,128,,165,46,0,0,2.744,ANTHROPIC_API_KEY,Length = 1.5 × 16 = 24 meters Perimeter = 2(24 + 16) = 2(40) = 80 meters C
benqa_8th-Math_0167::banglish_clean::baseline,anthropic,claude-sonnet-4-6,benqa_8th-Math_0167,benqa,mcq,choice,banglish_clean,Reviewed Banglish,baseline,C,C,True,True,strict,C,False,False,132,5,True,True,STOP,128,,114,70,0,0,2.684,ANTHROPIC_API_KEY,The length is 1.5 times the width. Width = 16 meters Length = 16 × 1.5 = 24 meters Perimeter = 2 × (24 + 16) = 2 × 40 = 80 meters C
benqa_8th-Math_0167::english::baseline,anthropic,claude-sonnet-4-6,benqa_8th-Math_0167,benqa,mcq,choice,english,English,baseline,C,D,False,False,,D,False,False,1,1,False,False,STOP,128,,103,4,0,0,1.627,ANTHROPIC_API_KEY,D
benqa_8th-Science_0202::bangla::baseline,anthropic,claude-sonnet-4-6,benqa_8th-Science_0202,benqa,mcq,choice,bangla,Bangla,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,253,4,0,0,1.684,ANTHROPIC_API_KEY,C
benqa_8th-Science_0202::banglish_clean::baseline,anthropic,claude-sonnet-4-6,benqa_8th-Science_0202,benqa,mcq,choice,banglish_clean,Reviewed Banglish,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,159,4,0,0,1.685,ANTHROPIC_API_KEY,C
benqa_8th-Science_0202::english::baseline,anthropic,claude-sonnet-4-6,benqa_8th-Science_0202,benqa,mcq,choice,english,English,baseline,C,C,True,True,strict,C,False,False,1,1,False,False,STOP,128,,144,4,0,0,1.685,ANTHROPIC_API_KEY,C
