id,dataset,task_type,domain,quality_status,comparison,comparison_role,left_variant,right_variant,left_option_labels,right_option_labels,option_labels_preserved,left_digit_sequence,right_digit_sequence,digit_sequence_preserved,left_formula_tokens,right_formula_tokens,formula_tokens_preserved,left_answer_instruction,right_answer_instruction,answer_instruction_preserved,structural_mismatch,primary_pair_hard_fail,diagnostic_warning,mismatch_codes,left_preview,right_preview
benqa_12th-Chemistry-II_0194,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"semikondaktor hisebe byobohrit hoy- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D.","Used as semiconductor is- A. Ge B. Zn C. Cu D. Al Answer with only A, B, C, or D."
banglamath_0234,banglamath,short_answer,math,human_reviewed_banglish_v5,bangla_vs_banglish,primary,bangla,banglish_clean,,,True,10 15,10 15,True,,,True,final_answer,final_answer,True,False,False,False,,একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে Return only the final answer.,ekti kaj k 10 dine o kh 15 dine korle tara ekotre koto dine korbe Return only the final answer.
banglamath_0234,banglamath,short_answer,math,human_reviewed_banglish_v5,bangla_vs_english,diagnostic,bangla,english,,,True,10 15,10 15,True,,,True,final_answer,final_answer,True,False,False,False,,একটি কাজ ক ১০ দিনে ও খ ১৫ দিনে করলে তারা একত্রে কত দিনে করবে Return only the final answer.,"If A can do a job in 10 days and B in 15 days, how many days will they take together? Return only the final answer."
banglamath_0234,banglamath,short_answer,math,human_reviewed_banglish_v5,banglish_vs_english,diagnostic,banglish_clean,english,,,True,10 15,10 15,True,,,True,final_answer,final_answer,True,False,False,False,,ekti kaj k 10 dine o kh 15 dine korle tara ekotre koto dine korbe Return only the final answer.,"If A can do a job in 10 days and B in 15 days, how many days will they take together? Return only the final answer."
benqa_12th-Chemistry-II_0054,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,2 2,2 2,True,CHO CONH_{2} CONH_{2} COX NH_{2} NH_{2} \text \text \text \text,CHO CONH_{2} CONH_{2} COX NH_{2} NH_{2} \text \text \text \text,True,mcq_letters,mcq_letters,True,False,False,False,,"অ্যামাইডের কার্যকরী মূলক হলো- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D.","amaider karyokori mulok holo- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0054,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,2 2,2 2,True,CHO CONH_{2} CONH_{2} COX NH_{2} NH_{2} \text \text \text \text,CHO CONH_{2} CONH_{2} COX NH_{2} NH_{2},False,mcq_letters,mcq_letters,True,True,False,True,formulas,"অ্যামাইডের কার্যকরী মূলক হলো- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D.","The functional group of amide is- A. - CONH_{2} B. - COX C. - CHO D. - NH_{2} Answer with only A, B, C, or D."
benqa_12th-Chemistry-II_0054,benqa,mcq,chemistry-ii,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,2 2,2 2,True,CHO CONH_{2} CONH_{2} COX NH_{2} NH_{2} \text \text \text \text,CHO CONH_{2} CONH_{2} COX NH_{2} NH_{2},False,mcq_letters,mcq_letters,True,True,False,True,formulas,"amaider karyokori mulok holo- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D.","The functional group of amide is- A. - CONH_{2} B. - COX C. - CHO D. - NH_{2} Answer with only A, B, C, or D."
banglamath_0522,banglamath,short_answer,math,human_reviewed_banglish_v5,bangla_vs_banglish,primary,bangla,banglish_clean,,,True,2,2,True,,,True,final_answer,final_answer,True,False,False,False,,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত Return only the final answer.,jomir bhitore 2 mitar chowra rasta thakle rastabade jomir khetrofol koto Return only the final answer.
banglamath_0522,banglamath,short_answer,math,human_reviewed_banglish_v5,bangla_vs_english,diagnostic,bangla,english,,,True,2,2,True,,,True,final_answer,final_answer,True,False,False,False,,জমির ভিতরে ২ মিটার চওড়া রাস্তা থাকলে রাস্তাবাদে জমির ক্ষেত্রফল কত Return only the final answer.,"If there is a 2-meter-wide path inside the land, what is the area of the land including the path? Return only the final answer."
banglamath_0522,banglamath,short_answer,math,human_reviewed_banglish_v5,banglish_vs_english,diagnostic,banglish_clean,english,,,True,2,2,True,,,True,final_answer,final_answer,True,False,False,False,,jomir bhitore 2 mitar chowra rasta thakle rastabade jomir khetrofol koto Return only the final answer.,"If there is a 2-meter-wide path inside the land, what is the area of the land including the path? Return only the final answer."
benqa_12th-Math-II_0234,benqa,mcq,math-ii,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,2 4 3 0 1 1 4 3 3 4 4 3 3 4,2 4 3 0 1 1 4 3 3 4 4 3 3 4,True,\alpha \alpha \beta \beta \frac \frac \frac \frac \frac x^{2},\alpha \alpha \beta \beta \frac \frac \frac \frac \frac x^{2},True,mcq_letters,mcq_letters,True,False,False,False,,যদি x^{2} - 4x + 3 = 0 সমীকরণের মূলদ্বয় \alpha এবং \beta হয় তবে \frac{1}{\alpha} + frac{1}{\beta} এর মান- A. \frac{4}{3} B. \frac{3}{4} C. \frac-4}{3} D. \frac{-3}{4} Answer with o,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- A. \frac{4}{3} B. \frac{3}{4} C. \frac-4}{3} D. \frac{-3}{4} Answ
benqa_12th-Math-II_0234,benqa,mcq,math-ii,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,2 4 3 0 1 1 4 3 3 4 4 3 3 4,2 4 3 0 1 1 4 3 3 4 4 3 3 4,True,\alpha \alpha \beta \beta \frac \frac \frac \frac \frac x^{2},\alpha \alpha \beta \beta \frac \frac \frac \frac \frac x^{2},True,mcq_letters,mcq_letters,True,False,False,False,,যদি x^{2} - 4x + 3 = 0 সমীকরণের মূলদ্বয় \alpha এবং \beta হয় তবে \frac{1}{\alpha} + frac{1}{\beta} এর মান- A. \frac{4}{3} B. \frac{3}{4} C. \frac-4}{3} D. \frac{-3}{4} Answer with o,If the roots of the equation x^{2} - 4x + 3 = 0 are \alpha and \beta then the value of \frac{1}{\alpha} + frac{1}{\beta} is- A. \frac{4}{3} B. \frac{3}{4} C. \frac{-4}{3} D. \frac{
benqa_12th-Math-II_0234,benqa,mcq,math-ii,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,2 4 3 0 1 1 4 3 3 4 4 3 3 4,2 4 3 0 1 1 4 3 3 4 4 3 3 4,True,\alpha \alpha \beta \beta \frac \frac \frac \frac \frac x^{2},\alpha \alpha \beta \beta \frac \frac \frac \frac \frac x^{2},True,mcq_letters,mcq_letters,True,False,False,False,,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- A. \frac{4}{3} B. \frac{3}{4} C. \frac-4}{3} D. \frac{-3}{4} Answ,If the roots of the equation x^{2} - 4x + 3 = 0 are \alpha and \beta then the value of \frac{1}{\alpha} + frac{1}{\beta} is- A. \frac{4}{3} B. \frac{3}{4} C. \frac{-4}{3} D. \frac{
benqa_10th-Math_0271,benqa,mcq,math,human_reviewed_banglish_v5,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,30 60 40 50 45 45 50 30,30 60 40 50 45 45 50 30,True,\degree \degree \degree \degree \degree \degree \degree \degree,\degree \degree \degree \degree \degree \degree \degree \degree,True,mcq_letters,mcq_letters,True,False,False,False,,স্থূলকোণী ত্রিভুজের স্থূলকোণ ছাড়া বাকি কোণ দুটি কত হলে ত্রিভুজ অংকন সম্ভব? A. 30\degree ও 60\degree B. 40\degree ও 50\degree C. 45\degree ও 45\degree D. 50\degree ও 30\degree Answe,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? A. 30\degree o 60\degree B. 40\degree o 50\degree C. 45\degree o 45\degree D. 50\degree o 30\d
benqa_10th-Math_0271,benqa,mcq,math,human_reviewed_banglish_v5,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,30 60 40 50 45 45 50 30,30 60 40 50 45 45 50 30,True,\degree \degree \degree \degree \degree \degree \degree \degree,\degree \degree \degree \degree \degree \degree \degree \degree,True,mcq_letters,mcq_letters,True,False,False,False,,স্থূলকোণী ত্রিভুজের স্থূলকোণ ছাড়া বাকি কোণ দুটি কত হলে ত্রিভুজ অংকন সম্ভব? A. 30\degree ও 60\degree B. 40\degree ও 50\degree C. 45\degree ও 45\degree D. 50\degree ও 30\degree Answe,To draw a triangle which is the value of rest two angles except obtuse angle of obtuse angle triangle? A. 30\degree and 60\degree B. 40\degree and 50\degree C. 45\degree and 45\deg
benqa_10th-Math_0271,benqa,mcq,math,human_reviewed_banglish_v5,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,30 60 40 50 45 45 50 30,30 60 40 50 45 45 50 30,True,\degree \degree \degree \degree \degree \degree \degree \degree,\degree \degree \degree \degree \degree \degree \degree \degree,True,mcq_letters,mcq_letters,True,False,False,False,,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? A. 30\degree o 60\degree B. 40\degree o 50\degree C. 45\degree o 45\degree D. 50\degree o 30\d,To draw a triangle which is the value of rest two angles except obtuse angle of obtuse angle triangle? A. 30\degree and 60\degree B. 40\degree and 50\degree C. 45\degree and 45\deg
benqa_10th-Physics_0045,benqa,mcq,physics,human_reviewed_banglish_v5,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"কোন নির্দিষ্ট ভরের কোনো বস্তুর বেগ দ্বিগুন করলে গতিশক্তি কত গুন হবে? A. চারগুন B. দ্বিগুন C. অর্ধেক D. সমান Answer with only A, B, C, or D.","kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? A. charogun B. dwigun C. ordhek D. soman Answer with only A, B, C, or D."
benqa_10th-Physics_0045,benqa,mcq,physics,human_reviewed_banglish_v5,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"কোন নির্দিষ্ট ভরের কোনো বস্তুর বেগ দ্বিগুন করলে গতিশক্তি কত গুন হবে? A. চারগুন B. দ্বিগুন C. অর্ধেক D. সমান Answer with only A, B, C, or D.","How many times the kinetic energy of a definite mass when it's velocity replaced by twice time? A. Four time B. Twice time C. Half D. Equal Answer with only A, B, C, or D."
benqa_10th-Physics_0045,benqa,mcq,physics,human_reviewed_banglish_v5,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? A. charogun B. dwigun C. ordhek D. soman Answer with only A, B, C, or D.","How many times the kinetic energy of a definite mass when it's velocity replaced by twice time? A. Four time B. Twice time C. Half D. Equal Answer with only A, B, C, or D."
benqa_8th-Science_0086,benqa,mcq,science,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"কোনটির প্রজনন অফসেটের মাধ্যমে হয়? A. টোপাপানা B. পুদিনা C. পিঁয়াজ D. পেয়ারা Answer with only A, B, C, or D.","konotir projonon ofoseter madhyome hoy? A. topapana B. pudina C. pinyaj D. peyara Answer with only A, B, C, or D."
benqa_8th-Science_0086,benqa,mcq,science,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"কোনটির প্রজনন অফসেটের মাধ্যমে হয়? A. টোপাপানা B. পুদিনা C. পিঁয়াজ D. পেয়ারা Answer with only A, B, C, or D.","The reproduction of which occurs through offset? A. Spirodela B. Minite C. Onion D. Guava Answer with only A, B, C, or D."
benqa_8th-Science_0086,benqa,mcq,science,auto_romanized_unverified_v4,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"konotir projonon ofoseter madhyome hoy? A. topapana B. pudina C. pinyaj D. peyara Answer with only A, B, C, or D.","The reproduction of which occurs through offset? A. Spirodela B. Minite C. Onion D. Guava Answer with only A, B, C, or D."
benqa_10th-Math-II_0139,benqa,mcq,math-ii,human_reviewed_banglish_v5,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,1 2 1 10 1 30 10 1 1010 1 1100 1 11000 1 10010,1 2 1 10 1 30 10 1 1010 1 1100 1 11000 1 10010,True,\frac \frac \frac \frac \frac \frac \frac,\frac \frac \frac \frac \frac \frac \frac,True,mcq_letters,mcq_letters,True,False,False,False,,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... অনুক্রমটির 10 তম পদ কত? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000} D. \frac{1}{10010} Answer with only A, B, C, or D.","\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000} D. \frac{1}{10010} Answer with only A, B, C, or D."
benqa_10th-Math-II_0139,benqa,mcq,math-ii,human_reviewed_banglish_v5,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,1 2 1 10 1 30 10 1 1010 1 1100 1 11000 1 10010,1 2 1 10 1 30 10 1 1010 1 1100 1 11000 1 10010,True,\frac \frac \frac \frac \frac \frac \frac,10^{th} \cdots \frac \frac \frac \frac \frac \frac \frac,False,mcq_letters,mcq_letters,True,True,False,True,formulas,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... অনুক্রমটির 10 তম পদ কত? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000} D. \frac{1}{10010} Answer with only A, B, C, or D.","\frac{1}{2},\frac{1}{10},\frac{1}{30}\cdots What is the 10^{th} term of the sequence? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000} D. \frac{1}{10010} Answer with only A, "
benqa_10th-Math-II_0139,benqa,mcq,math-ii,human_reviewed_banglish_v5,banglish_vs_english,diagnostic,banglish_clean,english,A B C D,A B C D,True,1 2 1 10 1 30 10 1 1010 1 1100 1 11000 1 10010,1 2 1 10 1 30 10 1 1010 1 1100 1 11000 1 10010,True,\frac \frac \frac \frac \frac \frac \frac,10^{th} \cdots \frac \frac \frac \frac \frac \frac \frac,False,mcq_letters,mcq_letters,True,True,False,True,formulas,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000} D. \frac{1}{10010} Answer with only A, B, C, or D.","\frac{1}{2},\frac{1}{10},\frac{1}{30}\cdots What is the 10^{th} term of the sequence? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000} D. \frac{1}{10010} Answer with only A, "
benqa_12th-Biology-II_0325,benqa,mcq,biology-ii,auto_romanized_unverified_v4,bangla_vs_banglish,primary,bangla,banglish_clean,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"রুই মাছের শ্রেণি পাখনায় রক্ত পরিবহন করে নিচের কোন ধমনি? A. ইলিয়াক B. প্যারাইল C. সিলিয়াকো-মেসেন্টারিক D. সাবক্লাভিয়ান Answer with only A, B, C, or D.","rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? A. iliyak B. pyarail C. siliyako-mesentarik D. saboklabhiyan Answer with only A, B, C, or D."
benqa_12th-Biology-II_0325,benqa,mcq,biology-ii,auto_romanized_unverified_v4,bangla_vs_english,diagnostic,bangla,english,A B C D,A B C D,True,,,True,,,True,mcq_letters,mcq_letters,True,False,False,False,,"রুই মাছের শ্রেণি পাখনায় রক্ত পরিবহন করে নিচের কোন ধমনি? A. ইলিয়াক B. প্যারাইল C. সিলিয়াকো-মেসেন্টারিক D. সাবক্লাভিয়ান Answer with only A, B, C, or D.","Which artery of the below transmits blood in Ruie fishe's pelvic fin? A. Iliac B. parietal C. Coeliaco-mesenteric D. Subclavian Answer with only A, B, C, or D."
