model,model_id,variant,variant_label,dataset,task_type,answer_type,id,gold,correct,parsed,parsed_empty,choice_invalid,format_failure,raw_chars,parsed_chars,raw_line_count,raw_multiline,raw_long_gt120,source,line,raw_excerpt
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0187,১৪০ জন,False,72,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,570,72
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0188,১৫ ঘণ্টা,False,10.8,False,False,False,4,4,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,457,10.8
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0188,১৫ ঘণ্টা,False,14,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,153,14
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0188,১৫ ঘণ্টা,False,4.8,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,459,4.8
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0189,৬ জন পুরুষ,False,18,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,70,18
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0189,৬ জন পুরুষ,False,"2 purush, 9 balok",False,False,False,17,17,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,24,"2 purush, 9 balok"
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0189,৬ জন পুরুষ,False,4,False,False,False,1,1,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,72,4
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0226,২৫০ টাকা,False,300,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,256,300
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0226,২৫০ টাকা,False,330,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,86,330
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0226,২৫০ টাকা,False,325,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,258,325
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0227,৭.৫ কিমি,False,7.5,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,112,7.5
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0227,৭.৫ কিমি,False,10,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,38,10
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0227,৭.৫ কিমি,False,7.5km,False,False,False,5,5,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,114,7.5km
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0228,২/৫,False,40% একটি সাধারণ ভগ্নাংশে প্রকাশ করলে 4/10 হয়.,False,False,False,46,46,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,166,40% একটি সাধারণ ভগ্নাংশে প্রকাশ করলে 4/10 হয়.
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0228,২/৫,False,40% of the population reads or writes,False,False,False,37,37,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,56,40% of the population reads or writes
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0228,২/৫,True,2/5,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,168,2/5
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0229,1.5,True,1.50,False,False,False,4,4,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,586,1.50
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0229,1.5,False,50%,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,196,50%
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0229,1.5,True,1.5,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,588,1.5
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0230,20%,True,20%,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,154,20%
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0230,20%,False,100 taka,False,False,False,8,8,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,52,100 taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0230,20%,True,20%,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,156,20%
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0231,২০ টাকা,False,12,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,523,12
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0231,২০ টাকা,False,12%,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,175,12%
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0231,২০ টাকা,True,20 Taka,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,525,20 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0232,২০০ টাকা,False,350,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,214,350
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0232,২০০ টাকা,False,105,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,72,105
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0232,২০০ টাকা,False,246.67 Taka,False,False,False,11,11,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,216,246.67 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0233,৭ দিন,False,21,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,379,21
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0233,৭ দিন,False,4 dine,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,127,4 dine
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0233,৭ দিন,False,14,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,381,14
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0234,৬ দিন,False,5 days,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,16,5 days
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0234,৬ দিন,False,35 dine,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,6,35 dine
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0234,৬ দিন,False,5,False,False,False,1,1,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,18,5
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0236,১২ টাকা,False,30,False,False,False,2,2,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,64,30
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0236,১২ টাকা,False,80 taka,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,22,80 taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0236,১২ টাকা,False,6 Taka,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,66,6 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0237,৬৪ টাকা,False,768,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,295,768
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0237,৬৪ টাকা,False,"1 dojon dimer dam 48 taka, hole 16ti dimer dam koto",False,False,False,51,51,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,99,"1 dojon dimer dam 48 taka, hole 16ti dimer dam koto"
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0237,৬৪ টাকা,False,3 Taka,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,297,3 Taka
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0518,১৫০ মিটার,False,80 meters,False,False,False,9,9,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,364,80 meters
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0518,১৫০ মিটার,False,400,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,122,400
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0518,১৫০ মিটার,False,200 meters,False,False,False,10,10,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,366,200 meters
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0519,৭৫০০ বর্গমিটার,False,7500平方米,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,289,7500平方米
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0519,৭৫০০ বর্গমিটার,False,300,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,97,300
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0519,৭৫০০ বর্গমিটার,False,7500平方米,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,291,7500平方米
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0521,৭০ মিটার,False,70 meters,False,False,False,9,9,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,574,70 meters
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0521,৭০ মিটার,False,5 mitar,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,192,5 mitar
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0521,৭০ মিটার,False,80 meters,False,False,False,9,9,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,576,80 meters
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0522,১৭৬ বর্গমিটার,False,19.71 হবে জমির ক্ষেত্রফল।,False,False,False,25,25,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,22,19.71 হবে জমির ক্ষেত্রফল।
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0522,১৭৬ বর্গমিটার,False,jomir khetrofol koto 2 mitar chowra rasta thakle rastabade jomir bhitore,False,False,False,72,72,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,8,jomir khetrofol koto 2 mitar chowra rasta thakle rastabade jomir bhitore
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0522,১৭৬ বর্গমিটার,False,.,False,False,False,94,1,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,24,Additional information about the original land area is required to provide an accurate answer.
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0526,৩০ বর্গ মিটার,True,30 বর্গমিটার,False,False,False,12,12,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,493,30 বর্গমিটার
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0526,৩০ বর্গ মিটার,False,3,False,False,False,1,1,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,165,3
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0526,৩০ বর্গ মিটার,True,30 square meters,False,False,False,16,16,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,495,30 square meters
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0531,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,False,550700克,False,False,False,7,7,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,481,550700克
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0531,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,False,2800 grams,False,False,False,10,10,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,161,2800 grams
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0531,৫ মেট্রিক টন ৫০৭ কেজি ৭০০ গ্রাম,False,55700 kg,False,False,False,8,8,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,483,55700 kg
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0532,১ মেট্রিক টন ৭৫০ কেজি,False,23.125,False,False,False,6,6,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,118,23.125
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglish_clean,Reviewed Banglish,banglamath,short_answer,short_answer,banglamath_0532,১ মেট্রিক টন ৭৫০ কেজি,False,4.5,False,False,False,3,3,1,False,False,results/runs/qwen2_5_3b_validation200_v5_banglish/results/runs/qwen2_5_3b_validation200_v5_banglish.jsonl,40,4.5
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,english,English,banglamath,short_answer,short_answer,banglamath_0532,১ মেট্রিক টন ৭৫০ কেজি,False,1.25 metric tons,False,False,False,16,16,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,120,1.25 metric tons
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,bangla,Bangla,banglamath,short_answer,short_answer,banglamath_0533,৬৬৬ মেট্রিক টন ৬৬৬ কেজি ৬৬৬ গ্রাম (প্রায়),False,55.56 mt/day,False,False,False,12,12,1,False,False,results/runs/qwen2_5_3b_validation200_v3_128/results/runs/qwen2_5_3b_validation200_v3_128.jsonl,205,55.56 mt/day
