model,id,subject,gold,banglish_parsed,bangla_parsed,english_parsed,recovered_by,category,banglish_excerpt
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-I_0037,Chemistry-I,C,D,C,D,Bangla,romanized_word_ambiguity,"dhatur golonangk briddhi pay, jokhon- i. dhatob kelase mukt ilekotron beshi thake ii. ayonikoron bibhob hras pay iii. poromanur akar kshudr hoy nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-I_0140,Chemistry-I,D,A,B,D,English,number_unit_misread,CaF_{2}-er somprikt joliy drobone floraid ayoner ghonomatra 0.00655 gL^{-1} hole CaF_{2} er drabyota gunofol koto hobe? | A. 3.7\times 10^{-13} | B. 2.048\times 10^{-10} | C. 3.7\times 10^{-12} | D. 2.048\times 10^{-11}
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-I_0174,Chemistry-I,A,D,D,A,English,romanized_word_ambiguity,"bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? | A. i o ii | B. i o iii | C. ii o iii | D. i, ii o iii"
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-I_0260,Chemistry-I,D,B,C,D,English,number_unit_misread,bhinegare koto shotangsh pani bidyoman? | A. 6% | B. 15% | C. 70% | D. 90%
Qwen2.5-3B-Instruct,benqa_12th-Chemistry-I_0328,Chemistry-I,B,A,B,D,Bangla,romanized_word_ambiguity,Cl(17) kon bloker moul? | A. s-blok | B. p-blok | C. d-blok | D. f-blok
Qwen2.5-3B-Instruct,benqa_12th-Math-II_0043,Math-II,D,B,C,D,English,number_unit_misread,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 somikoronoti ki nirdesh kore? | A. britt | B. porabritt | C. upobritt | D. odhibritt
Qwen2.5-3B-Instruct,benqa_12th-Math-I_0202,Math-I,B,D,B,D,Bangla,romanized_word_ambiguity,\int \frac{cosx}{\sqrt{sinx}} dx = koto? | A. 2\sqrt{cosx} + c | B. 2\sqrt{sinx} + c | C. \frac{1}{2} \sqrt{cosx} + c | D. \frac{1}{2} \sqrt{sinx} + c
Qwen2.5-3B-Instruct,benqa_12th-Physics-II_0037,Physics-II,B,C,D,B,English,number_unit_misread,enotropir ekok nicher konti? | A. NK^{-1} | B. JK^{-1} | C. JK^{-1} mol^{-1} | D. ekokohin rashi
Qwen2.5-3B-Instruct,benqa_12th-Physics-II_0046,Physics-II,C,D,C,C,Bangla+English,romanized_word_ambiguity,"ruddhotapiy poribortoner khetre- i. hothat songghotit hoy ii. tapomatra sthir thake iii. enotropir poriborton shuny nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen2.5-3B-Instruct,benqa_12th-Physics-II_0195,Physics-II,B,C,D,B,English,number_unit_misread,prithibir byasardh 6500 km er dharokotto koto? | A. 711 F | B. 722 \mu F | C. 640 \mu F | D. 614 \mu F
Qwen2.5-3B-Instruct,benqa_12th-Physics-I_0109,Physics-I,C,B,D,C,English,romanized_word_ambiguity,torker opor nam ki? | A. ghorshon bol | B. jorotar bhramok | C. ghurnon bol | D. kendromukhi bol
Qwen2.5-3B-Instruct,benqa_12th-Physics-I_0157,Physics-I,A,B,A,B,Bangla,number_unit_misread,bhor ebong beg ubhoyoke briddhi kore jothakrome tinogun kora hole gotishoktir briddhir poriman kotogun hobe? | A. 27 | B. 21 | C. 18 | D. 8
Qwen2.5-3B-Instruct,benqa_8th-Math_0031,Math,D,B,B,D,English,number_unit_misread,"ekti garir chakar poridhi 5.15 mitar hole, chakatir byas koto? | A. 0.82 mitar | B. 0.96 mitar | C. 1.28 mitar | D. 1.64 mitar"
Qwen2.5-3B-Instruct,benqa_8th-Math_0085,Math,C,B,B,C,English,number_unit_misread,4 kromer myajik borger konakuni jogfol koto? | A. 15 | B. 16 | C. 34 | D. 65
Qwen2.5-3B-Instruct,benqa_8th-Math_0167,Math,C,B,C,C,Bangla+English,number_unit_misread,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto? | A. 40 mitar | B. 64 mitar | C. 80 mitar | D. 96 mitar"
Qwen2.5-3B-Instruct,benqa_8th-Science_0042,Science,B,A,B,B,Bangla+English,technical_term_corruption,saban toirir mul upadan | A. esid | B. ksharok | C. lobon | D. glisarin
Qwen2.5-3B-Instruct,benqa_8th-Science_0062,Science,D,B,A,D,English,romanized_word_ambiguity,nicher konotike mutr toiriri karokhana hisebe obhihit kora jay? | A. fusofus | B. twok | C. jokrit | D. britt
Qwen2.5-3B-Instruct,benqa_8th-Science_0153,Science,C,B,C,C,Bangla+English,technical_term_corruption,pakostholir esiditi niramoye konti upojogi? | A. kyalosiyam | B. esitik esid | C. ojoluminiyam haidroksaid | D. amoniyam haidroksaid
Qwen2.5-3B-Instruct,benqa_8th-Science_0202,Science,C,A,C,C,Bangla+English,romanized_word_ambiguity,sothik khaddo-shringkhol konti? | A. ghas \rightarrow faitoplyangkoton \rightarrow juplangkoton | B. ju-plangkoton \rightarrow faitoplyangkoton\rightarrow chhotomas | C. faitoplangkoton \rightarrow ju-plangkoton \rightarrow chhotomachh | D.
Qwen2.5-7B-Instruct,benqa_10th-Biology_0128,Biology,A,B,C,A,English,technical_term_corruption,ister shboson prokriyay konti utoponn hoy? | A. lyakotik esid | B. glukoj | C. oksalo asitik esid | D. glisarik esid
Qwen2.5-7B-Instruct,benqa_10th-Biology_0149,Biology,B,A,B,B,Bangla+English,technical_term_corruption,konotir prantiy prachir gole noler srishti hoy? | A. sibhokosh | B. bhesel | C. trakid | D. songgikosh
Qwen2.5-7B-Instruct,benqa_10th-Biology_0215,Biology,B,D,C,B,English,number_unit_misread,C_{6}H_{12}O_{6}\xarrowright{enojaim}C_{3}H_{4}O_{3} uddipoker prokriyati- i. sobat o obat shbosoner prothom dhap ii. kosher maitokondriyay ghote thake iii. ete nit onu ATP utoponn hoy nicher konti sothik? | A. i o ii | B. i o iii | C. ii o
Qwen2.5-7B-Instruct,benqa_10th-Biology_0339,Biology,D,B,B,D,English,technical_term_corruption,nicher kon udbhide salokosongshleshon har beshi? | A. bot gachh | B. kanthal | C. peyara | D. kochuripana
Qwen2.5-7B-Instruct,benqa_10th-Chemistry_0041,Chemistry,D,A,C,D,English,number_unit_misread,nicher kon tothyoti sothik? | A. C_{2}H_{4} opeksha C_{2}H{6} odhik sokriy | B. CH_{4} ksharoker sathe bikriya kore | C. ithanol ekti haidrokarbon | D. polipropinoke ri-saikel kora jay
Qwen2.5-7B-Instruct,benqa_10th-Chemistry_0110,Chemistry,C,,C,C,Bangla+English,option_format_failure,chuner panir songket konti? | A. CaCO_{3} | B. CaO | C. Ca(OH)_{2} | D. Ca(HCO_{3})_{2}
Qwen2.5-7B-Instruct,benqa_10th-Chemistry_0132,Chemistry,A,B,A,A,Bangla+English,technical_term_corruption,bisforok podarth konti? | A. ti.en.ti | B. benojin | C. toluin | D. jailin
Qwen2.5-7B-Instruct,benqa_10th-Chemistry_0194,Chemistry,D,C,B,D,English,romanized_word_ambiguity,nicher kon mouloti odhik sokriy? | A. O | B. P | C. N | D. F
Qwen2.5-7B-Instruct,benqa_10th-Chemistry_0322,Chemistry,B,A,B,B,Bangla+English,technical_term_corruption,konotir onute dwi-bondhon bidyoman? | A. haidrojen | B. oksijen | C. naitrojen | D. klorin
Qwen2.5-7B-Instruct,benqa_10th-Math_0044,Math,C,A,C,C,Bangla+English,number_unit_misread,ekti borger kototi protisamy rekha ache? | A. 8ti | B. 6ti | C. 4ti | D. 2ti
Qwen2.5-7B-Instruct,benqa_10th-Math_0271,Math,D,C,C,D,English,romanized_word_ambiguity,sthulokoni tribhujer sthulokon chhara baki kon duti koto hole tribhuj ongkon sombhob? | A. 30\degree o 60\degree | B. 40\degree o 50\degree | C. 45\degree o 45\degree | D. 50\degree o 30\degree
Qwen2.5-7B-Instruct,benqa_10th-Math_0324,Math,A,B,A,A,Bangla+English,number_unit_misread,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya? | A. a + b | B. ab | C. \frac{a}{b} | D. \frac{b}{a}
Qwen2.5-7B-Instruct,benqa_10th-Physics_0021,Physics,C,A,C,C,Bangla+English,technical_term_corruption,konti moulik ekok? | A. jul | B. niuton | C. kyandela | D. pyasokel
Qwen2.5-7B-Instruct,benqa_10th-Physics_0055,Physics,D,C,B,D,English,romanized_word_ambiguity,panite santar katar somoy kon badha otikrom korte hoy? | A. sthiti ghorshon | B. goti ghorshon | C. abort ghorshon | D. probahi ghorshon
Qwen2.5-7B-Instruct,benqa_10th-Physics_0198,Physics,D,C,C,D,English,romanized_word_ambiguity,"nicher kon rashigulo bhektor rashi? | A. druti, kaj o beg | B. torit bibhob, soron o tworon | C. druti, soron o beg | D. bhorobeg, soron o ojon"
Qwen2.5-7B-Instruct,benqa_12th-Biology-II_0049,Biology-II,C,B,C,A,Bangla,romanized_word_ambiguity,otitis midiya' kon ongger rog? | A. chokh | B. nak | C. kan | D. gola
Qwen2.5-7B-Instruct,benqa_12th-Biology-II_0179,Biology-II,A,D,A,A,Bangla+English,technical_term_corruption,rokt jomat bandhote kon dhatob ayon sohayota kore? | A. Ca^{++} | B. Mg^{++} | C. Cu^{++} | D. Fe^{++}
Qwen2.5-7B-Instruct,benqa_12th-Biology-II_0287,Biology-II,B,D,B,B,Bangla+English,romanized_word_ambiguity,"protin poripake ongsh ney konti? i. peposin ii. amailej iii. karboksipepotaid nicher konti sothik? | A. i o ii | B. i o iii | C. ii o iii | D. i, ii, o iii"
Qwen2.5-7B-Instruct,benqa_12th-Biology-II_0321,Biology-II,C,A,D,C,English,technical_term_corruption,pranijogoter dwitiy brihottom porb konti? | A. Cnidaria | B. Annelida | C. Mollusca | D. Athropoda
Qwen2.5-7B-Instruct,benqa_12th-Biology-II_0325,Biology-II,A,C,C,A,English,technical_term_corruption,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? | A. iliyak | B. pyarail | C. siliyako-mesentarik | D. saboklabhiyan
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0039,Biology-I,C,B,C,D,Bangla,technical_term_corruption,udbhider ontohstiliy ongsh hochchhe- | A. haipodarmis | B. epidarmis | C. mojjaroshmi | D. karteks
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0056,Biology-I,A,B,A,A,Bangla+English,romanized_word_ambiguity,konotite haidothod thakote pare? | A. pata | B. ful | C. mul | D. kand
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0077,Biology-I,C,D,C,C,Bangla+English,technical_term_corruption,nicher kon dhape kromatidogulo merumukhi cholote shuru kore? | A. profej | B. metafej | C. anafej | D. telofej
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0181,Biology-I,C,D,C,A,Bangla,technical_term_corruption,myaleriya jibanur joun jonone sochol o lombakritir jaigoter nam ki? | A. sporojoyet | B. uosist | C. uokinet | D. jaigot
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0218,Biology-I,B,C,A,B,English,romanized_word_ambiguity,gomer boigganik nam ki? | A. Oryza sativa | B. Triticum aestivum | C. Zea mays | D. Bambusa tulda
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0222,Biology-I,A,B,A,A,Bangla+English,technical_term_corruption,udbhid konti mati hote ney? | A. naitrojen | B. haidrojen | C. oksijen | D. karbon
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0265,Biology-I,A,D,C,A,English,number_unit_misread,"mi. 'k' byoboharik klase ekti nomunar poryobekshon kore dekholo metajailem kendrer dike, bhaskular bandol 9ti ebong kichhu ekokoshi rom ache. poryobekshit boishishtyogulo kibhabe udbhidoke banchiye rakhote sahajy kore? i. pani o khonij lobo"
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0277,Biology-I,D,A,A,D,English,technical_term_corruption,konotike ghas gotr bola hoy? | A. solanesi | B. saikyadesi | C. malobhesi | D. poyesi
Qwen2.5-7B-Instruct,benqa_12th-Biology-I_0283,Biology-I,A,D,A,A,Bangla+English,romanized_word_ambiguity,"penper ring spot roger lokshon holo- i. patar botay pani bheja sobuj dag dekha jay ii. penper mishtota hras pay iii. foler akar bor hoy nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii, o iii"
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-II_0013,Chemistry-II,C,B,B,C,English,technical_term_corruption,ghumer oushodh hisebe byobohrit hoy konti? | A. foromalodihaid | B. asitalodihaid | C. pyaralodihaid | D. metalodihaid
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-II_0067,Chemistry-II,C,D,C,C,Bangla+English,number_unit_misread,"32g O_{2} er orth holo- i. 1 mole O_{2} ii. proman obosthay 24.8L ayoton iii. adogedror songkhyar soman onu nicher konti sothik? | A. i | B. i o ii | C. i o iii | D. i, ii o iii"
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-II_0117,Chemistry-II,C,B,C,C,Bangla+English,number_unit_misread,"alodihaid o kitoner modhye parthoky niruponer jony byobohrit bikarok- i. tolen bikarok ii. 2 : 4 - DNPH iii. feling drobon nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-II_0235,Chemistry-II,A,B,A,A,Bangla+English,number_unit_misread,nicher konti luis esid? | A. AlCl_{3} | B. H_{2}CO_{3} | C. NH_{3} | D. H_{3}PO_{4}
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-II_0354,Chemistry-II,B,A,A,B,English,technical_term_corruption,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? | A. porabrittakar | B. odhibrittakar | C. brittakar | D. soroloroikhik
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-I_0028,Chemistry-I,B,C,B,B,Bangla+English,number_unit_misread,1% NaOH droboner pH koto? | A. 0.8 | B. 13.4 | C. 13.2 | D. 1
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-I_0037,Chemistry-I,C,D,D,C,English,romanized_word_ambiguity,"dhatur golonangk briddhi pay, jokhon- i. dhatob kelase mukt ilekotron beshi thake ii. ayonikoron bibhob hras pay iii. poromanur akar kshudr hoy nicher konti sothik? | A. i o ii | B. ii o iii | C. i o iii | D. i, ii o iii"
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-I_0174,Chemistry-I,A,D,A,A,Bangla+English,romanized_word_ambiguity,"bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? | A. i o ii | B. i o iii | C. ii o iii | D. i, ii o iii"
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-I_0190,Chemistry-I,B,C,A,B,English,number_unit_misread,nicher konotir bondhon kon sobocheye bor? | A. CH_{4} | B. BCl_{3} | C. NH_{3} | D. H_{2}O
Qwen2.5-7B-Instruct,benqa_12th-Chemistry-I_0260,Chemistry-I,D,C,D,D,Bangla+English,number_unit_misread,bhinegare koto shotangsh pani bidyoman? | A. 6% | B. 15% | C. 70% | D. 90%
Qwen2.5-7B-Instruct,benqa_12th-Math-II_0234,Math-II,A,B,A,A,Bangla+English,technical_term_corruption,jodi x^{2} - 4x + 3 = 0 somikoroner mulodboy \alpha ebong \beta hoy tobe \frac{1}{\alpha} + frac{1}{\beta} er man- | A. \frac{4}{3} | B. \frac{3}{4} | C. \frac-4}{3} | D. \frac{-3}{4}
Qwen2.5-7B-Instruct,benqa_12th-Math-I_0029,Math-I,B,A,A,B,English,romanized_word_ambiguity,"(-5, 10) bindugami sorolorekha x-oksher dhonatmok diker sathe tan^{-1}\frac{3}{4} kon utoponn kore. sorolorekhar somikoron- | A. 4x + 3y - 10 = 0 | B. 3x - 4y - 55 = 0 | C. 3x + 4y + 55 = 0 | D. 4x + 3y + 30 = 0"
Qwen2.5-7B-Instruct,benqa_12th-Math-I_0342,Math-I,C,D,C,D,Bangla,romanized_word_ambiguity,"f(x) = x^{2} - x fangshonotir kon bindute ongkit sporshok x-oksher somantoral? | A. \left ( \frac{-1}{2}, \frac{-1}{4} \right ) | B. \left ( \frac{-1}{2}, \frac{1}{4} \right ) | C. \left ( \frac{1}{2}, \frac{-1}{4} \right ) | D. \left ( \fr"
Qwen2.5-7B-Instruct,benqa_12th-Physics-II_0085,Physics-II,D,B,C,D,English,number_unit_misread,"fotoner khetre- i. sthir bhor shuny ii. shokti h\upsilon iii. beg 3 \times 10^{8} ms^{-1} nicher konti sothik? | A. i o ii | B. i o iii | C. ii o iii | D. i, ii o iii"
Qwen2.5-7B-Instruct,benqa_12th-Physics-II_0195,Physics-II,B,D,B,B,Bangla+English,number_unit_misread,prithibir byasardh 6500 km er dharokotto koto? | A. 711 F | B. 722 \mu F | C. 640 \mu F | D. 614 \mu F
Qwen2.5-7B-Instruct,benqa_12th-Physics-II_0290,Physics-II,B,A,B,B,Bangla+English,number_unit_misread,ekti karno injiner karyonirbahok bostu 400 K tapomatrar tap utos hote 840 J tap grohon kore tapograhoke 630 J tap borjon kore. tap grahoker tapomatra koto? | A. 210 K | B. 300 K | C. 400 K | D. 440 K
Qwen2.5-7B-Instruct,benqa_12th-Physics-I_0106,Physics-I,D,A,C,D,English,romanized_word_ambiguity,nicher konti shuny doshar somotuly? | A. \pi/2 | B. \pi | C. 3\pi/2 | D. 2\pi
Qwen2.5-7B-Instruct,benqa_12th-Physics-I_0133,Physics-I,C,,C,C,Bangla+English,option_format_failure,\frac{3}{2} mol gyaser jony adorsh gyas somikoron hobe konti? | A. 3PV = 2RT | B. 2PV = \frac{1}{3} RT | C. 2PV = 3RT | D. \frac{PV}{RT}=\frac{2}{3}
Qwen2.5-7B-Instruct,benqa_12th-Physics-I_0157,Physics-I,A,B,A,C,Bangla,number_unit_misread,bhor ebong beg ubhoyoke briddhi kore jothakrome tinogun kora hole gotishoktir briddhir poriman kotogun hobe? | A. 27 | B. 21 | C. 18 | D. 8
Qwen2.5-7B-Instruct,benqa_12th-Physics-I_0256,Physics-I,C,B,C,C,Bangla+English,technical_term_corruption,somoyer sapekshe ontokolon kore sorol chhondit goti-somponn bostur ontorok somikoron theke ki paoya jay? | A. kompangk | B. poryayokal | C. beg | D. tworon
Qwen2.5-7B-Instruct,benqa_8th-Math_0031,Math,D,B,B,D,English,number_unit_misread,"ekti garir chakar poridhi 5.15 mitar hole, chakatir byas koto? | A. 0.82 mitar | B. 0.96 mitar | C. 1.28 mitar | D. 1.64 mitar"
Qwen2.5-7B-Instruct,benqa_8th-Math_0062,Math,D,A,D,D,Bangla+English,romanized_word_ambiguity,"nicher kon binduti x-oksher upor obosthit? | A. (- 5, 5) | B. (3, - 3) | C. (0, 4) | D. (2, 0)"
Qwen2.5-7B-Instruct,benqa_8th-Math_0072,Math,B,D,D,B,English,romanized_word_ambiguity,779 songkhyati kon bijogonitiy rashir 111 tom pod? | A. 7k - 2 | B. 7k + 2 | C. 5555k + 224 | D. 777k + 2
Qwen2.5-7B-Instruct,benqa_8th-Math_0085,Math,C,B,A,C,English,number_unit_misread,4 kromer myajik borger konakuni jogfol koto? | A. 15 | B. 16 | C. 34 | D. 65
Qwen2.5-7B-Instruct,benqa_8th-Math_0167,Math,C,B,D,C,English,number_unit_misread,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto? | A. 40 mitar | B. 64 mitar | C. 80 mitar | D. 96 mitar"
