model,id,gold,subject,grade,domain,source_file,source_row,validation_order,benqa_order,run_line,banglish_option,banglish_correct,banglish_D,banglish_wrong_D,banglish_invalid
Qwen2.5-3B,benqa_8th-Science_0042,B,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,42,128,93,128,A,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0062,D,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,62,89,65,89,B,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0078,C,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,78,170,125,170,B,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0086,A,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,86,12,10,12,B,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0098,A,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,98,90,66,90,B,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0127,B,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,127,85,62,85,D,False,True,True,False
Qwen2.5-3B,benqa_8th-Science_0153,C,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,153,55,40,55,B,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0159,B,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,159,176,128,176,C,False,False,False,False
Qwen2.5-3B,benqa_8th-Science_0202,C,Science,8th,science,literature/code/BEnQA/data/BEnQA/8th-Science.csv,202,169,124,169,A,False,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0057,C,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,57,181,133,181,C,True,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0090,C,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,90,156,114,156,C,True,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0128,A,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,128,136,98,136,B,False,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0143,C,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,143,94,70,94,C,True,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0149,B,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,149,147,107,147,A,False,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0156,C,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,156,117,85,117,C,True,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0188,A,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,188,151,111,151,A,True,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0197,D,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,197,67,50,67,B,False,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0213,A,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,213,120,87,120,A,True,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0215,B,Biology,10th,biology,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,215,104,75,104,D,False,True,True,False
