model,id,variant,dataset,task_type,answer_type,gold,before_correct,after_correct,change,before_parsed,after_parsed,before_seconds,after_seconds,before_source,after_source,after_rewrite_output
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0011,banglish_clean,mgsm,math_word_problem,short_answer,366,False,False,same_wrong,40%,তিন মাসে প্রোগ্রাম করেছিল 15 টি ডানোলোড.,0.2645,12.2729,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"একটি নতুন প্রোগ্রাম প্রথম মাসে ৬০ টি ডানোলোড করেছিল। তবে দুই মাসের ডানোলোদের সংখ্যা প্রথম মাসের ডানোলোদের থেকে তিন গুণে কম হয়েছিল, কিন্তু তিনমাসের ডানোলোদ তারপরে ৩০% কম হয়েছিল। তিন মাসে প্রোগ্রামের কতটি ডানোলোড করেছিল?

তিন মাসে প্র�"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0012,banglish_clean,mgsm,math_word_problem,short_answer,694,False,False,same_wrong,$197,3. For the $55 per six pieces (which is,0.3095,13.3552,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"তুলা বেকারিতেই গিয়ে বিভিন্ন প্রকারের পেস্টি কেনেচ্ছে। একটি ডোজনের $68 দরে ৩ ডোজন কম, একটি ডোজনের $80 দরে ২ ডোজন ছোট, এবং একটি ডোজনের $55 দরে ৬ ডোজন মিনি চিজের কেনেচ্ছে। মোট কত খরচ হয়েছে?"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0013,banglish_clean,mgsm,math_word_problem,short_answer,13,False,False,same_wrong,$88.5,7.5,0.4006,10.657,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"করলোস একোটি লেবু গাছে রোপন করছেন। গাছে রোপন করার জন্য জন্য ব্যয় $90 হবে। পরিবর্তে আজকে লেবু গাছে রোপন করার জন্য ৭টি লেবু খরচে পরিবর্তন করতে হবে, যদি পরিবর্তনের জন্য একটি লেবু প্রতি $1.5 খরচ করা হয়। গাছে রোপন করার জন্য একটি বছরে লেবু প্রতি বছর"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0014,banglish_clean,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,"melanir kachhe jodi 3ti bhyakium klinar oboshisht thake, tini kotoguli niye bikroy kora shuru korechhilen.","মেলানি একজন দর্দ-দর্দ সেলসোম্যান যার বহিষ্কারের গ্রিন হাস্য এক-তিনটি থাকে, রেড হাস্য দুইটি থাকে এবং শ্রেষ্ঠ হাস্য একটি থাকে। �",1.9088,15.4894,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"মেলানি হোন এক জন দর্দ-দর্দ সেলসোম্যান। তিনি তাঁর বহিষ্কারের এক-তিন টি গ্রিন হাস্য থাকে, আরো দুইটি রেড হাস্য থাকে, এবং জাও উপরে শ্রেষ্ঠ ছিল তাঁর একটি হাস্য থাকে। মেলানির কখনও তিনি তিন বহিষ্কার থাকে, তাহলে তিনি তাঁর কোটোগুলি নিয়ে গ্রিন হাস্য থাকে শ"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0015,banglish_clean,mgsm,math_word_problem,short_answer,60,False,False,same_wrong,"Yes, hip-hop nache is shotangsh nothibhukt hoyechhe in shiksharthir modhye.",তাহলে শিক্ষার্থীদের মধ্যে 50% শিক্ষার্থী হিপ-হপ নামের প্রশিক্ষণ গ্রহণ করেছেন।,1.2465,13.6286,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"কোনোটি নামের এক স্তরে ২০ জন শিক্ষার্থীর মধ্যে, ২৫% শিক্ষার্থী জ্যাজ নামের প্রশিক্ষণ গ্রহণ করেছেন, ২৫% শিক্ষার্থী ভাটকা হিপ-হপ নামের প্রশিক্ষণ গ্রহণ করেছেন, এবং বাকী শিক্ষার্থী হিপ-হপ নামের প্রশিক্ষণ গ্রহণ করেন নি। তাহলে শিক্ষার্থীদের মধ্যে হ"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0016,banglish_clean,mgsm,math_word_problem,short_answer,125,False,False,same_wrong,"Net return = $8,000 * 1.2% = $96","New value of the electronic gadget = $8,000 + $2",5.1765,15.6775,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"কোনো এক বয়স্ক পরিকল্পনার মূল্যের উপর ভিত্তি করে একটি সমস্যা হল: $5,000 মূল্যের গয়না ও তার $8,000 মূল্যের ইলেকট্রোনিক গয়জেত। তার অর্থনৈতিক উপায়ে এই মাসের মূল্য দশমিক পরিবর্তন হবে যদি এই মাসের মান গয়নার পরিবর্তন 2.5% এবং ইলেকট্রোনিক গয়জেত"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0017,banglish_clean,mgsm,math_word_problem,short_answer,230,False,False,same_wrong,Yes,"The provided text is incomplete and does not provide a clear question or complete information to evaluate. However, based on the given partial sentences, it seems to describe two trains departing from San Rafael at the same time, each traveling for 8 miles towards Poshima before turning back. The subsequent day, they travel in the opposite direction, also covering 8 miles. Without the full context or specific evaluation question, no detailed evaluation can be made.",0.1856,14.031,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"দুটি ট্রেন একই সময়ে সান রাফায়েল থেকে জাতীয় শুরু করে। তারপর পোষ্ঠিমার দিকে জাতীয় শুরু করে, এই দুইটি ট্রেনের জাতীয় শুরুতে আটাতালি মাইল ব্যয় হয়। পরদিন, তার উত্তর দিকে জাতীয় শুরু করে এই দুইটি ট্রেনের জাতীয় শুরুতে আধা চার মা�"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0018,banglish_clean,mgsm,math_word_problem,short_answer,57500,False,False,same_wrong,1400,Wage per job for a nominal teacher: $35,0.3004,15.5006,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"জিল শিক্ষকতা করার জন্য শিক্ষকের জন্য গণ্য হবে ডলার ২০ এবং পরিশ্রমী পরিশ্রমী শিক্ষক হবে ডলার ৩০ বেতনে। যদি একজন ছাত্র ৫০ সোপান কাজ করে, তাহলে এক সোপানে ৩৫ গণ্য শিক্ষক হবে এবং এক সোপানে ১৫ গণ্য পরিশ্রমী শিক্ষক হবে। তাহলে এক মাসে কতগুলি কাজ"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0019,banglish_clean,mgsm,math_word_problem,short_answer,7,False,False,same_wrong,2,"So, in one day, they eat 4/3 o",0.1467,8.854,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,কলের প্রতিদিন পরস্পরের ৩টি দিনে একবার এমন ওমোলেট খাবে। ৪ সোপানে তিনটি কোট দুই দিনে হবে?
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0020,banglish_clean,mgsm,math_word_problem,short_answer,6,False,False,same_wrong,joni tanke kot bege (mail proti ghontay) hantote hobe 5 ghonta,মাইল পরের গ্রহণ করার জন্য তিনি আরও ২ গ্রহণ করতে হবে।,1.0846,12.6411,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"মারিসা ১২ মাইল পথে দুইটি পথ পায়। এর মধ্যে প্রথম ৪ মাইলে তিনি ১ গ্রহণ করেন এবং পরের ২ মাইলে আরও ১ গ্রহণ করেন। যদি তিনি প্রথম ৪ মাইলে গ্রহণ করার জন্য চার গ্রহণ করেন, তাহলে সর্বশেষ গ্রহণ করার জন্য তিনি আরও চার গ্রহণ করতে হবে (মাইল পরের গ্রহণ)। এর মা�"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0021,banglish_clean,mgsm,math_word_problem,short_answer,15,False,False,same_wrong,36,"The given text appears to be in Bengali and seems to describe a scenario involving mixing orange drink with pomegranate drink. However, it does not provide a clear question or request for an evaluation. The text ends abruptly without a conclusion or evaluation prompt. Therefore, no specific evaluation can be provided based on the given information.",0.226,13.143,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"আমার কচ্চে ১০ লিটার ওরেন্জ ড্রি�ngক অচ্ছা জার দুই-তিন শতাংশ এবং আমি তাহার ১৫ লিটার পাউল ড্রিংক -এ মেশাতে চাই জার মোদ্যে পঞ্চভাগ তিন বাহগ শতাংশ অচ্ছ।কিন্তু এই দাবি হলেও, আমি এক লিটার ওরেন্জ ড্রিংক ফেলে দিয়েছি।এই সমস্ত করে তাহলে, ২৪ লিটার কোটা পরি�"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0022,banglish_clean,mgsm,math_word_problem,short_answer,14,False,False,same_wrong,Yes,The age of Remont's son when he was born is 10 years.,0.185,10.52,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"রেমোন্ত ও সামান্তারেক পরিবর্তনীয় টুটো-ভাইওন। রেমোন্ত সামান্তারে ছয় বছর আগে জনমেচ্ছিলেন। ২৩ বছর বয়সে রেমোন্তের একটি চেয়ে বড় হয়ে গেলেন। উত্তরাঞ্চলে সামান্তারের একটি বয়স ৩১ বছর যখন, তখন রেমোন্তের পুত্র বয়স জনমেচ্ছিল?"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0023,banglish_clean,mgsm,math_word_problem,short_answer,7,False,False,same_wrong,bili monggolobare kotoguli 3 jon grahok konooni DVD kroy korechhen,তাই তন্তু মোগলবারে 8 টি ডি঵ড বিক্রয় করেছ,1.1865,15.5794,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,বিলি DVD বিক্রয় করেন। মোগলবারে তন্তু ৮ জন গ্রহক হয়েছে। তন্তু প্রথম ৩ জন গ্রহকের প্রত্যেকে ডি঵ড বিক্রয় করেন। পরবর্তীতে ২ জন গ্রহকের প্রত্যেকে ২টি ডি঵ড বিক্রয় করেন। তন্তু শেষ ৩ জন গ্রহকের প্রত্যেকে ডি঵ড বিক্রয় করেন। বিলি মোগলবারে কতগুলো গ
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0024,banglish_clean,mgsm,math_word_problem,short_answer,8,False,False,same_wrong,"Yes, ekoti momobati kot sentimitar chhot hoye jabe from 1:00 PM to 5:00 PM.",The distance remains constant at 2 cm throughout both scenarios.,1.403,12.3417,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,একটি মোমবাতি জ্বলনের সৃষ্টি করা পর্যন্ত 2 সেন্টিমিটার দূরত্বে গলা জ্বালায়। 1:00 পর্যন্ত 5:00 পর্যন্ত জ্বলনের সময় একটি মোমবাতি জ্বলনের সৃষ্টি করা কত সেন্টিমিটার ছোট হয়?
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0025,banglish_clean,mgsm,math_word_problem,short_answer,26,False,False,same_wrong,36.75,\[ \text{Original Price} = \frac{19.50}{1 - 0.25} =,0.3239,11.2494,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"কৈল গত বছরে এই সবগুলোতে বিশেষ বিক্রয় হয়েছিল। এটি প্রায় $19.50 মূল্যে খরচ করা হয়েছিল। যদি আসল মূল্য ২৫% ছোট হয়, তাহলে আসল মূল্য কত হয়?"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0026,banglish_clean,mgsm,math_word_problem,short_answer,2,False,False,same_wrong,Yes,"পাউল আর চারটি পাউল মিলে কোটি টাকা বানায়, তবে তিনি কোটি টাকা বানাইতে পারেন তিনটি বার পাউল মিলে।",0.1862,14.2802,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"মারি একটি চেন আর পাঁচটি দুধ মিলে কোটি টাকা বানায়, অন্যদিকে একটি পেল আর চারটি পেল মিলে তিনিও কোটি টাকা বানায়। একটি পাউল আর চারটি পাউল মিলে তিনিও তিনিও কোটি টাকা বানায়। মারি কোটি টাকা বানাইতে পারেন তিনিই তিনটি বার পাউল মিলে বানায়। যদি তিনি একটি �"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0027,banglish_clean,mgsm,math_word_problem,short_answer,243,False,False,same_wrong,$81.,3 Mizkā Jutos,0.3371,14.6197,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"মিশকা ৩ জরো স্ট্রোস, ৩ জরো পয়ন্ত, এবং ৩ জরো জুটো কেন চেহাল হয়েছে। একজরো স্ট্রোসের ডাম $১৬.৫০। একজরো পয়ন্তের ডাম $২২.৫০ এবং একজরো জুটোর ডাম $৪২। সমস্ত পরিবহন জিনো ডারবির জন্য মিশকা কত ডলার খরচ হয়েছে?"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0028,banglish_clean,mgsm,math_word_problem,short_answer,16,False,False,same_wrong,25,\[ \text{Average Price} = \frac{\$4.,0.208,13.7149,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"সিন্তি আ প্রতি মাসের ব্যয় এক সবুজ পরিমাণ হলেন। তিনটি প্রতিটি কর্টনের মূল্য $4.00 থেকে ১৫ পরিমাণ সবুজ পরিমাণ করা যায় আমার জন্য তিনটি প্রতিটি কর্টন কর্টন করে নিতে হবে। ৬০ দিনের পর, তার মোট ব্যয় কত হবে?"
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0029,banglish_clean,mgsm,math_word_problem,short_answer,25,False,False,same_wrong,35,60 মাল বেক তিপ্পন হয় তিনপ্রধান দুই বছরে।,0.2316,12.1209,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,60 মালার বেক তিপ্পন হয় তিনপ্রধান দুই বছরে। 20 মাল চর্চল পর একটি প্রথম তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি তিন মাল দুই দিনে তিনি
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0030,banglish_clean,mgsm,math_word_problem,short_answer,104,False,False,same_wrong,jotojora buter dam 46 dolar,"মোদ্য টাকা ২৭ থাকে, তাহলে গৌরিয়া জুটো কেনাকাটা করার জন্য সর্বোচ্চ মোট টাকা ৫০ থাকবে।",0.6438,14.1207,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_selfnorm/results/runs/qwen2_5_3b_mgsm_bn50_selfnorm.jsonl,"গৌরিয়া জুটো কেনাকাটা করার সময় তান্ত্রিক সত্তার মধ্যে মনোনীত একজোড়া বিনোদন দেখতে পারলেন। কিন্তু, তান্ত্রিক বিনোদনে তার একজোড়া হিল জুটো মোদ্যে একটি দুই উচ্চতর অংশ থাকবে। যদি একজোড়া হিল জুটো মোদ্য টাকা ৩৩ থাকে এবং আরেকজোড়া ম"
