bangla_token,total_count,unique_latin_variants,repeated_latin_variants,top_latin_variants,top_repeated_latin_variants
শেষ,16,4,4,sesh:6; ses:5; shes:3; shesh:2,sesh:6; ses:5; shes:3; shesh:2
ইউজার,84,33,3,user:47; rana:5; riad:2; tajik:1; mdanisur:1; vaiya:1; sujon:1; mahadi:1; sajid:1; sazzad12:1; suruj178:1; muzahid:1,user:47; rana:5; riad:2
আর,178,16,3,r:85; ar:71; are:9; kun:1; korbe:1; disen:1; nimpata:1; tw:1; 8:1; ha:1; kono:1; flaxiplan:1,r:85; ar:71; are:9
এর,265,13,3,er:198; ar:45; r:12; rule:1; notice:1; author:1; wifi:1; purbe:1; re:1; jonno:1; admin:1; swift:1,er:198; ar:45; r:12
হবে,224,13,3,hobe:179; hbe:30; hoba:5; problem:1; kamon:1; hobey:1; bitore:1; hobay:1; hove:1; er:1; na:1; share:1,hobe:179; hbe:30; hoba:5
করতে,178,13,3,korte:146; korta:12; krte:10; change:1; korthe:1; hoi:1; krta:1; kprte:1; karte:1; abar:1; hoba:1; gele:1,korte:146; korta:12; krte:10
কি,345,12,3,ki:329; key:4; ke:3; luca:1; gig:1; kono:1; kore:1; ami:1; korbeki:1; new:1; apni:1; o:1,ki:329; key:4; ke:3
হয়,61,9,3,hoy:38; hoi:14; e:3; add:1; upload:1; tokon:1; howay:1; hoynai:1; obosta:1,hoy:38; hoi:14; e:3
যে,57,9,3,je:29; j:17; ja:5; check:1; din:1; thakte:1; hobe:1; xplore:1; he:1,je:29; j:17; ja:5
ভাইয়া,36,9,3,vaiya:16; vaia:12; vaya:2; vaiea:1; vaiaiya:1; vai:1; vhaya:1; viya:1; bhaiya:1,vaiya:16; vaia:12; vaya:2
আসে,36,8,3,ase:23; ashe:5; asce:3; asah:1; o:1; asw:1; asee:1; asa:1,ase:23; ashe:5; asce:3
করার,103,7,3,korar:92; krar:5; korer:2; request:1; ki:1; por:1; koear:1,korar:92; krar:5; korer:2
সব,59,7,3,sob:44; shob:8; sb:3; all:1; sib:1; shb:1; sh:1,sob:44; shob:8; sb:3
ও,56,7,3,o:48; oh:2; oww:2; r:1; moderation:1; oo:1; u:1,o:48; oh:2; oww:2
ছিল,28,7,3,chilo:10; cilo:8; silo:6; kotha:1; chelo:1; celo:1; chi:1,chilo:10; cilo:8; silo:6
হইসে,22,7,3,hoice:11; hoise:5; hoyce:2; hoiase:1; hoicee:1; hoase:1; sobai:1,hoice:11; hoise:5; hoyce:2
দেয়া,14,7,3,deya:6; dewa:2; deoa:2; dea:1; dya:1; daya:1; deoya:1,deya:6; dewa:2; deoa:2
করছে,11,7,3,korse:3; korce:2; korche:2; korsa:1; admin:1; korca:1; amer:1,korse:3; korce:2; korche:2
একটা,128,6,3,akta:64; ekta:59; 1ta:2; dore:1; ekata:1; akata:1,akta:64; ekta:59; 1ta:2
কাজ,126,6,3,kaj:115; kaz:5; kj:3; prante:1; laj:1; kag:1,kaj:115; kaz:5; kj:3
করা,112,6,3,kora:103; korar:3; kra:3; cilo:1; jabe:1; jaito:1,kora:103; korar:3; kra:3
তে,79,6,3,te:69; ta:4; tay:3; ty:1; the:1; trickbd:1,te:69; ta:4; tay:3
করলে,77,6,3,korle:66; krle:6; korla:2; kholle:1; korley:1; korlay:1,korle:66; krle:6; korla:2
করব,56,6,3,korbo:49; korvo:2; krbo:2; ki:1; kno:1; naki:1,korbo:49; korvo:2; krbo:2
আবার,49,6,3,abar:39; abr:5; aabar:2; aabr:1; phone:1; aber:1,abar:39; abr:5; aabar:2
করছি,35,6,3,korchi:13; korsi:12; korci:7; download:1; krsi:1; but:1,korchi:13; korsi:12; korci:7
করবে,31,6,3,korbe:24; korba:2; krb:2; o:1; kaj:1; korbeee:1,korbe:24; korba:2; krb:2
হচ্ছে,27,6,3,hocche:11; hosse:9; hocce:4; hossa:1; hossce:1; hosce:1,hocche:11; hosse:9; hocce:4
কাছে,21,6,3,kache:9; kase:6; kace:3; kaccy:1; kacr:1; to:1,kache:9; kase:6; kace:3
দেখায়,16,6,3,dekhay:7; dekhai:4; dakhai:2; dekay:1; dekai:1; dakhay:1,dekhay:7; dekhai:4; dakhai:2
হয়,76,5,3,hoy:49; hoi:23; hy:2; hay:1; hoe:1,hoy:49; hoi:23; hy:2
কেমনে,35,5,3,kmne:14; kemne:13; kamne:6; kamna:1; taile:1,kmne:14; kemne:13; kamne:6
হয়ে,28,5,3,hoye:22; hoa:2; hoe:2; hoi:1; jasse:1,hoye:22; hoa:2; hoe:2
দেখি,21,5,3,dekhi:14; deki:3; daki:2; dejhi:1; dakhi:1,dekhi:14; deki:3; daki:2
এখানে,19,5,3,ekhane:10; akhane:5; akhne:2; bybodane:1; akane:1,ekhane:10; akhane:5; akhne:2
গেছে,16,5,3,gece:6; gese:4; geche:4; gace:1; ghumiye:1,gece:6; gese:4; geche:4
এটার,13,5,3,etar:6; eitar:3; atar:2; aitar:1; etarr:1,etar:6; eitar:3; atar:2
অসাম,13,5,3,awesome:5; osum:3; osam:3; ossam:1; owesome:1,awesome:5; osum:3; osam:3
করছেন,11,5,3,korcen:5; korsen:2; korchen:2; karsen:1; korsyn:1,korcen:5; korsen:2; korchen:2
দিচ্ছি,8,5,3,dissi:2; dicci:2; dici:2; dicchi:1; deci:1,dissi:2; dicci:2; dici:2
দিলে,50,4,3,dile:43; dila:4; dele:2; die:1,dile:43; dila:4; dele:2
ভিডিও,45,4,3,video:39; vdo:3; vedio:2; videoder:1,video:39; vdo:3; vedio:2
হুম,42,4,3,hmm:31; hm:6; hmmm:4; hmmmm:1,hmm:31; hm:6; hmmm:4
যায়,37,4,3,jay:19; jai:15; zay:2; jaye:1,jay:19; jai:15; zay:2
ই,35,4,3,e:29; i:3; ei:2; kothar:1,e:29; i:3; ei:2
কে,31,4,3,ke:16; k:12; ka:2; key:1,ke:16; k:12; ka:2
ওকে,30,4,3,ok:23; okk:3; okay:3; okkkkkkk:1,ok:23; okk:3; okay:3
বেশি,25,4,3,beshi:11; besi:11; basi:2; beshidin:1,beshi:11; besi:11; basi:2
কাস্টম,24,4,3,custom:19; coustom:2; castom:2; costom:1,custom:19; coustom:2; castom:2
নিয়ে,23,4,3,niye:17; niya:3; niea:2; nia:1,niye:17; niya:3; niea:2
দেয়,14,4,3,dei:6; dey:5; dai:2; day:1,dei:6; dey:5; dai:2
যখন,10,4,3,jokhon:5; jokon:2; jokhn:2; jokhob:1,jokhon:5; jokon:2; jokhn:2
থ্যাঙ্কস,10,4,3,thanks:4; tnx:3; thx:2; thnkk:1,thanks:4; tnx:3; thx:2
আছি,10,4,3,asi:3; aci:3; achi:3; ads:1,asi:3; aci:3; achi:3
কেনো,26,3,3,kno:10; keno:10; kano:6,kno:10; keno:10; kano:6
এরকম,13,3,3,arokom:6; erokom:5; eirokom:2,arokom:6; erokom:5; eirokom:2
আমি,217,12,2,ami:204; ame:3; jani:1; 1k:1; likhecen:1; bujhi:1; bogchi:1; am:1; amo:1; amio:1; but:1; mojila:1,ami:204; ame:3
নাই,137,12,2,nai:125; nay:2; naj:1; dorkar:1; karon:1; nie:1; islamic:1; tasara:1; naii:1; bujhan:1; na:1; akhonnai:1,nai:125; nay:2
এই,125,11,2,ei:60; ai:56; aii:1; aisaite:1; app:1; ayi:1; ee:1; eii:1; aia:1; ay:1; eai:1,ei:60; ai:56
ডাউনলোড,99,11,2,download:87; downlod:3; korbo:1; link:1; dawnload:1; dnld:1; dounload:1; dwln:1; ta:1; korte:1; dload:1,download:87; downlod:3
এ,218,10,2,a:113; e:97; erorr:1; korbo:1; jonno:1; contributor:1; yutbe:1; ea:1; 3dot:1; keso:1,a:113; e:97
দেখতে,18,10,2,dekte:5; dekhte:5; dkhte:1; dakte:1; dehte:1; dhekte:1; dykhtey:1; dkte:1; dekteh:1; deaktay:1,dekte:5; dekhte:5
বাট,106,9,2,but:92; bt:7; kore:1; abbur:1; chinta:1; videoder:1; pc:1; etc:1; samsung:1,but:92; bt:7
ফোন,60,9,2,phone:34; phn:19; pn:1; phon:1; unar:1; root:1; fon:1; greenify:1; ph:1,phone:34; phn:19
খুব,50,9,2,khub:37; kub:6; kup:1; kob:1; khuv:1; plz:1; kuv:1; koov:1; khob:1,khub:37; kub:6
বলে,29,9,2,bole:20; bola:2; warning:1; lab:1; bolei:1; boji:1; tyle:1; ble:1; bolle:1,bole:20; bola:2
আপনি,124,8,2,apni:115; apne:3; jonno:1; je:1; aponi:1; zpni:1; vai:1; jacce:1,apni:115; apne:3
নাকি,67,8,2,naki:56; nki:5; imruj:1; direct:1; na:1; maki:1; onno:1; export:1,naki:56; nki:5
তাহলে,49,8,2,tahole:41; taile:2; taholi:1; tahola:1; thaken:1; hoy:1; thahole:1; tale:1,tahole:41; taile:2
হলে,35,8,2,hole:27; hoile:2; nahole:1; hola:1; jole:1; holay:1; holy:1; holei:1,hole:27; hoile:2
যায়,28,8,2,jay:13; jai:9; chalanu:1; zay:1; joi:1; jaw:1; jye:1; hoye:1,jay:13; jai:9
কেমন,22,8,2,kemon:8; kmn:8; temon:1; ni:1; kmon:1; camon:1; kamna:1; kamon:1,kemon:8; kmn:8
ব্রো,236,7,2,bro:227; broo:4; brooo:1; asbe:1; brw:1; broooooooooo:1; broooo:1,bro:227; broo:4
দিবেন,30,7,2,diben:23; diban:2; deban:1; dibben:1; dibyn:1; diven:1; dibn:1,diben:23; diban:2
দেখে,21,7,2,dekhe:14; deke:2; dakhe:1; tekhe:1; dhaka:1; dke:1; jene:1,dekhe:14; deke:2
স্ক্রিনশট,18,7,2,screenshot:9; ss:4; te:1; sshot:1; scenshot:1; sshots:1; sceenshot:1,screenshot:9; ss:4
যাচ্ছে,12,7,2,jacce:5; buja:2; jascs:1; jacche:1; jacca:1; zacce:1; somossa:1,jacce:5; buja:2
ট্রিকবিডি,56,6,2,trickbd:50; trickbdr:2; team:1; trckbd:1; be:1; triickbd:1,trickbd:50; trickbdr:2
যদি,49,6,2,jodi:42; jdi:3; ar:1; zodi:1; akhon:1; judi:1,jodi:42; jdi:3
একাউন্ট,48,6,2,account:41; acc:3; accnt:1; ekaunt:1; accaunt:1; acount:1,account:41; acc:3
সবাই,32,6,2,sobai:24; shobai:4; sobay:1; sobi:1; shobay:1; jane:1,sobai:24; shobai:4
করি,32,6,2,kori:26; kory:2; krey:1; na:1; ami:1; kri:1,kori:26; kory:2
দরকার,28,6,2,dorkar:21; drkr:3; dorakar:1; doyar:1; ami:1; khub:1,dorkar:21; drkr:3
আপলোড,22,6,2,upload:16; uplode:2; sshot:1; approve:1; uploud:1; uplod:1,upload:16; uplode:2
জি,17,6,2,ji:9; g:4; ta:1; gcam:1; gmail:1; jii:1,ji:9; g:4
লাভ,12,6,2,lav:5; love:3; nai:1; laf:1; luv:1; lab:1,lav:5; love:3
আসলে,12,6,2,asole:6; ashole:2; asla:1; esylle:1; asolei:1; asle:1,asole:6; ashole:2
তখন,9,6,2,tokhon:3; tokon:2; oi:1; tok:1; tokhin:1; tokho:1,tokhon:3; tokon:2
হয়েছে,8,6,2,hoyce:2; hoyece:2; hoisay:1; hyse:1; hoiche:1; hoyche:1,hoyce:2; hoyece:2
দেখসি,8,6,2,dekci:2; dekhci:2; dekce:1; dakci:1; dkhsi:1; dakhci:1,dekci:2; dekhci:2
করবো,90,5,2,korbo:84; krbo:3; krboo:1; krbooo:1; kotbo:1,korbo:84; krbo:3
হেল্প,75,5,2,help:68; hlp:4; halp:1; hep:1; helpp:1,help:68; hlp:4
দিন,67,5,2,din:52; den:12; ami:1; meyad:1; 30din:1,din:52; den:12
থাকলে,43,5,2,thakle:37; takle:3; post:1; takly:1; htakle:1,thakle:37; takle:3
আপডেট,29,5,2,update:23; upgrade:3; updated:1; upddate:1; updet:1,update:23; upgrade:3
এক,28,5,2,ak:13; ek:12; and:1; mobile:1; 1:1,ak:13; ek:12
সেটা,23,5,2,seta:18; sheta:2; translate:1; mane:1; sata:1,seta:18; sheta:2
ভাবে,22,5,2,vabe:16; vhabe:3; vaby:1; bb:1; babe:1,vabe:16; vhabe:3
এইটা,17,5,2,aita:10; eita:4; ayta:1; aieta:1; ayita:1,aita:10; eita:4
দেখুন,16,5,2,dekhun:11; dakhun:2; dkhun:1; dekhon:1; sathei:1,dekhun:11; dakhun:2
এড,16,5,2,add:9; ad:4; interstitial:1; luncher:1; korte:1,add:9; ad:4
সময়,15,5,2,somoy:10; shomoy:2; shomi:1; som:1; shmy:1,somoy:10; shomoy:2
বুঝতে,15,5,2,bujte:7; bujhte:5; bujta:1; bujti:1; vujte:1,bujte:7; bujhte:5
আপনাকে,15,5,2,apnake:10; apnk:2; apnaky:1; aponake:1; apanke:1,apnake:10; apnk:2
চ্যানেল,13,5,2,channel:8; channal:2; chanel:1; chrnnel:1; chennel:1,channel:8; channal:2
তোমার,12,5,2,tomar:7; tumar:2; tmr:1; tamar:1; tmar:1,tomar:7; tumar:2
মিনিট,10,5,2,minute:4; minit:3; hack:1; minuite:1; minite:1,minute:4; minit:3
বি,10,5,2,be:4; b:3; link:1; bi:1; dbbl:1,be:4; b:3
মধ্যে,9,5,2,modde:3; moddhe:3; moddhei:1; moddah:1; moddha:1,modde:3; moddhe:3
পাওয়া,8,5,2,paoya:3; pawa:2; pawya:1; payowa:1; paoa:1,paoya:3; pawa:2
দেখাচ্ছে,8,5,2,dekhacche:3; dekhasse:2; dekacche:1; dekhasche:1; dekhacc:1,dekhacche:3; dekhasse:2
দেওয়া,8,5,2,dewa:3; deoya:2; manchi:1; deyoya:1; deoa:1,dewa:3; deoya:2
লাগবে,58,4,2,lagbe:51; lagba:5; e:1; lag:1,lagbe:51; lagba:5
ঠিক,56,4,2,thik:44; tik:10; na:1; trick:1,thik:44; tik:10
করুন,42,4,2,korun:38; koron:2; kprun:1; korrn:1,korun:38; koron:2
কিন্তু,37,4,2,kintu:29; kinto:6; korci:1; link:1,kintu:29; kinto:6
করলাম,36,4,2,korlam:32; korlm:2; krlm:1; kalke:1,korlam:32; korlm:2
লাগে,32,4,2,lage:28; lge:2; large:1; lagy:1,lage:28; lge:2
সার্চ,31,4,2,search:27; serch:2; sacrh:1; sherch:1,search:27; serch:2
চলে,31,4,2,chole:24; cole:5; pubg:1; r:1,chole:24; cole:5
টিউনার,30,4,2,tuner:26; tunar:2; tumer:1; tiunar:1,tuner:26; tunar:2
করসি,27,4,2,korci:13; korsi:12; korce:1; krsi:1,korci:13; korsi:12
ধন্যবাদ,23,4,2,dhonnobad:19; donnobad:2; dhonnonaad:1; dhonnibad:1,dhonnobad:19; donnobad:2
জিবি,21,4,2,gb:17; 2gb:2; gp:1; 5gb:1,gb:17; 2gb:2
এত,19,4,2,ato:14; eto:3; atw:1; etooo:1,ato:14; eto:3
ডিলিট,17,4,2,delete:10; delet:5; deleat:1; dlt:1,delete:10; delet:5
আচ্ছা,17,4,2,accha:8; assa:7; accah:1; acca:1,accha:8; assa:7
হা,16,4,2,ha:12; hah:2; haha:1; next:1,ha:12; hah:2
প্রবলেম,16,4,2,problem:12; prblm:2; pblm:1; onar:1,problem:12; prblm:2
ছাড়া,16,4,2,chara:11; sara:3; cara:1; 6ara:1,chara:11; sara:3
বুঝলাম,13,4,2,bujhlam:6; bujlam:5; vocational:1; bujlm:1,bujhlam:6; bujlam:5
নো,13,4,2,no:9; know:2; na:1; khow:1,no:9; know:2
করেছি,13,4,2,korechi:9; koresi:2; krechi:1; koreci:1,korechi:9; koresi:2
করেসি,12,4,2,koresi:7; koreci:3; kreci:1; koeci:1,koresi:7; koreci:3
পাইসি,11,4,2,paici:5; paisi:4; pici:1; pysi:1,paici:5; paisi:4
দাও,11,4,2,dao:6; daw:3; deo:1; dawo:1,dao:6; daw:3
দেখলাম,10,4,2,dekhlam:6; deklam:2; na:1; delam:1,dekhlam:6; deklam:2
দেখায়,9,4,2,dekhay:4; dakhai:3; kn:1; dekay:1,dekhay:4; dakhai:3
কোথায়,9,4,2,kothay:4; kothai:3; kuthai:1; tay:1,kothay:4; kothai:3
ইনশাল্লাহ,9,4,2,insallah:4; inshallah:3; inshaallah:1; insaallah:1,insallah:4; inshallah:3
ফাস্ট,8,4,2,fast:4; 1st:2; frist:1; fst:1,fast:4; 1st:2
দেয়ার,8,4,2,dewar:4; deyar:2; drawer:1; deya:1,dewar:4; deyar:2
ঝামেলা,8,4,2,jhamela:4; jamela:2; jhanela:1; jhamelai:1,jhamela:4; jamela:2
দিছেন,7,4,2,disen:3; dichen:2; diya:1; techen:1,disen:3; dichen:2
গেসে,7,4,2,gese:3; gece:2; gasa:1; geshe:1,gese:3; gece:2
এসব,7,4,2,esob:3; asob:2; a:1; esb:1,esob:3; asob:2
থ্যংক্স,6,4,2,tnx:2; thnx:2; thx:1; thnks:1,tnx:2; thnx:2
ক্লাস,6,4,2,clash:2; class:2; clsh:1; to:1,clash:2; class:2
এইসব,6,4,2,eisob:2; eishob:2; aisob:1; eisb:1,eisob:2; eishob:2
অবস্থা,6,4,2,obosta:2; obostha:2; amon:1; abosta:1,obosta:2; obostha:2
টাকা,73,3,2,tk:38; taka:34; kore:1,tk:38; taka:34
বলেন,47,3,2,bolen:43; bolan:3; bholen:1,bolen:43; bolan:3
কোড,41,3,2,code:38; cod:2; swift:1,code:38; cod:2
কত,40,3,2,koto:36; kto:3; kotho:1,koto:36; kto:3
ইউ,34,3,2,you:19; u:14; uu:1,you:19; u:14
নাম্বার,29,3,2,number:26; no:2; nambar:1,number:26; no:2
করবেন,29,3,2,korben:26; krben:2; krbn:1,korben:26; krben:2
ওই,29,3,2,oi:26; oy:2; paypal:1,oi:26; oy:2
গুড,28,3,2,good:20; gd:7; goood:1,good:20; gd:7
অফ,24,3,2,off:17; of:6; seta:1,off:17; of:6
৪,23,3,2,4:20; 2:2; beta:1,4:20; 2:2
গুলা,23,3,2,gula:18; gola:4; golla:1,gula:18; gola:4
বলবেন,22,3,2,bolben:19; bolbn:2; boloben:1,bolben:19; bolbn:2
ট্রিক,22,3,2,trick:17; trickbd:4; dorkar:1,trick:17; trickbd:4
দিবো,21,3,2,dibo:18; debo:2; diboo:1,dibo:18; debo:2
বার,19,3,2,bar:16; ber:2; bat:1,bar:16; ber:2
দিয়া,19,3,2,dia:13; diya:5; diea:1,dia:13; diya:5
দিবে,19,3,2,dibe:15; diba:3; poreu:1,dibe:15; diba:3
মনে,17,3,2,mone:14; mne:2; mniy:1,mone:14; mne:2
হতে,16,3,2,hote:13; hota:2; hoita:1,hote:13; hota:2
পাবেন,16,3,2,paben:12; pabn:3; bank:1,paben:12; pabn:3
করসেন,16,3,2,korsen:11; korcen:4; korsaen:1,korsen:11; korcen:4
যেটা,15,3,2,jeta:12; jeita:2; jata:1,jeta:12; jeita:2
চলবে,15,3,2,cholbe:12; colbe:2; cholbee:1,cholbe:12; colbe:2
চেঞ্জ,14,3,2,change:11; cng:2; ip:1,change:11; cng:2
গুলো,14,3,2,gulo:11; gulu:2; gola:1,gulo:11; gulu:2
রেফার,13,3,2,refer:10; refar:2; reffer:1,refer:10; refar:2
ডিরেক্ট,13,3,2,direct:10; dirrect:2; download:1,direct:10; dirrect:2
দেয়া,12,3,2,deya:9; dawa:2; dea:1,deya:9; dawa:2
দিসি,12,3,2,disi:8; dici:3; desi:1,disi:8; dici:3
চেষ্টা,12,3,2,chesta:6; cesta:5; cheshta:1,chesta:6; cesta:5
ক্রেডিট,12,3,2,credit:9; creadit:2; cradit:1,credit:9; creadit:2
আসবে,12,3,2,asbe:9; ashbe:2; asba:1,asbe:9; ashbe:2
দিয়েন,11,3,2,diyen:8; dien:2; diyan:1,diyen:8; dien:2
এডসেন্স,10,3,2,adsense:7; adsence:2; adsenc:1,adsense:7; adsence:2
একবার,10,3,2,akbar:5; ekbar:4; akber:1,akbar:5; ekbar:4
