id,dataset,domain,subject,grade,task_type,answer_type,quality_status,review_label,reviewed_banglish_provided,answer,banglish_preview,banglish_chars,banglish_words,banglish_lines,banglish_option_lines,bangla_chars,english_chars,digit_count,latex_marker_count,operator_count,has_digits,has_latex_markers,has_formula_or_operator,has_roman_statement_list,has_science_symbol,has_review_label,Qwen2.5-3B_pattern,Qwen2.5-3B_bangla_correct,Qwen2.5-3B_banglish_correct,Qwen2.5-3B_english_correct,Qwen2.5-3B_fragility_event,Qwen2.5-7B_pattern,Qwen2.5-7B_bangla_correct,Qwen2.5-7B_banglish_correct,Qwen2.5-7B_english_correct,Qwen2.5-7B_fragility_event,Qwen3-4B_pattern,Qwen3-4B_bangla_correct,Qwen3-4B_banglish_correct,Qwen3-4B_english_correct,Qwen3-4B_fragility_event,n_models,banglish_fragility_events,strict_bangla_english_fragility_events,all_wrong_events,banglish_only_correct_events,bangla_correct_models,banglish_correct_models,english_correct_models,any_script_correct_models,any_model_fragile,all_models_fragile,long_banglish_words_q4,long_banglish_chars_q4
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? A. charogun B. dwigun C. ordhek D. soman Answer with...,147,28,6,4,139,171,0,0,0,False,False,False,False,False,True,english_only_correct,False,False,True,True,all_correct,True,True,True,False,all_correct,True,True,True,False,3,1,0,0,0,2,2,3,3,True,False,False,False
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,A,"konotir projonon ofoseter madhyome hoy? A. topapana B. pudina C. pinyaj D. peyara Answer with only A, B, C, or D.",113,21,6,4,107,121,0,0,0,False,False,False,False,False,False,all_wrong,False,False,False,False,all_correct,True,True,True,False,english_only_correct,False,False,True,True,3,1,0,1,0,1,1,2,2,True,False,False,False
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000}...",178,23,6,4,174,191,32,35,7,True,True,True,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,A,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? A. iliyak B. pyarail C. siliyako-mesentarik D. saboklabhiya...,160,26,6,4,149,159,0,0,1,False,False,True,False,False,False,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,3,3,0,0,0,0,0,3,3,True,True,False,False
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,30^{\circ}C tapomatray ekti gyasoke sthirochape uttopt kore ayoton tinogun kora holo. gyasotir churant tapomatra koto? A. 90^{\...,213,31,6,4,204,223,13,20,0,True,True,True,False,False,True,all_wrong,False,False,False,False,banglish_only_correct,False,True,False,False,all_correct,True,True,True,False,3,0,0,1,1,1,2,1,2,False,False,False,True
banglamath_0541,banglamath,math,,seven,short_answer,short_answer,human_reviewed_banglish_v5,major_edit,True,৪৪৪ বর্গমিটার,ekti ayotokar baganer doirgho 50 mi o prostho 30 mi. er bhitore 3 mitar chowra rasta thakle rastar khetrofol koto Return only t...,143,25,2,0,136,129,5,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,choice,human_reviewed_banglish_v5,major_edit,True,B,ekti ayotokar parker doirgho 40 mitar ebong prostho 30 mitar. parkotir baire charodike 2.5 mitar bistrit ekti rasta ache. rasta...,249,42,6,4,239,231,19,0,0,True,False,False,False,False,True,all_correct,True,True,True,False,all_correct,True,True,True,False,all_wrong,False,False,False,False,3,0,0,1,0,2,2,2,2,False,False,True,True
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,saikaser prodhan mul nosht hooyar fole- i. osthanik mul srishti hoy ii. Anabaena dwara akrant hoy iii. er akriti samudrik proba...,240,51,6,4,231,246,0,0,1,False,False,True,True,False,True,bangla_banglish_correct_english_wrong,True,True,False,False,banglish_only_correct,False,True,False,False,bangla_banglish_correct_english_wrong,True,True,False,False,3,0,0,0,1,2,3,0,3,False,False,True,True
banglamath_0557,banglamath,math,,seven,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,৯৩০ টাকা,ekti baganer porisima 120 mitar hole charodike bera dite koto khoroch hobe jodi proti mitare khoroch 31/4 taka hoy Return only...,144,24,2,0,127,141,6,0,1,True,False,True,False,False,True,all_wrong,False,False,False,False,bangla_only_correct,True,False,False,True,all_wrong,False,False,False,False,3,1,0,2,0,1,0,0,1,True,False,False,False
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,B,"gomer boigganik nam ki? A. Oryza sativa B. Triticum aestivum C. Zea mays D. Bambusa tulda Answer with only A, B, C, or D.",121,24,6,4,120,131,0,0,0,False,False,False,False,False,False,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,3,3,0,0,0,0,0,3,3,True,True,False,False
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,C,"f(x) = x^{2} - x fangshonotir kon bindute ongkit sporshok x-oksher somantoral? A. \left ( \frac{-1}{2}, \frac{-1}{4} \right ) B...",294,48,6,4,288,304,17,51,15,True,True,True,False,False,False,all_wrong,False,False,False,False,bangla_only_correct,True,False,False,True,all_wrong,False,False,False,False,3,1,0,2,0,1,0,0,1,True,False,True,True
banglamath_0236,banglamath,math,,six,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,১২ টাকা,10ti bolopener dam 60 taka hole 2ti bolopener dam koto Return only the final answer.,84,15,2,0,77,82,5,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,english_only_correct,False,False,True,True,all_wrong,False,False,False,False,3,1,0,2,0,0,0,1,1,True,False,False,False
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,"hritopinder olinder dayastoler somoyokal koto sekend? A. 0.7 B. 0.5 C. 0.3 D. 0.1 Answer with only A, B, C, or D.",113,22,6,4,110,131,8,0,0,True,False,False,False,False,True,bangla_only_correct,True,False,False,True,bangla_banglish_correct_english_wrong,True,True,False,False,all_wrong,False,False,False,False,3,1,0,1,0,2,1,0,2,True,False,False,False
banglamath_0189,banglamath,math,,six,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,৬ জন পুরুষ,ekti kaj 2 jon purush othoba 3 jon balok somponn korte pare. 9 jon balok kotojon purusher soman kaj korte parbe Return only the...,141,26,2,0,126,112,3,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,C,"Hydra-r kon dhoroner cholonoke jonka cholon bole? A. glaidin B. somarosonting C. luping D. hanta Answer with only A, B, C, or D.",128,23,6,4,114,140,0,0,1,False,False,True,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,bangla_only_correct,True,False,False,True,3,1,0,2,0,1,0,0,1,True,False,False,False
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,C,ekti niropeksh chhokka ekobar nikshep kora hole moulik songkhya asar sombhabona koto? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}...,177,28,6,4,164,182,8,20,4,True,True,True,False,False,True,bangla_only_correct,True,False,False,True,all_wrong,False,False,False,False,banglish_english_correct_bangla_wrong,False,True,True,False,3,1,0,1,0,1,1,1,2,True,False,False,False
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,C,somoyer sapekshe ontokolon kore sorol chhondit goti-somponn bostur ontorok somikoron theke ki paoya jay? A. kompangk B. poryayo...,179,30,6,4,162,211,0,0,1,False,False,True,False,False,False,all_wrong,False,False,False,False,bangla_english_correct_banglish_wrong,True,False,True,True,all_wrong,False,False,False,False,3,1,1,2,0,1,0,1,1,True,False,False,False
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,mohakorsh sutr byobohar kore je somost kaj kora sombhob- i. prakritik gyas uttolon ii. bibhinn khonij podarth uttolon iii. bhu-...,263,51,6,4,244,282,0,0,2,False,False,True,True,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A A + Cl_{2} \rightarrow B uddipoke A jougoti- i. songjojon bikriya dey ii. plas...,281,57,6,4,271,302,4,15,5,True,True,True,True,True,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? A....,204,43,6,4,190,184,0,0,1,False,False,True,True,False,True,english_only_correct,False,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,3,3,2,0,0,2,0,3,3,True,True,True,True
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,D,"nicher kon udbhide salokosongshleshon har beshi? A. bot gachh B. kanthal C. peyara D. kochuripana Answer with only A, B, C, or D.",129,23,6,4,116,154,0,0,0,False,False,False,False,False,False,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,all_correct,True,True,True,False,3,2,0,0,0,1,1,3,3,True,False,False,False
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,C,"M(3, 3), N(6, 6) ebong R(12, 3t) tinoti bindu. M o N bindu dwara songjogokari rekhar somikoron nicher konti? A. x - 3y - 12 = 0...",215,59,6,4,207,229,22,0,12,True,False,True,False,False,True,bangla_banglish_correct_english_wrong,True,True,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,2,0,1,1,0,1,False,False,True,True
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,"bhinegare koto shotangsh pani bidyoman? A. 6% B. 15% C. 70% D. 90% Answer with only A, B, C, or D.",98,21,6,4,91,103,7,0,0,True,False,False,False,False,True,english_only_correct,False,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,all_correct,True,True,True,False,3,2,1,0,0,2,1,3,3,True,False,False,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,C,"nicher kon dhape kromatidogulo merumukhi cholote shuru kore? A. profej B. metafej C. anafej D. telofej Answer with only A, B, C...",134,24,6,4,130,147,0,0,0,False,False,False,False,False,False,english_only_correct,False,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,all_correct,True,True,True,False,3,2,1,0,0,2,1,3,3,True,False,False,False
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,D,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter- A. somanupatik B. borger somanupatik C. bo...,203,30,6,4,195,254,0,0,1,False,False,True,False,False,False,bangla_only_correct,True,False,False,True,all_wrong,False,False,False,False,english_only_correct,False,False,True,True,3,2,0,1,0,1,0,1,2,True,False,False,True
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,B,apekshikotar totto onusare- i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}} ii. L = \frac{L_{0}}{\sqrt{1 - \frac{v^{2}}{c^{...,287,49,6,4,284,307,12,66,16,True,True,True,True,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
banglamath_1693,banglamath,math,,Eight,short_answer,short_answer,human_reviewed_banglish_v5,major_edit,True,24,dui ongker ekti songkhyar tin bhager ek bhag o char bhager ek bhager jogfol 14. songkhyati koto? hisabti koro. Return only the...,140,24,2,0,125,114,2,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
banglamath_0227,banglamath,math,,six,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,৭.৫ কিমি,dui bondhur bari theke skuler durotter onupat 2:3 ebong prothom bondhur durotto 5 kimi hole dwitiy bondhur durotto koto Return...,149,24,2,0,138,163,3,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,B,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? A. porabrittakar B. odhibrittakar C. br...,183,27,6,4,166,187,0,0,0,False,False,False,False,False,False,bangla_english_correct_banglish_wrong,True,False,True,True,english_only_correct,False,False,True,True,english_only_correct,False,False,True,True,3,3,1,0,0,1,0,3,3,True,True,False,False
banglamath_0532,banglamath,math,,seven,short_answer,short_answer,auto_romanized_unverified_v4,unreviewed,False,১ মেট্রিক টন ৭৫০ কেজি,16 ekor jomite 28 metrik ton dhan hole proti ekor jomite ki poriman dhan fole Return only the final answer.,107,20,2,0,98,105,4,0,0,True,False,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,C,motin tamak patay ek dhoroner mojaik rog dekhote pel. ullikhit roger bhairaser bongshogotiy bostute bondhon bidyoman- i. A = T...,248,56,6,4,231,271,0,0,4,False,False,True,True,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
banglamath_0184,banglamath,math,,six,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,১২০০০ টাকা,9000 taka biniyoge protidin 450 taka labh hole 600 taka labh korte koto biniyog korte hobe Return only the final answer.,120,21,2,0,112,145,10,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,english_only_correct,False,False,True,True,all_wrong,False,False,False,False,3,1,0,2,0,0,0,1,1,True,False,False,False
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,A,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya? A. a + b B. ab C. \frac{a}{b} D. \frac{b}{a} Answer with on...,144,30,6,4,137,143,3,16,7,True,True,True,False,False,True,english_only_correct,False,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,all_wrong,False,False,False,False,3,2,1,1,0,1,0,2,2,True,False,False,False
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,skyandiyamer sorboshesh shoktistorer sothik ilekotron binyas konti? A. 3s^{2}3p^{6}3d^{5}4s^{1} B. 3s^{2}3p^{6}3d^{3}4s^{2} C....,211,23,6,4,208,224,32,48,0,True,True,True,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_correct,True,True,True,False,3,0,0,2,0,1,1,1,1,False,False,False,True
banglamath_0542,banglamath,math,,seven,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,৩৪০০ টাকা,rastabade baganer porisimay bera dite proti mitare 25 taka hisebe mot koto khoroch hobe jodi rastabade baganer doirgho 44 mi o...,174,30,2,0,165,138,6,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,False,False
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,C,drishyoman bornalir toronggodoirghyer bistriti- A. 2000 \AA theke 3000 \AA poryont B. 3000 \AA theke 4000 \AA poryont C. 4000 \...,220,40,6,4,211,196,33,8,1,True,True,True,False,False,False,banglish_only_correct,False,True,False,False,all_correct,True,True,True,False,english_only_correct,False,False,True,True,3,1,0,0,1,1,2,2,3,True,False,True,True
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,C,benojiner karbon-karbon dwi-bondhon kon orobitaroler odhikromone srishti hoy? i. sp^{2} - sp^{2} ii. p - p iii. sp^{2} - sp^{3}...,214,43,6,4,203,226,4,12,5,True,True,True,True,False,True,banglish_only_correct,False,True,False,False,all_wrong,False,False,False,False,bangla_banglish_correct_english_wrong,True,True,False,False,3,0,0,1,1,1,2,0,2,False,False,True,True
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,animiya roger lokshon- i. ojon kome jaoya ii. khaoyay oniha iii. durbol laga nicher konti sothik? A. i o ii B. i o iii C. ii o...,177,41,6,4,172,181,0,0,1,False,False,True,True,False,True,bangla_banglish_correct_english_wrong,True,True,False,False,bangla_banglish_correct_english_wrong,True,True,False,False,bangla_banglish_correct_english_wrong,True,True,False,False,3,0,0,0,0,3,3,0,3,False,False,True,False
banglamath_1688,banglamath,math,,Eight,short_answer,short_answer,human_reviewed_banglish_v5,major_edit,True,"বাবুর্চী কাটে ৭০ মিনিটে ২১০টি পেঁয়াজ, সহকারী কাটে ১৯০টি পেঁয়াজ ৯৫ মিনিটে",kon ekti biyer onushthane ranna korte baburchi o tar sohokormi mot 400ti peyaj katen. baburchi proti minite ontot 3ti peyaj ebo...,351,57,2,0,334,286,7,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,choice,human_reviewed_banglish_v5,minor_edit,True,D,"(3, -4) bindugami ebong x-oksher somantoral sorolorekhar somikoron konti? A. y - 3 = 0 B. y + 3 = 0 C. y - 4 = 0 D. y + 4 = 1 A...",157,41,6,4,148,204,10,0,10,True,False,True,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,bangla_banglish_correct_english_wrong,True,True,False,False,3,0,0,2,0,1,1,0,1,False,False,True,False
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,choice,auto_romanized_unverified_v4,unreviewed,False,B,trofojoyet \rightarrow sigonet ring \rightarrow A \rightarrow saijont \rightarrow merojoyet A dhape nicher kon podarthoti toiri...,220,33,6,4,209,232,0,4,0,False,True,True,False,False,False,all_correct,True,True,True,False,banglish_english_correct_bangla_wrong,False,True,True,False,bangla_english_correct_banglish_wrong,True,False,True,True,3,1,1,0,0,2,2,3,3,True,False,False,True
banglamath_0230,banglamath,math,,six,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,20%,25 taka 125 takar shotkora koto Return only the final answer.,61,11,2,0,56,66,5,0,0,True,False,False,False,False,True,bangla_english_correct_banglish_wrong,True,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,bangla_english_correct_banglish_wrong,True,False,True,True,3,3,3,0,0,3,0,3,3,True,True,False,False
banglamath_1685,banglamath,math,,Eight,short_answer,short_answer,auto_romanized_unverified_v4,unreviewed,False,দুইজনের বয়স সমান,"2 bochhor por jiboner boyos hobe, 2 bochhor purbe jiboner boyos ja chhil tar dwigun. 3 bochhor por jiboner boyos jodi 3 bochhor...",232,40,2,0,200,181,4,0,0,True,False,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
banglamath_1692,banglamath,math,,Eight,short_answer,short_answer,human_reviewed_banglish_v5,minor_edit,True,"১জন পুরুষ, ৫ জন মহিলা এবং ১৪ জন শিশু","ekti jouth poribarer mot sodosy (purush, mohila o shishu) 20 jon. poribarer kortababur adesh 20 mon dhan poribarer sokol sodosy...",403,64,2,0,355,231,7,0,0,True,False,False,False,False,True,all_wrong,False,False,False,False,all_wrong,False,False,False,False,all_wrong,False,False,False,False,3,0,0,3,0,0,0,0,0,False,False,True,True
