generator,id,reference_chars,generated_chars,edit_distance,cer,sequence_similarity,bengali_ratio,exact_match,generated_preview
protected_phonetic_bangla,benqa_12th-Biology-I_0265,386,390,66,0.171,0.518,0.7026,False,"মি। 'ক' ব্যবহারিক ক্লাসে একতি নমুনার পর্যবেক্শন করে দেখলো মেতাজাইলেম কেন্দ্রের দিকে, ভাস্কুলার বান্দল 9তি এবং কিছ্হু এককশি রম আছ্হে। পর্যবেক্শিত বইশিশ্ত্যগুলো কিভাবে উদ্ভিদকে বান্ছিয়ে রাখতে সাহাজ্য করে? ই। পানি অ খনিজ ল"
protected_phonetic_bangla,benqa_12th-Chemistry-II_0054,129,125,8,0.062,0.9528,0.168,False,"আমাইদের কার্যকরি মুলক হল- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Chemistry-II_0240,248,246,17,0.0685,0.7328,0.4715,False,CH_{3} - CH_{2} - COONa ্ NaOH \xrightarrow[\Delta]{CaO} আ ্ ণা_{2}CO_{3} উদ্দিপকের বিক্রিয়াতি কি নামে পরিছিত? A. উর্তজ বিক্রিয়া B. দি-কার্বক্সিলেশন বিক্রিয়া C. উর্তজ ফিতিগ বিক্রিয়া D. ফ্রিদেল ক্রাফ‌ত বিক্রিয়া Answe
protected_phonetic_bangla,benqa_12th-Chemistry-II_0305,140,140,3,0.0214,0.9786,0.15,False,"27^অঁ তাপমাত্রায় ও_2 এর RMS মান কত? A. 453.23 ms^{-1} B. 463.34 ms^{-1} C. 473.45 ms^{-1} D. 483.56 ms^{-1} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Chemistry-I_0140,236,237,8,0.0339,0.9725,0.2869,False,CaF_{2}-এর সম্প্রিক্ত জলিয় দ্রবনে ফ্লরাইদ আয়নের ঘনমাত্রা 0.00655 gL^{-1} হলে CaF_{2} এর দ্রাব্যতা গুনফল কত হবে? A. 3.7\times 10^{-13} B. 2.048\times 10^{-10} C. 3.7\times 10^{-12} D. 2.048\times 10^{-11} Answer with on
protected_phonetic_bangla,benqa_12th-Chemistry-I_0190,108,105,9,0.0833,0.9296,0.2667,False,"নিছের কনতির বন্ধন কন সবছেয়ে বর? A. CH_{4} B. BCl_{3} C. NH_{3} D. ঃ_{2}ও Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Chemistry-I_0303,93,92,6,0.0645,0.9405,0.3152,False,"নিছের কন এসিদতি সবছেয়ে শক্তিশালি? A. HF B. HCI C. HBr D. HI Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Math-II_0230,302,307,48,0.1589,0.7455,0.5798,False,5 একক দুরত্বে আ অ B বিন্দুতে ক্রিয়ারত 9 এবং 5 একক মানের সমান্তরাল বলদ্বয়- ই। অসদ্রিশ হলে লব্ধির মান 4 একক ইই। সদ্রিশ এবং লব্ধি ঁ বিন্দুতে ক্রিয়ারত হলে BC = \frac{45}{14} একক ইইই। সদ্রিশ হলে লব্ধির মান 14 একক নিছের কনত
protected_phonetic_bangla,benqa_12th-Math-II_0234,200,201,11,0.055,0.9426,0.199,False,"জদি x^{2} - 4x ্ 3 = 0 সমিকরনের মুলদ্বয় \alpha এবং \beta হয় তবে \frac{1}{\alpha} ্ ফ্রাচ{1}{\beta} এর মান- A. \frac{4}{3} B. \frac{3}{4} C. \frac-4}{3} D. \frac{-3}{4} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Math-I_0088,123,123,1,0.0081,0.9919,0.1463,False,"x-এর সাপেক্শে ln ax এর অন্তরজ- A. \frac{a}{x} B. \frac{x}{a} C. \frac{1}{x} D. \frac{1}{ax} Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Math-I_0120,148,147,8,0.0541,0.9492,0.3265,False,"(3, -4) বিন্দুগামি এবং x-অক্শের সমান্তরাল সরলরেখার সমিকরন কনতি? A. y - 3 = 0 B. y ্ 3 = 0 C. y - 4 = 0 D. y ্ 4 = 1 Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Math-I_0202,172,172,4,0.0233,0.9767,0.0349,False,"\int \frac{cosx}{\sqrt{sinx}} dx = কত? A. 2\sqrt{cosx} ্ c B. 2\sqrt{sinx} ্ c C. \frac{1}{2} \sqrt{cosx} ্ c D. \frac{1}{2} \sqrt{sinx} ্ c Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Physics-II_0088,182,180,40,0.2198,0.7845,0.5611,False,"হাইগেন‌স এর নিতির সাহাজ্যে ব্যাখ্যা করা জায়- ই। প্রতিসরন ইই। প্রতিফলন ইইই। সমবর্তন নিছের কনতি সথিক? A. ই অ ইই B. ই অ ইইই C. ইই অ ইইই D. ই, ইই অ ইইই Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Physics-II_0131,411,409,7,0.017,0.9854,0.0685,False,থার্মমিতির মুল সমিকরন নিছের কনতি? A. \frac{N}{\theta - \theta_{ice}} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}} B. \frac{\theta - \theta_{ice}}{N} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}} C. \frac{N}{\t
protected_phonetic_bangla,benqa_12th-Physics-I_0106,97,96,4,0.0412,0.9637,0.2604,False,"নিছের কনতি শুন্য দশার সমতুল্য? A. \pi/2 B. \pi C. 3\pi/2 D. 2\pi Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_12th-Physics-I_0109,110,109,9,0.0818,0.9224,0.4862,False,"তর্কের অপর নাম কি? A. ঘর্শন বল B. জরতার ভ্রামক C. ঘুর্নন বল D. কেন্দ্রমুখি বল Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_8th-Math_0031,145,144,11,0.0759,0.9273,0.4236,False,"একতি গারির ছাকার পরিধি 5.15 মিতার হলে, ছাকাতির ব্যাস কত? A. 0.82 মিতার B. 0.96 মিতার C. 1.28 মিতার D. 1.64 মিতার Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_8th-Math_0085,98,96,5,0.051,0.9588,0.3333,False,"4 ক্রমের ম্যাজিক বর্গের কনাকুনি জগফল কত? A. 15 B. 16 C. 34 D. 65 Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_8th-Science_0024,135,129,10,0.0741,0.947,0.5504,False,"মাইতসিসের কনধারে ক্রমজমগুলো ইংরেজি বর্নমালা J এর মত হয়? A. প্রফেজ B. মেতাফেজ C. এনাফেজ D. তেলফেজ Answer with only A, B, C, or D."
protected_phonetic_bangla,benqa_8th-Science_0153,163,154,23,0.1411,0.8833,0.6364,False,"পাকস্থলির এসিদিতি নিরাময়ে কনতি উপজগি? A. ক্যালসিয়াম B. এসিতিক এসিদ C. অজলুমিনিয়াম হাইদ্রক্সাইদ D. আমনিয়াম হাইদ্রক্সাইদ Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Biology_0057,254,253,53,0.2087,0.7022,0.6126,False,"গনি সাহেব তার বাগানে এমন কিচ্ু গাচ্ লাগিয়েচ্েন জার CO_{2} বিজারনের পরথম স্থায়ি পদারথ অকসালঅ এসিতিক এসিদ. গনি সাহেব লাগিয়েচ্েন- ই. ভুততা ইই. বেগুন ইইই. আখ নিছের কনতি সথিক? A. ি অ ইই B. ইই অ ইইই C. ই অ ইইই D. ই, ইই অ ইই"
protected_bnbphoneticparser,benqa_10th-Biology_0143,137,131,18,0.1314,0.8881,0.5649,False,"আকসমিক কিদনি অকেজঅ হতে পারে কন কারনে? A. দায়াবেতিস B. নেফরািতিস C. মারাতমক দায়রিয়া D. ুছছ রকতছাপ Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Biology_0197,134,125,19,0.1418,0.888,0.56,False,"কশের সকল জইবইক করিয়া নিয়ন্ত্রন করে কনতি? A. নিউকলয়াস B. রািবজম C. লািসজম D. মািতকন্দ্রিয়া Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Chemistry_0280,81,80,7,0.0864,0.9441,0.25,False,"কনতি পরথম বয়বহরিত ধাতু? A. Au B. Ag C. Sn D. Cu Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Chemistry_0374,114,99,27,0.2368,0.8169,0.4242,False,"ইথইলইন গলাইকল কন ধরনের জউগ? A. aলদিহািদ B. aলকহল C. aলকিন D. aলকািন Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Chemistry_0388,209,202,48,0.2297,0.5353,0.4109,False,"সকয়ানদিয়ামের সরবশেশ শকতিসতরের সথিক ইলেকতরন বিনয়াস কনতি? A. 3সঁ{2}3পঁ{6}3দঁ{5}4সঁ{1} B. 3সঁ{2}3পঁ{6}3দঁ{3}4সঁ{2} C. 3সঁ{2}3পঁ{6}3দঁ{2}4সঁ{2} D. 3সঁ{2}3পঁ{6}3দঁ{1}4সঁ{2} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Math-II_0367,164,162,9,0.0549,0.9571,0.358,False,"একতি নিরপেকশ চ্ককা একবার নিকশেপ করা হলে মউলিক সংখ্যা আসার সম্ভাবনা কত? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}{2} D. \frac{2}{3} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Math_0032,90,90,1,0.0111,0.9889,0.1222,False,"(\sqrt{3})ঁ{x+2} = 27 হলে x এর মান কত? A. 6 B. 4 C. 3 D. 2 Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Physics_0045,139,129,17,0.1223,0.9104,0.5349,False,"কন নিরদিশ্ত ভরের কন বসতুর বেগ দওইগুন করলে গতিশকতি কত গুন হবে? A. ছারগুন B. দওইগুন C. রধেক D. সমান Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Physics_0055,144,137,21,0.1458,0.8826,0.5474,False,"পানিতে সানতার কাতার সময় কন বাধা অতিকরঅম করতে হয়? A. স্থিতি ঘরশন B. গতি ঘরশন C. aবরত ঘরশন D. পরবাহি ঘরশন Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_10th-Physics_0296,131,127,15,0.1145,0.8992,0.4882,False,"ইউরেনইয়ামের ছেইন বিকরিয়ার দওইতইয় ধাপে কততি নিউতরন নিরগত হয়? A. 2 তি B. 3 তি C. 6 তি D. 9 তি Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Biology-II_0119,114,112,20,0.1754,0.8407,0.5,False,"হয়দরা-র কন ধরনের ছলনকে জঙ্কা ছলন বলে? A. গলাইদইন B. সমারসনতইং C. লুপইং D. হানতা Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Biology-II_0179,119,118,5,0.042,0.9705,0.2881,False,"রকত জমাত বান্ধতে কন ধাতব আয়ন সহায়তা করে? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Biology-II_0325,153,149,14,0.0915,0.9338,0.604,False,"রুই মাচ্ের শ্রেনি পাখনায় রকত পরিবহন করে নিছের কন ধমনি? A. িলিয়াক B. পয়ারািল C. সিলিয়াক-মেসেনতারিক D. সাবকলাভিয়ান Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Biology-I_0039,122,115,22,0.1803,0.8608,0.5478,False,"উদ্ভিদের অনতঅহসতিলিয় অংশ হছচ্ে- A. হাইপদারমইস B. েপইদারমইস C. মজজারশ্মই D. কারতেকস Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Biology-I_0218,120,124,57,0.475,0.5574,0.5484,False,"গমের বইগগানইক নাম কি? A. োরয়যা সাতিভা B. টরিতিচুম আএসতিভুম C. ্যএয়া মায়স D. বামবুসা তুলদা Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Biology-I_0265,386,375,85,0.2202,0.2917,0.6907,False,"মি. 'ক' বয়বহারিক কলাসে একতি নমুনার পরয়বেকশন করে দেখল মেতাজাইলেম কেন্দ্রের দিকে, ভাসকুলার বানদল 9তি এবং কিচ্ু এককশি রম আচ্ে. পরয়বেকশিত বইশইশ্তয়গুল কিভাবে উদ্ভিদকে বাঞ্ছিয়ে রাখতে সাহাজয় করে? ই. পানি অ খনিজ লবন পরিবহন"
protected_bnbphoneticparser,benqa_12th-Chemistry-II_0054,129,125,10,0.0775,0.9449,0.168,False,"আমাইদের কারয়করি মুলক হল- A. \text{-CONH_{2}} B. \text{-COX} C. \text{-CHO} D. \text{-NH_{2}} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Chemistry-II_0240,248,234,29,0.1169,0.6307,0.4359,False,CH_{3} - CH_{2} - COONa + NaOH \xrightarrow[\Delta]{CaO} আ + ণা_{2}CO_{3} উদদিপকের বিকরিয়াতি কি নামে পরিছিত? A. ুরতজ বিকরিয়া B. দি-কারবকসিলেশন বিকরিয়া C. ুরতজ ফিতিগ বিকরিয়া D. ফরিদেল করাফ‌ত বিকরিয়া Answer with only 
protected_bnbphoneticparser,benqa_12th-Chemistry-II_0305,140,138,5,0.0357,0.9712,0.1449,False,"27ঁচ তাপমাতরায় ও_2 এর RMS মান কত? A. 453.23 ms^{-1} B. 463.34 ms^{-1} C. 473.45 ms^{-1} D. 483.56 ms^{-1} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Chemistry-I_0140,236,232,20,0.0847,0.9316,0.2888,False,"CaF_{2}-ের সম্প্রিকত জলিয় দরবনে ফলরাইদ আয়নের ঘনমাতরা 0.00655 gL^{-1} হলে CaF_{2} এর দরাবয়তা গুনফল কত হবে? A. 3.7\times 10ঁ{-13} B. 2.048\times 10ঁ{-10} C. 3.7\times 10ঁ{-12} D. 2.048\times 10ঁ{-11} Answer with only A,"
protected_bnbphoneticparser,benqa_12th-Chemistry-I_0190,108,105,9,0.0833,0.9296,0.2667,False,"নিছের কনতির বন্ধন কন সবছেয়ে বর? A. CH_{4} B. BCl_{3} C. NH_{3} D. হ_{2}ো Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Chemistry-I_0303,93,91,7,0.0753,0.9348,0.3077,False,"নিছের কন এসিদতি সবছেয়ে শকতিশালি? A. HF B. HCI C. HBr D. HI Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Math-II_0230,302,298,51,0.1689,0.6533,0.5705,False,5 একক দুরতবে আ অ ব বিনদুতে করিয়ারত 9 এবং 5 একক মানের সমানতরাল বলদবয়- ই. অসঅদরিশ হলে লব্ধির মান 4 একক ইই. সদরিশ এবং লব্ধি চ বিনদুতে করিয়ারত হলে BC = \frac{45}{14} একক ইইই. সদরিশ হলে লব্ধির মান 14 একক নিছের কনতি সথিক? A
protected_bnbphoneticparser,benqa_12th-Math-II_0234,200,199,9,0.045,0.9574,0.1809,False,"জদি x^{2} - 4x + 3 = 0 সমিকরনের মুলদবয় \alpha এবং \beta হয় তবে \frac{1}{\alpha} + ফরাচ{1}{\beta} এর মান- A. \frac{4}{3} B. \frac{3}{4} C. \frac-4}{3} D. \frac{-3}{4} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Math-I_0088,123,123,6,0.0488,0.9675,0.1463,False,"x-ের সাপেকশে ln ax এর অনতঅরঅজ- A. \frac{a}{x} B. \frac{x}{a} C. \frac{1}{x} D. \frac{1}{ax} Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Math-I_0120,148,143,10,0.0676,0.9485,0.2937,False,"(3, -4) বিনদুগামি এবং x-কশের সমানতরাল সরলরেখার সমিকরন কনতি? A. y - 3 = 0 B. y + 3 = 0 C. y - 4 = 0 D. y + 4 = 1 Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Math-I_0202,172,172,0,0.0,1.0,0.0116,True,"\int \frac{cosx}{\sqrt{sinx}} dx = কত? A. 2\sqrt{cosx} + c B. 2\sqrt{sinx} + c C. \frac{1}{2} \sqrt{cosx} + c D. \frac{1}{2} \sqrt{sinx} + c Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Physics-II_0088,182,177,44,0.2418,0.7799,0.5537,False,"হাইগেন‌স এর নিতির সাহাজয়ে বয়াখ্যা করা জায়- ই. পরতিসরন ইই. পরতিফলন ইইই. সমবরতন নিছের কনতি সথিক? A. ি অ ইই B. ই অ ইইই C. ইই অ ইইই D. ই, ইই অ ইইই Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Physics-II_0131,411,408,8,0.0195,0.9841,0.0662,False,থারমমিতির মুল সমিকরন নিছের কনতি? A. \frac{N}{\theta - \theta_{ice}} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}} B. \frac{\theta - \theta_{ice}}{N} = \frac{X_{\theta} - X_{ice}}{X_{steam} - X_{ice}} C. \frac{N}{\th
protected_bnbphoneticparser,benqa_12th-Physics-I_0106,97,96,8,0.0825,0.943,0.2604,False,"নিছের কনতি শুনয় দশার সমতুলয়? A. \pi/2 B. \pi C. 3\pi/2 D. 2\pi Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_12th-Physics-I_0109,110,107,13,0.1182,0.9032,0.4766,False,"তরকের অপঅর নাম কি? A. ঘরশন বল B. জরতার ভ্রামক C. ঘুরনন বল D. কেন্দ্রমুখি বল Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_8th-Math_0031,145,144,13,0.0897,0.9204,0.4236,False,"একতি গারির ছাকার পরিধি 5.15 মিতার হলে, ছাকাতির বয়াস কত? A. 0.82 মিতার B. 0.96 মিতার C. 1.28 মিতার D. 1.64 মিতার Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_8th-Math_0085,98,94,9,0.0918,0.9375,0.3191,False,"4 করমের ময়াজিক বরগের কনাকুনি জগফল কত? A. 15 B. 16 C. 34 D. 65 Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_8th-Science_0024,135,125,18,0.1333,0.9,0.544,False,"মাইতসইসের কনধারে করমজমগুল ইংরেজই বরনমালা জ এর মত হয়? A. পরফেজ B. মেতাফেজ C. েনাফেজ D. তেলফেজ Answer with only A, B, C, or D."
protected_bnbphoneticparser,benqa_8th-Science_0153,163,149,32,0.1963,0.8462,0.6174,False,"পাকস্থলির এসিদিতি নিরাময়ে কনতি উপজগি? A. কয়ালসিয়াম B. েসিতিক এসিদ C. জলুমিনিয়াম হাইদরকসাইদ D. aমনইয়াম হাইদরকসাইদ Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Biology_0057,254,253,51,0.2008,0.568,0.5178,False,"গনি সাহব টার ব্যালানে এমন কিছু উপায় লাগিয়েছেন যার CO_{2} আইভরিনের প্রথম সথেই পর্যন্ত অসুজা সবকিছু ইসিদ। গনি সাহব লাগিয়েছেন- i. বন্ধু ii. ব্যাগন iii। এখন নিচের কোনটা সঠিক? A. i ও ii B. ii ও iii C. i ও iii D. i, ii ও ii"
protected_fms_byte_mbart,benqa_10th-Biology_0143,137,131,26,0.1898,0.8507,0.5344,False,"একসামিক কিছুনি ওকেয হতে পারে কোন কারনে? A. dayaবেটিস B. নেটফ্রাইটিস C. মারামক দিয়া D. উচিত রকতোকাপ Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Biology_0197,134,125,36,0.2687,0.7799,0.528,False,"কষ্টের সকল জৈবিক ক্রিয়ে হিরোনটরন করে কোনো? A. নিুয়াযাস B. রানাবৈম C. লাগলোম D. মেথkondরিয়া Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Chemistry_0280,81,81,8,0.0988,0.9012,0.2593,False,"কোনটা প্রথম বাইবহার ঢাকা? A. Au B. Ag C. Sn D. Cu Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Chemistry_0374,114,104,25,0.2193,0.8257,0.4615,False,"ইতিলিন গ্রেইkol কোন ধরণের যুগ? A. আলডাহিইড B. অলকোহল C. আলাকিন D. আলকাইন Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Chemistry_0388,209,215,61,0.2919,0.5,0.3721,False,"স্কাইন্ডিয়মার সমস্যা শিখিটর সঠিক ইলেটরন চালাইনাস কোনো? A. 3এস^{2}3পি^{6}3ডি^{5}4এস^{1} B. 3এস^{2}3পি^{6}3ডি^{3}4এস^{2} C. 3এস^{2}3পি^{6}3ডি^{2}4এস^{2} D. 3এস^{2}3পি^{6}3ডি^{1}4এস^{2} Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Math-II_0367,164,164,18,0.1098,0.9085,0.3659,False,"একই নিরোপেক্স চক্কা একইবার থ্যাংকস করা হলে মৌলিক সংগীতা আসার সম্ভবনা কট? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}{2} D. \frac{2}{3} Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Math_0032,90,90,1,0.0111,0.9889,0.1111,False,"(\sqrt{3})^{x+2} = 27 হলে x এর মান কট? A. 6 B. 4 C. 3 D. 2 Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Physics_0045,139,142,24,0.1727,0.8683,0.5775,False,"কোন নিরফ্শিস্ট বারের কোন বুস্টুর বিগন দুইগুন করলে গষ্টাকটি কত গুন হবে? A. চারগুন B. দুইগুন C. অর্ধেক D. সমাধান Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Physics_0055,144,144,46,0.3194,0.7292,0.5208,False,"পেনিতে সুন্দর কাটার সময় কোন বন্ধ ঐক্রিম করতে হয়? A. সত্যি গরশন B. গতুই ধরshon C. অ্যাব্ট গরশন D. প্রেমি ধরshon Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_10th-Physics_0296,131,122,27,0.2061,0.8221,0.4672,False,"জৈবনিয়দের চাইন বিচারের দুইটা বুঝে কতটা নিউটরন নিরামত হয়? A. 2 টি B. 3 টি C. 6 টি D. 9 টি Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_12th-Biology-II_0119,114,122,35,0.307,0.7797,0.541,False,"হির্ডা-আর কোন ধরণের চলোনোকে যেন চলোনো বলে? A. গালিডীন B. সমস্যারকমিং C. ল্যাপিং D. হ্যানতা Answer with only A, B, C, or D."
protected_fms_byte_mbart,benqa_12th-Biology-II_0179,119,121,25,0.2101,0.8083,0.2975,False,"রোট জমত ব্যান্ড হতে কোন ঢাকা এত মাঝেয়াত করে? A. Ca^{++} B. Mg^{++} C. Cu^{++} D. Fe^{++} Answer with only A, B, C, or D."
