index,id,source_file,source_row,grade,subject,answer,review_status,issue_count,warning_count,issues,warnings,banglish_bengali_char_count,banglish_length_ratio,bangla_digits,banglish_digits,english_digits
43,benqa_ext_10th-Biology_0137,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,137,10th,Biology,C,ai_assisted_review_pass_v1,0,0,,,0,1.082,,,
44,benqa_ext_12th-Chemistry-II_0005,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,5,12th,Chemistry-II,D,ai_assisted_review_warn_v1,0,2,,english_duplicate_option_text;bangla_english_digit_mismatch,0,1.019,1|8|6|023|10|23|12|046|10|23|6|023|10|25|12|046|10|25,1|8|6|023|10|23|12|046|10|23|6|023|10|25|12|046|10|25,1|8|6|023|10|23|12|046|10|23|6|023|10|23|12|046|10|23
45,benqa_ext_12th-Chemistry-I_0366,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,366,12th,Chemistry-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.094,,,
46,benqa_ext_10th-Biology_0350,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,350,10th,Biology,D,ai_assisted_review_pass_v1,0,0,,,0,1.091,,,
47,benqa_ext_12th-Physics-II_0171,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,171,12th,Physics-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.093,,,
48,benqa_ext_12th-Math-II_0321,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,321,12th,Math-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.027,5|2|7|3|0|1|10|7|109|1|10|7|109|1|10|7|109|1|10|7|109,5|2|7|3|0|1|10|7|109|1|10|7|109|1|10|7|109|1|10|7|109,5|2|7|3|0|1|10|7|109|1|10|7|109|1|10|7|109|1|10|7|109
49,benqa_ext_12th-Biology-I_0076,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,76,12th,Biology-I,B,ai_assisted_review_pass_v1,0,0,,,0,0.974,,,
50,benqa_ext_12th-Biology-I_0094,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,94,12th,Biology-I,D,ai_assisted_review_pass_v1,0,0,,,0,0.978,,,
51,benqa_ext_8th-Science_0050,literature/code/BEnQA/data/BEnQA/8th-Science.csv,50,8th,Science,A,ai_assisted_review_pass_v1,0,0,,,0,1.079,,,
52,benqa_ext_12th-Chemistry-II_0361,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,361,12th,Chemistry-II,B,ai_assisted_review_warn_v1,0,1,,bangla_english_digit_mismatch,0,1.097,4|10,4|10,4|10|9
53,benqa_ext_12th-Math-I_0256,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,256,12th,Math-I,D,ai_assisted_review_warn_v1,0,1,,bangla_banglish_formulaish_token_mismatch,0,1.081,3|3|30|45|60|90,3|3|30|45|60|90,3|3|30|45|60|90
54,benqa_ext_10th-Biology_0186,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,186,10th,Biology,B,ai_assisted_review_pass_v1,0,0,,,0,1.053,,,
55,benqa_ext_8th-Math_0192,literature/code/BEnQA/data/BEnQA/8th-Math.csv,192,8th,Math,D,ai_assisted_review_warn_v1,0,1,,bangla_english_digit_mismatch,0,1.014,2|0|16|0|32|6|45|12|9,2|0|16|0|32|6|45|12|9,2|0|16|0|32|6|45|12|90
56,benqa_ext_12th-Biology-II_0143,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,143,12th,Biology-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.101,,,
57,benqa_ext_12th-Math-I_0107,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,107,12th,Math-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.098,3|2|3|7|0|2|3|9|2|9|4,3|2|3|7|0|2|3|9|2|9|4,3|2|3|7|0|2|3|9|2|9|4
58,benqa_ext_10th-Chemistry_0330,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,330,10th,Chemistry,C,ai_assisted_review_pass_v1,0,0,,,0,1.069,7|8|12|18,7|8|12|18,7|8|12|18
59,benqa_ext_12th-Chemistry-II_0213,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,213,12th,Chemistry-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.0,3|3|2|3|2|1,3|3|2|3|2|1,3|3|2|3|2|1
60,benqa_ext_12th-Physics-I_0278,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,278,12th,Physics-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.079,200|10|19|6|39|2|78|4|98,200|10|19|6|39|2|78|4|98,200|10|19|6|39|2|78|4|98
61,benqa_ext_10th-Chemistry_0134,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,134,10th,Chemistry,B,ai_assisted_review_pass_v1,0,0,,,0,1.041,,,
62,benqa_ext_12th-Math-I_0108,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,108,12th,Math-I,B,ai_assisted_review_pass_v1,0,0,,,0,1.082,1|1|1|1,1|1|1|1,1|1|1|1
63,benqa_ext_12th-Biology-I_0026,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,26,12th,Biology-I,A,ai_assisted_review_pass_v1,0,0,,,0,0.986,2|4|6|8,2|4|6|8,2|4|6|8
64,benqa_ext_10th-Biology_0138,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,138,10th,Biology,D,ai_assisted_review_pass_v1,0,0,,,0,1.039,25|100|125|175|225,25|100|125|175|225,25|100|125|175|225
65,benqa_ext_10th-Chemistry_0332,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,332,10th,Chemistry,D,ai_assisted_review_pass_v1,0,0,,,0,1.13,,,
66,benqa_ext_10th-Math-II_0116,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,116,10th,Math-II,A,ai_assisted_review_pass_v1,0,0,,,0,1.03,1|1|1|1,1|1|1|1,1|1|1|1
67,benqa_ext_10th-Math_0215,literature/code/BEnQA/data/BEnQA/10th-Math.csv,215,10th,Math,C,ai_assisted_review_pass_v1,0,0,,,0,1.054,3|2|2|5|6|1|2|3|3,3|2|2|5|6|1|2|3|3,3|2|2|5|6|1|2|3|3
68,benqa_ext_12th-Biology-II_0018,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,18,12th,Biology-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.0,,,
69,benqa_ext_12th-Math-I_0221,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,221,12th,Math-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.033,1|1|2|3|4,1|1|2|3|4,1|1|2|3|4
70,benqa_ext_12th-Math-I_0315,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,315,12th,Math-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.011,2|1|5|3|1|2|1|5|3|3|1|5|2|3|1|5|2|3|1|5|2,2|1|5|3|1|2|1|5|3|3|1|5|2|3|1|5|2|3|1|5|2,2|1|5|3|1|2|1|5|3|3|1|5|2|3|1|5|2|3|1|5|2
71,benqa_ext_10th-Chemistry_0034,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,34,10th,Chemistry,D,ai_assisted_review_pass_v1,0,0,,,0,1.105,5|6|11|21,5|6|11|21,5|6|11|21
72,benqa_ext_8th-Science_0057,literature/code/BEnQA/data/BEnQA/8th-Science.csv,57,8th,Science,A,ai_assisted_review_pass_v1,0,0,,,0,1.078,,,
73,benqa_ext_12th-Math-II_0285,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,285,12th,Math-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.149,5,5,5
74,benqa_ext_12th-Physics-I_0096,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,96,12th,Physics-I,D,ai_assisted_review_pass_v1,0,0,,,0,1.077,90|60|45|0,90|60|45|0,90|60|45|0
75,benqa_ext_12th-Physics-II_0182,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,182,12th,Physics-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.052,50|200|50|1|100|1|400|1|1600|1,50|200|50|1|100|1|400|1|1600|1,50|200|50|1|100|1|400|1|1600|1
76,benqa_ext_10th-Chemistry_0387,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,387,10th,Chemistry,C,ai_assisted_review_pass_v1,0,0,,,0,1.105,6|8|10|12,6|8|10|12,6|8|10|12
77,benqa_ext_12th-Physics-I_0098,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,98,12th,Physics-I,D,ai_assisted_review_warn_v1,0,1,,bangla_english_digit_mismatch,0,1.098,10|3|2|40|20|30|120,10|3|2|40|20|30|120,10|2|3|2|40|20|30|120
78,benqa_ext_12th-Math-I_0059,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,59,12th,Math-I,D,ai_assisted_review_pass_v1,0,0,,,0,1.111,4|4|2|4|2|2|2,4|4|2|4|2|2|2,4|4|2|4|2|2|2
79,benqa_ext_10th-Physics_0227,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,227,10th,Physics,A,ai_assisted_review_pass_v1,0,0,,,0,1.07,90|180|270|360,90|180|270|360,90|180|270|360
80,benqa_ext_10th-Math_0084,literature/code/BEnQA/data/BEnQA/10th-Math.csv,84,10th,Math,C,ai_assisted_review_pass_v1,0,0,,,0,1.03,324|4|1|2|3|3|2|81,324|4|1|2|3|3|2|81,324|4|1|2|3|3|2|81
81,benqa_ext_12th-Chemistry-II_0034,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,34,12th,Chemistry-II,A,ai_assisted_review_pass_v1,0,0,,,0,1.094,2|0|76|0|769|1|529|0|779|0|039|1|529,2|0|76|0|769|1|529|0|779|0|039|1|529,2|0|76|0|769|1|529|0|779|0|039|1|529
82,benqa_ext_10th-Chemistry_0357,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,357,10th,Chemistry,B,ai_assisted_review_pass_v1,0,0,,,0,1.157,,,
83,benqa_ext_12th-Physics-I_0152,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,152,12th,Physics-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.029,0|30|90|180,0|30|90|180,0|30|90|180
84,benqa_ext_12th-Math-II_0291,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,291,12th,Math-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.077,3|1|4|1|5|1|0|60|90|120,3|1|4|1|5|1|0|60|90|120,3|1|4|1|5|1|0|60|90|120
85,benqa_ext_12th-Physics-II_0010,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,10,12th,Physics-II,A,ai_assisted_review_pass_v1,0,0,,,0,1.086,,,
86,benqa_ext_12th-Math-II_0209,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,209,12th,Math-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.039,2|45|60|120|135,2|45|60|120|135,2|45|60|120|135
87,benqa_ext_12th-Physics-I_0251,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,251,12th,Physics-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.063,,,
88,benqa_ext_10th-Biology_0018,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,18,10th,Biology,D,ai_assisted_review_pass_v1,0,0,,,0,1.1,2|4|3|5|5|7|8|9,2|4|3|5|5|7|8|9,2|4|3|5|5|7|8|9
89,benqa_ext_12th-Math-II_0127,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,127,12th,Math-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.082,37|3|4|3|4|30|45|60|90,37|3|4|3|4|30|45|60|90,37|3|4|3|4|30|45|60|90
90,benqa_ext_12th-Physics-II_0314,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,314,12th,Physics-II,B,ai_assisted_review_pass_v1,0,0,,,0,1.041,1000|10|10|16|9|10|16|3|1|10|16|1|6|10|16,1000|10|10|16|9|10|16|3|1|10|16|1|6|10|16,1000|10|10|16|9|10|16|3|1|10|16|1|6|10|16
91,benqa_ext_12th-Biology-I_0144,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,144,12th,Biology-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.055,,,
92,benqa_ext_12th-Chemistry-II_0047,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,47,12th,Chemistry-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.063,0|05|900|4500|9000|18000,0|05|900|4500|9000|18000,0|05|900|4500|9000|18000
93,benqa_ext_12th-Biology-II_0228,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,228,12th,Biology-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.051,,,
94,benqa_ext_12th-Biology-I_0092,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,92,12th,Biology-I,B,ai_assisted_review_pass_v1,0,0,,,0,1.025,,,
95,benqa_ext_10th-Math_0339,literature/code/BEnQA/data/BEnQA/10th-Math.csv,339,10th,Math,B,ai_assisted_review_pass_v1,0,0,,,0,1.151,,,
96,benqa_ext_10th-Chemistry_0029,literature/code/BEnQA/data/BEnQA/10th-Chemistry.csv,29,10th,Chemistry,D,ai_assisted_review_pass_v1,0,0,,,0,1.034,3|6|8|16,3|6|8|16,3|6|8|16
97,benqa_ext_12th-Biology-II_0270,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,270,12th,Biology-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.069,,,
98,benqa_ext_12th-Math-II_0084,literature/code/BEnQA/data/BEnQA/12th-Math-II.csv,84,12th,Math-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.057,4|2|8|1|2|2,4|2|8|1|2|2,4|2|8|1|2|2
99,benqa_ext_10th-Math_0298,literature/code/BEnQA/data/BEnQA/10th-Math.csv,298,10th,Math,B,ai_assisted_review_pass_v1,0,0,,,0,1.038,3|1|2|1|2|1|2,3|1|2|1|2|1|2,3|1|2|1|2|1|2
100,benqa_ext_12th-Physics-II_0140,literature/code/BEnQA/data/BEnQA/12th-Physics-II.csv,140,12th,Physics-II,D,ai_assisted_review_pass_v1,0,0,,,0,1.025,3|2|4,3|2|4,3|2|4
101,benqa_ext_12th-Biology-I_0211,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,211,12th,Biology-I,D,ai_assisted_review_warn_v1,0,1,,bangla_banglish_formulaish_token_mismatch,0,0.975,1,1,1
102,benqa_ext_12th-Biology-I_0185,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,185,12th,Biology-I,D,ai_assisted_review_pass_v1,0,0,,,0,1.042,,,
103,benqa_ext_10th-Physics_0228,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,228,10th,Physics,D,ai_assisted_review_pass_v1,0,0,,,0,0.969,,,
104,benqa_ext_12th-Chemistry-I_0177,literature/code/BEnQA/data/BEnQA/12th-Chemistry-I.csv,177,12th,Chemistry-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.056,3|4|2|3|3|3|2|2,3|4|2|3|3|3|2|2,3|4|2|3|3|3|2|2
105,benqa_ext_12th-Physics-I_0118,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,118,12th,Physics-I,B,ai_assisted_review_pass_v1,0,0,,,0,1.108,,,
106,benqa_ext_12th-Math-I_0334,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,334,12th,Math-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0
107,benqa_ext_12th-Physics-I_0062,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,62,12th,Physics-I,B,ai_assisted_review_pass_v1,0,0,,,0,1.097,,,
108,benqa_ext_12th-Biology-I_0235,literature/code/BEnQA/data/BEnQA/12th-Biology-I.csv,235,12th,Biology-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.034,,,
109,benqa_ext_10th-Math-II_0078,literature/code/BEnQA/data/BEnQA/10th-Math-II.csv,78,10th,Math-II,A,ai_assisted_review_pass_v1,0,0,,,0,1.087,2|1|6|1|3|1|2|2|3,2|1|6|1|3|1|2|2|3,2|1|6|1|3|1|2|2|3
110,benqa_ext_12th-Chemistry-II_0206,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,206,12th,Chemistry-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.028,6|10|14|16,6|10|14|16,6|10|14|16
111,benqa_ext_12th-Physics-I_0245,literature/code/BEnQA/data/BEnQA/12th-Physics-I.csv,245,12th,Physics-I,C,ai_assisted_review_pass_v1,0,0,,,0,1.091,180|0|90,180|0|90,180|0|90
112,benqa_ext_12th-Chemistry-II_0100,literature/code/BEnQA/data/BEnQA/12th-Chemistry-II.csv,100,12th,Chemistry-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.114,0|1|0|1|2|4,0|1|0|1|2|4,0|1|0|1|2|4
113,benqa_ext_10th-Biology_0084,literature/code/BEnQA/data/BEnQA/10th-Biology.csv,84,10th,Biology,C,ai_assisted_review_pass_v1,0,0,,,0,1.097,,,
114,benqa_ext_10th-Physics_0204,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,204,10th,Physics,D,ai_assisted_review_pass_v1,0,0,,,0,1.112,,,
115,benqa_ext_10th-Physics_0239,literature/code/BEnQA/data/BEnQA/10th-Physics.csv,239,10th,Physics,A,ai_assisted_review_warn_v1,0,1,,bangla_english_digit_mismatch,0,1.101,90|50|1|8680|56|17361|11|112500|225000,90|50|1|8680|56|17361|11|112500|225000,50|1|8680|56|17361|11|112500|225000
116,benqa_ext_12th-Biology-II_0033,literature/code/BEnQA/data/BEnQA/12th-Biology-II.csv,33,12th,Biology-II,C,ai_assisted_review_pass_v1,0,0,,,0,1.035,50|50,50|50,50|50
117,benqa_ext_8th-Science_0116,literature/code/BEnQA/data/BEnQA/8th-Science.csv,116,8th,Science,B,ai_assisted_review_pass_v1,0,0,,,0,1.067,3|2,3|2,3|2
118,benqa_ext_12th-Math-I_0090,literature/code/BEnQA/data/BEnQA/12th-Math-I.csv,90,12th,Math-I,A,ai_assisted_review_pass_v1,0,0,,,0,1.011,3|2|3|2|3|2|3|2|3|2|2|3|3|2|2|3|3|2,3|2|3|2|3|2|3|2|3|2|2|3|3|2|2|3|3|2,3|2|3|2|3|2|3|2|3|2|2|3|3|2|2|3|3|2
