model,id,variant,dataset,task_type,answer_type,gold,before_correct,after_correct,change,before_parsed,after_parsed,before_seconds,after_seconds,before_source,after_source
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0004,banglish_clean,mgsm,math_word_problem,short_answer,540,False,False,same_wrong,90,90,0.2064,0.2146,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0004,english,mgsm,math_word_problem,short_answer,540,False,False,same_wrong,810,810,0.2269,0.2376,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0005,bangla,mgsm,math_word_problem,short_answer,20,False,False,same_wrong,100,100,0.6032,0.6048,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0005,banglish_clean,mgsm,math_word_problem,short_answer,20,False,False,same_wrong,30,30,0.3102,0.3121,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0005,english,mgsm,math_word_problem,short_answer,20,False,False,same_wrong,120,120,0.2767,0.2812,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0006,bangla,mgsm,math_word_problem,short_answer,64,False,False,same_wrong,246,246,0.4217,0.4256,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0006,banglish_clean,mgsm,math_word_problem,short_answer,64,False,False,same_wrong,12,12,0.2311,0.2388,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0006,english,mgsm,math_word_problem,short_answer,64,False,False,same_wrong,246,246,0.2524,0.2541,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0007,bangla,mgsm,math_word_problem,short_answer,260,False,False,same_wrong,140,140,0.4219,0.4277,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0007,banglish_clean,mgsm,math_word_problem,short_answer,260,False,False,same_wrong,Yes,Yes,0.1853,0.1919,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0007,english,mgsm,math_word_problem,short_answer,260,False,False,same_wrong,80,80,0.182,0.2071,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0008,bangla,mgsm,math_word_problem,short_answer,160,True,True,same_correct,160 minutes,160 minutes,0.4963,0.5212,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0008,banglish_clean,mgsm,math_word_problem,short_answer,160,False,False,same_wrong,karla daunolod korar jony 20 minit shuru koroto hoy.,karla daunolod korar jony 20 minit shuru koroto hoy.,1.0042,1.0353,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0008,english,mgsm,math_word_problem,short_answer,160,False,False,same_wrong,1200 minutes,1200 minutes,0.3205,0.3246,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0009,bangla,mgsm,math_word_problem,short_answer,45,False,False,same_wrong,160 miles,160 miles,0.6542,0.658,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0009,banglish_clean,mgsm,math_word_problem,short_answer,45,False,False,same_wrong,yes,yes,0.2654,0.2633,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0009,english,mgsm,math_word_problem,short_answer,45,False,False,same_wrong,155 mph⋅h,155 mph⋅h,0.409,0.3826,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0010,bangla,mgsm,math_word_problem,short_answer,460,False,False,same_wrong,$490,$490,0.477,0.4761,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0010,banglish_clean,mgsm,math_word_problem,short_answer,460,False,False,same_wrong,47,47,0.2239,0.2235,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0010,english,mgsm,math_word_problem,short_answer,460,False,False,same_wrong,150,150,0.2421,0.2444,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0011,bangla,mgsm,math_word_problem,short_answer,366,False,False,same_wrong,246,246,0.4333,0.438,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0011,banglish_clean,mgsm,math_word_problem,short_answer,366,False,False,same_wrong,40%,40%,0.2639,0.2645,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0011,english,mgsm,math_word_problem,short_answer,366,False,False,same_wrong,420,420,0.242,0.243,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0012,bangla,mgsm,math_word_problem,short_answer,694,False,False,same_wrong,149,149,0.3766,0.3803,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0012,banglish_clean,mgsm,math_word_problem,short_answer,694,False,False,same_wrong,$197,$197,0.3024,0.3095,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0012,english,mgsm,math_word_problem,short_answer,694,False,False,same_wrong,147,147,0.2449,0.2454,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0013,bangla,mgsm,math_word_problem,short_answer,13,False,False,same_wrong,6,6,0.3576,0.3613,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0013,banglish_clean,mgsm,math_word_problem,short_answer,13,False,False,same_wrong,$88.5,$88.5,0.3994,0.4006,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0013,english,mgsm,math_word_problem,short_answer,13,False,False,same_wrong,4,4,0.1659,0.1715,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0014,bangla,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,10,10,0.4242,0.4274,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0014,banglish_clean,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,"melanir kachhe jodi 3ti bhyakium klinar oboshisht thake, tini kotoguli niye bikroy kora shuru korechhilen.","melanir kachhe jodi 3ti bhyakium klinar oboshisht thake, tini kotoguli niye bikroy kora shuru korechhilen.",1.8866,1.9088,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0014,english,mgsm,math_word_problem,short_answer,18,False,False,same_wrong,15,15,0.2005,0.2047,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0015,bangla,mgsm,math_word_problem,short_answer,60,False,False,same_wrong,45%,45%,0.3795,0.3912,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0015,banglish_clean,mgsm,math_word_problem,short_answer,60,False,False,same_wrong,"Yes, hip-hop nache is shotangsh nothibhukt hoyechhe in shiksharthir modhye.","Yes, hip-hop nache is shotangsh nothibhukt hoyechhe in shiksharthir modhye.",1.2095,1.2465,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0015,english,mgsm,math_word_problem,short_answer,60,False,False,same_wrong,40%,40%,0.2407,0.2419,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0016,bangla,mgsm,math_word_problem,short_answer,125,False,False,same_wrong,37.65%,37.65%,0.6793,0.6788,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0016,banglish_clean,mgsm,math_word_problem,short_answer,125,False,False,same_wrong,"Net return = $5,000","Net return = $8,000 * 1.2% = $96",2.6743,5.1765,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0016,english,mgsm,math_word_problem,short_answer,125,False,False,same_wrong,350,350,0.2624,0.2637,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0017,bangla,mgsm,math_word_problem,short_answer,230,False,False,same_wrong,430 মাইল,430 মাইল,0.6209,0.6271,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0017,banglish_clean,mgsm,math_word_problem,short_answer,230,False,False,same_wrong,Yes,Yes,0.1852,0.1856,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0017,english,mgsm,math_word_problem,short_answer,230,True,True,same_correct,230 miles,230 miles,0.2782,0.2833,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0018,bangla,mgsm,math_word_problem,short_answer,57500,False,False,same_wrong,$4900,$4900,0.5117,0.5138,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0018,banglish_clean,mgsm,math_word_problem,short_answer,57500,False,False,same_wrong,1400,1400,0.3131,0.3004,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0018,english,mgsm,math_word_problem,short_answer,57500,False,False,same_wrong,47500,47500,0.3177,0.3211,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0019,bangla,mgsm,math_word_problem,short_answer,7,False,False,same_wrong,9,9,0.186,0.2086,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0019,banglish_clean,mgsm,math_word_problem,short_answer,7,False,False,same_wrong,2,2,0.1465,0.1467,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0019,english,mgsm,math_word_problem,short_answer,7,False,False,same_wrong,6,6,0.1423,0.1433,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0020,bangla,mgsm,math_word_problem,short_answer,6,False,False,same_wrong,2,2,0.3838,0.3844,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0020,banglish_clean,mgsm,math_word_problem,short_answer,6,False,False,same_wrong,joni tanke kot bege (mail proti ghontay) hantote hobe 5 ghonta,joni tanke kot bege (mail proti ghontay) hantote hobe 5 ghonta,1.0738,1.0846,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0020,english,mgsm,math_word_problem,short_answer,6,True,True,same_correct,6,6,0.1641,0.1648,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0021,bangla,mgsm,math_word_problem,short_answer,15,False,False,same_wrong,23.5,23.5,0.4715,0.4765,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0021,banglish_clean,mgsm,math_word_problem,short_answer,15,False,False,same_wrong,36,36,0.2226,0.226,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0021,english,mgsm,math_word_problem,short_answer,15,False,False,same_wrong,13.6 liters,13.6 liters,0.3175,0.3222,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0022,bangla,mgsm,math_word_problem,short_answer,14,False,False,same_wrong,15,15,0.3663,0.372,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0022,banglish_clean,mgsm,math_word_problem,short_answer,14,False,False,same_wrong,Yes,Yes,0.1832,0.185,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
Qwen/Qwen2.5-3B-Instruct,mgsm_bn_0022,english,mgsm,math_word_problem,short_answer,14,False,False,same_wrong,18 years ago,18 years ago,0.2555,0.2596,results/runs/qwen2_5_3b_mgsm_bn50_v1/results/runs/qwen2_5_3b_mgsm_bn50_v1.jsonl,results/runs/qwen2_5_3b_mgsm_bn50_v1_128/results/runs/qwen2_5_3b_mgsm_bn50_v1_128.jsonl
