id,gold,bangla_correct_models,banglish_correct_models,english_correct_models,alternate_best_correct_models,recoverable_banglish_miss_models,valid_recoverable_banglish_miss_models,top_recoverable_wrong_option,top_recoverable_wrong_count,two_plus_models_same_wrong_option,all_three_models_same_wrong_option,strong_alternate_low_banglish,zero_banglish_strong_alternate,wrong_option_counts
benqa_12th-Biology-I_0039,C,1,0,0,1,1,1,B,1,False,False,False,False,B:1
benqa_12th-Biology-I_0042,D,2,3,0,2,0,0,,0,False,False,False,False,
benqa_12th-Biology-I_0056,A,1,0,1,1,1,1,B,1,False,False,False,False,B:1
benqa_12th-Biology-I_0077,C,2,1,3,3,2,2,D,2,True,False,True,False,D:2
benqa_12th-Biology-I_0160,B,2,2,3,3,1,1,D,1,False,False,False,False,D:1
benqa_12th-Biology-I_0181,C,1,0,0,1,1,1,D,1,False,False,False,False,D:1
benqa_12th-Biology-I_0218,B,0,0,3,3,3,3,D,2,True,False,True,True,C:1;D:2
benqa_12th-Biology-I_0222,A,2,0,2,2,2,2,C,1,False,False,True,True,B:1;C:1
benqa_12th-Biology-I_0265,A,1,0,3,3,3,3,D,3,True,True,True,True,D:3
benqa_12th-Biology-I_0277,D,1,1,3,3,2,2,B,1,False,False,True,False,A:1;B:1
benqa_12th-Biology-I_0283,A,2,0,3,3,3,3,D,3,True,True,True,True,D:3
benqa_12th-Chemistry-II_0013,C,1,1,3,3,2,2,B,1,False,False,True,False,B:1;D:1
benqa_12th-Chemistry-II_0054,A,2,2,3,3,1,1,C,1,False,False,False,False,C:1
benqa_12th-Chemistry-II_0067,C,1,0,1,1,1,1,D,1,False,False,False,False,D:1
benqa_12th-Chemistry-II_0117,C,1,0,2,2,2,2,B,1,False,False,True,True,B:1;D:1
benqa_12th-Chemistry-II_0194,A,2,1,3,3,2,2,B,1,False,False,True,False,B:1;D:1
benqa_12th-Chemistry-II_0228,C,2,1,3,3,2,2,D,2,True,False,True,False,D:2
benqa_12th-Chemistry-II_0235,A,2,1,3,3,2,2,B,1,False,False,True,False,B:1;C:1
benqa_12th-Chemistry-II_0240,B,1,2,2,2,1,1,C,1,False,False,False,False,C:1
benqa_12th-Chemistry-II_0294,C,1,2,0,1,0,0,,0,False,False,False,False,
benqa_12th-Chemistry-II_0305,D,0,1,0,0,0,0,,0,False,False,False,False,
benqa_12th-Chemistry-II_0354,B,1,0,3,3,3,3,C,1,False,False,True,True,A:1;C:1;D:1
benqa_12th-Chemistry-I_0028,B,2,1,2,2,1,1,C,1,False,False,True,False,C:1
benqa_12th-Chemistry-I_0037,C,2,0,2,2,3,3,D,3,True,True,True,True,D:3
benqa_12th-Chemistry-I_0140,D,1,1,2,2,1,1,A,1,False,False,True,False,A:1
benqa_12th-Chemistry-I_0174,A,2,0,3,3,3,3,D,3,True,True,True,True,D:3
benqa_12th-Chemistry-I_0190,B,0,0,2,2,2,2,C,1,False,False,True,True,C:1;D:1
benqa_12th-Chemistry-I_0218,D,1,1,1,1,0,0,,0,False,False,False,False,
benqa_12th-Chemistry-I_0227,D,0,1,1,1,0,0,,0,False,False,False,False,
benqa_12th-Chemistry-I_0260,D,2,1,3,3,2,2,B,1,False,False,True,False,B:1;C:1
benqa_12th-Chemistry-I_0286,C,0,0,0,0,0,0,,0,False,False,False,False,
benqa_12th-Chemistry-I_0303,D,3,3,3,3,0,0,,0,False,False,False,False,
benqa_12th-Chemistry-I_0328,B,3,1,2,3,2,2,A,1,False,False,True,False,A:1;D:1
benqa_12th-Math-II_0043,D,1,1,2,2,1,1,B,1,False,False,True,False,B:1
benqa_12th-Math-II_0214,C,2,2,1,2,0,0,,0,False,False,False,False,
benqa_12th-Math-II_0230,D,2,3,0,2,0,0,,0,False,False,False,False,
benqa_12th-Math-II_0234,A,2,1,2,2,1,1,B,1,False,False,True,False,B:1
benqa_12th-Math-I_0029,B,0,0,1,1,1,1,A,1,False,False,False,False,A:1
benqa_12th-Math-I_0088,C,0,0,1,1,1,1,D,1,False,False,False,False,D:1
benqa_12th-Math-I_0120,D,1,1,0,1,0,0,,0,False,False,False,False,
benqa_12th-Math-I_0186,A,0,1,1,1,0,0,,0,False,False,False,False,
benqa_12th-Math-I_0187,B,0,1,0,0,0,0,,0,False,False,False,False,
benqa_12th-Math-I_0202,B,3,2,2,3,1,1,D,1,False,False,False,False,D:1
benqa_12th-Math-I_0218,A,2,2,2,2,1,1,C,1,False,False,False,False,C:1
benqa_12th-Math-I_0310,B,3,3,3,3,0,0,,0,False,False,False,False,
benqa_12th-Math-I_0326,B,0,0,0,0,0,0,,0,False,False,False,False,
benqa_12th-Math-I_0342,C,1,0,0,1,1,1,D,1,False,False,False,False,D:1
benqa_12th-Math-I_0383,D,3,3,3,3,0,0,,0,False,False,False,False,
benqa_12th-Physics-II_0037,B,0,1,1,1,1,1,C,1,False,False,False,False,C:1
benqa_12th-Physics-II_0046,C,1,0,2,2,2,2,D,2,True,False,True,True,D:2
benqa_12th-Physics-II_0085,D,2,2,2,2,1,1,B,1,False,False,False,False,B:1
benqa_12th-Physics-II_0088,A,0,0,0,0,0,0,,0,False,False,False,False,
benqa_12th-Physics-II_0131,B,0,1,0,0,0,0,,0,False,False,False,False,
benqa_12th-Physics-II_0195,B,1,0,2,2,2,2,C,1,False,False,True,True,C:1;D:1
benqa_12th-Physics-II_0213,D,0,0,0,0,0,0,,0,False,False,False,False,
benqa_12th-Physics-II_0219,D,1,1,1,1,0,0,,0,False,False,False,False,
benqa_12th-Physics-II_0267,B,0,0,0,0,0,0,,0,False,False,False,False,
benqa_12th-Physics-II_0290,B,2,0,1,2,2,2,A,1,False,False,True,True,A:1;D:1
benqa_12th-Physics-II_0292,C,1,2,2,2,1,1,D,1,False,False,False,False,D:1
benqa_12th-Physics-I_0008,D,2,2,2,2,0,0,,0,False,False,False,False,
benqa_12th-Physics-I_0079,C,3,3,3,3,0,0,,0,False,False,False,False,
benqa_12th-Physics-I_0106,D,1,2,3,3,1,1,A,1,False,False,False,False,A:1
benqa_12th-Physics-I_0109,C,2,1,3,3,2,2,B,1,False,False,True,False,B:1;D:1
benqa_12th-Physics-I_0133,C,3,1,3,3,2,1,D,1,False,False,True,False,D:1
benqa_12th-Physics-I_0157,A,2,0,0,2,2,2,B,2,True,False,True,True,B:2
benqa_12th-Physics-I_0214,B,0,2,0,0,0,0,,0,False,False,False,False,
benqa_12th-Physics-I_0253,A,0,0,0,0,0,0,,0,False,False,False,False,
benqa_12th-Physics-I_0254,B,1,1,1,1,0,0,,0,False,False,False,False,
benqa_12th-Physics-I_0256,C,1,0,1,1,1,1,B,1,False,False,False,False,B:1
benqa_12th-Physics-I_0289,D,1,2,1,1,0,0,,0,False,False,False,False,
benqa_8th-Math_0031,D,1,1,3,3,2,2,B,2,True,False,True,False,B:2
benqa_8th-Math_0062,D,3,2,3,3,1,1,A,1,False,False,False,False,A:1
benqa_8th-Math_0072,B,0,1,1,1,1,1,D,1,False,False,False,False,D:1
benqa_8th-Math_0085,C,1,0,3,3,3,3,B,2,True,False,True,True,B:2;D:1
benqa_8th-Math_0167,C,1,0,3,3,3,3,B,2,True,False,True,True,B:2;D:1
benqa_8th-Math_0190,B,2,2,2,2,0,0,,0,False,False,False,False,
benqa_8th-Science_0014,D,3,3,0,3,0,0,,0,False,False,False,False,
benqa_8th-Science_0024,C,1,0,0,1,1,1,D,1,False,False,False,False,D:1
benqa_8th-Science_0042,B,1,0,3,3,3,3,A,1,False,False,True,True,A:1;C:1;D:1
benqa_8th-Science_0062,D,1,1,3,3,2,2,B,2,True,False,True,False,B:2
benqa_8th-Science_0078,C,0,1,1,1,0,0,,0,False,False,False,False,
benqa_8th-Science_0086,A,1,1,2,2,1,1,D,1,False,False,True,False,D:1
benqa_8th-Science_0098,A,0,1,0,0,0,0,,0,False,False,False,False,
benqa_8th-Science_0127,B,1,1,2,2,1,1,D,1,False,False,True,False,D:1
benqa_8th-Science_0153,C,3,1,3,3,2,2,B,1,False,False,True,False,B:1;D:1
benqa_8th-Science_0159,B,0,0,1,1,1,1,C,1,False,False,False,False,C:1
benqa_8th-Science_0202,C,3,0,3,3,3,3,A,3,True,True,True,True,A:3
