model,id,subject,gold,pred_option,correct,D_composite,D_math_or_numeric,D_all_none_both,D_semantic_cue,D_no_semantic_cue,D_unique_composite,D_unique_math_or_numeric,any_composite,all_composite,D_text,bangla_baseline_option,bangla_baseline_correct_non_d,bangla_non_d_to_D,bangla_correct_non_d_to_wrong_D,english_baseline_option,english_baseline_correct_non_d,english_non_d_to_D,english_correct_non_d_to_wrong_D
Qwen2.5-3B,benqa_10th-Physics_0198,Physics,D,C,False,False,False,False,False,True,False,False,False,False,"bhorobeg, soron o ojon",C,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_10th-Physics_0280,Physics,B,A,False,False,True,False,True,False,False,False,False,False,5.5 \times 10^{-8}\Omega m,A,False,False,False,B,True,False,False
Qwen2.5-3B,benqa_10th-Physics_0296,Physics,D,B,False,False,True,False,True,False,False,False,False,False,9 ti,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0034,Biology-II,B,C,False,False,False,False,False,True,False,False,False,False,iliyam,A,False,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0049,Biology-II,C,A,False,False,False,False,False,True,False,False,False,False,gola,A,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0119,Biology-II,C,B,False,False,False,False,False,True,False,False,False,False,hanta,A,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0122,Biology-II,A,C,False,False,True,False,True,False,False,False,False,False,0.1,A,True,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0128,Biology-II,B,B,True,True,False,False,True,False,False,False,True,True,"i, ii, o iii",D,False,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0179,Biology-II,A,B,False,False,True,False,True,False,False,False,False,False,Fe^{++},D,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0203,Biology-II,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii, o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0247,Biology-II,B,B,True,False,True,False,True,False,False,False,False,False,100%,B,True,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0287,Biology-II,B,B,True,True,False,False,True,False,False,False,True,True,"i, ii, o iii",D,False,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0321,Biology-II,C,B,False,False,False,False,False,True,False,False,False,False,Athropoda,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Biology-II_0325,Biology-II,A,B,False,False,False,False,False,True,False,False,False,False,saboklabhiyan,C,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0039,Biology-I,C,B,False,False,False,False,False,True,False,False,False,False,karteks,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0042,Biology-I,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii, o iii",D,False,False,False,B,False,True,False
Qwen2.5-3B,benqa_12th-Biology-I_0056,Biology-I,A,B,False,False,False,False,False,True,False,False,False,False,kand,B,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0077,Biology-I,C,D,False,False,False,False,False,True,False,False,False,False,telofej,B,False,True,False,C,True,True,True
Qwen2.5-3B,benqa_12th-Biology-I_0160,Biology-I,B,B,True,False,False,False,False,True,False,False,False,False,pairojen,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0181,Biology-I,C,D,False,False,False,False,False,True,False,False,False,False,jaigot,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0218,Biology-I,B,D,False,False,False,False,False,True,False,False,False,False,Bambusa tulda,A,False,True,False,B,True,True,True
Qwen2.5-3B,benqa_12th-Biology-I_0222,Biology-I,A,C,False,False,False,False,False,True,False,False,False,False,karbon,A,True,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0265,Biology-I,A,D,False,True,False,False,True,False,False,False,True,True,"i, ii, o iii",D,False,False,False,A,True,True,True
Qwen2.5-3B,benqa_12th-Biology-I_0277,Biology-I,D,B,False,False,False,False,False,True,False,False,False,False,poyesi,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Biology-I_0283,Biology-I,A,D,False,True,False,False,True,False,False,False,True,True,"i, ii, o iii",D,False,False,False,A,True,True,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0013,Chemistry-II,C,C,True,False,False,False,False,True,False,False,False,False,metalodihaid,A,False,False,False,C,True,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0054,Chemistry-II,A,A,True,False,True,False,True,False,False,False,False,False,\text{-NH_{2}},D,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0067,Chemistry-II,C,D,False,True,False,False,True,False,False,False,True,False,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0117,Chemistry-II,C,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0194,Chemistry-II,A,B,False,False,False,False,False,True,False,False,False,False,Al,D,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0228,Chemistry-II,C,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",C,True,True,True,C,True,True,True
Qwen2.5-3B,benqa_12th-Chemistry-II_0235,Chemistry-II,A,A,True,False,True,False,True,False,False,False,False,False,H_{3}PO_{4},D,False,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0240,Chemistry-II,B,B,True,False,False,False,False,True,False,False,False,False,fridel kraf‌t bikriya,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0294,Chemistry-II,C,C,True,True,False,False,True,False,False,False,True,False,ii o iii,B,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0305,Chemistry-II,D,A,False,False,True,False,True,False,False,False,False,False,483.56 ms^{-1},B,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-II_0354,Chemistry-II,B,C,False,False,False,False,False,True,False,False,False,False,soroloroikhik,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0028,Chemistry-I,B,B,True,False,True,False,True,False,False,False,False,False,1,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0037,Chemistry-I,C,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",C,True,True,True,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0140,Chemistry-I,D,A,False,False,True,False,True,False,False,False,False,False,2.048\times 10^{-11},B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0174,Chemistry-I,A,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,A,True,True,True
Qwen2.5-3B,benqa_12th-Chemistry-I_0190,Chemistry-I,B,C,False,False,True,False,True,False,False,False,False,False,H_{2}O,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0218,Chemistry-I,D,B,False,False,True,False,True,False,False,False,False,False,104.5^{\circ},B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0227,Chemistry-I,D,B,False,False,True,False,True,False,False,False,False,False,5,B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0260,Chemistry-I,D,B,False,False,True,False,True,False,False,False,False,False,90%,C,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0286,Chemistry-I,C,A,False,False,True,False,True,False,False,False,False,False,11-Oct,A,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0303,Chemistry-I,D,D,True,False,False,False,False,True,False,False,False,False,HI,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Chemistry-I_0328,Chemistry-I,B,A,False,False,True,False,True,False,False,False,False,False,f-blok,B,True,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Math-II_0043,Math-II,D,B,False,False,False,False,False,True,False,False,False,False,odhibritt,C,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Math-II_0214,Math-II,C,C,True,False,True,False,True,False,False,False,False,False,- \sqrt{3},C,True,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Math-II_0230,Math-II,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,C,False,True,False
Qwen2.5-3B,benqa_12th-Math-II_0234,Math-II,A,A,True,False,True,False,True,False,False,False,False,False,\frac{-3}{4},A,True,False,False,A,True,False,False
Qwen2.5-3B,benqa_12th-Math-I_0029,Math-I,B,C,False,False,True,False,True,False,False,False,False,False,4x + 3y + 30 = 0,A,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0088,Math-I,C,A,False,False,True,False,True,False,False,False,False,False,\frac{1}{ax},A,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0120,Math-I,D,B,False,False,True,False,True,False,False,False,False,False,y + 4 = 1,C,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0186,Math-I,A,B,False,False,True,False,True,False,False,False,False,False,x^{2} + y^{2} - 4x + 6y + 4 = 0,B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0187,Math-I,B,C,False,False,True,False,True,False,False,False,False,False,- \frac{3}{2},C,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0202,Math-I,B,D,False,False,True,False,True,False,False,False,False,False,\frac{1}{2} \sqrt{sinx} + c,B,True,True,True,D,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0218,Math-I,A,A,True,False,True,False,True,False,False,False,False,False,cosA = \frac{b^{2} + c^{2} + a^{2}}{2bc},C,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0310,Math-I,B,B,True,False,True,False,True,False,False,False,False,False,log_{10}e,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Math-I_0326,Math-I,B,D,False,False,True,False,True,False,False,False,False,False,6,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0342,Math-I,C,A,False,False,True,False,True,False,False,False,False,False,"\left ( \frac{1}{2}, \frac{1}{4} \right )",B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Math-I_0383,Math-I,D,D,True,False,True,False,True,False,False,False,False,False,\frac{1}{x ln5},D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0037,Physics-II,B,C,False,False,False,False,False,True,False,False,False,False,ekokohin rashi,D,False,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0046,Physics-II,C,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",C,True,True,True,C,True,True,True
Qwen2.5-3B,benqa_12th-Physics-II_0085,Physics-II,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,C,False,True,False
Qwen2.5-3B,benqa_12th-Physics-II_0088,Physics-II,A,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0131,Physics-II,B,B,True,False,True,False,True,False,False,False,False,False,\frac{\theta - \theta_{ice}}{N} = \frac{X_{steam} - X_{ice}}{X_{\theta} - X_{ice}},A,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0195,Physics-II,B,C,False,False,True,False,True,False,False,False,False,False,614 \mu F,D,False,False,False,B,True,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0213,Physics-II,D,C,False,False,True,False,True,False,False,False,False,False,P^{1 - \gamma} T^{\gamma} = dhrubok,C,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0219,Physics-II,D,B,False,False,True,False,True,False,False,False,False,False,4,B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0267,Physics-II,B,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0290,Physics-II,B,C,False,False,True,False,True,False,False,False,False,False,440 K,C,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Physics-II_0292,Physics-II,C,C,True,False,True,False,True,False,False,False,False,False,8000 \AA theke 12000 \AA poryont,A,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0008,Physics-I,D,D,True,False,True,False,True,False,False,False,False,False,\sqrt{P^{2}+Q^{2}-PQ},D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0079,Physics-I,C,C,True,False,True,False,True,False,False,False,False,False,-373^{\circ}C,C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0106,Physics-I,D,D,True,False,True,False,True,False,False,False,False,False,2\pi,C,False,True,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0109,Physics-I,C,B,False,False,False,False,False,True,False,False,False,False,kendromukhi bol,D,False,False,False,C,True,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0133,Physics-I,C,C,True,False,True,False,True,False,False,False,False,False,\frac{PV}{RT}=\frac{2}{3},C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0157,Physics-I,A,B,False,False,True,False,True,False,False,False,False,False,8,A,True,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0214,Physics-I,B,B,True,False,True,False,True,False,False,False,False,False,546^{\circ}C,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0253,Physics-I,A,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0254,Physics-I,B,C,False,False,True,False,True,False,False,False,False,False,[MLT^{-2}],D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0256,Physics-I,C,A,False,False,False,False,False,True,False,False,False,False,tworon,D,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_12th-Physics-I_0289,Physics-I,D,C,False,False,True,False,True,False,False,False,False,False,636^{\circ}C,C,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_8th-Math_0031,Math,D,B,False,False,True,False,True,False,False,False,False,False,1.64 mitar,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_8th-Math_0062,Math,D,D,True,False,True,False,True,False,False,False,False,False,"(2, 0)",D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_8th-Math_0072,Math,B,B,True,False,True,False,True,False,False,False,False,False,777k + 2,D,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_8th-Math_0085,Math,C,B,False,False,True,False,True,False,False,False,False,False,65,B,False,False,False,C,True,False,False
Qwen2.5-3B,benqa_8th-Math_0167,Math,C,B,False,False,True,False,True,False,False,False,False,False,96 mitar,C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_8th-Math_0190,Math,B,B,True,False,True,False,True,False,False,False,False,False,1575 borgomitar,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_8th-Science_0014,Science,D,D,True,True,False,False,True,False,False,False,True,True,"i, ii o iii",D,False,False,False,B,False,True,False
Qwen2.5-3B,benqa_8th-Science_0024,Science,C,D,False,False,False,False,False,True,False,False,False,False,telofej,B,False,True,False,B,False,True,False
Qwen2.5-3B,benqa_8th-Science_0042,Science,B,A,False,False,False,False,False,True,False,False,False,False,glisarin,B,True,False,False,B,True,False,False
Qwen2.5-3B,benqa_8th-Science_0062,Science,D,B,False,False,False,False,False,True,False,False,False,False,britt,A,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_8th-Science_0078,Science,C,B,False,False,True,False,True,False,False,False,False,False,180^{\circ},B,False,False,False,B,False,False,False
Qwen2.5-3B,benqa_8th-Science_0086,Science,A,B,False,False,False,False,False,True,False,False,False,False,peyara,B,False,False,False,D,False,False,False
Qwen2.5-3B,benqa_8th-Science_0098,Science,A,B,False,False,True,False,True,False,False,False,False,False,30 ampiyar,B,False,False,False,C,False,False,False
Qwen2.5-3B,benqa_8th-Science_0127,Science,B,D,False,False,False,False,False,True,False,False,False,False,nepochun,C,False,True,False,A,False,True,False
Qwen2.5-3B,benqa_8th-Science_0153,Science,C,B,False,False,False,False,False,True,False,False,False,False,amoniyam haidroksaid,C,True,False,False,C,True,False,False
Qwen2.5-3B,benqa_8th-Science_0159,Science,B,C,False,False,False,False,False,True,False,False,False,False,kanthal,A,False,False,False,A,False,False,False
Qwen2.5-3B,benqa_8th-Science_0202,Science,C,A,False,False,True,False,True,False,False,False,False,False,ghas\rightarrow byang\rightarrow bagh,C,True,False,False,C,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0057,Biology,C,C,True,True,False,False,True,False,False,False,True,True,"i, ii o iii",C,True,False,False,C,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0090,Biology,C,C,True,False,False,False,False,True,False,False,False,False,akh,C,True,False,False,C,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0128,Biology,A,B,False,False,False,False,False,True,False,False,False,False,glisarik esid,C,False,False,False,A,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0143,Biology,C,C,True,False,False,False,False,True,False,False,False,False,uchch roktochap,C,True,False,False,B,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0149,Biology,B,A,False,False,False,False,False,True,False,False,False,False,songgikosh,B,True,False,False,B,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0156,Biology,C,C,True,False,True,False,True,False,False,False,False,False,18,B,False,False,False,C,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0188,Biology,A,A,True,False,True,False,True,False,False,False,False,False,5,B,False,False,False,A,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0197,Biology,D,B,False,False,False,False,False,True,False,False,False,False,maitokondriya,A,False,False,False,A,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0213,Biology,A,A,True,False,False,False,False,True,False,False,False,False,osthi kosh,A,True,False,False,A,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0215,Biology,B,D,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",C,False,True,False,B,True,True,True
Qwen2.5-7B 8-bit,benqa_10th-Biology_0277,Biology,C,B,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",A,False,False,False,A,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Biology_0339,Biology,D,B,False,False,False,False,False,True,False,False,False,False,kochuripana,B,False,False,False,D,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0041,Chemistry,D,A,False,False,True,False,True,False,False,False,False,False,polipropinoke ri-saikel kora jay,C,False,False,False,D,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0110,Chemistry,C,invalid,False,False,True,False,True,False,False,False,False,False,Ca(HCO_{3})_{2},C,True,False,False,C,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0111,Chemistry,D,C,False,False,True,False,True,False,False,False,False,False,grup-13,B,False,False,False,B,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0132,Chemistry,A,B,False,False,False,False,False,True,False,False,False,False,jailin,A,True,False,False,A,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0191,Chemistry,A,C,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",B,False,False,False,D,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0194,Chemistry,D,C,False,False,False,False,False,True,False,False,False,False,F,B,False,False,False,D,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0280,Chemistry,A,B,False,False,False,False,False,True,False,False,False,False,Cu,C,False,False,False,D,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0322,Chemistry,B,A,False,False,False,False,False,True,False,False,False,False,klorin,B,True,False,False,B,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0336,Chemistry,D,B,False,True,False,False,True,False,False,False,True,True,"i, ii o iii",B,False,False,False,B,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0374,Chemistry,B,B,True,False,False,False,False,True,False,False,False,False,alokain,C,False,False,False,B,True,False,False
Qwen2.5-7B 8-bit,benqa_10th-Chemistry_0388,Chemistry,D,A,False,False,True,False,True,False,False,False,False,False,3s^{2}3p^{6}3d^{1}4s^{2},A,False,False,False,B,False,False,False
Qwen2.5-7B 8-bit,benqa_10th-Math-II_0062,Math-II,C,B,False,False,True,False,True,False,False,False,False,False,x - 3y + 12 = 0,B,False,False,False,B,False,False,False
