route,id,gold,rule,action,routed_answer,routed_correct,baseline_correct,delta_vs_baseline,changed_from_baseline,banglish_parsed,generated_bn_parsed,generated_en_parsed,repair_strategy
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,generated_en_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,all_disagree_bn_tiebreak,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,all_disagree_en_tiebreak,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,generated_bn_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0280,A,generated_en_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,baseline,baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,strict_generated_agreement,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,three_view_majority,banglish_bn_majority,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,generated_bn_only,use_generated_bn,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,generated_en_only,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,generated_bn_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,generated_en_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,all_disagree_bn_tiebreak,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,all_disagree_en_tiebreak,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,generated_bn_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0374,B,generated_en_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,baseline,baseline,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,strict_generated_agreement,fallback_baseline,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,three_view_majority,banglish_bn_majority,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,generated_bn_only,use_generated_bn,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,generated_en_only,use_generated_en,B,False,True,-1,True,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,generated_bn_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,generated_en_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,all_disagree_bn_tiebreak,fallback_baseline,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,all_disagree_en_tiebreak,fallback_baseline,D,True,True,0,False,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,generated_bn_priority_nonbaseline,en_nonbaseline_priority,B,False,True,-1,True,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Chemistry_0388,D,generated_en_priority_nonbaseline,en_nonbaseline_priority,B,False,True,-1,True,D,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,baseline,baseline,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,strict_generated_agreement,fallback_baseline,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,three_view_majority,banglish_bn_majority,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,generated_bn_only,use_generated_bn,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,generated_en_only,use_generated_en,A,False,True,-1,True,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,generated_bn_if_baseline_empty,fallback_baseline,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,generated_en_if_baseline_empty,fallback_baseline,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,all_disagree_bn_tiebreak,fallback_baseline,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,all_disagree_en_tiebreak,fallback_baseline,C,True,True,0,False,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,generated_bn_priority_nonbaseline,en_nonbaseline_priority,A,False,True,-1,True,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math-II_0367,C,generated_en_priority_nonbaseline,en_nonbaseline_priority,A,False,True,-1,True,C,C,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,baseline,baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,strict_generated_agreement,fallback_baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,three_view_majority,fallback_baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,generated_bn_only,use_generated_bn,D,False,False,0,True,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,generated_en_only,fallback_baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,generated_bn_if_baseline_empty,baseline_empty_use_bn,D,False,False,0,True,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,generated_en_if_baseline_empty,fallback_baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,all_disagree_bn_tiebreak,fallback_baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,all_disagree_en_tiebreak,fallback_baseline,,False,False,0,False,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,generated_bn_priority_nonbaseline,bn_nonbaseline_priority,D,False,False,0,True,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Math_0032,B,generated_en_priority_nonbaseline,bn_nonbaseline_priority,D,False,False,0,True,,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,baseline,baseline,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,strict_generated_agreement,fallback_baseline,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,three_view_majority,banglish_bn_majority,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,generated_bn_only,use_generated_bn,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,generated_en_only,use_generated_en,B,False,True,-1,True,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,generated_bn_if_baseline_empty,fallback_baseline,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,generated_en_if_baseline_empty,fallback_baseline,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,all_disagree_bn_tiebreak,fallback_baseline,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,all_disagree_en_tiebreak,fallback_baseline,A,True,True,0,False,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,generated_bn_priority_nonbaseline,en_nonbaseline_priority,B,False,True,-1,True,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0045,A,generated_en_priority_nonbaseline,en_nonbaseline_priority,B,False,True,-1,True,A,A,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,baseline,baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,strict_generated_agreement,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,three_view_majority,banglish_bn_majority,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,generated_bn_only,use_generated_bn,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,generated_en_only,use_generated_en,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,generated_bn_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,generated_en_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,all_disagree_bn_tiebreak,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,all_disagree_en_tiebreak,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,generated_bn_priority_nonbaseline,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0055,D,generated_en_priority_nonbaseline,fallback_baseline,D,True,True,0,False,D,D,D,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,baseline,baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,strict_generated_agreement,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,three_view_majority,banglish_bn_majority,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,generated_bn_only,use_generated_bn,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,generated_en_only,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,generated_bn_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,generated_en_if_baseline_empty,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,all_disagree_bn_tiebreak,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,all_disagree_en_tiebreak,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,generated_bn_priority_nonbaseline,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_10th-Physics_0296,D,generated_en_priority_nonbaseline,fallback_baseline,D,True,True,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,baseline,baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,strict_generated_agreement,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,three_view_majority,banglish_bn_majority,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,generated_bn_only,use_generated_bn,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,generated_en_only,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,generated_bn_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,generated_en_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,all_disagree_bn_tiebreak,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,all_disagree_en_tiebreak,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,generated_bn_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0119,C,generated_en_priority_nonbaseline,fallback_baseline,D,False,False,0,False,D,D,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,baseline,baseline,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,strict_generated_agreement,fallback_baseline,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,three_view_majority,banglish_bn_majority,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,generated_bn_only,use_generated_bn,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,generated_en_only,use_generated_en,A,True,False,1,True,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,generated_bn_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,generated_en_if_baseline_empty,fallback_baseline,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,all_disagree_bn_tiebreak,fallback_baseline,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,all_disagree_en_tiebreak,fallback_baseline,D,False,False,0,False,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,generated_bn_priority_nonbaseline,en_nonbaseline_priority,A,True,False,1,True,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0179,A,generated_en_priority_nonbaseline,en_nonbaseline_priority,A,True,False,1,True,D,D,A,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,baseline,baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,strict_generated_agreement,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,three_view_majority,banglish_bn_majority,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,generated_bn_only,use_generated_bn,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,generated_en_only,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,generated_bn_if_baseline_empty,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,generated_en_if_baseline_empty,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,all_disagree_bn_tiebreak,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,all_disagree_en_tiebreak,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,generated_bn_priority_nonbaseline,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-II_0325,A,generated_en_priority_nonbaseline,fallback_baseline,C,False,False,0,False,C,C,,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0039,C,baseline,baseline,B,False,False,0,False,B,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0039,C,strict_generated_agreement,fallback_baseline,B,False,False,0,False,B,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0039,C,three_view_majority,banglish_en_majority,B,False,False,0,False,B,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0039,C,generated_bn_only,use_generated_bn,D,False,False,0,True,B,D,B,raw_self_translate
Qwen3 historical protected-v1 BNB + raw self-translate EN,benqa_12th-Biology-I_0039,C,generated_en_only,use_generated_en,B,False,False,0,False,B,D,B,raw_self_translate
