id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,unique_content_token_count,banglatlit_seen_token_count,banglatlit_seen_unique_token_count,banglatlit_frequent_token_count,token_coverage,unique_token_coverage,frequent_token_coverage,top_unseen_tokens,bangla_correct_models,banglish_correct_models,english_correct_models,banglish_fragility_events,strict_bangla_english_fragility_events,banglish_preview
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,12,5,5,5,0.4167,0.4167,0.4167,beg; bhorer; bostur; dwigun; gotishokti; gun; nirdisht,2,2,3,1,0,kon nirdisht bhorer kono bostur beg dwigun korle gotishokti koto gun hobe? A. charogun B. dwigun C. ordhek D. soman Answer with...
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,5,1,1,1,0.2,0.2,0.2,konotir; madhyome; ofoseter; projonon,1,1,2,1,0,"konotir projonon ofoseter madhyome hoy? A. topapana B. pudina C. pinyaj D. peyara Answer with only A, B, C, or D."
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,5,1,1,1,0.1429,0.2,0.1429,frac; onukromtir; pod; tom,0,0,0,0,0,"\frac{1}{2},\frac{1}{10},\frac{1}{30}, ..... onukromtir 10 tom pod koto? A. \frac{1}{1010} B. \frac{1}{1100} C. \frac{1}{11000}..."
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,10,3,3,2,0.3,0.3,0.2,dhomoni; machher; pakhonay; poribohon; rokt; rui; shreni,0,0,3,3,0,rui machher shreni pakhonay rokt poribohon kore nicher kon dhomoni? A. iliyak B. pyarail C. siliyako-mesentarik D. saboklabhiya...
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,15,5,5,5,0.3333,0.3333,0.3333,ayoton; churant; circ; gyasoke; gyasotir; sthirochape; tapomatra; tapomatray; tinogun; uttopt,1,2,1,0,0,30^{\circ}C tapomatray ekti gyasoke sthirochape uttopt kore ayoton tinogun kora holo. gyasotir churant tapomatra koto? A. 90^{\...
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,15,4,4,4,0.25,0.2667,0.25,ayotokar; baganer; bhitore; chowra; doirgho; khetrofol; mi; mitar; prostho; rasta; rastar,0,0,0,0,0,ekti ayotokar baganer doirgho 50 mi o prostho 30 mi. er bhitore 3 mitar chowra rasta thakle rastar khetrofol koto Return only t...
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,16,6,5,4,0.3158,0.3125,0.2105,ayotokar; bistrit; charodike; doirgho; khetrofol; mitar; parker; parkotir; prostho; rasta; rastar,2,2,2,0,0,ekti ayotokar parker doirgho 40 mitar ebong prostho 30 mitar. parkotir baire charodike 2.5 mitar bistrit ekti rasta ache. rasta...
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,22,7,5,4,0.28,0.2273,0.16,akrant; akriti; anabaena; dwara; fole; hooyar; iii; konti; mot; mul; nosht; osthanik,2,3,0,0,0,saikaser prodhan mul nosht hooyar fole- i. osthanik mul srishti hoy ii. Anabaena dwara akrant hoy iii. er akriti samudrik proba...
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,16,11,10,8,0.6471,0.625,0.4706,baganer; bera; charodike; mitar; mitare; porisima,1,0,0,1,0,ekti baganer porisima 120 mitar hole charodike bera dite koto khoroch hobe jodi proti mitare khoroch 31/4 taka hoy Return only...
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,4,2,2,2,0.5,0.5,0.5,boigganik; gomer,0,0,3,3,0,"gomer boigganik nam ki? A. Oryza sativa B. Triticum aestivum C. Zea mays D. Bambusa tulda Answer with only A, B, C, or D."
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,7,1,1,1,0.1429,0.1429,0.1429,bindute; fangshonotir; oksher; ongkit; somantoral; sporshok,1,0,0,1,0,"f(x) = x^{2} - x fangshonotir kon bindute ongkit sporshok x-oksher somantoral? A. \left ( \frac{-1}{2}, \frac{-1}{4} \right ) B..."
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,6,7,5,7,0.7778,0.8333,0.7778,bolopener,0,0,1,1,0,10ti bolopener dam 60 taka hole 2ti bolopener dam koto Return only the final answer.
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,6,1,1,1,0.1667,0.1667,0.1667,dayastoler; hritopinder; olinder; sekend; somoyokal,2,1,0,1,0,"hritopinder olinder dayastoler somoyokal koto sekend? A. 0.7 B. 0.5 C. 0.3 D. 0.1 Answer with only A, B, C, or D."
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,13,11,7,11,0.6111,0.5385,0.6111,balok; kotojon; purush; purusher; soman; somponn,0,0,0,0,0,ekti kaj 2 jon purush othoba 3 jon balok somponn korte pare. 9 jon balok kotojon purusher soman kaj korte parbe Return only the...
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,7,3,3,2,0.4286,0.4286,0.2857,cholon; cholonoke; hydra; jonka,1,0,0,1,0,"Hydra-r kon dhoroner cholonoke jonka cholon bole? A. glaidin B. somarosonting C. luping D. hanta Answer with only A, B, C, or D."
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,12,5,5,4,0.4167,0.4167,0.3333,chhokka; ekobar; moulik; nikshep; niropeksh; sombhabona; songkhya,1,1,1,1,0,ekti niropeksh chhokka ekobar nikshep kora hole moulik songkhya asar sombhabona koto? A. \frac{1}{6} B. \frac{1}{3} C. \frac{1}...
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,15,6,6,5,0.4,0.4,0.3333,bostur; chhondit; goti; ontokolon; ontorok; sapekshe; somikoron; somoyer; somponn,1,0,1,1,1,somoyer sapekshe ontokolon kore sorol chhondit goti-somponn bostur ontorok somikoron theke ki paoya jay? A. kompangk B. poryayo...
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,24,8,8,4,0.3077,0.3333,0.1538,bhu; bibhinn; byobohar; gorbhosth; gyas; iii; khonij; konti; mohakorsh; podarth; prakritik; shokti,0,0,0,0,0,mohakorsh sutr byobohar kore je somost kaj kora sombhob- i. prakritik gyas uttolon ii. bibhinn khonij podarth uttolon iii. bhu-...
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,21,6,6,3,0.24,0.2857,0.12,bikriya; byobohrit; ch; cl; equiv; iii; jougoti; konti; opeksha; plastik; rightarrow; sokriy,0,0,0,0,0,CH_{3}-CH_{2}-C \equiv CH + Cl_{2} \rightarrow A A + Cl_{2} \rightarrow B uddipoke A jougoti- i. songjojon bikriya dey ii. plas...
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,17,5,5,2,0.2941,0.2941,0.1176,bhinegar; briddhi; byakoteriya; dhbongs; iii; khabarer; khadder; komay; konti; rokt; ruchi; sonchalon,2,0,3,3,2,bhinegar- i. khadder byakoteriya dhbongs kora ii. khabarer ruchi briddhi kore iii. rokt sonchalon komay nicher konti sothik? A....
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,6,3,3,2,0.5,0.5,0.3333,har; salokosongshleshon; udbhide,1,1,3,2,0,"nicher kon udbhide salokosongshleshon har beshi? A. bot gachh B. kanthal C. peyara D. kochuripana Answer with only A, B, C, or D."
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,9,2,2,0,0.2,0.2222,0.0,bindu; dwara; konti; rekhar; somikoron; songjogokari; tinoti,1,1,0,0,0,"M(3, 3), N(6, 6) ebong R(12, 3t) tinoti bindu. M o N bindu dwara songjogokari rekhar somikoron nicher konti? A. x - 3y - 12 = 0..."
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,5,1,1,1,0.2,0.2,0.2,bhinegare; bidyoman; pani; shotangsh,2,1,3,2,1,"bhinegare koto shotangsh pani bidyoman? A. 6% B. 15% C. 70% D. 90% Answer with only A, B, C, or D."
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,8,4,4,2,0.5,0.5,0.25,cholote; dhape; kromatidogulo; merumukhi,2,1,3,2,1,"nicher kon dhape kromatidogulo merumukhi cholote shuru kore? A. profej B. metafej C. anafej D. telofej Answer with only A, B, C..."
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,10,2,2,2,0.1818,0.2,0.1818,beg; bostur; durotter; obosthan; otikrant; somotborone; somoyer; sthir,1,0,1,2,0,sthir obosthan theke somotborone bostur jekono somoyer beg bostur otikrant durotter- A. somanupatik B. borger somanupatik C. bo...
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,10,4,4,0,0.2353,0.4,0.0,apekshikotar; frac; iii; konti; sqrt; totto,0,0,0,0,0,apekshikotar totto onusare- i. t = \frac{t_{0}}{\sqrt{1 - \frac{v^{2}}{c^{2}}}} ii. L = \frac{L_{0}}{\sqrt{1 - \frac{v^{2}}{c^{...
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,14,7,6,6,0.4118,0.4286,0.3529,bhag; bhager; char; hisabti; jogfol; ongker; songkhyar; songkhyati,0,0,0,0,0,dui ongker ekti songkhyar tin bhager ek bhag o char bhager ek bhager jogfol 14. songkhyati koto? hisabti koro. Return only the...
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,14,7,7,5,0.4118,0.5,0.2941,bondhur; durotter; durotto; dwitiy; kimi; onupat; skuler,0,0,0,0,0,dui bondhur bari theke skuler durotter onupat 2:3 ebong prothom bondhur durotto 5 kimi hole dwitiy bondhur durotto koto Return...
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,11,2,2,1,0.1818,0.1818,0.0909,ayoton; bhorer; bonam; chaper; gyaser; lekhochitroti; nirdisht; sthir; tapomatray,1,0,3,3,1,sthir tapomatray nirdisht bhorer gyaser ayoton bonam chaper lekhochitroti kon dhoroner? A. porabrittakar B. odhibrittakar C. br...
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,10,6,5,2,0.4615,0.5,0.1538,ekor; fole; jomite; metrik; ton,0,0,0,0,0,16 ekor jomite 28 metrik ton dhan hole proti ekor jomite ki poriman dhan fole Return only the final answer.
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,21,5,5,1,0.2381,0.2381,0.0476,bhairaser; bidyoman; bondhon; bongshogotiy; bostute; dekhote; iii; konti; mojaik; motin; patay; pel,0,0,0,0,0,motin tamak patay ek dhoroner mojaik rog dekhote pel. ullikhit roger bhairaser bongshogotiy bostute bondhon bidyoman- i. A = T...
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,9,9,6,8,0.6923,0.6667,0.6154,biniyog; biniyoge; labh,0,0,1,1,0,9000 taka biniyoge protidin 450 taka labh hole 600 taka labh korte koto biniyog korte hobe Return only the final answer.
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,7,3,3,1,0.375,0.4286,0.125,konti; omulod; songkhya; sqrt,1,0,2,2,1,a = \sqrt{3} ebong b = \sqrt{12} hole nicher konti omulod songkhya? A. a + b B. ab C. \frac{a}{b} D. \frac{b}{a} Answer with on...
benqa_10th-Chemistry_0388,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,7,1,1,0,0.1429,0.1429,0.0,binyas; ilekotron; konti; shoktistorer; skyandiyamer; sorboshesh,1,1,1,0,0,skyandiyamer sorboshesh shoktistorer sothik ilekotron binyas konti? A. 3s^{2}3p^{6}3d^{5}4s^{1} B. 3s^{2}3p^{6}3d^{3}4s^{2} C....
banglamath_0542,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,21,18,9,9,7,0.4286,0.5,0.3333,baganer; bera; doirgho; mi; mitare; mot; porisimay; prostho; rastabade,0,0,0,0,0,rastabade baganer porisimay bera dite proti mitare 25 taka hisebe mot koto khoroch hobe jodi rastabade baganer doirgho 44 mi o...
benqa_12th-Physics-II_0292,benqa,physics-ii,Physics-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,4,0,0,0,0.0,0.0,0.0,bistriti; bornalir; drishyoman; toronggodoirghyer,1,2,2,1,0,drishyoman bornalir toronggodoirghyer bistriti- A. 2000 \AA theke 3000 \AA poryont B. 3000 \AA theke 4000 \AA poryont C. 4000 \...
benqa_12th-Chemistry-II_0294,benqa,chemistry-ii,Chemistry-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,19,15,9,6,2,0.4737,0.4,0.1053,benojiner; bondhon; dwi; iii; karbon; konti; odhikromone; orobitaroler; srishti,1,2,0,0,0,benojiner karbon-karbon dwi-bondhon kon orobitaroler odhikromone srishti hoy? i. sp^{2} - sp^{2} ii. p - p iii. sp^{2} - sp^{3}...
benqa_8th-Science_0014,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,15,15,4,4,1,0.2667,0.2667,0.0667,animiya; durbol; iii; jaoya; khaoyay; konti; laga; lokshon; ojon; oniha; roger,3,3,0,0,0,animiya roger lokshon- i. ojon kome jaoya ii. khaoyay oniha iii. durbol laga nicher konti sothik? A. i o ii B. i o iii C. ii o...
banglamath_1688,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,50,36,29,23,22,0.58,0.6389,0.44,baburchi; biyer; katen; katte; ketechhilo; legechhilo; mot; ontot; onushthane; peyaj; ranna; sohokormi,0,0,0,0,0,kon ekti biyer onushthane ranna korte baburchi o tar sohokormi mot 400ti peyaj katen. baburchi proti minite ontot 3ti peyaj ebo...
benqa_12th-Math-I_0120,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,7,7,1,1,0,0.1429,0.1429,0.0,bindugami; konti; oksher; somantoral; somikoron; sorolorekhar,1,1,0,0,0,"(3, -4) bindugami ebong x-oksher somantoral sorolorekhar somikoron konti? A. y - 3 = 0 B. y + 3 = 0 C. y - 4 = 0 D. y + 4 = 1 A..."
benqa_12th-Biology-I_0160,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,12,5,5,3,0.3333,0.4167,0.2,dhape; merojoyet; podarthoti; rightarrow; saijont; sigonet; trofojoyet,2,2,3,1,1,trofojoyet \rightarrow sigonet ring \rightarrow A \rightarrow saijont \rightarrow merojoyet A dhape nicher kon podarthoti toiri...
banglamath_0230,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,4,4,3,3,2,0.75,0.75,0.5,shotkora,3,0,3,3,3,25 taka 125 takar shotkora koto Return only the final answer.
banglamath_1685,banglamath,math,,Eight,short_answer,auto_romanized_unverified_v4,unreviewed,31,19,17,12,11,0.5484,0.6316,0.3548,bochhor; boyoser; chhil; dwigun; jiboner; julir; soman,0,0,0,0,0,"2 bochhor por jiboner boyos hobe, 2 bochhor purbe jiboner boyos ja chhil tar dwigun. 3 bochhor por jiboner boyos jodi 3 bochhor..."
banglamath_1692,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,minor_edit,52,35,23,14,16,0.4423,0.4,0.3077,adesh; bhag; bhager; hochchhe; holoh; jouth; kortababur; kotojon; modhye; mohila; mohilader; mot,0,0,0,0,0,"ekti jouth poribarer mot sodosy (purush, mohila o shishu) 20 jon. poribarer kortababur adesh 20 mon dhan poribarer sokol sodosy..."
benqa_8th-Science_0153,benqa,science,Science,8th,mcq,human_reviewed_banglish_v5,minor_edit,5,5,0,0,0,0.0,0.0,0.0,esiditi; konti; niramoye; pakostholir; upojogi,3,1,3,2,2,pakostholir esiditi niramoye konti upojogi? A. kyalosiyam B. esitik esid C. ojoluminiyam haidroksaid D. amoniyam haidroksaid An...
banglamath_0228,banglamath,math,,six,short_answer,auto_romanized_unverified_v4,unreviewed,7,7,5,5,3,0.7143,0.7143,0.4286,bhognangshe; korole,0,0,2,2,0,40% ke sadharon bhognangshe prokash korole ki hoy Return only the final answer.
benqa_12th-Physics-I_0109,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,4,3,3,2,0.75,0.75,0.5,torker,2,1,3,2,1,"torker opor nam ki? A. ghorshon bol B. jorotar bhramok C. ghurnon bol D. kendromukhi bol Answer with only A, B, C, or D."
benqa_12th-Biology-I_0181,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,9,9,2,2,2,0.2222,0.2222,0.2222,jaigoter; jibanur; jonone; joun; lombakritir; myaleriya; sochol,1,0,0,1,0,myaleriya jibanur joun jonone sochol o lombakritir jaigoter nam ki? A. sporojoyet B. uosist C. uokinet D. jaigot Answer with on...
benqa_12th-Biology-I_0222,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,5,2,2,2,0.4,0.4,0.4,konti; mati; udbhid,2,0,2,2,2,"udbhid konti mati hote ney? A. naitrojen B. haidrojen C. oksijen D. karbon Answer with only A, B, C, or D."
benqa_8th-Math_0167,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,13,12,4,4,4,0.3077,0.3333,0.3077,ayotokar; baganer; dergun; doirgho; mitar; porisima; prosther; prostho,1,0,3,3,1,"ekti ayotokar baganer doirgho prosther dergun. er prostho 16 mitar hole, baganer porisima koto? A. 40 mitar B. 64 mitar C. 80 m..."
benqa_12th-Math-I_0218,benqa,math-i,Math-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,8,8,5,5,2,0.625,0.625,0.25,abc; konti; tribhuj,2,2,2,1,1,jekono tribhuj ABC er khetre nicher konti sothik? A. c = acosB + bcosA B. b = csinA + asinC C. \Delta = \frac{1}{2} abcosC D. c...
benqa_12th-Math-I_0088,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,6,5,3,2,2,0.5,0.4,0.3333,ax; ontoroj; sapekshe,0,0,1,1,0,"x-er sapekshe ln ax er ontoroj- A. \frac{a}{x} B. \frac{x}{a} C. \frac{1}{x} D. \frac{1}{ax} Answer with only A, B, C, or D."
benqa_12th-Math-II_0043,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,5,2,2,2,0.4,0.4,0.4,nirdesh; somikoronoti; xy,1,1,2,1,0,9x^{2} - 24xy + 12y^{2} - 48x - 24y + 36 = 0 somikoronoti ki nirdesh kore? A. britt B. porabritt C. upobritt D. odhibritt Answe...
banglamath_0550,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,12,11,2,2,2,0.1667,0.1818,0.1667,baganer; bishisht; borgakar; khetrofol; mather; mitar; porisima; rastasoh; soman,0,0,0,0,0,rastasoh baganer porisima 190 mitar hole soman porisima bishisht borgakar mather khetrofol koto Return only the final answer.
benqa_12th-Chemistry-I_0227,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,6,4,4,2,0.6667,0.6667,0.3333,braket; sirijer,0,1,1,0,0,"braket sirijer khetre n_{2} er man koto? A. 2 B. 3 C. 4 D. 5 Answer with only A, B, C, or D."
benqa_12th-Physics-II_0085,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,15,5,5,0,0.3333,0.3333,0.0,beg; bhor; fotoner; iii; konti; shokti; shuny; sthir; times; upsilon,2,2,2,1,0,fotoner khetre- i. sthir bhor shuny ii. shokti h\upsilon iii. beg 3 \times 10^{8} ms^{-1} nicher konti sothik? A. i o ii B. i o...
benqa_10th-Biology_0197,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,7,2,2,1,0.2857,0.2857,0.1429,joibik; konti; kosher; kriya; niyontron,1,1,0,1,0,"kosher sokol joibik kriya niyontron kore konti? A. niukloyas B. raibojom C. laisojom D. maitokondriya Answer with only A, B, C,..."
benqa_12th-Physics-II_0037,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,4,4,1,1,0,0.25,0.25,0.0,ekok; enotropir; konti,0,1,1,1,0,"enotropir ekok nicher konti? A. NK^{-1} B. JK^{-1} C. JK^{-1} mol^{-1} D. ekokohin rashi Answer with only A, B, C, or D."
banglamath_0533,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,11,8,7,6,0.6154,0.6364,0.4615,doinik; metrik; rod; ton,0,0,0,0,0,ek mase 20000 metrik ton rod toiri hole doinik ki poriman rod toiri hoy Return only the final answer.
benqa_12th-Math-II_0230,benqa,math-ii,Math-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,33,21,11,7,3,0.3333,0.3333,0.0909,bc; bindute; bolodboy; durotbe; ekok; frac; iii; konti; kriyarot; lobdhi; lobdhir; osodrish,2,3,0,0,0,5 ekok durotbe A o B bindute kriyarot 9 ebong 5 ekok maner somantoral bolodboy- i. osodrish hole lobdhir man 4 ekok ii. sodrish...
benqa_12th-Physics-I_0214,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,13,13,4,4,3,0.3077,0.3077,0.2308,ayotone; churant; circ; dwigun; gyaser; korole; sthir; tapomatra; tapomatray,0,2,0,0,0,sthir ayotone 0^{\circ}C tapomatray kono gyaser chap dwigun korole er churant tapomatra hobe- A. 27^{\circ}C B. 273^{\circ}C C....
banglamath_0232,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,9,6,6,5,0.6667,0.6667,0.5556,komishone; mullo; prokrit,0,0,1,1,0,ekti boi 15% komishone 170 takay bikroy korle prokrit mullo koto Return only the final answer.
banglamath_0182,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,6,5,4,5,0.5556,0.6667,0.5556,chaler; keji,1,0,0,1,0,7 keji chaler dam 280 taka hole 15 keji chaler dam koto Return only the final answer.
benqa_10th-Physics_0198,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,5,5,2,2,1,0.4,0.4,0.2,bhektor; rashi; rashigulo,1,0,2,2,1,"nicher kon rashigulo bhektor rashi? A. druti, kaj o beg B. torit bibhob, soron o tworon C. druti, soron o beg D. bhorobeg, soro..."
benqa_12th-Biology-II_0049,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,5,5,1,1,1,0.2,0.2,0.2,midiya; ongger; otitis; rog,2,0,0,2,0,"otitis midiya' kon ongger rog? A. chokh B. nak C. kan D. gola Answer with only A, B, C, or D."
