id,dataset,domain,subject,grade,task_type,quality_status,review_label,content_token_count,variation_seen_token_count,high_variation_token_count,variation_seen_share,high_variation_share,spelling_variation_exposure,mean_repeated_variants_seen,variation_exposure_quartile_all,variation_exposure_quartile_dataset,model,bangla_correct,banglish_correct,english_correct,banglish_fragile,strict_bangla_english_fragile,all_script_hard
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,2,0,0.2,0.0,0.2,2.0,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0522,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,10,2,0,0.2,0.0,0.2,2.0,q2,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,5,0,0.3571,0.0,0.4286,2.2,q3,q3,Qwen2.5-3B,True,True,True,False,False,False
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,5,0,0.3571,0.0,0.4286,2.2,q3,q3,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Math-II_0234,benqa,math-ii,Math-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,14,5,0,0.3571,0.0,0.4286,2.2,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,3,1,0.25,0.0833,0.6667,3.6667,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,3,1,0.25,0.0833,0.6667,3.6667,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_10th-Math_0271,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,3,1,0.25,0.0833,0.6667,3.6667,q4,q4,Qwen3-4B,True,False,True,True,True,False
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,5,2,0.4167,0.1667,1.4167,4.4,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,5,2,0.4167,0.1667,1.4167,4.4,q4,q4,Qwen2.5-7B,True,True,True,False,False,False
benqa_10th-Physics_0045,benqa,physics,Physics,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,5,2,0.4167,0.1667,1.4167,4.4,q4,q4,Qwen3-4B,True,True,True,False,False,False
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,0,0.2,0.0,0.4,3.0,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,0,0.2,0.0,0.4,3.0,q3,q3,Qwen2.5-7B,True,True,True,False,False,False
benqa_8th-Science_0086,benqa,science,Science,8th,mcq,auto_romanized_unverified_v4,unreviewed,5,1,0,0.2,0.0,0.4,3.0,q3,q3,Qwen3-4B,False,False,True,True,False,False
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.1429,2.0,q1,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.1429,2.0,q1,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math-II_0139,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,7,1,0,0.1429,0.0,0.1429,2.0,q1,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,2,2,0.2,0.2,1.0,6.0,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,2,2,0.2,0.2,1.0,6.0,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Biology-II_0325,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,10,2,2,0.2,0.2,1.0,6.0,q4,q4,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,5,2,0.3333,0.1333,0.7333,3.2,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,5,2,0.3333,0.1333,0.7333,3.2,q4,q4,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Physics-I_0289,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,15,5,2,0.3333,0.1333,0.7333,3.2,q4,q4,Qwen3-4B,True,True,True,False,False,False
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,4,0,0.25,0.0,0.3125,2.25,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,4,0,0.25,0.0,0.3125,2.25,q2,q2,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0541,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,major_edit,16,4,0,0.25,0.0,0.3125,2.25,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,5,1,0.2632,0.0526,0.4211,2.6,q3,q3,Qwen2.5-3B,True,True,True,False,False,False
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,5,1,0.2632,0.0526,0.4211,2.6,q3,q3,Qwen2.5-7B,True,True,True,False,False,False
benqa_8th-Math_0190,benqa,math,Math,8th,mcq,human_reviewed_banglish_v5,major_edit,19,5,1,0.2632,0.0526,0.4211,2.6,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,5,0,0.2,0.0,0.32,2.6,q2,q2,Qwen2.5-3B,True,True,False,False,False,False
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,5,0,0.2,0.0,0.32,2.6,q2,q2,Qwen2.5-7B,False,True,False,False,False,False
benqa_12th-Biology-I_0042,benqa,biology-i,Biology-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,25,5,0,0.2,0.0,0.32,2.6,q2,q2,Qwen3-4B,True,True,False,False,False,False
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,8,0,0.4706,0.0,0.5294,2.125,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,8,0,0.4706,0.0,0.5294,2.125,q3,q3,Qwen2.5-7B,True,False,False,True,False,False
banglamath_0557,banglamath,math,,seven,short_answer,human_reviewed_banglish_v5,minor_edit,17,8,0,0.4706,0.0,0.5294,2.125,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Biology-I_0218,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,4,2,0,0.5,0.0,0.5,2.0,q3,q3,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,1,1,0.1429,0.1429,0.8571,7.0,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,1,1,0.1429,0.1429,0.8571,7.0,q4,q4,Qwen2.5-7B,True,False,False,True,False,False
benqa_12th-Math-I_0342,benqa,math-i,Math-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,1,1,0.1429,0.1429,0.8571,7.0,q4,q4,Qwen3-4B,False,False,False,False,False,True
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,7,0,0.7778,0.0,0.3333,1.4286,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,7,0,0.7778,0.0,0.3333,1.4286,q2,q2,Qwen2.5-7B,False,False,True,True,False,False
banglamath_0236,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,9,7,0,0.7778,0.0,0.3333,1.4286,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,1,0,0.1667,0.0,0.1667,2.0,q2,q2,Qwen2.5-3B,True,False,False,True,False,False
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,1,0,0.1667,0.0,0.1667,2.0,q2,q2,Qwen2.5-7B,True,True,False,False,False,False
benqa_12th-Biology-II_0122,benqa,biology-ii,Biology-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,6,1,0,0.1667,0.0,0.1667,2.0,q2,q2,Qwen3-4B,False,False,False,False,False,True
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,11,0,0.6111,0.0,0.5556,1.9091,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,11,0,0.6111,0.0,0.5556,1.9091,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0189,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,18,11,0,0.6111,0.0,0.5556,1.9091,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,3,1,0.4286,0.1429,1.0,3.3333,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,3,1,0.4286,0.1429,1.0,3.3333,q4,q4,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Biology-II_0119,benqa,biology-ii,Biology-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,7,3,1,0.4286,0.1429,1.0,3.3333,q4,q4,Qwen3-4B,True,False,False,True,False,False
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,4,1,0.3333,0.0833,0.5833,2.75,q3,q3,Qwen2.5-3B,True,False,False,True,False,False
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,4,1,0.3333,0.0833,0.5833,2.75,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math-II_0367,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,12,4,1,0.3333,0.0833,0.5833,2.75,q3,q3,Qwen3-4B,False,True,True,False,False,False
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,5,2,0.3333,0.1333,1.0,4.0,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,5,2,0.3333,0.1333,1.0,4.0,q4,q4,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Physics-I_0256,benqa,physics-i,Physics-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,15,5,2,0.3333,0.1333,1.0,4.0,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,5,2,0.1923,0.0769,0.4615,3.4,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,5,2,0.1923,0.0769,0.4615,3.4,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Physics-I_0253,benqa,physics-i,Physics-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,26,5,2,0.1923,0.0769,0.4615,3.4,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,4,0,0.16,0.0,0.2,2.25,q2,q2,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,4,0,0.16,0.0,0.2,2.25,q2,q2,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Chemistry_0191,benqa,chemistry,Chemistry,10th,mcq,human_reviewed_banglish_v5,minor_edit,25,4,0,0.16,0.0,0.2,2.25,q2,q2,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,3,2,0.1765,0.1176,0.4706,3.6667,q3,q3,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,3,2,0.1765,0.1176,0.4706,3.6667,q3,q3,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Chemistry-I_0174,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,3,2,0.1765,0.1176,0.4706,3.6667,q3,q3,Qwen3-4B,True,False,True,True,True,False
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,1,0.3333,0.1667,1.3333,5.0,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,1,0.3333,0.1667,1.3333,5.0,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
benqa_10th-Biology_0339,benqa,biology,Biology,10th,mcq,auto_romanized_unverified_v4,unreviewed,6,2,1,0.3333,0.1667,1.3333,5.0,q4,q4,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,1,0,0.1,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,True,True,False,False,False,False
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,1,0,0.1,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Math-II_0062,benqa,math-ii,Math-II,10th,mcq,human_reviewed_banglish_v5,minor_edit,10,1,0,0.1,0.0,0.0,1.0,q1,q1,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,1,0,0.2,0.0,0.2,2.0,q2,q2,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,1,0,0.2,0.0,0.2,2.0,q2,q2,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Chemistry-I_0260,benqa,chemistry-i,Chemistry-I,12th,mcq,human_reviewed_banglish_v5,minor_edit,5,1,0,0.2,0.0,0.2,2.0,q2,q2,Qwen3-4B,True,True,True,False,False,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,2,2,0.25,0.25,1.25,6.0,q4,q4,Qwen2.5-3B,False,False,True,True,False,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,2,2,0.25,0.25,1.25,6.0,q4,q4,Qwen2.5-7B,True,False,True,True,True,False
benqa_12th-Biology-I_0077,benqa,biology-i,Biology-I,12th,mcq,auto_romanized_unverified_v4,unreviewed,8,2,2,0.25,0.25,1.25,6.0,q4,q4,Qwen3-4B,True,True,True,False,False,False
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,1,1,0.0909,0.0909,0.5455,7.0,q3,q3,Qwen2.5-3B,True,False,False,True,False,False
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,1,1,0.0909,0.0909,0.5455,7.0,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Physics_0084,benqa,physics,Physics,10th,mcq,auto_romanized_unverified_v4,unreviewed,11,1,1,0.0909,0.0909,0.5455,7.0,q3,q3,Qwen3-4B,False,False,True,True,False,False
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,1,0,0.0588,0.0,0.0,1.0,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,1,0,0.0588,0.0,0.0,1.0,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_12th-Physics-II_0267,benqa,physics-ii,Physics-II,12th,mcq,human_reviewed_banglish_v5,minor_edit,17,1,0,0.0588,0.0,0.0,1.0,q1,q1,Qwen3-4B,False,False,False,False,False,True
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,5,0,0.2941,0.0,0.2941,2.0,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,5,0,0.2941,0.0,0.2941,2.0,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_1693,banglamath,math,,Eight,short_answer,human_reviewed_banglish_v5,major_edit,17,5,0,0.2941,0.0,0.2941,2.0,q2,q1,Qwen3-4B,False,False,False,False,False,True
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,6,1,0.3529,0.0588,0.4706,2.3333,q3,q3,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,6,1,0.3529,0.0588,0.4706,2.3333,q3,q3,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0227,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,17,6,1,0.3529,0.0588,0.4706,2.3333,q3,q3,Qwen3-4B,False,False,False,False,False,True
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,2,1,0.1818,0.0909,0.5455,4.0,q3,q3,Qwen2.5-3B,True,False,True,True,True,False
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,2,1,0.1818,0.0909,0.5455,4.0,q3,q3,Qwen2.5-7B,False,False,True,True,False,False
benqa_12th-Chemistry-II_0354,benqa,chemistry-ii,Chemistry-II,12th,mcq,auto_romanized_unverified_v4,unreviewed,11,2,1,0.1818,0.0909,0.5455,4.0,q3,q3,Qwen3-4B,False,False,True,True,False,False
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,2,0,0.1538,0.0,0.2308,2.5,q2,q1,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,2,0,0.1538,0.0,0.2308,2.5,q2,q1,Qwen2.5-7B,False,False,False,False,False,True
banglamath_0532,banglamath,math,,seven,short_answer,auto_romanized_unverified_v4,unreviewed,13,2,0,0.1538,0.0,0.2308,2.5,q2,q1,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,3,0,0.1429,0.0,0.0476,1.3333,q1,q1,Qwen2.5-3B,False,False,False,False,False,True
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,3,0,0.1429,0.0,0.0476,1.3333,q1,q1,Qwen2.5-7B,False,False,False,False,False,True
benqa_10th-Biology_0277,benqa,biology,Biology,10th,mcq,human_reviewed_banglish_v5,minor_edit,21,3,0,0.1429,0.0,0.0476,1.3333,q1,q1,Qwen3-4B,False,False,False,False,False,True
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,9,0,0.6923,0.0,0.8462,2.2222,q4,q4,Qwen2.5-3B,False,False,False,False,False,True
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,9,0,0.6923,0.0,0.8462,2.2222,q4,q4,Qwen2.5-7B,False,False,True,True,False,False
banglamath_0184,banglamath,math,,six,short_answer,human_reviewed_banglish_v5,minor_edit,13,9,0,0.6923,0.0,0.8462,2.2222,q4,q4,Qwen3-4B,False,False,False,False,False,True
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,2,0,0.25,0.0,0.125,1.5,q1,q2,Qwen2.5-3B,False,False,True,True,False,False
benqa_10th-Math_0324,benqa,math,Math,10th,mcq,human_reviewed_banglish_v5,minor_edit,8,2,0,0.25,0.0,0.125,1.5,q1,q2,Qwen2.5-7B,True,False,True,True,True,False
