model,model_id,dataset,task_type,id,domain,subject,grade,english_structural_warning,english_structural_group,english_warning_codes,bangla_correct,banglish_correct,english_correct,banglish_miss,recoverable_banglish_miss,bangla_any_recovery,english_any_recovery,both_alternate_recovery,all_script_hard,banglish_unique_success
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0188,biology,Biology,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0197,biology,Biology,10th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0213,biology,Biology,10th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0215,biology,Biology,10th,True,english_structural_warning,formulas,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0277,biology,Biology,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0339,biology,Biology,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0041,chemistry,Chemistry,10th,True,english_structural_warning,digits formulas,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0110,chemistry,Chemistry,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0111,chemistry,Chemistry,10th,True,english_structural_warning,digits formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0132,chemistry,Chemistry,10th,True,english_structural_warning,formulas,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0191,chemistry,Chemistry,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0194,chemistry,Chemistry,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0280,chemistry,Chemistry,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0322,chemistry,Chemistry,10th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0336,chemistry,Chemistry,10th,True,english_structural_warning,formulas,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0374,chemistry,Chemistry,10th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0388,chemistry,Chemistry,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0062,math-ii,Math-II,10th,False,english_structural_clean,,True,True,False,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0102,math-ii,Math-II,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0139,math-ii,Math-II,10th,True,english_structural_warning,formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0326,math-ii,Math-II,10th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0347,math-ii,Math-II,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0357,math-ii,Math-II,10th,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0367,math-ii,Math-II,10th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0032,math,Math,10th,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0044,math,Math,10th,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0186,math,Math,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0271,math,Math,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0324,math,Math,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0021,physics,Physics,10th,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0036,physics,Physics,10th,True,english_structural_warning,digits,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0045,physics,Physics,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0055,physics,Physics,10th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0084,physics,Physics,10th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0106,physics,Physics,10th,True,english_structural_warning,digits,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0130,physics,Physics,10th,False,english_structural_clean,,True,True,False,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0150,physics,Physics,10th,False,english_structural_clean,,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0198,physics,Physics,10th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0280,physics,Physics,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0296,physics,Physics,10th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0034,biology-ii,Biology-II,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0049,biology-ii,Biology-II,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0119,biology-ii,Biology-II,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0122,biology-ii,Biology-II,12th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0128,biology-ii,Biology-II,12th,False,english_structural_clean,,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0179,biology-ii,Biology-II,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0203,biology-ii,Biology-II,12th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0247,biology-ii,Biology-II,12th,False,english_structural_clean,,True,True,False,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0287,biology-ii,Biology-II,12th,False,english_structural_clean,,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0321,biology-ii,Biology-II,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0325,biology-ii,Biology-II,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0039,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0042,biology-i,Biology-I,12th,False,english_structural_clean,,True,True,False,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0056,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0077,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0160,biology-i,Biology-I,12th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0181,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0218,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0222,biology-i,Biology-I,12th,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0265,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0277,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0283,biology-i,Biology-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0013,chemistry-ii,Chemistry-II,12th,False,english_structural_clean,,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0054,chemistry-ii,Chemistry-II,12th,True,english_structural_warning,formulas,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0067,chemistry-ii,Chemistry-II,12th,True,english_structural_warning,formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0117,chemistry-ii,Chemistry-II,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0194,chemistry-ii,Chemistry-II,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0228,chemistry-ii,Chemistry-II,12th,True,english_structural_warning,formulas,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0235,chemistry-ii,Chemistry-II,12th,False,english_structural_clean,,False,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0240,chemistry-ii,Chemistry-II,12th,False,english_structural_clean,,False,True,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0294,chemistry-ii,Chemistry-II,12th,True,english_structural_warning,formulas,False,True,False,False,False,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0305,chemistry-ii,Chemistry-II,12th,True,english_structural_warning,digits formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-II_0354,chemistry-ii,Chemistry-II,12th,False,english_structural_clean,,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0028,chemistry-i,Chemistry-I,12th,False,english_structural_clean,,True,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0037,chemistry-i,Chemistry-I,12th,False,english_structural_clean,,True,False,False,True,True,True,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0140,chemistry-i,Chemistry-I,12th,True,english_structural_warning,digits formulas,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0174,chemistry-i,Chemistry-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0190,chemistry-i,Chemistry-I,12th,True,english_structural_warning,formulas,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0218,chemistry-i,Chemistry-I,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0227,chemistry-i,Chemistry-I,12th,False,english_structural_clean,,False,False,False,True,False,False,False,False,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Chemistry-I_0260,chemistry-i,Chemistry-I,12th,False,english_structural_clean,,False,False,True,True,True,False,True,False,False,False
