split,model,id,dataset,task_type,answer_type,gold,heuristic,used_selfnorm,before_correct,after_correct,routed_correct,change_vs_baseline,before_parsed,after_parsed,routed_parsed
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0013,mgsm,math_word_problem,short_answer,13,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"We are given a problem about profit and cost in a business scenario involving lebu (likely ""lemon"" or ""lamb"" — but in context, likely a typo or translation issue; however, from the context, it seems ""lebu"" is a type of plant or item being sold, and ""gachh"" might mean ""plant"" or ""tree""). But let's interpret based on the given data.","প্রশ্নটি বাংলায় দেওয়া হয়েছে, তবে এটি একটি অর্থনৈতিক বা ক্ষেত্রীয় সমস্যা যার মধ্যে কার্লস একটি লেবু গাছ রোপন করেছেন এ","প্রশ্নটি বাংলায় দেওয়া হয়েছে, তবে এটি একটি অর্থনৈতিক বা ক্ষেত্রীয় সমস্যা যার মধ্যে কার্লস একটি লেবু গাছ রোপন করেছেন এ"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0014,mgsm,math_word_problem,short_answer,18,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,5,মেলানির কাছে ৫টি ব্যাকিউম ক্লিনার ওবোশিষ্ট থাকে।,মেলানির কাছে ৫টি ব্যাকিউম ক্লিনার ওবোশিষ্ট থাকে।
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0015,mgsm,math_word_problem,short_answer,60,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,Jyaj nache = 25%,25% জয়জ নাচে,25% জয়জ নাচে
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0016,mgsm,math_word_problem,short_answer,125,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"Principal = $5,000","প্রশ্নটি হলো: একজন ব্যবসায়ী $5,000 মূল্যের গোয়না বা $8,000 মূল্যের ইলেক্ট্রনিক গ্যাজেট বেচে নেবেন। আর্থিক উপদেশ অনুসারে �","প্রশ্নটি হলো: একজন ব্যবসায়ী $5,000 মূল্যের গোয়না বা $8,000 মূল্যের ইলেক্ট্রনিক গ্যাজেট বেচে নেবেন। আর্থিক উপদেশ অনুসারে �"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0017,mgsm,math_word_problem,short_answer,230,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,150 মাইল,প্রথম দিন: উভয়েই পশ্চিমের দিকে 80 মাইল যায়।,প্রথম দিন: উভয়েই পশ্চিমের দিকে 80 মাইল যায়।
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0018,mgsm,math_word_problem,short_answer,57500,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,1. **Teaching earnings**:,এক সপ্তাহে শিক্ষক হিসাবে কাজ = 35 ঘন্টা,এক সপ্তাহে শিক্ষক হিসাবে কাজ = 35 ঘন্টা
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0019,mgsm,math_word_problem,short_answer,7,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,can be derived from the given text.,"প্রতি দিন ৩টি ডিম খায়, তাই মোট ডিম = ২৮ × ৩ = ৮�","প্রতি দিন ৩টি ডিম খায়, তাই মোট ডিম = ২৮ × ৩ = ৮�"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0020,mgsm,math_word_problem,short_answer,6,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"So, the delivery rate changes after the first 4 mails.","প্রশ্নটি বাংলায় দেওয়া হয়েছে, তবে এটি একটি গতি সম্পর্কিত সমস্যা। আমরা সেটি সংক্ষেপে বুঝে নিচ্ছি:","প্রশ্নটি বাংলায় দেওয়া হয়েছে, তবে এটি একটি গতি সম্পর্কিত সমস্যা। আমরা সেটি সংক্ষেপে বুঝে নিচ্ছি:"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0021,mgsm,math_word_problem,short_answer,15,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"Then, **1 liter of orange juice is added** (ek litar",আমার কাছে 10 ল,আমার কাছে 10 ল
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0022,mgsm,math_word_problem,short_answer,14,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,3. Samantha's son is 31 years old.,২৩ বছর বয়সে রেমন্ডের এ,২৩ বছর বয়সে রেমন্ডের এ
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0023,mgsm,math_word_problem,short_answer,7,selfnorm_if_after_nonempty,True,True,False,False,loss,7,পরবর্তী ২ জন গ্রাহকের প্রত্যেকে ২টি DVD ক্রয় করেন → মোট = 2,পরবর্তী ২ জন গ্রাহকের প্রত্যেকে ২টি DVD ক্রয় করেন → মোট = 2
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0024,mgsm,math_word_problem,short_answer,8,selfnorm_if_after_nonempty,True,True,False,False,loss,8,প্রশ্ন: ১:০০ পিএম থেকে ৫:০০ পিএম পর্যন্ত জবলার পর মোমোবাতি,প্রশ্ন: ১:০০ পিএম থেকে ৫:০০ পিএম পর্যন্ত জবলার পর মোমোবাতি
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0025,mgsm,math_word_problem,short_answer,26,selfnorm_if_after_nonempty,True,True,False,False,loss,26,প্রশ্ন: জা অসল মূল্যের উপর 25% চারে পাওয়া গিয়েছে। এই চার হিসাবে বচ্চহরের মূল্য $19.50 হয়েছে। বোতির অসল মূল্য কত?,প্রশ্ন: জা অসল মূল্যের উপর 25% চারে পাওয়া গিয়েছে। এই চার হিসাবে বচ্চহরের মূল্য $19.50 হয়েছে। বোতির অসল মূল্য কত?
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0026,mgsm,math_word_problem,short_answer,2,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,Chicken: $1,আপেল: 4 টি × $1.50 = $6,আপেল: 4 টি × $1.50 = $6
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0027,mgsm,math_word_problem,short_answer,243,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,3 × $42.00 (juto,"৩ জোরা জুটো, প্রতি জোরা $42","৩ জোরা জুটো, প্রতি জোরা $42"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0028,mgsm,math_word_problem,short_answer,16,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"""Tini proti karton $4.00 dore 15 bar sarbhing kora jabe"" → ""For each tini","তিনি 15 বার সরব করেন, তাই মোট কার্টনের সংখ্যা = 15।","তিনি 15 বার সরব করেন, তাই মোট কার্টনের সংখ্যা = 15।"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0029,mgsm,math_word_problem,short_answer,25,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,.,দ্বিতীয়বার থেমে চলেন: ত্রিপ শেষ হওয়ার 15 মেইল বা�,দ্বিতীয়বার থেমে চলেন: ত্রিপ শেষ হওয়ার 15 মেইল বা�
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0030,mgsm,math_word_problem,short_answer,104,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,The **ekojora** is **$33** when the **buter** is **$33**.,প্রশ্নটি অস্পষ্ট এবং অনেক অংশ অস্পষ্ট বা ভুল হওয়ার সম্ভাবনা রয়েছে। যেমন:,প্রশ্নটি অস্পষ্ট এবং অনেক অংশ অস্পষ্ট বা ভুল হওয়ার সম্ভাবনা রয়েছে। যেমন:
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0031,mgsm,math_word_problem,short_answer,109,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"The question states that if the difference between the number of boys and girls is 162, then 10 more boys will be there than girls.",অনুপাতের সমষ্টি = 7 + 11 = 18,অনুপাতের সমষ্টি = 7 + 11 = 18
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0032,mgsm,math_word_problem,short_answer,80,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,3.,প্রথম জন বলেছেন: **80টি,প্রথম জন বলেছেন: **80টি
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0033,mgsm,math_word_problem,short_answer,35,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,The question is in Bengali and translates to:,10 × 0.5 = 5 ঘন্টা,10 × 0.5 = 5 ঘন্টা
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0034,mgsm,math_word_problem,short_answer,70,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,80,রুপি মুদ্রার থেকে 30টি বেশি স্বর্ণ মুদ্রা আছে।,রুপি মুদ্রার থেকে 30টি বেশি স্বর্ণ মুদ্রা আছে।
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0035,mgsm,math_word_problem,short_answer,23,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"We are given a problem in Bengali, and we need to find how many rot (units) Siobhan has, given certain conditions.","অর্থাৎ, সিওবহনের রটন = অজারনের রটন - 2","অর্থাৎ, সিওবহনের রটন = অজারনের রটন - 2"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0036,mgsm,math_word_problem,short_answer,9,selfnorm_if_after_nonempty,True,True,False,False,loss,9,২৫% বেশি মানে হল�,২৫% বেশি মানে হল�
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0037,mgsm,math_word_problem,short_answer,75,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,30 dine → 30 × $30.00 = $900,তোর দিনে ২,তোর দিনে ২
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0038,mgsm,math_word_problem,short_answer,2,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"After buying the gems, he has **$5 left**.",প্রশ্নটি হল: জন তান্র সবস্ত খেলোনা বিক্রয় করে সেই ওর্থ দিয়ে ভিড় গেম ক্রয় করার পরিকল্পনা করছেন। তার ১৩টি লেগো সেট আছে,প্রশ্নটি হল: জন তান্র সবস্ত খেলোনা বিক্রয় করে সেই ওর্থ দিয়ে ভিড় গেম ক্রয় করার পরিকল্পনা করছেন। তার ১৩টি লেগো সেট আছে
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0039,mgsm,math_word_problem,short_answer,10,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,(This seems incorrect — 60 miles in one hour is extremely fast,"প্রশ্নটি বাংলায় হয়েছে, কিন্তু তার মানে বুঝা যাচ্ছে না যে কোন সমস্যা হচ্ছে। বিশেষ করে ""তিনি কত দ্রুত দূরান?"" এর মানে হয়","প্রশ্নটি বাংলায় হয়েছে, কিন্তু তার মানে বুঝা যাচ্ছে না যে কোন সমস্যা হচ্ছে। বিশেষ করে ""তিনি কত দ্রুত দূরান?"" এর মানে হয়"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0040,mgsm,math_word_problem,short_answer,18,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"""jodi tini proti ghontay 3 mail skip korote paren, tahole douranoy ek-tritiyangsh o hantay d","The question appears to be in a mix of Bengali and English, and it's somewhat unclear or possibly mistranslated. Let's carefully interpret and solve it step by step.","The question appears to be in a mix of Bengali and English, and it's somewhat unclear or possibly mistranslated. Let's carefully interpret and solve it step by step."
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0041,mgsm,math_word_problem,short_answer,8,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,na,তাই বেরের আইফোনের বয়স = 2 × 1 = 2 বোচহর।,তাই বেরের আইফোনের বয়স = 2 × 1 = 2 বোচহর।
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0042,mgsm,math_word_problem,short_answer,200,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"Jodi tini moniti dhore rakhen, tahole dragoner ognishikhar nagaler baire 400 fut durotb obodhi danriye poli sborn jyabholin diye dragonoke aghat korote paroben.",ed based on standard reasoning or factual knowledge.,ed based on standard reasoning or factual knowledge.
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0043,mgsm,math_word_problem,short_answer,26,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,Each person gets 1 piece of papaya (since 5 pieces divided among 5 people).,"প্রশ্নটি অস্পষ্ট এবং বাক্যগুলি অস্পষ্টভাবে লেখা হয়েছে, যা তথ্য বোঝার জন্য সুবিধা দেয় না। তবে যদি আমরা বাক্যগুলি সংগঠ","প্রশ্নটি অস্পষ্ট এবং বাক্যগুলি অস্পষ্টভাবে লেখা হয়েছে, যা তথ্য বোঝার জন্য সুবিধা দেয় না। তবে যদি আমরা বাক্যগুলি সংগঠ"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0044,mgsm,math_word_problem,short_answer,48,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,200 grams,৩০০ গ্রামের,৩০০ গ্রামের
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0045,mgsm,math_word_problem,short_answer,20,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,Each pound of mom and polote costs **$10.00**.,"But the sentence says: *""ek paund mom ebong polote kinote $10.00 khoroch hoy""","But the sentence says: *""ek paund mom ebong polote kinote $10.00 khoroch hoy"""
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0046,mgsm,math_word_problem,short_answer,104,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,{5},"{গত সোমবার তিনি ৫টি নিবন্ধ লিখেছেন এবং সোমবারের প্রতি নিবন্ধে ৪ ঘন্টা সময় লাগে, তাই মোট সময় = 5 × 4 = 20 ঘন্টা।}","{গত সোমবার তিনি ৫টি নিবন্ধ লিখেছেন এবং সোমবারের প্রতি নিবন্ধে ৪ ঘন্টা সময় লাগে, তাই মোট সময় = 5 × 4 = 20 ঘন্টা।}"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0047,mgsm,math_word_problem,short_answer,163,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,197,"প্রশ্নটি অস্পষ্ট এবং সম্পূর্ণ হয়নি। বিশেষ করে ""যদি ট্যান্র"" এর পরে কোনো প্রশ্ন বা অভিব্যক্তি আছে না। তাই পূর্ণ প্রশ্ন বা ম","প্রশ্নটি অস্পষ্ট এবং সম্পূর্ণ হয়নি। বিশেষ করে ""যদি ট্যান্র"" এর পরে কোনো প্রশ্ন বা অভিব্যক্তি আছে না। তাই পূর্ণ প্রশ্ন বা ম"
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0048,mgsm,math_word_problem,short_answer,800,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"Step 1: Find how many ""Nil tai""",নিল তাই এর দাম = $40 (ক্রয় দাম),নিল তাই এর দাম = $40 (ক্রয় দাম)
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0049,mgsm,math_word_problem,short_answer,8,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"""The third baganer (third person) has 4 feet (4 fut) of race, and one person runs in a race. In",প্রশ্ন: তৃতীয় বাগানের টমেটো গাছের ওবল মাত্রা জন্য ৪ ফুট লাম্বা একটি টার ব্যবহার করা হয়েছে। তার পরে ৬ ইঞ্চি লাম্বা টু,প্রশ্ন: তৃতীয় বাগানের টমেটো গাছের ওবল মাত্রা জন্য ৪ ফুট লাম্বা একটি টার ব্যবহার করা হয়েছে। তার পরে ৬ ইঞ্চি লাম্বা টু
all,Qwen/Qwen3-4B-Instruct-2507,mgsm_bn_0050,mgsm,math_word_problem,short_answer,30,selfnorm_if_after_nonempty,True,False,False,False,same_wrong,"The question is in Bengali, so let's first understand and translate it:",বিল্ডিং-এর 3/4 অংশ অধিক�,বিল্ডিং-এর 3/4 অংশ অধিক�
