model,model_id,dataset,task_type,id,domain,subject,grade,review_action,review_label,review_changed,char_edit_ratio,edit_bucket,bangla_correct,banglish_correct,english_correct,banglish_miss,recoverable_banglish_miss,bangla_any_recovery,english_any_recovery,both_alternate_recovery,all_script_hard
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0230,math,,six,replaced,minor_edit,True,0.016393,small_edit_0_5_to_2pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0231,math,,six,replaced,minor_edit,True,0.034091,larger_edit_gt_2pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0232,math,,six,replaced,minor_edit,True,0.031915,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0233,math,,six,replaced,minor_edit,True,0.022222,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0234,math,,six,replaced,minor_edit,True,0.020833,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0236,math,,six,replaced,minor_edit,True,0.005988,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0237,math,,six,replaced,minor_edit,True,0.006289,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0518,math,,seven,replaced,major_edit,True,0.031496,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0519,math,,seven,replaced,major_edit,True,0.037037,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0521,math,,seven,replaced,minor_edit,True,0.025381,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0522,math,,seven,replaced,minor_edit,True,0.02439,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0526,math,,seven,replaced,minor_edit,True,0.020408,larger_edit_gt_2pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0531,math,,seven,replaced,minor_edit,True,0.004926,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0532,math,,seven,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0533,math,,seven,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0538,math,,seven,replaced,major_edit,True,0.036789,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0539,math,,seven,replaced,minor_edit,True,0.010169,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0540,math,,seven,replaced,major_edit,True,0.032258,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0541,math,,seven,replaced,major_edit,True,0.038328,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0542,math,,seven,replaced,minor_edit,True,0.011561,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0549,math,,seven,replaced,major_edit,True,0.030508,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0550,math,,seven,replaced,minor_edit,True,0.008,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0552,math,,seven,replaced,minor_edit,True,0.019608,small_edit_0_5_to_2pct,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0553,math,,seven,replaced,minor_edit,True,0.009231,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0557,math,,seven,replaced,minor_edit,True,0.006944,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0558,math,,seven,replaced,minor_edit,True,0.029703,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_0559,math,,seven,replaced,minor_edit,True,0.016393,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1684,math,,Eight,replaced,minor_edit,True,0.002364,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1685,math,,Eight,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1686,math,,Eight,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1687,math,,Eight,replaced,minor_edit,True,0.002028,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1688,math,,Eight,replaced,major_edit,True,0.213068,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1690,math,,Eight,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1691,math,,Eight,replaced,major_edit,True,0.058407,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1692,math,,Eight,replaced,minor_edit,True,0.004963,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1693,math,,Eight,replaced,major_edit,True,0.032028,larger_edit_gt_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1694,math,,Eight,replaced,minor_edit,True,0.009646,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1695,math,,Eight,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1696,math,,Eight,replaced,minor_edit,True,0.004651,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1697,math,,Eight,replaced,minor_edit,True,0.012987,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1698,math,,Eight,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1699,math,,Eight,replaced,minor_edit,True,0.007194,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,banglamath,short_answer,banglamath_1703,math,,Eight,replaced,minor_edit,True,0.00339,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0057,biology,Biology,10th,replaced,minor_edit,True,0.001855,tiny_edit_le_0_5pct,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0090,biology,Biology,10th,replaced,minor_edit,True,0.005405,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0128,biology,Biology,10th,replaced,minor_edit,True,0.003559,tiny_edit_le_0_5pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0143,biology,Biology,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0149,biology,Biology,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0156,biology,Biology,10th,replaced,minor_edit,True,0.01,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0188,biology,Biology,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0197,biology,Biology,10th,replaced,minor_edit,True,0.003745,tiny_edit_le_0_5pct,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0213,biology,Biology,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0215,biology,Biology,10th,replaced,minor_edit,True,0.001751,tiny_edit_le_0_5pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0277,biology,Biology,10th,replaced,minor_edit,True,0.002012,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Biology_0339,biology,Biology,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0041,chemistry,Chemistry,10th,replaced,minor_edit,True,0.002398,tiny_edit_le_0_5pct,False,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0110,chemistry,Chemistry,10th,replaced,minor_edit,True,0.004484,tiny_edit_le_0_5pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0111,chemistry,Chemistry,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0132,chemistry,Chemistry,10th,replaced,minor_edit,True,0.005076,small_edit_0_5_to_2pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0191,chemistry,Chemistry,10th,replaced,minor_edit,True,0.001776,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0194,chemistry,Chemistry,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0280,chemistry,Chemistry,10th,replaced,minor_edit,True,0.00578,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0322,chemistry,Chemistry,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0336,chemistry,Chemistry,10th,replaced,minor_edit,True,0.001842,tiny_edit_le_0_5pct,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0374,chemistry,Chemistry,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Chemistry_0388,chemistry,Chemistry,10th,replaced,minor_edit,True,0.002364,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0062,math-ii,Math-II,10th,replaced,minor_edit,True,0.00232,tiny_edit_le_0_5pct,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0102,math-ii,Math-II,10th,replaced,minor_edit,True,0.003953,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0139,math-ii,Math-II,10th,replaced,minor_edit,True,0.005618,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0326,math-ii,Math-II,10th,replaced,minor_edit,True,0.00361,tiny_edit_le_0_5pct,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0347,math-ii,Math-II,10th,replaced,minor_edit,True,0.003135,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0357,math-ii,Math-II,10th,replaced,minor_edit,True,0.002899,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math-II_0367,math-ii,Math-II,10th,replaced,minor_edit,True,0.00565,small_edit_0_5_to_2pct,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0032,math,Math,10th,replaced,minor_edit,True,0.005405,small_edit_0_5_to_2pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0044,math,Math,10th,replaced,minor_edit,True,0.009901,small_edit_0_5_to_2pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0186,math,Math,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0271,math,Math,10th,replaced,minor_edit,True,0.002309,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Math_0324,math,Math,10th,replaced,minor_edit,True,0.00346,tiny_edit_le_0_5pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0021,physics,Physics,10th,replaced,minor_edit,True,0.005464,small_edit_0_5_to_2pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0036,physics,Physics,10th,replaced,minor_edit,True,0.002967,tiny_edit_le_0_5pct,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0045,physics,Physics,10th,replaced,minor_edit,True,0.006803,small_edit_0_5_to_2pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0055,physics,Physics,10th,replaced,minor_edit,True,0.003115,tiny_edit_le_0_5pct,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0084,physics,Physics,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0106,physics,Physics,10th,replaced,minor_edit,True,0.011561,small_edit_0_5_to_2pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0130,physics,Physics,10th,marked_bad,bad,False,0.0,no_applied_change,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0150,physics,Physics,10th,replaced,minor_edit,True,0.00578,small_edit_0_5_to_2pct,False,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0198,physics,Physics,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0280,physics,Physics,10th,replaced,minor_edit,True,0.011299,small_edit_0_5_to_2pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_10th-Physics_0296,physics,Physics,10th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0034,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.004566,tiny_edit_le_0_5pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0049,biology-ii,Biology-II,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0119,biology-ii,Biology-II,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0122,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.004444,tiny_edit_le_0_5pct,True,False,False,True,True,True,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0128,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.002653,tiny_edit_le_0_5pct,False,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0179,biology-ii,Biology-II,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0203,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.001848,tiny_edit_le_0_5pct,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0247,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.003077,tiny_edit_le_0_5pct,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0287,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.005556,small_edit_0_5_to_2pct,False,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0321,biology-ii,Biology-II,12th,replaced,minor_edit,True,0.004082,tiny_edit_le_0_5pct,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-II_0325,biology-ii,Biology-II,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0039,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0042,biology-i,Biology-I,12th,replaced,minor_edit,True,0.002079,tiny_edit_le_0_5pct,True,True,False,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0056,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0077,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0160,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,True,True,True,False,False,False,False,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0181,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,False,True,False,False,False,False,True
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0218,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0222,biology-i,Biology-I,12th,replaced,minor_edit,True,0.004695,tiny_edit_le_0_5pct,True,False,True,True,True,True,True,True,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0265,biology-i,Biology-I,12th,replaced,minor_edit,True,0.003542,tiny_edit_le_0_5pct,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0277,biology-i,Biology-I,12th,not_reviewed,unreviewed,False,0.0,no_applied_change,False,False,True,True,True,False,True,False,False
Qwen2.5-3B,Qwen/Qwen2.5-3B-Instruct,benqa,mcq,benqa_12th-Biology-I_0283,biology-i,Biology-I,12th,replaced,minor_edit,True,0.002105,tiny_edit_le_0_5pct,False,False,True,True,True,False,True,False,False
