artifact,check,status,detail
results/tables/real_banglish_distribution.csv,row_count,ok,rows=4 expected=4
results/tables/real_banglish_distribution.csv,headers,ok,"Source,Rows,Mean chars,Mean words,Mean Latin ratio,Digit row share,Mixed-script share"
results/tables/auto_suggested_banglish_sensitivity.csv,exists,ok,present
results/tables/auto_suggested_banglish_sensitivity.csv,row_count,ok,rows=2 expected=2
results/tables/auto_suggested_banglish_sensitivity.csv,headers,ok,"Model,v3 Banglish,v4 Banglish,Auto-suggested,Auto-v4,Gains,Losses"
results/tables/v5_reviewed_banglish_sensitivity.csv,exists,ok,present
results/tables/v5_reviewed_banglish_sensitivity.csv,row_count,ok,rows=3 expected=3
results/tables/v5_reviewed_banglish_sensitivity.csv,headers,ok,"Model,v4 Banglish,v5 reviewed,v5-v4,Test split v5-v4,Gains,Losses,Decision"
results/tables/v5_bad_row_policy_sensitivity.csv,exists,ok,present
results/tables/v5_bad_row_policy_sensitivity.csv,row_count,ok,rows=9 expected=9
results/tables/v5_bad_row_policy_sensitivity.csv,headers,ok,"Model,Comparison,Policy,Left,Right,Delta,Gains,Losses"
results/tables/thesis_tables.md,exists,ok,present
results/tables/thesis_tables.md,section_Frozen V5 Main Script Gap,ok,Frozen V5 Main Script Gap
results/tables/thesis_tables.md,section_Main Script Gap,ok,Main Script Gap
results/tables/thesis_tables.md,section_Model Family And Scaling,ok,Model Family And Scaling
results/tables/thesis_tables.md,section_Self-Normalization,ok,Self-Normalization
results/tables/thesis_tables.md,section_Answer-Signal Routing,ok,Answer-Signal Routing
results/tables/thesis_tables.md,section_Cross-Script Answer Agreement,ok,Cross-Script Answer Agreement
results/tables/thesis_tables.md,section_Generated-View Preservation Gates,ok,Generated-View Preservation Gates
results/tables/thesis_tables.md,section_Deterministic Generated-View Smokes,ok,Deterministic Generated-View Smokes
results/tables/thesis_tables.md,section_Generated-BN Candidate Preservation,ok,Generated-BN Candidate Preservation
results/tables/thesis_tables.md,section_Generated-BN Reference Similarity Dev50,ok,Generated-BN Reference Similarity Dev50
results/tables/thesis_tables.md,section_Generated-BN Answer Audit Dev50,ok,Generated-BN Answer Audit Dev50
results/tables/thesis_tables.md,section_Generated-View Agreement Route Dev,ok,Generated-View Agreement Route Dev
results/tables/thesis_tables.md,section_V5 BEnQA Option Permutation Dev50,ok,V5 BEnQA Option Permutation Dev50
results/tables/thesis_tables.md,section_BnSentMix External Validation,ok,BnSentMix External Validation
results/tables/thesis_tables.md,section_BnSentMix Model Complementarity,ok,BnSentMix Model Complementarity
results/tables/thesis_tables.md,section_BnSentMix Routing Dev-Test,ok,BnSentMix Routing Dev-Test
results/tables/thesis_tables.md,section_Diagnostic Model Pilots,ok,Diagnostic Model Pilots
results/tables/thesis_tables.md,section_Real Banglish Distribution,ok,Real Banglish Distribution
results/tables/thesis_tables.md,section_Auto-Suggested Banglish Sensitivity,ok,Auto-Suggested Banglish Sensitivity
results/tables/thesis_tables.md,section_V5 Reviewed Banglish Sensitivity,ok,V5 Reviewed Banglish Sensitivity
results/tables/thesis_tables.md,section_V5 Flagged-Bad Policy Sensitivity,ok,V5 Flagged-Bad Policy Sensitivity
results/tables/thesis_tables.md,regen_command,ok,python3 scripts/build_thesis_tables.py
